# stan_version_major = 2
# stan_version_minor = 35
# stan_version_patch = 0
# model = multireg_model
# start_datetime = 2025-05-11 17:24:27 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/43/wy_ws5nx3830gqhfw05n4yyc0000gn/T/tmphuzpabp2/j20bq9ih.json
# init = 2 (Default)
# random
#   seed = 92158
# output
#   file = /Users/zhafen/repos/citesim/analysis_data/stan_fits/stan-fit_asym_nNone/asym_BOW.nonsems/multireg-20250511122427_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.35.0
# stancflags = --filename-in-msg=multireg.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,theta.1,theta.2,theta.3,sigma,beta.1,beta.2,beta.3,log_p
# Adaptation terminated
# Step size = 0.590936
# Diagonal elements of inverse mass matrix:
# 2.36164e-05, 2.32503e-05, 2.27659e-05, 2.43282e-05, 1.67533e-05
-34059.7,0.767508,0.590936,2,3,0,34063.6,-0.00939037,0.0904917,0.159351,0.130906,0.973486,0.0806763,0.157462,0.13277,-33404
-34060.7,0.907206,0.590936,2,3,0,34061.6,-0.011458,0.0980078,0.162504,0.125429,0.976974,0.088442,0.161904,0.127215,-33403.3
-34060.5,1,0.590936,3,7,0,34061.9,-0.013848,0.0859497,0.156484,0.128939,0.975567,0.0762933,0.154564,0.130775,-33405.8
-34061.5,0.888486,0.590936,3,7,0,34063.3,-0.0141059,0.100009,0.158065,0.124525,0.974006,0.0905568,0.157067,0.126298,-33405.8
-34060.6,0.970852,0.590936,2,7,0,34063.1,-0.0146068,0.0931413,0.158074,0.125241,0.979662,0.0836584,0.156959,0.127024,-33405.5
-34059.2,1,0.590936,2,3,0,34060.9,-0.0151708,0.093798,0.160831,0.129361,0.974165,0.0840426,0.159378,0.131203,-33402.8
-34059.3,0.896317,0.590936,2,7,0,34060.9,-0.0144443,0.088559,0.158218,0.127284,0.976219,0.0789659,0.156785,0.129096,-33404.7
-34062.2,0.709239,0.590936,2,3,0,34063,-0.0194885,0.0888822,0.156878,0.12924,0.978853,0.0791991,0.154958,0.13108,-33405.7
-34061.4,1,0.590936,3,7,0,34064.2,-0.0081107,0.0904822,0.160029,0.124049,0.970584,0.0810407,0.159351,0.125815,-33405.2
