# stan_version_major = 2
# stan_version_minor = 35
# stan_version_patch = 0
# model = reg_model
# start_datetime = 2025-05-11 17:17:20 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/43/wy_ws5nx3830gqhfw05n4yyc0000gn/T/tmphuzpabp2/uh1uqnms.json
# init = 2 (Default)
# random
#   seed = 14121
# output
#   file = /Users/zhafen/repos/citesim/analysis_data/stan_fits/stan-fit_asym_nNone/asym_GPT2/reg-20250511121720_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.35.0
# stancflags = --filename-in-msg=reg.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta,sigma,log_p
# Adaptation terminated
# Step size = 0.58968
# Diagonal elements of inverse mass matrix:
# 2.19766e-05, 2.37289e-05, 1.71336e-05
-36454.4,0.893378,0.58968,3,7,0,36457.3,-0.0108006,-0.0180407,1.00184,-34177.1
-36453.5,0.956883,0.58968,2,3,0,36454.9,-0.0102537,-0.0164445,1.00588,-34176.7
-36455.6,0.681787,0.58968,2,3,0,36456.1,-0.0143387,-0.0149825,1.00021,-34176.9
-36455.7,0.96352,0.58968,2,7,0,36457.6,-0.00999954,-0.00965153,1.0067,-34177.1
-36454,1,0.58968,3,7,0,36455.6,-0.0143665,-0.0215375,1.00667,-34176.4
-36454.3,0.952361,0.58968,1,1,0,36454.4,-0.0138241,-0.0226035,1.00677,-34176.6
-36454.2,1,0.58968,3,7,0,36454.5,-0.0117358,-0.0120996,1.00532,-34176.5
-36455.3,0.804533,0.58968,2,3,0,36457,-0.00793452,-0.0229628,1.007,-34177.9
-36454.7,0.995318,0.58968,3,7,0,36456.6,-0.00943142,-0.0121528,1.00694,-34177
-36454,1,0.58968,2,3,0,36454.9,-0.012441,-0.0127626,1.00618,-34176.3
-36454.1,0.991373,0.58968,3,7,0,36454.6,-0.0128992,-0.0219676,1.00681,-34176.6
-36454.3,0.947376,0.58968,2,3,0,36455,-0.00944192,-0.0132984,1.0043,-34177
-36454.2,0.948791,0.58968,2,3,0,36455.4,-0.00958832,-0.0184711,1.00288,-34177.2
