# stan_version_major = 2
# stan_version_minor = 35
# stan_version_patch = 0
# model = multireg_model
# start_datetime = 2025-05-11 17:29:09 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/43/wy_ws5nx3830gqhfw05n4yyc0000gn/T/tmphuzpabp2/9savmo5o.json
# init = 2 (Default)
# random
#   seed = 22388
# output
#   file = /Users/zhafen/repos/citesim/analysis_data/stan_fits/stan-fit_asym_nNone/asym_SciBERT.nonsems/multireg-20250511122909_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.35.0
# stancflags = --filename-in-msg=multireg.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,theta.1,theta.2,theta.3,sigma,beta.1,beta.2,beta.3,log_p
# Adaptation terminated
# Step size = 0.531844
# Diagonal elements of inverse mass matrix:
# 2.25737e-05, 2.42798e-05, 2.2469e-05, 2.19402e-05, 1.67965e-05
-33794.8,0.99184,0.531844,3,7,0,33798.9,-0.0023596,-0.0313474,0.153118,0.137483,0.979786,-0.023514,0.146902,0.139484,-32996.7
-33795.8,0.807149,0.531844,3,7,0,33800.3,-0.0130201,-0.0408661,0.160865,0.125168,0.984783,-0.0339048,0.15746,0.12699,-32996.2
-33794.9,0.990975,0.531844,3,7,0,33798.1,-0.00824934,-0.0375417,0.157763,0.134339,0.970783,-0.0299494,0.152544,0.136295,-32995.2
-33795.5,0.989342,0.531844,3,7,0,33795.9,-0.0101647,-0.0387631,0.15562,0.134796,0.970766,-0.0311206,0.150102,0.136759,-32996.5
-33793.9,1,0.531844,2,3,0,33797.9,-0.00988591,-0.037227,0.161784,0.136785,0.984378,-0.0295076,0.15659,0.138777,-32992.7
-33798.2,0.781219,0.531844,2,7,0,33800.7,-0.0145908,-0.0374411,0.170454,0.136887,0.976717,-0.0297894,0.166155,0.13888,-32988.8
-33796.5,1,0.531844,2,3,0,33799.5,-0.0112048,-0.0353339,0.168498,0.138459,0.975952,-0.0275637,0.163739,0.140475,-32988.9
-33790.9,1,0.531844,2,3,0,33796.3,-0.00641497,-0.0371551,0.163027,0.132357,0.979163,-0.0297402,0.158683,0.134284,-32991.8
-33791.6,0.781659,0.531844,2,3,0,33794.7,-0.0112557,-0.0398641,0.160346,0.136308,0.979178,-0.0321608,0.155079,0.138293,-32992.9
