# stan_version_major = 2
# stan_version_minor = 35
# stan_version_patch = 0
# model = reg_model
# start_datetime = 2025-05-11 17:19:40 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/43/wy_ws5nx3830gqhfw05n4yyc0000gn/T/tmphuzpabp2/fdoff29y.json
# init = 2 (Default)
# random
#   seed = 96947
# output
#   file = /Users/zhafen/repos/citesim/analysis_data/stan_fits/stan-fit_asym_nNone/asym_SciBERT/reg-20250511121940_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.35.0
# stancflags = --filename-in-msg=reg.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta,sigma,log_p
# Adaptation terminated
# Step size = 0.554105
# Diagonal elements of inverse mass matrix:
# 2.30837e-05, 2.30022e-05, 1.67774e-05
-35321,0.918228,0.554105,2,7,0,35322.1,-0.00796572,-0.0315968,0.998461,-33607.4
-35325.3,0.679756,0.554105,2,3,0,35326.1,-0.0133069,-0.027491,1.0058,-33606.3
-35323.1,1,0.554105,3,7,0,35326.9,-0.00249523,-0.0379335,1.00431,-33608.8
-35319.7,1,0.554105,2,3,0,35322.8,-0.0101072,-0.0362676,1.00057,-33607.2
-35322,0.672741,0.554105,1,3,0,35323.9,-0.00555998,-0.0306077,1.00138,-33607.3
-35322.5,0.961623,0.554105,3,7,0,35324.1,-0.0128209,-0.0452561,1.00191,-33609.2
-35322.7,0.994335,0.554105,2,3,0,35323.1,-0.0125931,-0.0458396,1.00131,-33609.5
-35320.8,1,0.554105,2,7,0,35322.5,-0.00843881,-0.0319157,0.998741,-33607.3
-35322.1,0.81331,0.554105,3,7,0,35324.6,-0.0168486,-0.0416529,0.998177,-33608.7
-35321.4,0.982172,0.554105,2,7,0,35323.3,-0.0117045,-0.0414559,1.00386,-33608
-35322.4,0.962919,0.554105,3,7,0,35322.7,-0.011003,-0.0440878,1.00369,-33608.9
-35320,1,0.554105,2,3,0,35322.5,-0.00798531,-0.0351936,0.998758,-33607.7
-35320.5,0.925116,0.554105,2,3,0,35321,-0.0119234,-0.0353479,0.996888,-33607.7
-35319.6,1,0.554105,2,3,0,35320.4,-0.0107577,-0.0365188,1.00026,-33607.2
-35320.4,0.929851,0.554105,2,3,0,35320.5,-0.00598657,-0.0371,1.0012,-33607.9
-35320.4,0.993443,0.554105,3,7,0,35320.9,-0.0150013,-0.036191,0.999968,-33607
-35320.3,0.903386,0.554105,2,3,0,35321.9,-0.011424,-0.0325921,1.00023,-33606.7
-35321,0.567054,0.554105,2,3,0,35325.8,-0.0119294,-0.0363015,0.995725,-33608.3
-35321.7,0.972308,0.554105,2,7,0,35322.1,-0.00973603,-0.0415737,1.00438,-33608.2
-35320.3,0.886474,0.554105,3,7,0,35324.1,-0.00948536,-0.039416,0.997627,-33608.5
-35321.5,0.748806,0.554105,2,3,0,35323.9,-0.00335075,-0.035256,1.00054,-33608.3
-35324.2,0.648829,0.554105,2,3,0,35325.8,-0.00385444,-0.0343308,1.00645,-33608
-35321.9,0.937271,0.554105,2,3,0,35326.5,-0.00936532,-0.0428727,0.996321,-33609.9
-35320.2,0.992898,0.554105,3,7,0,35322.3,-0.010541,-0.0367855,1.00294,-33607
-35320.9,0.973246,0.554105,2,7,0,35321.3,-0.00497002,-0.0390152,0.999699,-33608.8
-35320.5,0.985784,0.554105,3,7,0,35321.7,-0.0136354,-0.0333017,0.999454,-33606.7
-35320.4,1,0.554105,3,7,0,35320.8,-0.00684926,-0.0391976,0.998898,-33608.6
