# stan_version_major = 2
# stan_version_minor = 35
# stan_version_patch = 0
# model = base_model
# start_datetime = 2025-05-11 17:16:00 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /var/folders/43/wy_ws5nx3830gqhfw05n4yyc0000gn/T/tmphuzpabp2/dt0ehzfj.json
# init = 2 (Default)
# random
#   seed = 16409
# output
#   file = /Users/zhafen/repos/citesim/analysis_data/stan_fits/stan-fit_asym_nNone/base/base-20250511121600_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.35.0
# stancflags = --filename-in-msg=base.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,sigma,log_p
# Adaptation terminated
# Step size = 0.533216
# Diagonal elements of inverse mass matrix:
# 1.92973e-05, 1.51304e-05
-51397.1,0.796215,0.533216,1,1,0,51397.2,-0.00450794,0.996859,-48616.7
-51394.9,1,0.533216,3,7,0,51397.1,-0.0010733,1.00187,-48616.8
-51395.2,0.887304,0.533216,2,3,0,51396.2,-0.00114616,1.00254,-48616.9
-51395.3,0.954266,0.533216,2,3,0,51396.2,-0.00294255,0.999369,-48616.5
-51395.3,0.962983,0.533216,3,7,0,51396.1,-0.00298584,1.00041,-48616.5
-51397.6,0.794762,0.533216,2,3,0,51398,-0.00581001,0.997653,-48616.6
-51397.7,0.993755,0.533216,3,7,0,51398.2,-0.00636095,0.998315,-48616.5
-51396.1,0.949396,0.533216,2,3,0,51399.1,0.00760885,1.0008,-48619.1
-51396.3,0.968565,0.533216,1,1,0,51396.5,0.0081043,1.00009,-48619.3
-51398.7,0.817337,0.533216,3,7,0,51399.9,-0.00770403,1.00079,-48616.6
-51395.2,0.97898,0.533216,3,7,0,51400.1,-0.00169577,1.00225,-48616.7
-51395.2,0.956148,0.533216,2,7,0,51396.2,0.00605797,1.00023,-48618.4
-51394.4,0.993465,0.533216,2,3,0,51395.3,0.0035519,0.999291,-48617.6
-51394.6,0.88225,0.533216,2,3,0,51395.4,-0.000465897,1.00143,-48616.8
-51394.5,1,0.533216,3,7,0,51394.7,0.00315616,1.00133,-48617.6
-51394.4,0.9151,0.533216,1,3,0,51395.4,0.000217939,0.998944,-48616.9
-51394.5,0.873572,0.533216,2,3,0,51395.5,0.00106285,1.00176,-48617.1
-51394.8,0.9382,0.533216,1,1,0,51394.8,0.000810107,1.00241,-48617.2
-51394.8,0.99923,0.533216,2,7,0,51394.9,0.00333379,0.99772,-48617.7
-51394.9,0.847756,0.533216,3,7,0,51397.5,0.00535162,1.0003,-48618.2
-51394.5,0.92312,0.533216,2,3,0,51395.7,0.00225345,0.998097,-48617.4
-51394.5,0.359336,0.533216,1,3,0,51399.7,0.00225345,0.998097,-48617.4
-51394.9,0.949255,0.533216,2,3,0,51395.5,0.00446113,1.00183,-48618
-51395.2,0.967544,0.533216,1,1,0,51395.2,0.00531774,1.00174,-48618.3
-51396,0.780887,0.533216,3,7,0,51398.2,-4.74398e-05,1.00411,-48617.4
-51396.4,0.93165,0.533216,2,3,0,51397.1,0.00232806,0.995353,-48618
-51394.3,0.9786,0.533216,1,3,0,51396.4,0.0030526,0.999109,-48617.5
-51394.4,0.996218,0.533216,3,7,0,51394.5,-0.000750084,1.00008,-48616.7
-51394.7,0.86723,0.533216,2,3,0,51395.7,0.00476367,1.00068,-48618
-51395.2,0.926208,0.533216,1,1,0,51395.2,0.00583019,1.00117,-48618.4
-51395,1,0.533216,1,1,0,51395.2,0.00552635,1.00052,-48618.3
-51395,0.990462,0.533216,2,7,0,51395.3,0.00537692,0.998897,-48618.2
-51395.5,0.921236,0.533216,2,3,0,51396.2,-0.00274789,1.00191,-48616.6
-51395,0.978993,0.533216,2,3,0,51395.9,0.00206242,0.997224,-48617.5
-51395,0.819242,0.533216,2,7,0,51396.8,0.00521349,1.00131,-48618.2
-51394.6,0.793923,0.533216,1,3,0,51397.6,-0.00107281,0.999477,-48616.7
-51395.9,0.874411,0.533216,2,3,0,51396.2,-0.0039668,0.99901,-48616.5
-51394.4,1,0.533216,2,3,0,51395.8,0.00146515,1.00145,-48617.2
-51395.4,0.868503,0.533216,2,3,0,51395.9,0.00572157,1.00204,-48618.5
-51397.6,0.807407,0.533216,2,3,0,51398.4,-0.00217488,0.994857,-48617.4
-51396,1,0.533216,2,3,0,51398.4,0.00663885,1.00225,-48618.8
-51395.2,0.918226,0.533216,2,3,0,51397.1,0.0051588,1.00203,-48618.3
-51394.8,1,0.533216,2,3,0,51395.3,0.00519191,1.00055,-48618.1
-51394.4,0.989675,0.533216,2,3,0,51395,0.00215806,1.00146,-48617.3
-51394.5,0.97436,0.533216,2,3,0,51394.8,0.00408228,1.00079,-48617.8
-51396,0.86397,0.533216,2,3,0,51396.4,0.00746187,1.00106,-48619
-51394.4,0.971971,0.533216,3,7,0,51396.6,0.00395311,1.00007,-48617.7
-51394.8,0.926434,0.533216,2,3,0,51395.3,-0.0019412,0.999468,-48616.6
-51395,0.966336,0.533216,3,7,0,51395.6,0.00533596,0.998828,-48618.2
-51395.1,0.722628,0.533216,2,3,0,51398.9,0.00570163,1.00086,-48618.3
-51395.3,0.964832,0.533216,1,1,0,51395.4,0.00611284,1.0011,-48618.5
-51394.4,0.962688,0.533216,2,3,0,51396,0.00132964,0.998615,-48617.1
-51394.3,0.938094,0.533216,2,7,0,51394.8,0.00168321,1.00122,-48617.2
-51394.5,0.954698,0.533216,3,7,0,51394.9,0.00133045,0.998285,-48617.2
-51394.5,0.956102,0.533216,2,3,0,51395,0.0027722,0.998392,-48617.5
-51394.5,0.99916,0.533216,2,3,0,51394.6,0.00126039,1.00177,-48617.2
-51396.3,0.842211,0.533216,2,3,0,51396.6,0.00808896,1.00008,-48619.3
-51394.5,1,0.533216,2,3,0,51396.4,-0.000205349,1.00121,-48616.8
-51395.4,0.913121,0.533216,2,3,0,51395.6,0.00552781,0.997874,-48618.4
-51395.1,0.967306,0.533216,2,7,0,51396.6,0.00156478,0.99691,-48617.4
-51394.6,0.847631,0.533216,2,3,0,51397,0.00226503,1.0021,-48617.4
-51395,0.985119,0.533216,2,3,0,51395.2,-0.00128287,0.998058,-48616.8
-51397.4,0.740412,0.533216,3,7,0,51398.3,0.00753947,1.00381,-48619.5
-51396.8,0.994799,0.533216,2,7,0,51398.5,0.00885615,1.00022,-48619.6
-51394.8,0.97262,0.533216,3,7,0,51397.4,0.00523925,1.00004,-48618.1
-51394.9,0.960219,0.533216,2,7,0,51395.4,0.00397928,1.0021,-48617.9
-51395,0.854283,0.533216,2,3,0,51397,0.00490338,0.998368,-48618.1
-51394.5,0.99759,0.533216,3,7,0,51395.1,0.0038566,1.00104,-48617.7
-51394.3,0.997015,0.533216,2,3,0,51394.7,0.00167636,0.998878,-48617.2
-51395.3,0.815679,0.533216,2,3,0,51396.4,-0.00302094,1.00081,-48616.5
-51394.3,1,0.533216,2,3,0,51395.4,0.00347588,1.00037,-48617.6
-51397.6,0.690933,0.533216,2,3,0,51398,0.00461622,0.994668,-48618.9
-51394.3,1,0.533216,2,3,0,51397.7,0.001708,0.998871,-48617.2
-51394.4,0.927679,0.533216,2,7,0,51394.8,0.00233342,1.00138,-48617.4
-51394.5,0.960434,0.533216,2,3,0,51394.9,0.00369644,1.00125,-48617.7
-51395.2,0.95779,0.533216,3,7,0,51395.4,-0.0026776,1.00095,-48616.5
-51395.1,0.994163,0.533216,3,7,0,51395.4,-0.00205841,1.00166,-48616.6
-51394.5,1,0.533216,2,3,0,51395.3,0.00402573,1.00011,-48617.8
-51394.3,0.939927,0.533216,3,7,0,51395,0.00244908,0.999099,-48617.3
-51394.7,0.962198,0.533216,2,3,0,51394.7,0.00102761,1.00221,-48617.2
-51395,0.986076,0.533216,3,7,0,51395.1,-0.00126975,1.00216,-48616.8
-51394.7,1,0.533216,2,3,0,51395.5,0.00120194,0.997766,-48617.2
-51394.2,0.987226,0.533216,2,3,0,51394.8,0.00182195,0.999349,-48617.2
-51394.5,0.955743,0.533216,2,3,0,51394.7,0.00383505,1.00069,-48617.7
-51394.5,0.959742,0.533216,2,7,0,51395,-0.000275978,0.998841,-48616.8
-51394.7,0.826303,0.533216,1,3,0,51395.9,0.00214348,1.00236,-48617.4
-51394.8,0.998341,0.533216,2,7,0,51394.9,-5.49092e-06,0.997828,-48617
-51396.9,0.764714,0.533216,2,3,0,51397,-0.00212136,1.00449,-48617.2
-51394.7,0.997156,0.533216,2,7,0,51396.8,0.00413366,0.998552,-48617.9
-51396.5,0.849152,0.533216,2,3,0,51397,-0.00512994,1.00012,-48616.4
-51394.5,0.82846,0.533216,2,3,0,51398.5,0.00381665,0.99899,-48617.7
-51394.2,0.946544,0.533216,2,3,0,51395,0.000866741,1.00051,-48617
-51394.7,0.921672,0.533216,2,3,0,51394.9,0.00131561,1.00232,-48617.2
-51394.2,0.995657,0.533216,1,3,0,51394.7,0.0012077,1.00059,-48617
-51394.9,0.86021,0.533216,3,7,0,51396,-0.00198539,0.999083,-48616.6
-51394.4,0.836668,0.533216,1,3,0,51397,0.0038483,1.00015,-48617.7
-51394.4,0.990137,0.533216,2,3,0,51394.6,0.00232026,0.998653,-48617.3
-51395.3,0.917964,0.533216,2,3,0,51395.3,0.00313011,1.00314,-48617.8
-51395.3,0.721632,0.533216,2,3,0,51398.9,-0.00235615,0.998245,-48616.6
-51396,0.848939,0.533216,2,3,0,51396.7,0.00242664,1.00421,-48617.9
-51396.4,0.948069,0.533216,2,7,0,51398.1,-0.00501235,1.00013,-48616.4
-51394.2,0.996305,0.533216,3,7,0,51396.3,0.00146442,0.999632,-48617.1
-51394.7,0.7704,0.533216,2,3,0,51396.3,-0.00169642,0.999648,-48616.6
-51395.6,0.791994,0.533216,2,3,0,51396.3,-0.00142054,1.00316,-48616.9
-51395.3,1,0.533216,1,1,0,51395.7,-0.000777821,1.00292,-48617
-51396.3,0.952731,0.533216,2,3,0,51397,-0.00451548,0.998448,-48616.5
-51395.9,1,0.533216,2,3,0,51396.4,-0.00388992,0.998751,-48616.5
-51395.5,0.825863,0.533216,2,7,0,51398.4,0.00545765,1.00245,-48618.4
-51395.3,0.965759,0.533216,2,7,0,51396.4,-0.00280804,0.999053,-48616.5
-51394.5,1,0.533216,2,3,0,51395.3,0.00410798,1.00067,-48617.8
-51395.7,0.873046,0.533216,2,3,0,51396,0.00464037,0.996789,-48618.3
-51394.4,1,0.533216,2,7,0,51395.5,0.000553854,1.00122,-48617
-51395.8,0.571863,0.533216,2,3,0,51399.5,-0.00310098,0.99779,-48616.6
-51395.5,0.922701,0.533216,2,3,0,51397.1,-0.0033442,0.998932,-48616.5
-51395.2,1,0.533216,1,1,0,51395.6,-0.00265816,0.998792,-48616.5
-51400.3,0.653094,0.533216,2,3,0,51401.4,-0.0091392,0.998517,-48616.8
-51396.6,0.972617,0.533216,3,7,0,51400.8,0.00836597,1.00082,-48619.4
-51397.4,0.778414,0.533216,2,3,0,51399.8,0.00691958,1.00418,-48619.4
-51396,0.984986,0.533216,3,7,0,51397.8,-0.00383459,0.998329,-48616.5
-51394.7,0.979504,0.533216,2,3,0,51396.9,0.0026609,1.00221,-48617.5
