# stan_version_major = 2
# stan_version_minor = 35
# stan_version_patch = 0
# model = hreg_model
# start_datetime = 2025-05-11 18:06:39 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/43/wy_ws5nx3830gqhfw05n4yyc0000gn/T/tmphuzpabp2/iiqqow_v.json
# init = 2 (Default)
# random
#   seed = 48384
# output
#   file = /Users/zhafen/repos/citesim/analysis_data/stan_fits/stan-fit_asym_nNone/h-asym_GPT2_j.h-nonsems/hreg-20250511130639_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.35.0
# stancflags = --filename-in-msg=hreg.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,sigma,beta.1.1,beta.2.1,beta.3.1,beta.4.1,beta.5.1,beta.6.1,beta.7.1,beta.8.1,beta.9.1,beta.1.2,beta.2.2,beta.3.2,beta.4.2,beta.5.2,beta.6.2,beta.7.2,beta.8.2,beta.9.2,beta.1.3,beta.2.3,beta.3.3,beta.4.3,beta.5.3,beta.6.3,beta.7.3,beta.8.3,beta.9.3,mu_beta.1,mu_beta.2,mu_beta.3,sigma_beta.1,sigma_beta.2,sigma_beta.3,log_p
# Adaptation terminated
# Step size = 0.332919
# Diagonal elements of inverse mass matrix:
# 2.1948e-05, 1.64022e-05, 0.000116999, 0.000118272, 8.29165e-05, 0.000115207, 0.000133651, 0.000150871, 0.000214061, 0.000161186, 0.000114896, 0.000137579, 0.000124743, 0.000102568, 0.00010503, 0.000110515, 7.41146e-05, 0.00018183, 0.000125906, 0.00010815, 0.000123552, 0.00011157, 9.86772e-05, 0.000139213, 0.000151087, 0.000122355, 0.000116222, 0.000121307, 0.000114949, 0.00244861, 0.000924115, 8.72198e-05, 0.0821583, 0.0846689, 0.185827
-34210.4,0.741576,0.332919,4,15,0,34229.2,-0.000349144,0.977064,0.128388,-0.054919,0.265476,0.117473,0.290307,0.206905,0.0437793,0.0567125,0.208509,0.144316,-0.0451803,0.0930187,0.0714453,0.014092,0.155383,0.0900901,0.142284,0.152555,-0.0193362,-0.054938,-0.0183603,0.00426097,-0.0208411,-0.0189312,-0.039885,-0.00704398,0.0208041,0.111047,0.0255976,-0.0124711,0.0792378,0.0729423,0.0215688,-34620.2
-34205.5,0.98192,0.332919,4,15,0,34221.7,-0.00605138,0.975735,0.129141,-0.0624421,0.267581,0.114782,0.28376,0.186436,0.0331821,0.0604994,0.230238,0.167433,-0.0364431,0.0783923,0.073469,0.0339004,0.163207,0.0648274,0.120493,0.148119,-0.0240383,-0.041193,-0.0112623,-0.00648467,-0.0139807,-0.00153765,-0.0286508,-0.0216785,-0.00077718,0.17681,0.0944156,-0.0160269,0.182901,0.105783,0.0250086,-34628.2
-34207.1,0.935602,0.332919,4,15,0,34222.3,0.000923278,0.974122,0.140128,-0.0562956,0.247562,0.121115,0.301127,0.183311,0.033937,0.0749284,0.222013,0.125374,-0.0351338,0.112859,0.0766511,0.00600824,0.162964,0.0776546,0.147086,0.12577,-0.0223738,-0.0507931,-0.0412141,-0.0321771,-0.0302827,-0.0208198,-0.0295631,-0.0172853,0.00211139,0.11649,0.0867579,-0.0206501,0.0825747,0.0500495,0.0173744,-34616.5
-34206.4,0.980626,0.332919,4,15,0,34221.2,-0.0048561,0.975432,0.134477,-0.0522024,0.247989,0.127026,0.303023,0.183048,0.0341888,0.0551776,0.218509,0.113869,-0.0340544,0.0957734,0.0824748,0.0163801,0.174411,0.0747725,0.117691,0.144709,-0.0204885,-0.0343594,-0.0314211,-0.0282949,-0.0241731,-0.0118749,-0.0220451,-0.0152147,0.0035659,0.149714,0.0840666,-0.02562,0.110298,0.0802672,0.0115379,-34602.2
-34207.7,0.999491,0.332919,4,15,0,34218.1,-0.000660422,0.976565,0.125066,-0.0542153,0.26152,0.101403,0.303488,0.177974,0.037804,0.0759366,0.234795,0.192466,-0.0422935,0.0896176,0.0666534,0.00794886,0.15228,0.0736442,0.155257,0.138771,-0.0258729,-0.0446597,-0.0100074,0.000748729,-0.0147367,-0.011707,-0.0308009,-0.0145929,-0.000911343,0.160809,0.099248,-0.0214142,0.137414,0.0733263,0.0150796,-34641.7
-34214.3,0.836903,0.332919,4,15,0,34231.7,-0.0099535,0.976103,0.150053,-0.0477241,0.254896,0.118134,0.294754,0.187416,0.0318474,0.0610507,0.211566,0.120459,-0.0336761,0.0994376,0.0690816,0.024918,0.16463,0.07192,0.110064,0.139624,-0.0219548,-0.0554278,-0.0353332,-0.0291743,-0.027333,-0.0143602,-0.020632,-0.00703103,0.00528925,0.0683724,0.138862,-0.0281281,0.11791,0.140729,0.0158075,-34590.9
