# stan_version_major = 2
# stan_version_minor = 35
# stan_version_patch = 0
# model = hreg_model
# start_datetime = 2025-05-11 17:40:01 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /var/folders/43/wy_ws5nx3830gqhfw05n4yyc0000gn/T/tmphuzpabp2/j_j4ei1f.json
# init = 2 (Default)
# random
#   seed = 93431
# output
#   file = /Users/zhafen/repos/citesim/analysis_data/stan_fits/stan-fit_asym_nNone/h-asym_GPT2_j/hreg-20250511124000_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.35.0
# stancflags = --filename-in-msg=hreg.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,sigma,beta.1.1,beta.2.1,beta.3.1,beta.4.1,beta.5.1,beta.6.1,beta.7.1,beta.8.1,beta.9.1,mu_beta.1,sigma_beta.1,log_p
# Adaptation terminated
# Step size = 0.366999
# Diagonal elements of inverse mass matrix:
# 2.42993e-05, 1.67803e-05, 0.000101327, 0.000130913, 0.000119193, 0.000101098, 7.54281e-05, 0.000121353, 0.000105332, 0.000113409, 0.000129125, 6.89951e-05, 0.153715
-35935.1,0.940725,0.366999,3,15,0,35941.4,-0.00463791,1.00137,-0.0273822,-0.052866,-0.0150094,0.00202181,-0.0325422,0.000440037,-0.0325308,-0.0372048,0.0033049,-0.0246623,0.0227984,-34025.6
-35939.2,0.833629,0.366999,3,7,0,35945.1,-0.00380194,0.994393,-0.0202465,-0.051681,-0.0257377,-0.000218931,-0.0379678,-0.00907065,-0.0125593,-0.0363754,0.00324834,-0.0203272,0.0132381,-34026.1
-35938.8,0.977254,0.366999,3,7,0,35946.2,-0.00433323,1.00305,-0.0131273,-0.0414104,-0.0186718,-0.0279587,-0.0226542,0.00222834,-0.0453205,0.00563668,-0.0157036,-0.0185573,0.0232713,-34021.9
-35937.2,0.981749,0.366999,3,7,0,35945.4,-0.00891028,0.993785,-0.0174285,-0.0406416,-0.0434816,-0.0271283,-0.0229741,-0.0093076,-0.0349842,-0.00924048,-0.00293764,-0.0144997,0.014401,-34021.3
-35937.4,0.847427,0.366999,4,15,0,35945.4,-0.0137098,1.00054,-0.0202825,-0.0346444,-0.0240642,-0.0374786,-0.0233872,-0.00260129,-0.0297011,-0.00879678,-0.000170133,-0.0119773,0.0175119,-34019.9
-35935.9,0.976641,0.366999,3,7,0,35941.6,0.0018348,0.9945,-0.0177677,-0.0565953,-0.0163166,-0.0200242,-0.0238633,-0.00937415,-0.0209463,-0.0135625,0.000986946,-0.0263756,0.013273,-34025.6
-35934.4,0.980216,0.366999,3,7,0,35941.2,-0.00871938,0.994068,-0.0311617,-0.0467449,-0.026881,-0.0225572,-0.0267616,-0.0140248,-0.0279889,-0.016265,0.00395311,-0.0285891,0.0220625,-34023.1
-35933.1,0.929764,0.366999,3,15,0,35939.7,-0.00171694,0.996809,-0.0123546,-0.0292997,-0.0187962,-0.0108196,-0.0185972,-0.00633483,-0.0249828,-0.0189098,-0.0115843,-0.0204589,0.0140868,-34017.5
-35933.8,0.981249,0.366999,3,7,0,35939.1,-0.010367,1.00162,-0.0342938,-0.0588966,-0.0300893,-0.0170475,-0.0262792,-0.010322,-0.0330905,-0.0252369,0.00516604,-0.0217241,0.0217268,-34025.7
-35937.5,0.975571,0.366999,4,15,0,35940.6,-0.00267056,0.996677,-0.0213593,-0.0621286,-0.02303,-0.000658149,-0.00522427,0.00849949,-0.033559,-0.0347891,0.0157376,-0.0196565,0.0339462,-34024.8
-35937,0.985209,0.366999,3,7,0,35941.6,-0.0127612,0.999277,-0.0208887,-0.0489306,-0.0292686,-0.00407972,-0.0119572,0.00861456,-0.0392222,-0.0396822,0.00737375,-0.0155398,0.023398,-34021.9
-35936.6,0.989652,0.366999,3,15,0,35942.8,0.00319598,0.998616,-0.0309618,-0.0608391,-0.0205722,-0.0104158,-0.0153836,-0.0178241,-0.0334135,-0.013437,-0.000302493,-0.0321725,0.0231533,-34025.9
-35939.6,0.972005,0.366999,3,7,0,35943.6,-0.0138836,0.999245,-0.0128834,-0.0413114,-0.0117452,-0.0224632,-0.0217149,0.0174314,-0.0442973,-0.00903391,0.00536882,-0.0326586,0.0325309,-34021.1
-35938.4,1,0.366999,3,7,0,35942,-0.014181,0.999098,-0.0147791,-0.0406913,-0.0124343,-0.0238107,-0.0251268,0.0125366,-0.046172,-0.0105606,0.0062686,-0.0297056,0.0279064,-34021.7
-35938.1,0.987706,0.366999,3,15,0,35945.6,-0.00244649,0.997475,-0.0269247,-0.0405986,-0.0198062,0.0104887,-0.0136898,-0.00865962,-0.0269799,-0.00345662,0.0157223,-0.0263556,0.0310005,-34017.9
-35937.9,0.932957,0.366999,4,15,0,35947.2,-0.00677002,1.00133,-0.0132534,-0.047759,-0.0169799,-0.0316647,-0.0234826,0.0131923,-0.0270989,-0.0203186,-0.000409657,-0.030265,0.0419165,-34023
-35938.2,0.985362,0.366999,3,7,0,35942.7,-0.00450755,0.997648,-0.0167728,-0.0508618,-0.0299315,0.00147442,-0.0268614,4.56349e-06,-0.0425542,-0.0324981,0.00333572,-0.015702,0.011769,-34024
-35936.4,0.357428,0.366999,3,7,0,35946.6,-0.00748039,0.996467,-0.0111055,-0.0369293,-0.0210593,-0.00774792,-0.0271693,0.00391027,-0.0308122,-0.0348051,0.00130104,-0.0313183,0.0267664,-34020.6
-35936.1,0.880498,0.366999,4,15,0,35943.7,-0.00299641,1.00127,-0.0248499,-0.0636694,-0.0304043,-0.0142725,-0.0335314,-0.0106579,-0.0386045,-0.0105443,-0.00620629,-0.0317102,0.0350278,-34027.8
-35938.6,0.958078,0.366999,3,7,0,35943,-0.00185642,0.998254,-0.0488511,-0.0648872,-0.0366725,-0.0143199,-0.0246168,-0.00658451,-0.0309405,-0.00961485,0.00831082,-0.0265469,0.0149679,-34028.6
-35932.3,1,0.366999,4,15,0,35942.4,-0.00545088,0.998914,-0.0179529,-0.0368977,-0.0139677,-0.022685,-0.0165177,-0.00285222,-0.0152348,-0.00444829,0.008732,-0.0125492,0.0122085,-34017.6
-35935.8,0.763412,0.366999,3,7,0,35940.6,0.000119,0.994796,-0.0198849,-0.0329236,-0.0124373,-0.00117321,-0.0175754,-0.00572875,-0.0317589,-0.0123708,0.0186911,-0.0117194,0.0133069,-34018.8
-35937.4,0.938787,0.366999,3,7,0,35941.6,-0.00415844,1.00527,-0.0133106,-0.0417553,-0.0123648,0.00287972,-0.012957,-0.00810836,-0.0386306,-0.0164932,0.0083026,-0.0119544,0.0259924,-34019.1
-35936.9,1,0.366999,3,7,0,35942.2,-0.00152585,1.00261,-0.0147915,-0.0402565,-0.0113086,-0.0061691,-0.0193374,-0.0111294,-0.035219,-0.02809,0.00967983,-0.00241553,0.0243013,-34020.7
-35935.4,0.995906,0.366999,4,15,0,35939.9,-0.00719977,0.999839,-0.0295797,-0.0568174,-0.0353469,-0.0201101,-0.0242454,0.00876467,-0.0271399,-0.000147104,-0.00344249,-0.0345685,0.0278069,-34023.7
-35936.5,0.964139,0.366999,3,15,0,35941.2,-0.00573002,0.99848,-0.0301599,-0.0388571,-0.0404143,-0.0266001,-0.0371043,0.00131678,-0.048964,-0.0116744,0.0094709,-0.0226928,0.0176101,-34024.9
-35933.6,0.976951,0.366999,3,7,0,35939.5,-0.00539868,0.99669,-0.0274395,-0.0451333,-0.0229075,-0.0292387,-0.0305792,0.0068574,-0.0381464,-0.0158285,0.0120696,-0.0274232,0.0191153,-34024.6
-35937.2,0.7965,0.366999,4,15,0,35940.4,-0.002937,1.00101,-0.0313413,-0.0587002,-0.0174885,0.00746922,-0.0303654,0.00217799,-0.0317563,-0.0241945,0.00345425,-0.00226043,0.0342306,-34025.9
-35935.5,0.986617,0.366999,4,15,0,35941.6,-0.00108774,0.999421,-0.0317067,-0.0468161,-0.0237189,-0.0202232,-0.0226872,-0.0270796,-0.0188055,-0.031441,-0.00711582,-0.0204775,0.0119753,-34024.1
-35936.9,0.913507,0.366999,4,15,0,35943.1,-0.00890284,0.999659,-0.0121698,-0.0516933,-0.0275684,-0.0142489,-0.0291105,0.0216354,-0.0350529,-0.0101676,0.00423324,-0.0231448,0.0439612,-34023.3
-35935.3,0.999043,0.366999,3,7,0,35940.2,-0.00654576,1.00002,-0.0133955,-0.0612539,-0.0262115,-0.017597,-0.0174504,2.26857e-05,-0.0444086,-0.00348935,0.0172603,-0.0281713,0.0202069,-34024.3
-35935.9,0.972641,0.366999,3,15,0,35940.6,-0.00364666,0.995323,-0.0233149,-0.0523643,-0.0086242,-0.00595392,-0.0298129,0.00948747,-0.0397636,-0.00842699,0.021003,-0.0112445,0.0345657,-34025.1
-35936.1,0.925242,0.366999,3,7,0,35941.4,-0.00366838,0.998199,-0.0214635,-0.0516965,-0.00543304,-0.00809846,-0.0247923,0.00839849,-0.0406896,-0.00476758,0.0184017,-0.010555,0.043587,-34023.5
-35933.3,0.991893,0.366999,4,15,0,35939.1,-0.00791654,0.999541,-0.00793984,-0.052061,-0.00923995,-0.0184184,-0.0133929,-0.00540688,-0.0280901,-0.0127481,0.00926623,-0.0157787,0.0130592,-34020.5
-35934.9,0.98252,0.366999,3,7,0,35939.5,-0.00426781,0.999298,-0.00952249,-0.0221592,-0.0288518,-0.0247796,-0.0218157,-0.0168409,-0.0246114,-0.0106042,0.00393108,-0.0162985,0.0121841,-34016.4
-35937.1,0.791259,0.366999,3,7,0,35942.8,-0.0018923,1.00043,-0.00676568,-0.0240938,-0.0278077,-0.0188753,-0.02279,-0.0169056,-0.0309241,-0.012983,0.00803125,-0.0221922,0.00940962,-34017.3
-35934.8,1,0.366999,3,7,0,35943.9,-0.00575452,0.997101,-0.035337,-0.0471602,-0.0227377,-0.00170025,-0.00497673,-0.00595652,-0.0256443,-0.0221126,0.0010613,-0.0124411,0.022076,-34019.4
-35936.8,0.942285,0.366999,4,15,0,35941,-0.00778524,0.99863,-0.0164926,-0.0499144,-0.0175265,-0.0304302,-0.0436863,-0.00771359,-0.0329065,-0.00233245,-0.00368727,-0.0138021,0.0218468,-34026
-35938.6,0.864982,0.366999,4,15,0,35947.1,-0.00790886,1.00072,-0.0246228,-0.06088,-0.0276184,-0.0127815,-0.0116713,-0.0356314,-0.0457026,-0.0153718,0.00224213,-0.0217008,0.0178918,-34024.6
-35936.9,0.937589,0.366999,3,15,0,35947.2,-0.00486635,1.00233,-0.00713422,-0.0515963,-0.0399205,-0.02484,-0.0111162,0.0106033,-0.0426939,-0.0179788,0.00556178,-0.0169943,0.027705,-34022.8
-35935.7,0.998047,0.366999,4,15,0,35941.1,-0.00564292,0.995105,-0.0322425,-0.0517473,-0.00418371,0.00169391,-0.033054,-0.00957242,-0.0305836,-0.005461,0.00618231,-0.019409,0.0175577,-34024.1
-35940.5,0.760394,0.366999,3,7,0,35948.7,-0.0105827,1.00367,-0.00857638,-0.0323177,-0.00928725,-0.0214644,-0.0393962,0.00835133,-0.0416066,-0.0241929,0.00515166,-0.0212093,0.0291931,-34022.9
-35935.6,0.992901,0.366999,3,7,0,35943.9,-0.00452821,0.994657,-0.00839628,-0.0450828,-0.021718,-0.0161357,-0.0349564,0.00295753,-0.0256309,-0.0307568,0.0116698,-0.0239222,0.0161877,-34024.4
-35934.9,0.971882,0.366999,3,7,0,35943.3,-0.00596072,1.00226,-0.0403194,-0.0379731,-0.0222272,-0.00855998,-0.0177992,-0.0155899,-0.0290642,-0.0118732,-0.0172374,-0.023599,0.0114438,-34019.7
-35933.5,0.989775,0.366999,3,7,0,35941.2,-0.00745446,1.00047,-0.0330845,-0.0391967,-0.0188121,-0.0255876,-0.0195791,-0.0188375,-0.0168611,-0.0158423,-0.00812216,-0.0221877,0.00690532,-34020
-35935.4,0.597406,0.366999,3,7,0,35939.6,-0.00378895,0.997834,-0.00855311,-0.0369842,-0.0287711,-0.0100013,-0.0209518,-0.00448513,-0.0472354,-0.0299748,-0.0125989,-0.0200679,0.014915,-34021
-35937.9,0.829255,0.366999,4,15,0,35944.1,-0.00934549,0.999405,-0.0389144,-0.0547301,-0.0149721,-0.0230706,-0.0328745,-2.99794e-05,-0.0152585,-0.00702238,0.0121914,-0.0282744,0.0369637,-34025.3
-35939.1,0.967593,0.366999,3,15,0,35945.7,-0.00651713,1.00028,-0.0437588,-0.0511546,-0.0133614,-0.0215949,-0.0369047,0.00543354,-0.0177081,-0.00783793,0.0123549,-0.0353816,0.0362737,-34026
-35937.4,0.997936,0.366999,4,15,0,35941.9,-0.00388886,0.996965,-0.000820308,-0.0490879,-0.0283861,-0.0135398,-0.0130519,-0.00676773,-0.0424557,-0.0203999,0.000412426,-0.0129483,0.0118811,-34021.4
-35936.8,1,0.366999,3,7,0,35941.7,-0.00611252,1.001,-0.0316219,-0.0392658,-0.0211247,-0.0305458,-0.0252362,-0.00986771,-0.0174293,-0.0110348,0.0150025,-0.0283833,0.0275905,-34021.2
-35936.8,0.994878,0.366999,3,7,0,35941.8,0.000226737,0.995171,-0.0271601,-0.0574427,-0.0183875,-0.0217329,-0.0164487,-0.0114811,-0.0304218,-0.017504,0.00839514,-0.0393241,0.027368,-34025.4
-35937.2,0.970747,0.366999,3,15,0,35941.2,-0.00499355,0.99579,-0.0341693,-0.0584256,-0.0247328,-0.0176136,-0.0179778,-0.015976,-0.043304,-0.0323431,0.0118289,-0.0353558,0.0340665,-34026.9
-35937.3,0.976621,0.366999,3,15,0,35942.5,-0.00499129,1.00275,-0.00874762,-0.030073,-0.0191722,-0.0132145,-0.026575,0.00882394,-0.016234,0.00122991,-0.0094242,-0.0139538,0.0189272,-34017.4
-35939.3,0.841966,0.366999,4,15,0,35948.8,-0.00786779,0.999138,-0.03541,-0.0574063,-0.0163364,-0.00486264,-0.0151891,-0.0130883,-0.0453059,-0.0309434,0.0205315,-0.0316698,0.0478275,-34025.3
-35936.6,0.981762,0.366999,3,7,0,35944.4,-0.00946879,1.00058,-0.0220157,-0.0459905,-0.0206615,-0.0114387,-0.0118779,0.0015213,-0.0464409,-0.0260329,0.0111397,-0.0346936,0.0357259,-34020.9
-35936.4,0.941298,0.366999,3,15,0,35942.6,0.00487964,0.996884,-0.0232624,-0.0614887,-0.0156686,-0.0125617,-0.0240022,0.00498555,-0.0246369,-0.00491862,0.00796939,-0.0218887,0.0203481,-34027.1
-35940.9,0.817186,0.366999,3,7,0,35949.5,-0.0136776,0.994204,-0.0316548,-0.0387157,0.00195959,-0.00228674,-0.0171149,-0.00096786,-0.0483208,-0.00154048,0.0064754,-0.0200548,0.0189435,-34020.3
-35934.9,0.905405,0.366999,3,7,0,35949,-0.00362289,1.00355,-0.0204186,-0.0575534,-0.0124112,-0.0235113,-0.00714324,-0.00183157,-0.0295416,-0.00556469,0.00267429,-0.0185366,0.0161171,-34022.4
-35934.6,0.978049,0.366999,3,7,0,35940.2,-0.00471464,0.999548,-0.0217084,-0.0501027,-0.0213525,-0.0231862,-0.010883,0.00295102,-0.0174277,-0.00308968,-0.0138268,-0.0214689,0.0172473,-34020.3
-35934.8,0.972057,0.366999,4,15,0,35940.9,-0.00652808,0.999426,-0.0267935,-0.0347287,-0.0296438,-0.0186272,-0.0334622,-0.0210258,-0.0413503,-0.0338317,0.00308913,-0.0292922,0.013398,-34023.1
-35931.7,0.917265,0.366999,3,7,0,35941.5,-0.00656044,0.998151,-0.0304006,-0.0375593,-0.0306072,-0.019884,-0.0313207,-0.0103334,-0.0369999,-0.0272583,-0.000150773,-0.0239277,0.0119258,-34022.5
-35934.3,0.885227,0.366999,3,15,0,35937.1,-0.00427461,1.00058,-0.00401079,-0.047725,-0.0137373,-0.0091745,-0.0118219,0.00285865,-0.0177196,-0.00390108,0.00167961,-0.015044,0.0194667,-34018.4
-35934.9,0.874267,0.366999,3,7,0,35941.8,-0.00951907,0.996081,-0.0222735,-0.0584507,-0.0272339,0.00207444,-0.0298095,-0.0127147,-0.0406122,-0.0172593,0.00692548,-0.0155587,0.0237845,-34024.8
-35933.1,0.985276,0.366999,4,15,0,35938.5,-0.000633475,0.998592,-0.0207606,-0.0405384,-0.0149403,-0.029346,-0.0108841,-0.00134048,-0.0208767,-0.0184344,-0.000375715,-0.0149172,0.0122992,-34020.2
-35932.6,0.891401,0.366999,3,15,0,35938.9,-0.00870101,1.00049,-0.0211845,-0.0543263,-0.0145058,-0.0254595,-0.024901,-0.0125437,-0.0274736,-0.0174608,-0.0112486,-0.0273193,0.0124787,-34023.7
-35935.9,0.873412,0.366999,4,15,0,35938.5,-0.00667424,1.002,-0.0203777,-0.0637829,-0.0125802,-0.0199438,-0.00382899,0.0027329,-0.0172401,-0.0156379,0.000491538,-0.0186754,0.0220201,-34022.8
-35939,0.915238,0.366999,3,7,0,35944.7,-0.000466049,0.994758,-0.0378055,-0.0427912,-0.0225952,-0.00501855,-0.0414768,-0.00662061,-0.016649,-0.00516497,0.0148626,-0.0142273,0.0221749,-34024.9
-35939.2,0.976453,0.366999,3,15,0,35945.8,-0.0106392,1.00381,-0.00837821,-0.0400924,-0.0136524,-0.0154163,-0.0458254,-0.00992719,-0.030277,-0.0178375,0.014115,-0.0208945,0.0237205,-34023.9
-35940.6,0.993587,0.366999,4,15,0,35947.3,-0.000558627,0.996048,-0.0385616,-0.0497249,-0.0284404,-0.0210793,0.00158373,0.000890545,-0.0306343,-0.0191839,-0.0158971,-0.0284064,0.0287965,-34022.7
-35936.1,0.96986,0.366999,3,15,0,35947.9,-0.00312452,1.00142,-0.0347666,-0.0465717,-0.0148262,-0.00889023,-0.00339573,0.000670077,-0.0312886,-0.0224182,-0.0076918,-0.023395,0.0120203,-34020.3
-35936.5,1,0.366999,3,7,0,35941,-0.00823893,0.996335,-0.00378601,-0.035777,-0.0197621,-0.0293634,-0.035199,-0.00962918,-0.0293387,-0.00431599,0.00707523,-0.0154863,0.0161854,-34021.2
-35933,1,0.366999,3,7,0,35939.8,-0.008439,1.00085,-0.0300441,-0.0401957,-0.015255,-0.00917398,-0.0234033,0.00735436,-0.0269025,-0.0177832,-0.0124628,-0.0191835,0.0109696,-34020
-35936.1,0.963947,0.366999,3,7,0,35938.7,-0.000665824,0.997239,-0.00284847,-0.0315491,-0.0170531,-0.0260874,-0.0154236,-0.0178232,-0.0211472,-0.0070147,0.00304139,-0.0162702,0.0101517,-34018
