# stan_version_major = 2
# stan_version_minor = 35
# stan_version_patch = 0
# model = hreg_model
# start_datetime = 2025-05-11 18:22:33 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /var/folders/43/wy_ws5nx3830gqhfw05n4yyc0000gn/T/tmphuzpabp2/i6udip3z.json
# init = 2 (Default)
# random
#   seed = 98570
# output
#   file = /Users/zhafen/repos/citesim/analysis_data/stan_fits/stan-fit_asym_nNone/h-asym_SciBERT_j.h-nonsems/hreg-20250511132233_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.35.0
# stancflags = --filename-in-msg=hreg.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,sigma,beta.1.1,beta.2.1,beta.3.1,beta.4.1,beta.5.1,beta.6.1,beta.7.1,beta.8.1,beta.9.1,beta.1.2,beta.2.2,beta.3.2,beta.4.2,beta.5.2,beta.6.2,beta.7.2,beta.8.2,beta.9.2,beta.1.3,beta.2.3,beta.3.3,beta.4.3,beta.5.3,beta.6.3,beta.7.3,beta.8.3,beta.9.3,mu_beta.1,mu_beta.2,mu_beta.3,sigma_beta.1,sigma_beta.2,sigma_beta.3,log_p
# Adaptation terminated
# Step size = 0.436718
# Diagonal elements of inverse mass matrix:
# 2.35339e-05, 1.68933e-05, 9.062e-05, 0.000131104, 0.000120568, 0.000125769, 0.000108836, 0.000124066, 0.000212463, 0.00018812, 0.000142687, 0.000122223, 0.000123589, 0.000115948, 0.000116752, 9.78343e-05, 9.01246e-05, 0.000129942, 0.000130906, 0.000107584, 0.000210242, 0.00011716, 9.91477e-05, 0.000176303, 0.000162086, 0.000176773, 0.000176995, 0.000129733, 0.000105055, 0.00199147, 0.00109159, 0.000193289, 0.0710248, 0.0995397, 0.0851683
-33186.7,0.908793,0.436718,3,7,0,33202.7,-0.0110131,0.975109,0.132719,-0.0421078,0.264193,0.126893,0.295588,0.184674,0.0639422,0.0652367,0.248164,0.130384,-0.0692179,0.0943661,0.0674038,0.0054309,0.147688,0.118933,0.143669,0.148836,0.00261964,-0.0475829,-0.0695881,0.0143049,0.0174905,-0.0308004,-0.0633307,0.0247931,-0.0206951,0.191251,0.045952,-0.0225318,0.133172,0.0794357,0.0445734,-34086.1
-33184.4,0.993827,0.436718,3,7,0,33201.8,-0.00872112,0.972603,0.130533,-0.0355327,0.25349,0.131435,0.294082,0.199139,0.0740631,0.0617802,0.240444,0.138134,-0.0746807,0.0915575,0.0668089,0.0112896,0.163679,0.126199,0.15269,0.146498,0.00807781,-0.0423828,-0.0618531,0.0236873,0.0149776,-0.0157209,-0.0691543,0.0252537,-0.0143879,0.17741,0.140313,-0.01408,0.0854905,0.0751275,0.0365627,-34107.7
-33186,0.866018,0.436718,3,7,0,33203.8,-0.00744407,0.967212,0.120175,-0.0254077,0.263445,0.120545,0.295006,0.201262,0.0446192,0.0547099,0.233898,0.153819,-0.0687987,0.0980407,0.0811842,0.00660792,0.169199,0.133736,0.149489,0.14868,0.00202687,-0.056928,-0.0599713,0.0334357,0.0237184,-0.00771071,-0.0656475,0.0142363,-0.0218975,0.110121,0.0894104,0.0153866,0.0905597,0.0754866,0.0383757,-34135.9
-33185.5,0.981794,0.436718,3,7,0,33202.1,-0.00971891,0.97418,0.140519,-0.0369375,0.249078,0.101887,0.307505,0.147649,0.0511905,0.0654175,0.247689,0.151572,-0.0347373,0.0903961,0.0832224,0.018744,0.160621,0.127106,0.134054,0.170427,-0.000925305,-0.0396937,-0.0277593,0.0551328,-0.00691282,-0.0239622,-0.0592275,0.0214616,0.000721578,0.150803,0.140087,-0.0323262,0.168784,0.101426,0.0461646,-34094.1
-33190.4,0.924922,0.436718,3,7,0,33205.2,-0.00544548,0.968669,0.134035,-0.0193462,0.256101,0.132621,0.302697,0.208349,0.0556637,0.0496793,0.254056,0.144862,-0.0617751,0.106545,0.0601553,0.00811958,0.141685,0.126874,0.149825,0.142531,0.00864118,-0.0573521,-0.0521998,0.010068,0.0150856,-0.0102853,-0.069714,0.0179595,-0.019197,0.112417,0.0600931,0.0167325,0.0989841,0.0570878,0.0398881,-34128.6
-33191.8,0.764615,0.436718,3,7,0,33208.7,-0.00644348,0.972225,0.124535,-0.00934768,0.250109,0.125884,0.301376,0.19224,0.0634134,0.0632193,0.265004,0.146741,-0.0707227,0.0940909,0.05122,0.0100882,0.14087,0.129759,0.137212,0.1536,0.00771415,-0.047765,-0.0378286,0.0111587,0.0174629,-0.012625,-0.0705851,0.0277135,-0.0219889,0.157309,0.0919779,0.0245219,0.112644,0.0971603,0.0331241,-34105.7
