# stan_version_major = 2
# stan_version_minor = 35
# stan_version_patch = 0
# model = hreg_model
# start_datetime = 2025-05-11 18:29:09 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/43/wy_ws5nx3830gqhfw05n4yyc0000gn/T/tmphuzpabp2/jbg9ky55.json
# init = 2 (Default)
# random
#   seed = 48580
# output
#   file = /Users/zhafen/repos/citesim/analysis_data/stan_fits/stan-fit_asym_nNone/h-asym_Word2Vec_j.h-nonsems/hreg-20250511132909_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.35.0
# stancflags = --filename-in-msg=hreg.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,sigma,beta.1.1,beta.2.1,beta.3.1,beta.4.1,beta.5.1,beta.6.1,beta.7.1,beta.8.1,beta.9.1,beta.1.2,beta.2.2,beta.3.2,beta.4.2,beta.5.2,beta.6.2,beta.7.2,beta.8.2,beta.9.2,beta.1.3,beta.2.3,beta.3.3,beta.4.3,beta.5.3,beta.6.3,beta.7.3,beta.8.3,beta.9.3,mu_beta.1,mu_beta.2,mu_beta.3,sigma_beta.1,sigma_beta.2,sigma_beta.3,log_p
# Adaptation terminated
# Step size = 0.426472
# Diagonal elements of inverse mass matrix:
# 2.2133e-05, 1.57103e-05, 0.00011019, 0.000116001, 0.000106144, 0.000137434, 0.000114408, 0.000123136, 0.000228283, 0.000156233, 0.00014837, 0.000103644, 0.000130736, 0.000125626, 0.000124063, 0.000102347, 9.05231e-05, 0.000152608, 0.000130713, 0.000143427, 0.000182976, 0.000135484, 0.000101879, 0.000145388, 0.000154259, 0.000156545, 0.000190709, 0.000137735, 0.000128162, 0.00208635, 0.000858187, 0.000498517, 0.0717921, 0.069332, 0.0676527
-33514.4,0.95398,0.426472,3,7,0,33528.3,-0.0133961,0.966978,0.144375,-0.0344998,0.252359,0.0994925,0.290308,0.178335,0.0424667,0.0685477,0.230249,0.156159,-0.0482063,0.0929732,0.0825044,0.0268409,0.15298,0.114749,0.147239,0.161944,0.0239714,-0.00429354,-0.0681719,0.0255052,-0.0123104,-0.029699,-0.0454414,0.0860996,-0.0645049,0.0876441,0.0890698,-0.00719377,0.135788,0.103527,0.0797302,-34544.8
-33512.6,0.916693,0.426472,3,7,0,33532,-0.00935299,0.968291,0.137214,-0.0471903,0.239381,0.0985777,0.294942,0.176906,0.0181277,0.0848457,0.245444,0.145717,-0.0480281,0.0837151,0.0698124,0.0126609,0.161602,0.120113,0.141077,0.15502,0.0294483,0.00133645,-0.0889194,0.0182501,-0.0213343,-0.0367295,-0.0536961,0.0671619,-0.0779236,0.128227,0.0994465,0.00517281,0.137695,0.102781,0.0496606,-34537.8
-33514.4,0.824047,0.426472,3,7,0,33530.6,-0.00198901,0.970111,0.141078,-0.0396493,0.264928,0.123263,0.308561,0.187587,0.0715944,0.0774175,0.241649,0.144075,-0.0298445,0.114341,0.0903403,0.0225658,0.175331,0.128268,0.135972,0.141219,0.0384901,0.0154783,-0.0595668,0.0148649,-0.0178246,-0.0301212,-0.0500151,0.0719981,-0.100868,0.164655,0.0864893,-0.0528818,0.0903319,0.0554886,0.0685816,-34590.4
-33518.1,0.954538,0.426472,3,7,0,33528.3,-0.00831802,0.967792,0.127601,-0.0304166,0.235123,0.0935657,0.294367,0.160201,0.0473568,0.0789596,0.224132,0.156914,-0.0601369,0.0882521,0.0592945,0.00289062,0.14568,0.120162,0.142411,0.178939,0.0243404,0.00588974,-0.0856502,0.0113843,-0.0246112,-0.0366947,-0.034836,0.0756654,-0.0782918,0.121263,0.116757,0.0275478,0.117675,0.0979007,0.0613793,-34519.4
-33520.2,0.891814,0.426472,3,7,0,33535.4,-0.00947922,0.971197,0.120981,-0.0506725,0.248959,0.112958,0.294399,0.193448,0.0783792,0.0739569,0.241363,0.16357,-0.0303715,0.0789004,0.0925788,0.0215549,0.15991,0.135325,0.138322,0.145321,0.0404412,0.0278057,-0.0715789,-0.000971864,-0.0254846,-0.0274478,-0.0611688,0.0778052,-0.105688,0.145655,0.0524266,-0.0595589,0.0906821,0.0665421,0.0624473,-34569.7
-33516.5,1,0.426472,3,7,0,33533.4,-0.00555918,0.967018,0.13766,-0.0275779,0.266553,0.102991,0.297871,0.175346,0.0472231,0.067337,0.230209,0.151034,-0.0647368,0.095711,0.0773113,0.0114845,0.149526,0.112569,0.134847,0.176983,0.0187791,0.00797472,-0.0873186,0.0332122,-0.0254777,-0.0483273,-0.0496285,0.0585326,-0.0733185,0.154475,0.154626,-0.0378472,0.139865,0.113954,0.101823,-34557.7
