# stan_version_major = 2
# stan_version_minor = 35
# stan_version_patch = 0
# model = hreg_model
# start_datetime = 2025-05-11 17:54:40 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/43/wy_ws5nx3830gqhfw05n4yyc0000gn/T/tmphuzpabp2/xbdmttl5.json
# init = 2 (Default)
# random
#   seed = 60850
# output
#   file = /Users/zhafen/repos/citesim/analysis_data/stan_fits/stan-fit_asym_nNone/h-asym_Word2Vec_j/hreg-20250511125440_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.35.0
# stancflags = --filename-in-msg=hreg.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,sigma,beta.1.1,beta.2.1,beta.3.1,beta.4.1,beta.5.1,beta.6.1,beta.7.1,beta.8.1,beta.9.1,mu_beta.1,sigma_beta.1,log_p
# Adaptation terminated
# Step size = 0.556716
# Diagonal elements of inverse mass matrix:
# 2.20913e-05, 1.73858e-05, 0.000119933, 0.000103134, 0.000151774, 0.000137722, 9.51455e-05, 0.000135153, 0.0001087, 0.000180323, 0.000134095, 0.000640926, 0.0709823
-35261,0.973467,0.556716,3,7,0,35267.3,-0.00955173,0.989595,0.00775764,0.0306528,-0.0960466,0.00378476,-0.0483033,-0.0672645,-0.0327885,0.0256088,-0.105077,-0.0389411,0.0460096,-33979.2
-35257.1,1,0.556716,3,7,0,35263.8,-0.00862881,0.994902,0.0301786,0.0106786,-0.0895916,0.00536029,-0.0357682,-0.0483371,-0.0569137,0.0605517,-0.121016,-0.0341134,0.0740966,-33979.4
-35257.7,0.90635,0.556716,3,7,0,35262.7,-0.0115911,0.994443,0.0162632,0.0223428,-0.123389,-0.0059394,-0.0297936,-0.0642007,-0.0496321,0.0237564,-0.10931,-0.0218301,0.0445917,-33980.7
-35256.4,0.94061,0.556716,3,7,0,35262.3,-0.00715205,0.989984,0.032551,0.0155679,-0.103306,0.00244619,-0.0411781,-0.0514715,-0.042417,0.0467015,-0.126651,-0.0411746,0.0782797,-33984.3
-35257.5,0.882605,0.556716,3,7,0,35262.6,-0.0117271,0.993505,0.0245174,0.00914536,-0.0919085,0.00844088,-0.0400248,-0.066444,-0.0593934,0.0492655,-0.106536,-0.00775371,0.0854692,-33979.4
-35258.2,0.834873,0.556716,3,7,0,35265.6,-0.00720592,0.990422,0.0139997,0.01138,-0.114562,-0.0111692,-0.0420169,-0.052956,-0.0564708,0.0325494,-0.122442,-0.0666903,0.0463243,-33987.6
-35260.1,0.942154,0.556716,3,7,0,35265.5,-0.0121525,0.995812,0.0491969,0.00948051,-0.0970184,0.00891593,-0.0380584,-0.0541337,-0.0562769,0.0418248,-0.105181,0.0040522,0.0714495,-33974.5
-35261.9,0.901476,0.556716,3,7,0,35266.3,-0.000472145,0.994168,0.00214944,0.0228372,-0.115134,-0.0170408,-0.0289358,-0.063971,-0.0492684,0.0554161,-0.127448,-0.0431505,0.0536636,-33993.1
-35260.9,0.987325,0.556716,3,7,0,35266.1,-0.0168086,0.99194,0.0461946,0.0145883,-0.0973806,0.0143529,-0.0421648,-0.0496938,-0.0570576,0.0291647,-0.103397,-0.0279543,0.0645451,-33973
-35263.2,0.82106,0.556716,2,3,0,35267.6,-0.0109252,0.988531,0.0412236,0.0158927,-0.0853947,0.0245715,-0.051482,-0.0567496,-0.0569928,0.0324827,-0.104575,-0.0111732,0.0491132,-33976.5
-35262,0.98253,0.556716,3,7,0,35271.6,-0.00999089,0.996118,0.0223737,0.0111085,-0.0755336,0.00608958,-0.0168345,-0.0698567,-0.0657311,0.0184257,-0.109028,-0.0345592,0.0553554,-33972.9
-35265,0.865119,0.556716,3,7,0,35271.9,-0.00808969,0.987303,0.0104241,0.0104977,-0.102405,0.0234811,-0.0213805,-0.0857676,-0.0501496,0.0387069,-0.104803,-0.0499019,0.0410999,-33983.8
-35258.4,1,0.556716,3,7,0,35267.5,-0.0118596,0.997315,0.0300862,0.00973666,-0.109151,-0.00201882,-0.0228132,-0.0515042,-0.0539139,0.0523931,-0.0997678,-0.00700516,0.0690148,-33973.2
-35257.4,0.896256,0.556716,3,7,0,35266.1,-0.00947431,0.989053,0.0222331,0.0132855,-0.108632,-0.00186498,-0.0148945,-0.0657653,-0.0486023,0.0506391,-0.114009,-0.0330512,0.0427974,-33982.6
-35259.9,0.794401,0.556716,3,7,0,35264.8,-0.00880109,0.996747,0.0147621,0.0038015,-0.109458,0.00752096,-0.0359989,-0.0606041,-0.0536439,0.0415812,-0.124205,-0.030096,0.131876,-33984
-35263.9,0.942766,0.556716,3,7,0,35269.1,-0.00999475,0.988065,0.0305063,0.0259068,-0.115902,0.00514608,-0.0277401,-0.0435613,-0.035041,0.0492967,-0.12478,0.0381461,0.178816,-33981.6
-35259.9,0.848787,0.556716,3,7,0,35273.5,-0.0167665,0.989979,0.0141564,0.0102417,-0.0996304,-0.0113326,-0.0363194,-0.0691021,-0.0658242,0.0508418,-0.118875,-0.0644875,0.0526472,-33990.1
-35256.8,0.98534,0.556716,3,7,0,35263.5,-0.010515,0.991916,0.0238056,0.00900405,-0.125323,-0.00141026,-0.0302157,-0.0611342,-0.0612213,0.0263275,-0.124777,-0.0242235,0.0634149,-33987.9
-35257.3,0.972441,0.556716,3,7,0,35260.5,-0.00793757,0.993915,0.015266,0.0225569,-0.0834299,-0.000536456,-0.0341664,-0.058528,-0.0440584,0.0537969,-0.101588,-0.00744336,0.0601433,-33973.4
-35258.7,0.63958,0.556716,3,7,0,35269.2,-0.0100123,0.991451,0.0180173,0.00763135,-0.106247,0.0191222,-0.0465201,-0.0419614,-0.0635329,0.0400616,-0.112322,-0.0447109,0.0469927,-33978.5
-35257.8,0.986824,0.556716,3,7,0,35261.6,-0.0104801,0.990438,0.0212086,0.0166563,-0.107064,0.00754603,-0.0350564,-0.0356271,-0.0695057,0.0386113,-0.121151,-0.0244534,0.0490039,-33979.6
-35259.5,0.772486,0.556716,3,7,0,35265,-0.00637004,0.994605,0.0239083,0.0144508,-0.107137,-0.00146893,-0.0483807,-0.0766242,-0.0332606,0.0439697,-0.105799,-0.0331204,0.0820219,-33984.4
-35260.2,0.916252,0.556716,3,7,0,35265.3,-0.0125109,0.991849,0.0242591,0.00842732,-0.091737,-0.00153844,-0.0236026,-0.0437023,-0.0779218,0.0438437,-0.130335,-0.0416873,0.0484195,-33982.9
-35260.7,0.964928,0.556716,3,7,0,35265.3,-0.00705328,0.994601,0.0214038,0.0326135,-0.0962762,0.00359114,-0.0382145,-0.0831468,-0.0322025,0.0383701,-0.108335,-0.0252167,0.0809683,-33981.5
-35260.8,0.999122,0.556716,3,7,0,35264.5,-0.0097549,0.994514,0.0257628,0.000638814,-0.117858,-0.00576122,-0.0240215,-0.0329045,-0.0700379,0.0521543,-0.125491,-0.0367443,0.0491976,-33983.4
-35262,0.66151,0.556716,3,7,0,35269.8,-0.0102179,0.989286,0.0214783,0.0333671,-0.114777,-4.2527e-05,-0.034125,-0.0793967,-0.0344915,0.0382483,-0.102757,-0.0377495,0.113349,-33983.7
-35259.4,0.976654,0.556716,3,7,0,35267.5,-0.010132,0.99637,0.0254221,-0.000558969,-0.0943517,-0.00901824,-0.0331624,-0.0433839,-0.0562342,0.0646765,-0.11945,-0.0333934,0.0456294,-33980.7
-35260.3,0.705078,0.556716,3,7,0,35268.4,-0.0103939,0.987852,0.0116274,0.00884124,-0.102423,0.00172526,-0.0320053,-0.0616275,-0.0422881,0.0241047,-0.0951552,-0.0190924,0.0750153,-33974.8
-35262.1,0.982224,0.556716,3,7,0,35267.8,-0.014194,0.996109,0.0172799,0.0292022,-0.0820389,0.00398004,-0.0166596,-0.0609068,-0.0507726,0.038116,-0.0886495,-0.0204012,0.0623808,-33964.8
-35261.1,0.836675,0.556716,3,7,0,35272.5,-0.0105995,0.996298,0.0100586,0.0252917,-0.089776,0.000585306,-0.02614,-0.0773205,-0.0601588,0.0482035,-0.0942774,-0.0145126,0.0439328,-33976.5
-35258.3,0.952935,0.556716,3,7,0,35266.4,-0.0105174,0.99066,0.0337492,0.00276465,-0.116639,-0.00223001,-0.0300038,-0.0359946,-0.0563161,0.0438574,-0.125985,-0.0464406,0.0800532,-33982.6
-35256.7,0.970127,0.556716,3,7,0,35262,-0.00897375,0.991454,0.0362772,0.0076282,-0.11484,-0.00578843,-0.0359584,-0.0457625,-0.0583067,0.0485076,-0.12304,-0.0562045,0.0594774,-33985.2
-35255.8,0.799041,0.556716,3,7,0,35263.4,-0.0113213,0.990818,0.0239998,0.0124348,-0.118851,-0.00420569,-0.0378347,-0.0490529,-0.0436978,0.0362689,-0.127176,-0.0417178,0.063828,-33985.2
-35260.7,0.587893,0.556716,3,7,0,35266.1,-0.00266337,0.990307,0.0107645,0.0176282,-0.103214,0.0188992,-0.0146962,-0.0648139,-0.0592245,0.0334558,-0.112349,-0.0234035,0.0468291,-33979
-35258.7,0.962637,0.556716,3,7,0,35266.6,-0.00999898,0.99351,0.0112981,0.0204192,-0.0962648,-0.0172237,-0.0294273,-0.0620124,-0.0643472,0.0575052,-0.126792,-0.0242355,0.0869123,-33989
-35260.1,0.906882,0.556716,3,7,0,35266.1,-0.00920569,0.990443,-0.000674643,-0.00362781,-0.106231,-0.00331798,-0.0317464,-0.0455296,-0.0656668,0.0514009,-0.109379,-0.0407757,0.056729,-33982.3
-35258.4,0.999224,0.556716,3,7,0,35264.2,-0.00980227,0.991444,0.00354233,0.00413777,-0.0965385,-0.00448286,-0.0405374,-0.0525706,-0.0688678,0.0513181,-0.115263,-0.0265576,0.0610906,-33984.9
-35258.8,0.821638,0.556716,3,7,0,35267.2,-0.0059835,0.990239,0.038103,0.0318079,-0.117839,0.000137853,-0.0265724,-0.0646313,-0.0357856,0.0532606,-0.115204,-0.0297817,0.0779596,-33984.4
-35262.5,0.812743,0.556716,3,7,0,35267.3,-0.0138987,0.99397,0.00172779,0.0073664,-0.0742543,-0.000582975,-0.0316004,-0.0533404,-0.0704367,0.0368382,-0.109435,-0.00867931,0.0663213,-33975.3
