# stan_version_major = 2
# stan_version_minor = 35
# stan_version_patch = 0
# model = multireg_model
# start_datetime = 2025-05-11 17:22:10 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/43/wy_ws5nx3830gqhfw05n4yyc0000gn/T/tmphuzpabp2/v_xickjj.json
# init = 2 (Default)
# random
#   seed = 5918
# output
#   file = /Users/zhafen/repos/citesim/analysis_data/stan_fits/stan-fit_asym_nNone/nonsems/multireg-20250511122209_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.35.0
# stancflags = --filename-in-msg=multireg.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,theta.1,theta.2,sigma,beta.1,beta.2,log_p
# Adaptation terminated
# Step size = 0.556299
# Diagonal elements of inverse mass matrix:
# 1.84712e-05, 1.79764e-05, 1.82825e-05, 1.4381e-05
-49349.8,0.85136,0.556299,3,7,0,49351.9,-0.00192974,0.160367,0.12037,0.982625,0.149683,0.121532,-48000.5
-49349.4,0.829508,0.556299,3,7,0,49353.4,0.00517582,0.152093,0.12103,0.979943,0.140989,0.122198,-47995.5
-49350.6,0.851762,0.556299,2,7,0,49352.2,0.00252615,0.162234,0.119338,0.977671,0.151769,0.12049,-48004.2
-49349,1,0.556299,3,7,0,49351,-0.00163421,0.158002,0.120069,0.978042,0.147267,0.121227,-47999.2
-49348.7,1,0.556299,2,3,0,49349.1,0.00407841,0.154431,0.12159,0.982327,0.14334,0.122763,-47996.3
-49350.2,0.653747,0.556299,2,3,0,49351.8,0.00664297,0.154347,0.121994,0.977551,0.143196,0.123171,-47997.7
-49351.9,0.926344,0.556299,2,3,0,49352.5,-0.00493605,0.157208,0.116492,0.983082,0.146947,0.117617,-47999.8
-49351.2,1,0.556299,3,7,0,49352.8,0.00763924,0.155185,0.125409,0.978445,0.143584,0.12662,-47997.1
-49349.3,0.949815,0.556299,2,3,0,49352.5,-0.00268375,0.158765,0.120145,0.98178,0.148049,0.121305,-47999.1
-49349,0.956088,0.556299,2,3,0,49350.2,0.00519934,0.154028,0.123152,0.979477,0.1427,0.124341,-47995.9
-49347.8,1,0.556299,2,3,0,49349,0.00219019,0.156075,0.120665,0.979422,0.145179,0.12183,-47997.7
-49348.9,0.844978,0.556299,2,3,0,49349.2,-0.00190507,0.156321,0.119031,0.97838,0.145667,0.12018,-47998.2
-49350.5,0.812651,0.556299,2,3,0,49352,-0.00518522,0.154157,0.122626,0.979825,0.142909,0.12381,-47994.5
-49348.4,0.94836,0.556299,2,3,0,49351.5,0.00316193,0.158335,0.118742,0.980644,0.147801,0.119888,-48000.5
-49348.4,0.972831,0.556299,3,7,0,49349.2,0.00454965,0.155909,0.119241,0.979942,0.145209,0.120392,-47998.8
-49348.8,0.795695,0.556299,2,3,0,49350.8,-0.000341174,0.153084,0.119582,0.978751,0.142224,0.120737,-47995.7
-49348.8,0.917421,0.556299,3,7,0,49350.4,0.000374924,0.156788,0.123648,0.982708,0.145499,0.124842,-47996.3
-49348.8,0.571,0.556299,2,3,0,49355,0.000374924,0.156788,0.123648,0.982708,0.145499,0.124842,-47996.3
-49349.2,0.976855,0.556299,2,7,0,49349.9,-0.000881731,0.153959,0.123383,0.982555,0.142596,0.124574,-47994.2
-49349,0.993199,0.556299,3,7,0,49349.7,0.00389654,0.158609,0.118549,0.978377,0.148112,0.119693,-48001.5
-49350,0.894301,0.556299,3,7,0,49351.3,0.00611715,0.151884,0.120995,0.979382,0.140777,0.122163,-47995.8
-49348.2,1,0.556299,2,3,0,49350.2,-0.000840335,0.157651,0.120627,0.981351,0.146823,0.121792,-47998.1
-49348.2,0.799024,0.556299,2,3,0,49350.5,-0.000840335,0.157651,0.120627,0.981351,0.146823,0.121792,-47998.1
-49350.2,0.708495,0.556299,2,3,0,49352,0.00118919,0.149661,0.121318,0.979123,0.13842,0.122489,-47993
-49349.2,0.954768,0.556299,3,7,0,49352,0.000516997,0.158594,0.116875,0.981684,0.148334,0.118003,-48001.2
-49349.5,0.926228,0.556299,2,3,0,49350.9,0.00269613,0.153545,0.116007,0.98104,0.143208,0.117127,-47998.4
-49350.4,0.875765,0.556299,2,7,0,49352.2,0.0037983,0.162039,0.122132,0.982602,0.151171,0.123311,-48002.3
-49348.3,0.961216,0.556299,2,3,0,49351.4,0.00373473,0.157052,0.123217,0.980447,0.145834,0.124406,-47997.6
-49351.8,0.549992,0.556299,2,3,0,49353.8,0.00342697,0.152276,0.127477,0.977664,0.140268,0.128708,-47993.3
-49351.1,0.981812,0.556299,2,3,0,49354.1,0.0036815,0.151693,0.123475,0.984264,0.140227,0.124667,-47993.8
-49350.3,1,0.556299,3,7,0,49353.2,-0.00234326,0.155471,0.11996,0.976313,0.144652,0.121117,-47997.8
-49349.8,0.946688,0.556299,2,3,0,49351.3,0.00621922,0.155858,0.119084,0.982852,0.145178,0.120234,-47999.3
-49350.8,0.897539,0.556299,2,3,0,49352.5,-0.00395931,0.15879,0.118253,0.977673,0.148343,0.119394,-48000.8
-49349.6,0.962284,0.556299,2,3,0,49352.3,0.00255572,0.153043,0.124602,0.982648,0.141471,0.125805,-47993.8
-49348.6,1,0.556299,2,3,0,49350,0.0001458,0.154781,0.117856,0.979107,0.144232,0.118994,-47997.9
-49348.5,0.998995,0.556299,3,7,0,49349,0.00186932,0.153779,0.118018,0.980062,0.143167,0.119157,-47997.2
-49348.7,0.774994,0.556299,2,3,0,49351.5,0.00010442,0.159873,0.119711,0.979467,0.149262,0.120866,-48000.9
-49351.5,0.757345,0.556299,2,3,0,49352.4,0.00472043,0.148506,0.120829,0.980909,0.137289,0.121995,-47993.4
-49353.8,0.823964,0.556299,3,7,0,49356.7,-0.00549701,0.162714,0.11638,0.97944,0.152686,0.117504,-48005.1
-49350.1,0.939749,0.556299,2,3,0,49355.1,0.00331994,0.153035,0.125016,0.98298,0.141405,0.126222,-47993.8
-49353.9,0.718996,0.556299,2,3,0,49355.8,0.00329157,0.146384,0.117348,0.979269,0.135575,0.11848,-47994.1
-49353.9,0.992883,0.556299,3,7,0,49358.1,-0.00258201,0.146862,0.117581,0.9802,0.136038,0.118716,-47993
-49352.3,0.836316,0.556299,2,3,0,49357.7,0.00595261,0.161908,0.121491,0.98441,0.151127,0.122664,-48003.4
-49348.9,0.91835,0.556299,2,3,0,49353.5,0.00308338,0.159315,0.123569,0.981709,0.148137,0.124761,-47999
-49348.9,0.782016,0.556299,3,7,0,49352.6,-0.000474228,0.15334,0.118063,0.979321,0.142704,0.119202,-47996.6
