# stan_version_major = 2
# stan_version_minor = 35
# stan_version_patch = 0
# model = multireg_model
# start_datetime = 2025-05-11 23:13:51 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/43/wy_ws5nx3830gqhfw05n4yyc0000gn/T/tmpeem7arw8/uvywfpx7.json
# init = 2 (Default)
# random
#   seed = 71615
# output
#   file = /Users/zhafen/repos/citesim/analysis_data/stan_fits/stan-fit_den-asym_nNone/asym_BOW.nonsems/multireg-20250511181351_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.35.0
# stancflags = --filename-in-msg=multireg.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,theta.1,theta.2,theta.3,sigma,beta.1,beta.2,beta.3,log_p
# Adaptation terminated
# Step size = 0.551527
# Diagonal elements of inverse mass matrix:
# 2.0827e-05, 2.2473e-05, 2.17308e-05, 2.24501e-05, 1.73984e-05
-34061.5,0.842694,0.551527,3,7,0,34065.2,-0.0180912,0.0942355,0.157442,0.134572,0.973498,0.0848626,0.157825,0.136389,-33262
-34060.6,0.996004,0.551527,2,7,0,34062,-0.0135868,0.0926448,0.167203,0.127589,0.973564,0.0835467,0.170233,0.129311,-33257.8
-34060.9,0.939859,0.551527,3,7,0,34062.3,-0.0167474,0.0946514,0.159125,0.135457,0.973331,0.0852092,0.159608,0.137286,-33261.7
-34060.2,0.996932,0.551527,3,7,0,34061.1,-0.016964,0.0937663,0.161608,0.13477,0.973338,0.0843328,0.162577,0.13659,-33260.8
-34060.7,0.932556,0.551527,3,7,0,34061.5,-0.0117326,0.0930574,0.164399,0.127113,0.975802,0.0840194,0.167094,0.128829,-33257.5
-34060,0.695908,0.551527,3,7,0,34065.6,-0.0158215,0.0943086,0.16396,0.134834,0.974752,0.0848438,0.165268,0.136654,-33260.1
-34060.4,0.979807,0.551527,3,7,0,34060.9,-0.0176565,0.0944881,0.160186,0.133454,0.974798,0.0851454,0.161169,0.135256,-33260.6
-34059.7,0.996027,0.551527,3,7,0,34060.7,-0.0154862,0.0913533,0.164461,0.130237,0.973571,0.0821391,0.166631,0.131995,-33258.6
-34059.8,0.909022,0.551527,2,3,0,34060.8,-0.0134181,0.0913417,0.164937,0.132656,0.973595,0.0819863,0.166763,0.134447,-33258.9
-34061.9,0.736541,0.551527,2,3,0,34063.6,-0.0107736,0.086419,0.16221,0.132056,0.97537,0.077128,0.163733,0.133838,-33258.6
-34060.5,0.975183,0.551527,2,3,0,34062.6,-0.0117129,0.0912285,0.160155,0.131434,0.976089,0.0819982,0.161479,0.133208,-33258.8
