# stan_version_major = 2
# stan_version_minor = 35
# stan_version_patch = 0
# model = reg_model
# start_datetime = 2025-05-11 22:57:59 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/43/wy_ws5nx3830gqhfw05n4yyc0000gn/T/tmpeem7arw8/yu529k5p.json
# init = 2 (Default)
# random
#   seed = 84228
# output
#   file = /Users/zhafen/repos/citesim/analysis_data/stan_fits/stan-fit_den-asym_nNone/asym_BOW/reg-20250511175759_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.35.0
# stancflags = --filename-in-msg=reg.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta,sigma,log_p
# Adaptation terminated
# Step size = 0.534802
# Diagonal elements of inverse mass matrix:
# 2.19672e-05, 2.2098e-05, 1.77243e-05
-35684.5,0.998598,0.534802,3,7,0,35684.8,-0.014006,0.0921519,0.997335,-33781.6
-35684.6,0.969734,0.534802,2,3,0,35685.1,-0.0141039,0.0908612,0.997277,-33781.5
-35685.9,0.905989,0.534802,2,3,0,35686.3,-0.0111357,0.0901357,0.996312,-33781.6
-35686.2,0.830198,0.534802,3,7,0,35689.5,-0.0238411,0.0875095,0.995807,-33783.2
-35684,0.962971,0.534802,2,3,0,35687.1,-0.0197583,0.093951,0.997498,-33782.4
-35686.1,0.774044,0.534802,3,7,0,35687,-0.0207069,0.0962009,1.00132,-33782.9
-35685.6,1,0.534802,2,7,0,35686.4,-0.0152137,0.0944371,0.991728,-33783.3
-35684.7,0.930424,0.534802,3,7,0,35686.9,-0.0197315,0.0907937,0.999221,-33782
-35684.4,0.995229,0.534802,3,15,0,35685.2,-0.0155036,0.0914829,0.994149,-33782.2
-35687.8,0.818694,0.534802,2,3,0,35688.2,-0.00865761,0.0885412,0.99607,-33781.7
-35684.4,0.965532,0.534802,2,3,0,35688.9,-0.021186,0.0909013,0.995198,-33782.8
-35685.2,0.720652,0.534802,2,3,0,35687,-0.0198996,0.092421,1.0005,-33782.2
-35686,0.925426,0.534802,2,7,0,35687.5,-0.0139952,0.0870303,0.997995,-33781.4
-35687.9,0.916551,0.534802,2,3,0,35688.1,-0.0131852,0.0840048,0.997951,-33781.5
-35685.4,0.931262,0.534802,2,3,0,35690.5,-0.0131392,0.0977863,0.996585,-33782.6
-35684.9,0.960192,0.534802,3,7,0,35686.5,-0.0231098,0.0920782,0.997888,-33782.9
-35686.3,0.758707,0.534802,3,7,0,35688.6,-0.0141448,0.0922887,0.991161,-33783.2
-35684.4,0.93355,0.534802,3,7,0,35687.1,-0.0200177,0.0919531,0.998922,-33782.2
-35684.2,0.98592,0.534802,3,7,0,35685,-0.0216422,0.0933854,0.996554,-33782.8
-35684.3,0.824821,0.534802,1,3,0,35687.1,-0.0156089,0.0904476,0.996546,-33781.7
-35684.6,0.967133,0.534802,2,3,0,35684.9,-0.0145238,0.0903612,0.995493,-33781.8
-35684.3,0.924968,0.534802,3,7,0,35685.6,-0.0187342,0.0971241,0.995296,-33783.1
