# stan_version_major = 2
# stan_version_minor = 35
# stan_version_patch = 0
# model = multireg_model
# start_datetime = 2025-05-11 23:18:23 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/43/wy_ws5nx3830gqhfw05n4yyc0000gn/T/tmpeem7arw8/lhk17a04.json
# init = 2 (Default)
# random
#   seed = 64575
# output
#   file = /Users/zhafen/repos/citesim/analysis_data/stan_fits/stan-fit_den-asym_nNone/asym_SciBERT.nonsems/multireg-20250511181822_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.35.0
# stancflags = --filename-in-msg=multireg.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,theta.1,theta.2,theta.3,sigma,beta.1,beta.2,beta.3,log_p
# Adaptation terminated
# Step size = 0.581099
# Diagonal elements of inverse mass matrix:
# 2.13058e-05, 2.42763e-05, 2.13938e-05, 2.4116e-05, 1.73034e-05
-33812.2,0.800317,0.581099,2,3,0,33813.8,-0.00628262,-0.0272436,0.154301,0.136076,0.975245,-0.0190774,0.151462,0.137956,-32828
-33813.3,0.896164,0.581099,3,7,0,33817.1,-0.0141958,-0.0407401,0.15823,0.142188,0.975004,-0.0322022,0.154873,0.144152,-32827.3
-33810.7,1,0.581099,3,7,0,33814.3,-0.00385008,-0.0293338,0.166104,0.133727,0.977967,-0.021377,0.165196,0.135574,-32823.9
-33812.4,0.910388,0.581099,3,7,0,33813.6,-0.0156483,-0.0407624,0.157571,0.13288,0.979824,-0.0328299,0.155696,0.134716,-32824.5
-33812.9,0.963904,0.581099,3,7,0,33814.6,-0.00438015,-0.0251739,0.166092,0.138425,0.97537,-0.0169069,0.164391,0.140337,-32826.9
-33809.4,1,0.581099,2,3,0,33813.5,-0.0117164,-0.0325781,0.166037,0.132191,0.979119,-0.0247237,0.165379,0.134017,-32823.1
-33808.8,0.987598,0.581099,2,3,0,33810.1,-0.00795661,-0.0362459,0.164333,0.135033,0.978841,-0.0282004,0.162975,0.136899,-32822.9
-33808.7,0.881397,0.581099,3,7,0,33810.8,-0.0113953,-0.0304377,0.158951,0.136335,0.976473,-0.0222783,0.156674,0.138218,-32825.7
-33808.4,0.858545,0.581099,1,3,0,33810.3,-0.0113321,-0.0333282,0.162569,0.134634,0.979735,-0.0252987,0.161049,0.136494,-32823.6
-33811.3,0.6969,0.581099,2,3,0,33812.3,-0.00616408,-0.0361059,0.160739,0.138218,0.983216,-0.0278357,0.158377,0.140128,-32824.3
-33809.4,0.995093,0.581099,2,3,0,33812.5,-0.0128566,-0.0331307,0.160013,0.140993,0.978461,-0.0246737,0.15709,0.14294,-32826.2
-33809.8,0.980995,0.581099,2,3,0,33810.1,-0.0118518,-0.0327147,0.158625,0.141862,0.977487,-0.0241942,0.155375,0.143821,-32826.9
-33811.5,0.89807,0.581099,2,3,0,33812.4,-0.015449,-0.0348267,0.156134,0.141556,0.978413,-0.0263162,0.152612,0.143512,-32827.6
-33808.7,0.990731,0.581099,2,3,0,33812,-0.00862535,-0.0324471,0.16252,0.131398,0.977989,-0.0246282,0.161538,0.133213,-32823.2
-33811.5,0.756851,0.581099,2,3,0,33812.2,-0.010991,-0.0262357,0.15903,0.141449,0.979789,-0.0177394,0.155902,0.143403,-32828
