# stan_version_major = 2
# stan_version_minor = 35
# stan_version_patch = 0
# model = multireg_model
# start_datetime = 2025-05-11 23:09:26 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/43/wy_ws5nx3830gqhfw05n4yyc0000gn/T/tmpeem7arw8/jnfa5xt5.json
# init = 2 (Default)
# random
#   seed = 49777
# output
#   file = /Users/zhafen/repos/citesim/analysis_data/stan_fits/stan-fit_den-asym_nNone/den_SBERT.nonsems/multireg-20250511180926_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.35.0
# stancflags = --filename-in-msg=multireg.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,theta.1,theta.2,theta.3,sigma,beta.1,beta.2,beta.3,log_p
# Adaptation terminated
# Step size = 0.554733
# Diagonal elements of inverse mass matrix:
# 2.5262e-05, 2.34898e-05, 2.26603e-05, 2.39482e-05, 1.55982e-05
-34592.1,1,0.554733,2,3,0,34595.7,-0.000766845,0.0734738,0.148034,0.112853,0.984296,0.0582455,0.137385,0.113809,-33921.1
-34593,0.907723,0.554733,2,3,0,34593.4,-0.000841201,0.0712261,0.150543,0.112576,0.985435,0.055702,0.140002,0.11353,-33921.5
-34594.9,0.831621,0.554733,2,3,0,34595.9,-0.00227265,0.0736336,0.144654,0.103785,0.986418,0.0593935,0.135105,0.104665,-33921.3
-34594.9,0.991742,0.554733,3,7,0,34596.1,-0.00155944,0.0692053,0.145698,0.104795,0.986466,0.0545353,0.136045,0.105684,-33919.5
-34593.8,1,0.554733,2,3,0,34595.7,-0.000972159,0.0692111,0.145591,0.106937,0.983137,0.0543751,0.135652,0.107844,-33919.5
-34593.4,1,0.554733,3,7,0,34594.7,-0.0015769,0.0788649,0.146014,0.113525,0.987187,0.0640592,0.135217,0.114488,-33922.1
-34593.1,0.967534,0.554733,3,7,0,34595,0.00169786,0.0769761,0.142845,0.115536,0.985749,0.0621173,0.131692,0.116516,-33919.2
-34597.8,0.644871,0.554733,2,3,0,34598.9,-0.00175484,0.0797053,0.145806,0.104417,0.979335,0.065706,0.136207,0.105302,-33928
-34593.5,0.886639,0.554733,2,3,0,34601.2,0.00308581,0.0790035,0.143915,0.111825,0.983604,0.0644946,0.133283,0.112773,-33922.5
-34595.3,0.837714,0.554733,2,3,0,34596.8,-0.00947971,0.0711346,0.146131,0.112514,0.985813,0.0559257,0.135472,0.113468,-33918.9
-34598,0.85707,0.554733,3,7,0,34600.2,-0.0107522,0.0743152,0.138793,0.109736,0.984517,0.0600534,0.12829,0.110666,-33917.7
-34598.1,0.996022,0.554733,3,7,0,34601.3,0.0105208,0.0728038,0.151961,0.115733,0.986279,0.0570191,0.141044,0.116714,-33924.8
-34598.4,0.996455,0.554733,3,7,0,34601.3,-0.0108132,0.0747414,0.138438,0.108778,0.985043,0.0606091,0.128051,0.1097,-33917.9
-34595.1,0.990759,0.554733,3,7,0,34600.9,0.00298831,0.068669,0.147431,0.106916,0.988134,0.0536696,0.137548,0.107823,-33919.7
-34592.3,1,0.554733,2,3,0,34595.2,0.00101584,0.0763548,0.145688,0.113614,0.983739,0.0614103,0.13487,0.114577,-33921.3
-34593.4,0.758796,0.554733,3,7,0,34596.3,-0.00102973,0.0705466,0.148541,0.116527,0.986473,0.0548031,0.13742,0.117515,-33918.9
-34593.3,0.994515,0.554733,3,7,0,34594.3,0.0024956,0.0713228,0.148259,0.115714,0.986966,0.0557133,0.137238,0.116695,-33919.4
-34593.9,0.683048,0.554733,2,3,0,34598.4,-0.000951773,0.0758054,0.141828,0.113139,0.989088,0.0611419,0.130963,0.114098,-33917.7
-34594.9,0.959332,0.554733,2,7,0,34595.5,-6.79403e-05,0.0686963,0.147029,0.109583,0.979847,0.0535107,0.136783,0.110512,-33920.8
-34593,0.923716,0.554733,3,7,0,34597,-0.00145435,0.0744747,0.148684,0.109701,0.987502,0.0595176,0.138469,0.110632,-33922.1
-34593.8,0.83193,0.554733,2,3,0,34595.9,0.00595514,0.0732735,0.148183,0.112648,0.982727,0.0580388,0.137565,0.113604,-33922.5
-34596.4,0.786752,0.554733,2,3,0,34598.4,-0.00373572,0.0691729,0.136317,0.111687,0.985987,0.0546125,0.125485,0.112634,-33912.6
-34593.7,0.988853,0.554733,3,7,0,34597.4,-0.00172824,0.075828,0.152286,0.112891,0.985308,0.0604375,0.141753,0.113848,-33925.2
-34594,0.918908,0.554733,3,7,0,34596.3,0.00124456,0.0723331,0.138271,0.11112,0.984379,0.057874,0.12757,0.112062,-33915.5
-34596.6,0.793267,0.554733,2,7,0,34598.4,0.00873463,0.0734158,0.141829,0.112634,0.980616,0.0586458,0.13103,0.113589,-33920.3
-34594.5,0.997121,0.554733,3,7,0,34598.6,0.000999696,0.0694242,0.15288,0.112757,0.985402,0.053607,0.142382,0.113713,-33922.7
-34595.1,0.922815,0.554733,3,7,0,34597.3,0.00402645,0.0776578,0.151339,0.109463,0.987597,0.0627263,0.141232,0.110391,-33926.5
-34596.8,0.925572,0.554733,3,7,0,34598.5,-0.000790315,0.0702441,0.136342,0.11195,0.980541,0.0557267,0.125475,0.112899,-33914.8
-34592.5,1,0.554733,2,3,0,34596.7,-0.00353359,0.0737299,0.143078,0.111988,0.985531,0.0589423,0.132401,0.112938,-33918
-34592.8,0.901011,0.554733,3,7,0,34594.5,0.00311341,0.0735709,0.149224,0.111924,0.983968,0.0583388,0.138731,0.112873,-33922.7
-34592.6,0.763466,0.554733,3,7,0,34596.1,-0.0038426,0.0731476,0.142848,0.112098,0.984342,0.0583316,0.132149,0.113049,-33917.8
-34592.6,0.749614,0.554733,2,3,0,34596.4,0.00110081,0.0759067,0.148735,0.114549,0.984398,0.0606405,0.137882,0.11552,-33922.7
-34593.5,0.917538,0.554733,3,7,0,34594.4,-0.00197544,0.0676422,0.145442,0.109965,0.983933,0.0524742,0.135099,0.110897,-33917.5
-34596.1,0.827075,0.554733,2,3,0,34597.2,0.0036726,0.0817895,0.151578,0.111581,0.985401,0.0669239,0.141198,0.112527,-33929.3
-34594.7,0.988689,0.554733,3,7,0,34598.6,0.00728008,0.074137,0.141444,0.111811,0.986428,0.059506,0.130743,0.112759,-33918.3
-34593.9,0.968756,0.554733,3,7,0,34596.5,0.00023671,0.0743773,0.144399,0.111593,0.989963,0.0595672,0.133811,0.112539,-33918.7
-34593.9,0.989491,0.554733,3,7,0,34595.3,-0.00657212,0.0736349,0.147253,0.114657,0.9869,0.0583259,0.136342,0.115629,-33919.9
-34594.7,0.955071,0.554733,3,7,0,34596.3,0.00618096,0.0703118,0.143319,0.112283,0.981625,0.0552722,0.132609,0.113235,-33918.6
-34593,0.998283,0.554733,3,7,0,34595.5,-0.00199686,0.0785263,0.14774,0.112545,0.985567,0.0636557,0.137123,0.113499,-33923.5
-34594.3,0.878806,0.554733,2,3,0,34595.2,-0.0037756,0.0796917,0.144594,0.116225,0.98471,0.0648193,0.133401,0.11721,-33921.9
-34592.5,0.818025,0.554733,2,3,0,34597.6,-0.000995414,0.0725782,0.142323,0.112337,0.983128,0.0577453,0.131577,0.11329,-33917.6
-34595.4,0.76986,0.554733,2,3,0,34595.9,-0.00200849,0.0663811,0.142727,0.116795,0.987292,0.0507749,0.131404,0.117785,-33913.5
-34594.3,0.9903,0.554733,3,7,0,34597.2,-0.00215611,0.0780641,0.14813,0.106277,0.98597,0.0636462,0.138352,0.107178,-33925.2
