# stan_version_major = 2
# stan_version_minor = 35
# stan_version_patch = 0
# model = reg_model
# start_datetime = 2025-05-11 22:56:50 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /var/folders/43/wy_ws5nx3830gqhfw05n4yyc0000gn/T/tmpeem7arw8/yovtzf_p.json
# init = 2 (Default)
# random
#   seed = 12101
# output
#   file = /Users/zhafen/repos/citesim/analysis_data/stan_fits/stan-fit_den-asym_nNone/den_Word2Vec/reg-20250511175650_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.35.0
# stancflags = --filename-in-msg=reg.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta,sigma,log_p
# Adaptation terminated
# Step size = 0.598778
# Diagonal elements of inverse mass matrix:
# 2.38215e-05, 2.38166e-05, 1.68362e-05
-35803,0.997874,0.598778,2,3,0,35803.5,-0.0173955,0.0537238,1.00059,-33779.2
-35804,0.759286,0.598778,2,3,0,35805.8,-0.0123819,0.0486513,0.999664,-33779
-35804.3,0.913141,0.598778,2,3,0,35805.5,-0.0117974,0.0487794,0.997225,-33779.3
-35804.3,0.734039,0.598778,2,3,0,35808,-0.0117974,0.0487794,0.997225,-33779.3
-35803.4,1,0.598778,2,3,0,35804.4,-0.019642,0.0543778,1.00059,-33779.6
-35803.8,0.906402,0.598778,3,7,0,35804.8,-0.0178439,0.0513893,0.995092,-33780.2
-35804.1,0.98455,0.598778,2,3,0,35804.5,-0.0199834,0.0529283,0.995068,-33780.6
-35802.9,1,0.598778,2,3,0,35804.1,-0.0172783,0.0505018,0.998832,-33779.4
-35803.3,0.842246,0.598778,1,3,0,35804.3,-0.0174643,0.0552642,1.00073,-33779.3
-35803.8,0.86876,0.598778,2,7,0,35805.1,-0.0143948,0.0476373,0.997919,-33779.4
-35805.1,0.860359,0.598778,2,3,0,35806.1,-0.00915754,0.0500137,0.999628,-33778.9
-35803.2,0.980058,0.598778,2,3,0,35805.5,-0.019736,0.0546413,0.99829,-33779.9
-35803,0.998327,0.598778,3,7,0,35803.2,-0.0147645,0.0508979,0.999063,-33779
-35803.8,0.840973,0.598778,2,3,0,35804.2,-0.0156817,0.0516725,1.00256,-33779
-35805.1,0.757103,0.598778,2,3,0,35807.4,-0.0130442,0.0489506,0.994463,-33780.1
-35802.8,1,0.598778,2,3,0,35804.7,-0.0161423,0.0524412,0.999914,-33779.1
-35805.1,0.630693,0.598778,2,3,0,35807.3,-0.0248367,0.0538757,0.998173,-33781.2
-35803.8,0.957432,0.598778,3,7,0,35806.1,-0.0185468,0.0538259,0.995214,-33780.4
-35803.5,1,0.598778,2,3,0,35804.2,-0.0177819,0.0523427,1.00206,-33779.2
-35805.9,0.80848,0.598778,2,3,0,35806.6,-0.0196034,0.0477569,1.00426,-33779.9
-35804.2,0.982306,0.598778,2,7,0,35806.1,-0.0146973,0.0545118,0.994819,-33780
-35805.4,0.84412,0.598778,2,7,0,35807.1,-0.0250635,0.0523548,0.996921,-33781.5
-35803.7,1,0.598778,2,3,0,35805.7,-0.0127109,0.0505674,1.00063,-33778.8
-35806.1,0.818865,0.598778,2,7,0,35806.9,-0.0204287,0.0434999,0.998715,-33780.8
-35803.1,1,0.598778,2,3,0,35806,-0.015858,0.0505608,0.997091,-33779.5
-35803,0.998129,0.598778,2,3,0,35803.2,-0.0184115,0.0536165,1.00016,-33779.4
-35803.6,0.942406,0.598778,2,3,0,35803.8,-0.011968,0.0534531,0.998361,-33779
-35803.5,0.980063,0.598778,2,3,0,35804.3,-0.0150552,0.0559056,1.00037,-33779.1
-35804.2,0.897699,0.598778,2,3,0,35805,-0.0111338,0.0538683,1.00042,-33778.8
-35803.3,0.97566,0.598778,2,3,0,35805,-0.0152299,0.0505678,1.00112,-33778.9
-35804.1,0.937926,0.598778,2,3,0,35804.4,-0.019148,0.0572411,0.996479,-33780.4
-35804.5,0.724305,0.598778,2,3,0,35807.5,-0.0158278,0.048527,1.00292,-33779.1
-35810.2,0.535052,0.598778,2,3,0,35813,-0.0229899,0.0642816,0.995018,-33783.1
-35804.6,1,0.598778,2,3,0,35811.1,-0.0122069,0.0580044,0.99932,-33779.2
-35805.5,0.871686,0.598778,3,7,0,35807,-0.0134306,0.0601285,1.0006,-33779.5
-35804.7,0.984125,0.598778,3,7,0,35807.1,-0.0144368,0.0465806,0.996061,-33779.9
-35806.8,0.808307,0.598778,2,3,0,35808,-0.0139958,0.0570199,1.00532,-33779.4
-35805.1,0.984654,0.598778,2,7,0,35807.9,-0.0099173,0.0528538,0.995868,-33779.5
-35803.6,0.944203,0.598778,2,3,0,35805.9,-0.0120775,0.0536155,0.997978,-33779.1
-35803.8,0.710887,0.598778,2,3,0,35807.3,-0.0189283,0.0483968,1.00094,-33779.6
-35802.9,0.851019,0.598778,1,3,0,35805.5,-0.0169785,0.0548076,0.998585,-33779.4
-35803.5,0.668582,0.598778,2,3,0,35806.5,-0.012545,0.0535266,0.997841,-33779.1
-35802.9,1,0.598778,2,3,0,35803.6,-0.0156505,0.0505467,0.99842,-33779.2
-35803.7,0.768759,0.598778,1,3,0,35805.3,-0.0208852,0.0545972,0.997195,-33780.3
-35804,0.945699,0.598778,2,3,0,35804.8,-0.011049,0.0526321,0.997989,-33779
-35803.1,1,0.598778,2,3,0,35804.1,-0.0198612,0.0511868,0.999435,-33779.7
-35802.8,0.779533,0.598778,2,3,0,35805.2,-0.0172128,0.0513513,0.999411,-33779.2
-35802.8,0.980417,0.598778,2,3,0,35803,-0.0168961,0.0515036,0.99815,-33779.4
-35802.8,0.700444,0.598778,1,3,0,35804.7,-0.0168961,0.0515036,0.99815,-33779.4
-35805,0.796666,0.598778,2,3,0,35805.1,-0.0239992,0.0504564,1.00102,-33780.7
-35805.7,0.944357,0.598778,2,3,0,35806.4,-0.0222318,0.0494095,1.00359,-33780.3
-35806.8,0.933338,0.598778,2,3,0,35808,-0.0190239,0.0462083,1.00476,-33780
-35804.9,1,0.598778,2,3,0,35807.8,-0.010337,0.0507577,0.996196,-33779.4
-35803.9,1,0.598778,2,3,0,35805.6,-0.0148356,0.0523209,0.995086,-33779.9
-35803.6,0.767968,0.598778,1,3,0,35806.6,-0.0180799,0.0563892,1.00084,-33779.5
-35804.7,0.686507,0.598778,2,3,0,35806.9,-0.0139073,0.0565626,0.994977,-33780.1
-35804.2,0.958729,0.598778,2,3,0,35806.2,-0.0112835,0.0494885,0.997799,-33779.1
-35804.3,0.969552,0.598778,3,7,0,35805.6,-0.0181889,0.0459738,0.999057,-33779.9
-35804.3,0.922792,0.598778,3,7,0,35806,-0.0160163,0.0585039,1.00042,-33779.5
-35806.9,0.654082,0.598778,2,7,0,35810.3,-0.0259452,0.057533,1.00076,-33781.6
-35806.9,0.974088,0.598778,3,7,0,35809.2,-0.00787306,0.0465195,0.998348,-33779.5
-35803.8,0.990078,0.598778,3,7,0,35807.5,-0.013184,0.0551301,0.99673,-33779.4
-35802.8,0.570471,0.598778,2,3,0,35809,-0.0184574,0.0533117,0.99883,-33779.5
-35803.2,0.955468,0.598778,2,3,0,35803.4,-0.0142287,0.0498251,0.998548,-33779.1
-35807.1,0.649819,0.598778,2,3,0,35807.7,-0.0204671,0.046859,1.00503,-33780.3
-35804.8,1,0.598778,2,3,0,35807.6,-0.0131004,0.0562047,0.994918,-33780
-35804.7,0.961571,0.598778,3,7,0,35806.6,-0.00977305,0.0543676,0.999456,-33778.9
-35803.5,0.962297,0.598778,2,3,0,35805.7,-0.0212376,0.0542895,0.998807,-33780.1
-35805.2,0.860726,0.598778,2,3,0,35805.7,-0.0251817,0.0516407,0.998628,-33781.2
-35804.3,0.997853,0.598778,3,7,0,35805.9,-0.0115697,0.0494856,0.996914,-33779.3
-35806.7,0.780004,0.598778,3,7,0,35807.9,-0.00935506,0.0501262,1.00372,-33778.9
-35803.8,1,0.598778,2,3,0,35807,-0.0150479,0.0490983,1.00158,-33779
-35803.3,0.947245,0.598778,2,3,0,35804.9,-0.014654,0.0541101,0.996639,-33779.5
-35803.3,0.978171,0.598778,2,3,0,35803.9,-0.0169834,0.0515793,1.0015,-33779.1
-35803.3,0.999175,0.598778,2,7,0,35803.4,-0.0173545,0.0539394,0.996148,-33779.9
-35803.3,0.84358,0.598778,1,3,0,35805,-0.0187067,0.049451,1.00012,-33779.5
-35804.6,0.917417,0.598778,3,7,0,35804.7,-0.0130893,0.0583019,1.00001,-33779.3
