# stan_version_major = 2
# stan_version_minor = 35
# stan_version_patch = 0
# model = hreg_model
# start_datetime = 2025-05-12 01:22:09 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /var/folders/43/wy_ws5nx3830gqhfw05n4yyc0000gn/T/tmpeem7arw8/qdf_y3kz.json
# init = 2 (Default)
# random
#   seed = 37
# output
#   file = /Users/zhafen/repos/citesim/analysis_data/stan_fits/stan-fit_den-asym_nNone/h-BOW-SciBERT.h-nonsems/hreg-20250511202209_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.35.0
# stancflags = --filename-in-msg=hreg.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,sigma,beta.1.1,beta.2.1,beta.3.1,beta.4.1,beta.5.1,beta.6.1,beta.7.1,beta.8.1,beta.9.1,beta.1.2,beta.2.2,beta.3.2,beta.4.2,beta.5.2,beta.6.2,beta.7.2,beta.8.2,beta.9.2,mu_beta.1,mu_beta.2,sigma_beta.1,sigma_beta.2,log_p
# Adaptation terminated
# Step size = 0.528801
# Diagonal elements of inverse mass matrix:
# 3.04423e-05, 2.37887e-05, 0.000136695, 0.000166389, 0.000221866, 0.000181363, 0.000377016, 0.000318203, 0.000213011, 0.000185326, 0.000259672, 0.000150168, 0.00020542, 0.000227116, 0.00052643, 0.000230026, 0.000276288, 0.000343751, 0.000352262, 0.000219373, 0.00202359, 0.000801455, 0.0765079, 0.0816748
-18877.1,0.777066,0.528801,3,7,0,18883.7,0.00334933,0.970757,0.0984162,-0.0188743,0.26318,0.0915428,0.321644,0.134361,0.054101,0.083043,0.26101,0.171665,-0.0297363,0.0938173,0.0641866,0.0128889,0.150483,0.122205,0.141308,0.122592,0.156353,0.127184,0.130894,0.0731155,-19387
-18876.5,0.916423,0.528801,3,7,0,18888.5,0.00130498,0.973044,0.097422,-0.0391969,0.265623,0.0839248,0.316905,0.142675,0.0359301,0.0772582,0.255184,0.172435,-0.0227724,0.0832314,0.0660231,0.0131594,0.158519,0.112139,0.143934,0.119302,0.143259,0.0882662,0.117951,0.0718954,-19377.6
-18877,0.981794,0.528801,3,7,0,18884.9,-0.0207052,0.971224,0.134984,-0.021578,0.222008,0.119624,0.34199,0.159578,0.0406152,0.0468119,0.249919,0.159848,-0.0525956,0.117398,0.0794899,0.00204651,0.145607,0.129694,0.127178,0.180782,0.147272,0.109877,0.115814,0.0758537,-19416.4
-18883.1,0.689875,0.528801,3,7,0,18895.5,0.00546029,0.978791,0.0921642,-0.033946,0.27054,0.0844345,0.312926,0.141168,0.0360937,0.0956118,0.272692,0.161296,-0.0139927,0.0873242,0.0632496,0.0160346,0.151435,0.11402,0.146833,0.133066,0.138557,0.100389,0.110533,0.108613,-19377.1
-18876.4,0.87162,0.528801,3,7,0,18896.8,-0.00812386,0.9685,0.136079,-0.0266138,0.210584,0.134064,0.338,0.142308,0.0567433,0.0597865,0.282096,0.157776,-0.0314859,0.095175,0.0855771,8.67456e-05,0.159698,0.115078,0.134815,0.157877,0.159967,0.116167,0.116121,0.0608848,-19416.5
-18881,0.801847,0.528801,3,7,0,18891.3,-0.00779166,0.981115,0.0954782,-0.0394606,0.266006,0.0634943,0.313589,0.167337,0.0388892,0.0919644,0.254515,0.178491,-0.0294976,0.111088,0.0731497,0.0170546,0.137936,0.118137,0.133001,0.132091,0.144696,0.081931,0.126705,0.0717893,-19375.4
-18877.1,0.984637,0.528801,3,7,0,18891,0.00132262,0.969447,0.115432,-0.047295,0.242967,0.0910326,0.335506,0.137424,0.027076,0.0751775,0.296385,0.167338,-0.0531412,0.101556,0.0581329,0.00854362,0.146041,0.134877,0.125557,0.14183,0.100769,0.115095,0.181819,0.0629594,-19409.8
-18877.9,0.751722,0.528801,3,7,0,18893.2,-0.0177549,0.977257,0.114877,-0.015592,0.229922,0.11092,0.32249,0.158786,0.0277872,0.0562463,0.219439,0.163565,-0.00772086,0.108377,0.0884763,-0.000807044,0.15974,0.114654,0.154969,0.166218,0.157193,0.0870608,0.087817,0.0830589,-19384.6
-18884.5,0.834866,0.528801,3,7,0,18893.5,0.00455875,0.969206,0.108622,-0.0239885,0.264041,0.0895386,0.339669,0.14194,0.0563278,0.0229851,0.275722,0.179122,-0.069477,0.0985001,0.0724169,-0.00457752,0.143796,0.119628,0.170694,0.183992,0.125148,0.119583,0.163932,0.0818439,-19424.8
