# stan_version_major = 2
# stan_version_minor = 35
# stan_version_patch = 0
# model = hreg_model
# start_datetime = 2025-05-12 00:46:46 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /var/folders/43/wy_ws5nx3830gqhfw05n4yyc0000gn/T/tmpeem7arw8/3wrf599f.json
# init = 2 (Default)
# random
#   seed = 37286
# output
#   file = /Users/zhafen/repos/citesim/analysis_data/stan_fits/stan-fit_den-asym_nNone/h-asym_BOW_j.h-nonsems/hreg-20250511194646_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.35.0
# stancflags = --filename-in-msg=hreg.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,sigma,beta.1.1,beta.2.1,beta.3.1,beta.4.1,beta.5.1,beta.6.1,beta.7.1,beta.8.1,beta.9.1,beta.1.2,beta.2.2,beta.3.2,beta.4.2,beta.5.2,beta.6.2,beta.7.2,beta.8.2,beta.9.2,beta.1.3,beta.2.3,beta.3.3,beta.4.3,beta.5.3,beta.6.3,beta.7.3,beta.8.3,beta.9.3,mu_beta.1,mu_beta.2,mu_beta.3,sigma_beta.1,sigma_beta.2,sigma_beta.3,log_p
# Adaptation terminated
# Step size = 0.41144
# Diagonal elements of inverse mass matrix:
# 2.19618e-05, 1.65393e-05, 0.000107391, 0.000125043, 0.000112314, 0.000122496, 0.00012475, 0.000112695, 0.000186534, 0.000174997, 0.000149763, 0.000131019, 0.000139945, 0.000132478, 0.000111897, 0.000105758, 8.41528e-05, 0.000147157, 0.000144636, 0.000122637, 0.000243994, 0.000100676, 0.000104142, 0.000153361, 0.000160493, 0.000135507, 0.000148748, 0.000127966, 0.000134873, 0.00212084, 0.00105838, 0.000201522, 0.0862729, 0.0985738, 0.0790192
-33708.7,1,0.41144,3,7,0,33720.3,-0.0115203,0.969902,0.148707,-0.0475347,0.222636,0.128424,0.302633,0.151797,0.066805,0.0786199,0.261947,0.16072,-0.0431408,0.118437,0.0773734,-0.00577551,0.165889,0.119735,0.147943,0.155382,-0.0204009,-0.0383976,0.0350656,-0.0265696,0.0188843,0.0263334,0.0286231,-0.0206422,-0.0379659,0.12875,0.0799439,-0.00539206,0.0880397,0.0590769,0.0272472,-34382.8
-33708.9,0.957721,0.41144,3,7,0,33717.7,-0.0124437,0.968746,0.137588,-0.0318087,0.228071,0.106164,0.304413,0.156302,0.0540194,0.071476,0.256076,0.167023,-0.0462583,0.103987,0.0860114,0.00701786,0.176205,0.113093,0.126749,0.158296,-0.0239353,-0.0393561,0.0547217,-0.0294362,-0.00219399,0.0476185,0.0524102,-0.017057,-0.0341646,0.135812,0.105221,0.0039208,0.149926,0.0972713,0.0381081,-34388.5
-33711.1,0.838074,0.41144,4,15,0,33724.4,-0.00934482,0.97126,0.145226,-0.037496,0.241935,0.103067,0.307926,0.168939,0.0539235,0.0690637,0.261942,0.158121,-0.0387453,0.0909098,0.0866031,0.00697457,0.169862,0.106175,0.123056,0.148909,-0.0165266,-0.039598,0.0535949,-0.0302863,0.00188861,0.0385889,0.0476522,-0.0188528,-0.0295418,0.129866,0.105221,-0.0168425,0.164139,0.0737253,0.046,-34378.7
-33715.6,0.862502,0.41144,3,7,0,33727.5,-0.0111557,0.968865,0.144027,-0.0501603,0.257518,0.116129,0.304974,0.160117,0.0745142,0.0595518,0.252784,0.178678,-0.0201417,0.0971712,0.0792214,0.0117469,0.171512,0.130452,0.169738,0.149018,-0.0164901,-0.0484869,0.0287223,-0.0197892,0.0181496,0.0207803,0.0161667,-0.0321396,-0.0468871,0.133844,0.0942479,0.000639502,0.136824,0.0691601,0.0264345,-34411.9
-33718.5,0.712622,0.41144,3,7,0,33735.6,-0.0123616,0.975768,0.133246,-0.0282308,0.235818,0.116189,0.306967,0.142996,0.0634307,0.085976,0.253353,0.174628,-0.0263891,0.138358,0.0665025,0.0257191,0.159024,0.132371,0.140796,0.168492,-0.00806257,-0.0242641,0.0409658,-0.0259929,0.00847413,0.023511,0.034532,-0.0231318,-0.0224607,0.139658,0.104823,-0.00489659,0.13275,0.0809822,0.0391724,-34385.6
-33718.6,0.98693,0.41144,3,7,0,33731.4,-0.00938482,0.967133,0.15206,-0.0443765,0.222281,0.119173,0.293424,0.170414,0.0682495,0.0469069,0.249622,0.162584,-0.053599,0.0734719,0.0972818,0.00110061,0.177242,0.114849,0.158744,0.145124,-0.0356235,-0.0527971,0.0454662,-0.0256196,0.00335605,0.0414378,0.0406117,-0.0340764,-0.0514002,0.142594,0.100032,-0.00464383,0.10056,0.0731754,0.0323115,-34384.3
