# stan_version_major = 2
# stan_version_minor = 35
# stan_version_patch = 0
# model = hreg_model
# start_datetime = 2025-05-11 23:52:09 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/43/wy_ws5nx3830gqhfw05n4yyc0000gn/T/tmpeem7arw8/twc1iy78.json
# init = 2 (Default)
# random
#   seed = 21133
# output
#   file = /Users/zhafen/repos/citesim/analysis_data/stan_fits/stan-fit_den-asym_nNone/h-asym_GPT2_j/hreg-20250511185209_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.35.0
# stancflags = --filename-in-msg=hreg.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,sigma,beta.1.1,beta.2.1,beta.3.1,beta.4.1,beta.5.1,beta.6.1,beta.7.1,beta.8.1,beta.9.1,mu_beta.1,sigma_beta.1,log_p
# Adaptation terminated
# Step size = 0.385493
# Diagonal elements of inverse mass matrix:
# 2.38679e-05, 1.73395e-05, 9.24548e-05, 0.000145244, 0.000126088, 0.000113581, 9.02189e-05, 9.95637e-05, 9.73056e-05, 0.000130339, 0.000107365, 7.04982e-05, 0.143917
-35871.6,0.998166,0.385493,3,7,0,35886.9,-0.011696,0.994673,-0.0375926,-0.0254616,-0.0163521,-0.0184277,-0.00703512,-0.0208493,-0.0300368,-0.010758,-0.0238489,-0.0290664,0.0153985,-34141.9
-35867.4,0.988258,0.385493,4,15,0,35879.7,-0.0149433,0.997829,-0.032162,-0.0362047,-0.0289322,-0.0171318,-0.00596314,-0.0189938,-0.0291581,-0.00860637,-0.0113671,-0.0155523,0.0126735,-34141.1
-35865.4,0.872211,0.385493,3,7,0,35873.3,-0.0036613,0.99871,-0.0228117,-0.0483397,-0.00807466,-0.0153188,-0.0205585,0.00184923,-0.0284652,-0.0154963,-0.0119056,-0.015127,0.0123,-34139.5
-35864.3,0.888168,0.385493,3,7,0,35871.6,-0.00580737,0.997484,-0.0202197,-0.0229276,-0.00837531,-0.0133996,-0.0134338,-0.0198815,-0.0116199,-0.00926085,-0.00797434,-0.016173,0.00703788,-34137
-35865.2,0.306747,0.385493,3,7,0,35869.4,-0.00236469,0.996401,-0.022872,-0.0237336,-0.012638,-0.00774186,-0.0181371,-0.020925,-0.0126016,-0.00975161,-0.0087236,-0.0160153,0.00596045,-34137.9
-35865.5,0.502001,0.385493,3,7,0,35872.3,-0.00802422,1.0009,-0.0226818,-0.0466633,-0.0320499,-0.0158203,-0.0116456,-0.00254501,-0.0325541,-0.0125569,-0.00851727,-0.0180965,0.0171753,-34139.5
-35866.3,0.789262,0.385493,3,7,0,35872.2,-0.00388107,0.995744,-0.0354444,-0.0378703,-0.0101074,-0.0110883,-0.00864732,-0.00793716,-0.022809,-0.00788305,-0.00391155,-0.0263953,0.0193303,-34138.5
-35866.8,0.938106,0.385493,2,7,0,35874.4,-0.00202726,0.997038,-0.0382589,-0.0410151,-0.00715581,-0.00916838,-0.0053884,-0.0112311,-0.0332741,-0.000340017,-0.0044558,-0.0230025,0.0208555,-34139.5
-35865.5,0.959704,0.385493,3,7,0,35871.5,-0.0110927,0.999378,-0.0299326,-0.06109,-0.0216909,-0.014762,-0.0242427,-0.0107008,-0.0251045,-0.0234216,0.00047462,-0.0237069,0.0190083,-34143.2
-35866.8,0.900474,0.385493,3,7,0,35871.3,-0.0103337,1.00237,-0.0305814,-0.0580149,-0.00114056,-0.00741687,-0.0211075,-0.00625793,-0.0280206,-0.0195724,-0.00939997,-0.0203887,0.0220226,-34141.7
