# stan_version_major = 2
# stan_version_minor = 35
# stan_version_patch = 0
# model = hreg_model
# start_datetime = 2025-05-12 00:01:38 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/43/wy_ws5nx3830gqhfw05n4yyc0000gn/T/tmpeem7arw8/iu4de3bv.json
# init = 2 (Default)
# random
#   seed = 48169
# output
#   file = /Users/zhafen/repos/citesim/analysis_data/stan_fits/stan-fit_den-asym_nNone/h-asym_SciBERT_j/hreg-20250511190137_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.35.0
# stancflags = --filename-in-msg=hreg.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,sigma,beta.1.1,beta.2.1,beta.3.1,beta.4.1,beta.5.1,beta.6.1,beta.7.1,beta.8.1,beta.9.1,mu_beta.1,sigma_beta.1,log_p
# Adaptation terminated
# Step size = 0.490592
# Diagonal elements of inverse mass matrix:
# 2.40268e-05, 1.7114e-05, 0.000102954, 9.95116e-05, 0.000141237, 0.000129697, 8.85272e-05, 0.000146041, 0.000123257, 0.000164862, 0.000108987, 0.00014876, 0.109415
-35038.3,0.73348,0.490592,3,7,0,35047.2,-0.00909741,0.997289,-0.0238001,-0.0363221,-0.0523932,0.0378822,0.0168484,-0.00476835,-0.0614769,0.0143964,-0.0384576,-0.0298337,0.0376278,-33299.3
-35039.2,0.988353,0.490592,3,7,0,35044.1,-0.0209484,0.994562,-0.0309401,-0.0548638,-0.0491852,0.0183659,0.010438,0.00232378,-0.0428949,0.0324468,-0.0405628,-0.0312309,0.040499,-33301.9
-35040.6,0.93613,0.490592,3,7,0,35045.8,-0.016681,0.995201,-0.0272911,-0.0525628,-0.0516111,0.0155801,0.0127202,0.00100507,-0.0452566,0.0473567,-0.0403259,-0.0339052,0.0312187,-33299.9
-35038,0.954263,0.490592,3,7,0,35050.2,-0.0080645,0.995611,-0.0111423,-0.0375007,-0.0313541,0.0202207,0.0114018,0.0136172,-0.0489188,0.036073,-0.0398942,0.000106012,0.0244271,-33293.4
-35044.8,0.783388,0.490592,3,7,0,35049,-0.0219433,0.994879,-0.00100821,-0.0400481,0.0066442,0.0291037,0.0239243,-0.0253589,-0.0462591,-0.000200525,-0.0151976,-0.00745225,0.046429,-33292.9
-35043,0.989718,0.490592,3,7,0,35055.9,-0.00667793,0.997927,-0.0326622,-0.0440184,-0.0500079,0.0251824,0.015384,0.0139266,-0.0401871,0.0342237,-0.0488423,-0.00944674,0.0256896,-33299.8
-35040.7,1,0.490592,3,7,0,35046.6,-0.0219605,0.994464,-0.00166509,-0.043379,-0.0193958,0.0302451,-0.0031728,-0.0328574,-0.0464401,0.0170532,-0.011941,-0.0213827,0.0490988,-33290.4
-35038.3,1,0.490592,3,7,0,35046.3,-0.00683682,0.995977,-0.0138664,-0.0420302,-0.0469684,0.0443451,-0.00537454,-0.00394656,-0.0566519,0.0290419,-0.0404807,-0.0220474,0.0377786,-33295.6
-35036.9,1,0.490592,3,7,0,35040.6,-0.0207038,0.996642,-0.0187319,-0.0390345,-0.0135202,0.0142786,0.0200079,-0.00929892,-0.0284513,0.00203759,-0.0161516,-0.00185108,0.0208772,-33292.4
-35036.1,0.972121,0.490592,3,7,0,35041,-0.00706315,0.99379,-0.0145921,-0.0281422,-0.0312485,0.0260017,-0.00750182,0.00610416,-0.043589,0.029429,-0.0232324,-0.0112731,0.0212157,-33290
-35040.8,0.764652,0.490592,2,3,0,35042.5,-0.00722289,0.993913,-0.0142032,-0.0296618,-0.0259148,0.0286905,-0.0121071,0.0122287,-0.0492036,0.0286527,-0.0243007,-0.0189552,0.0174789,-33291.4
-35037.5,1,0.490592,3,7,0,35043.3,-0.00820371,0.993274,-0.0226755,-0.0336076,-0.0289152,0.0239413,-0.0119017,0.00327952,-0.0459654,0.0300362,-0.0251257,-0.0196722,0.0187831,-33292.3
-35037.9,0.839811,0.490592,3,7,0,35043.1,-0.0201038,0.993843,-0.00460088,-0.0508422,-0.0316399,0.0346568,0.0224136,-0.0180375,-0.0415987,0.00814455,-0.0317854,0.00656355,0.0496136,-33295
-35033.4,0.918206,0.490592,3,7,0,35044.1,-0.0117526,0.996596,-0.0157239,-0.0300004,-0.0137398,0.0120648,0.00684036,-0.000325799,-0.0381806,0.0113521,-0.0134491,-0.00534968,0.0211354,-33288.7
-35032.4,0.932773,0.490592,3,7,0,35036.2,-0.0165624,0.991716,-0.0125601,-0.0393248,-0.03815,0.0306557,0.00692529,-0.0144128,-0.0386769,0.00848242,-0.0299817,-0.0177031,0.0249513,-33293
-35034.1,0.918318,0.490592,3,7,0,35037.2,-0.0137468,0.998697,-0.0108959,-0.038991,-0.0284866,0.0110591,0.00466257,-0.0208032,-0.0570886,0.0142897,-0.0290516,-0.0173561,0.0263292,-33291.5
-35035.3,0.985139,0.490592,3,7,0,35038.6,-0.0125295,0.991745,-0.0106915,-0.0396082,-0.018893,0.0197403,-0.00213467,-0.00740767,-0.0188159,-1.14947e-05,-0.0180017,-0.0054957,0.0147689,-33288.2
-35037.5,0.733858,0.490592,3,7,0,35043.1,-0.00827309,0.997971,-0.0216546,-0.0382817,-0.0266551,0.0163056,-0.00139849,0.00351186,-0.0575787,-0.00510641,-0.0109539,-0.0195898,0.0287439,-33294.5
-35040.4,0.873495,0.490592,3,7,0,35045.8,-0.0161701,0.99411,-0.0075578,-0.0494886,-0.0327011,0.0437545,0.0158297,-0.016357,-0.0271529,0.0480521,-0.043921,0.00684485,0.0494175,-33292.9
-35036.7,0.959763,0.490592,3,7,0,35048.3,-0.0113175,0.993232,-0.0176189,-0.0311615,-0.0276551,0.00618968,-0.0035762,-0.00720181,-0.0583993,-0.00810109,-0.0193179,-0.0245487,0.0162593,-33294.1
-35034.5,0.994343,0.490592,3,7,0,35041.7,-0.0178203,0.997201,-0.0270119,-0.037357,-0.0412445,0.0343481,0.00584548,0.000757359,-0.0354676,0.0220018,-0.0221322,-0.00434799,0.0362254,-33294.5
-35035.9,0.936186,0.490592,3,7,0,35039.7,-0.00900718,0.99759,-0.00719892,-0.0433584,-0.0202875,0.00666268,-0.00251905,-0.0193395,-0.047615,-0.00629176,-0.0322292,-0.0156857,0.0159413,-33290.1
-35035,0.916052,0.490592,3,7,0,35041.6,-0.00932719,0.994351,-0.0184588,-0.0219837,-0.0234636,0.0343849,-0.000183902,-0.0142609,-0.0402966,0.0181559,-0.0118204,-0.0137552,0.0251844,-33288.5
-35035.1,0.786244,0.490592,3,7,0,35042.1,-0.01847,0.993848,-0.00909296,-0.0557959,-0.0507594,0.0222661,0.00914582,-0.00616912,-0.0419386,0.00854075,-0.0279227,-0.00481101,0.0332317,-33296
-35035.7,0.972585,0.490592,3,7,0,35040,-0.0189492,0.996951,-0.00660127,-0.0584415,-0.0300396,0.0128568,0.0147289,-0.00783928,-0.0300738,0.00250296,-0.0228175,-0.0134447,0.024286,-33292.7
-35038.9,0.675169,0.490592,3,7,0,35045.7,-0.0154118,0.997989,-0.0175566,-0.0295828,-0.0392439,0.044753,0.00233329,-0.0102944,-0.0640287,-0.00666414,-0.0163846,-0.0265787,0.0314912,-33296.5
-35040.2,0.896534,0.490592,3,7,0,35048.4,-0.0127653,0.999479,-0.0148523,-0.0225922,-0.0429994,0.0452214,0.000743913,-0.0107518,-0.0518625,-0.00784021,-0.0286038,-0.0361928,0.0365325,-33293.4
-35036.9,1,0.490592,3,7,0,35044.3,-0.0109215,0.992414,0.00437362,-0.0466927,-0.0359121,0.0311144,0.0141039,-0.0124482,-0.0537485,0.0236209,-0.0288223,-0.0273938,0.0493193,-33292.2
-35033.9,0.948552,0.490592,3,7,0,35041.9,-0.013729,0.998041,-0.0116702,-0.0408338,-0.0268199,0.0189621,0.0153383,6.30873e-05,-0.0404052,0.000543174,-0.0233559,-0.00256413,0.0188898,-33291.6
-35034.8,0.518085,0.490592,3,7,0,35043.5,-0.0162358,0.992608,-0.00643343,-0.0217827,-0.0202142,0.0192492,-0.00085446,-0.00868842,-0.0289198,0.0150772,-0.0301285,-0.0163282,0.0241265,-33287
-35035.3,0.949868,0.490592,3,7,0,35039.1,-0.0119673,0.997352,-0.00072236,-0.0505025,-0.034967,0.0239531,0.00547194,-0.0180778,-0.0452302,0.00791403,-0.0396453,-0.00334894,0.0245958,-33291
-35039.4,0.959796,0.490592,3,7,0,35043.3,-0.0198963,0.994052,-0.0168476,-0.0704611,-0.0462799,0.0185432,0.00344289,-0.00519658,-0.0549295,0.00764499,-0.025371,-0.0405677,0.0344652,-33301.6
-35037.9,0.898192,0.490592,3,7,0,35045.5,-0.00901806,0.996391,-0.0203019,-0.0458315,-0.0394517,0.0285565,0.0156682,-0.0207599,-0.0478532,0.0279889,-0.0507764,0.000246954,0.0445333,-33295.8
-35040.5,0.910649,0.490592,3,7,0,35045.1,-0.00930044,0.998801,-0.0240181,-0.0416748,-0.043061,0.0291898,0.0107863,-0.0186194,-0.0375913,0.0189616,-0.0586147,0.0014027,0.0455513,-33295.4
-35038.6,0.967351,0.490592,3,7,0,35047.7,-0.0128716,0.995126,-0.0342671,-0.0580464,-0.0131657,0.0450829,0.0147852,-0.0118727,-0.0344271,0.00978805,-0.0294375,-0.0258482,0.0279624,-33298.5
-35037,0.788401,0.490592,3,7,0,35047,-0.00934034,0.993217,-0.0199343,-0.0457487,-0.0245397,0.0127015,-0.00212831,-0.0209841,-0.0354461,0.0222766,-0.00486376,-0.00198187,0.0239207,-33289.8
-35035.5,0.992935,0.490592,3,7,0,35040.1,-0.0187265,0.995791,-0.0102981,-0.0349733,-0.0337184,0.0355514,0.011055,0.00384109,-0.04487,0.00259648,-0.0470452,-0.0152806,0.0312287,-33295.6
-35035.3,0.894422,0.490592,3,7,0,35041,-0.0128795,0.991878,-0.0117558,-0.0283859,-0.0322072,0.0228125,0.00588856,-0.00102176,-0.0318767,-0.00298981,-0.0216314,-0.0170071,0.0345431,-33290.4
