# stan_version_major = 2
# stan_version_minor = 35
# stan_version_patch = 0
# model = hreg_model
# start_datetime = 2025-05-12 01:15:29 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /var/folders/43/wy_ws5nx3830gqhfw05n4yyc0000gn/T/tmpeem7arw8/ut3dow38.json
# init = 2 (Default)
# random
#   seed = 51603
# output
#   file = /Users/zhafen/repos/citesim/analysis_data/stan_fits/stan-fit_den-asym_nNone/h-asym_Word2Vec_j.h-nonsems/hreg-20250511201528_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.35.0
# stancflags = --filename-in-msg=hreg.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,sigma,beta.1.1,beta.2.1,beta.3.1,beta.4.1,beta.5.1,beta.6.1,beta.7.1,beta.8.1,beta.9.1,beta.1.2,beta.2.2,beta.3.2,beta.4.2,beta.5.2,beta.6.2,beta.7.2,beta.8.2,beta.9.2,beta.1.3,beta.2.3,beta.3.3,beta.4.3,beta.5.3,beta.6.3,beta.7.3,beta.8.3,beta.9.3,mu_beta.1,mu_beta.2,mu_beta.3,sigma_beta.1,sigma_beta.2,sigma_beta.3,log_p
# Adaptation terminated
# Step size = 0.430833
# Diagonal elements of inverse mass matrix:
# 2.1171e-05, 1.7096e-05, 9.61523e-05, 0.000119828, 0.000118988, 0.00011728, 0.000138543, 0.000110733, 0.000190121, 0.000185882, 0.000155305, 0.000130583, 0.000111804, 0.000137279, 0.000136503, 0.000108684, 0.000100759, 0.000144204, 0.000122954, 0.000144741, 0.000246066, 0.000118079, 0.000101155, 0.000142505, 0.000139045, 0.000134017, 0.000201181, 0.00013472, 0.000136035, 0.00166674, 0.000901051, 0.000422612, 0.0752645, 0.0783139, 0.0791373
-33559.2,0.548447,0.430833,3,7,0,33572.7,-0.00809314,0.963261,0.148578,-0.0381439,0.218187,0.130382,0.2863,0.154435,0.102445,0.0699642,0.263899,0.167946,-0.0330259,0.0892763,0.107324,0.0374297,0.155248,0.114274,0.131478,0.147483,0.00715077,0.0220486,-0.0904757,0.0247123,-0.00380164,-0.0223818,-0.0490599,0.0511043,-0.0891209,0.128923,0.059815,-0.0140431,0.0772227,0.0734578,0.0315985,-34366.8
-33551.9,1,0.430833,3,7,0,33579.7,-0.00634029,0.965533,0.141141,-0.0287602,0.202527,0.12472,0.306093,0.139258,0.0795761,0.0631392,0.255194,0.172129,-0.0392456,0.0977573,0.0814749,0.0214601,0.174228,0.11069,0.135286,0.144384,0.0166477,0.0314984,-0.0980552,0.03266,-0.000531843,-0.0359185,-0.0374202,0.065382,-0.0888977,0.101187,0.0892467,-0.0146261,0.0908518,0.0540269,0.0461217,-34351.1
-33549.8,0.797592,0.430833,3,7,0,33573.5,-0.00784634,0.966433,0.13605,-0.0352719,0.216561,0.125883,0.30607,0.157462,0.0629277,0.0860487,0.252125,0.157204,-0.0532594,0.116223,0.0896649,0.0215504,0.177752,0.10738,0.152965,0.140569,0.00310237,0.0421564,-0.0956973,0.0296878,-0.0169307,-0.0474298,-0.0678628,0.0649565,-0.0871421,0.0906216,0.110691,-0.00552153,0.119067,0.0808842,0.0462504,-34379.2
-33547,0.979527,0.430833,3,7,0,33563.2,-0.00196823,0.967637,0.133704,-0.0285848,0.212251,0.120203,0.308553,0.171135,0.0552953,0.0901899,0.2446,0.157558,-0.0398097,0.120178,0.0957977,0.0264526,0.17262,0.128195,0.153745,0.153845,0.0234186,0.0322818,-0.0875844,0.0256938,-0.0166466,-0.0354308,-0.0554153,0.0533105,-0.0791298,0.113549,0.103334,-0.0273003,0.153052,0.0853499,0.0466514,-34374.1
-33551.7,0.889823,0.430833,3,7,0,33563.3,-0.0145418,0.969017,0.15049,-0.0439632,0.248283,0.110963,0.283782,0.165062,0.0682385,0.0743064,0.253411,0.189908,-0.0502716,0.106586,0.0837402,0.00868295,0.146359,0.108311,0.149722,0.161087,0.0104316,0.0215862,-0.0881933,-0.000199526,-0.0379958,-0.0143507,-0.0575691,0.067182,-0.100658,0.141318,0.0872701,-0.0198327,0.100621,0.101522,0.0534458,-34375
-33545.5,0.998811,0.430833,3,7,0,33562.2,-0.00802882,0.968625,0.144519,-0.0292164,0.227309,0.13637,0.302228,0.181235,0.0642574,0.093943,0.230145,0.164881,-0.0410898,0.103532,0.0791285,0.0225197,0.181133,0.131561,0.136103,0.163463,0.0186614,0.00422155,-0.0893536,0.028354,-0.0265961,-0.0472755,-0.0512973,0.0740702,-0.101987,0.175995,0.0826655,-0.0276602,0.111445,0.0929327,0.0572156,-34388.6
