# stan_version_major = 2
# stan_version_minor = 35
# stan_version_patch = 0
# model = hreg_model
# start_datetime = 2025-05-11 23:29:56 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/43/wy_ws5nx3830gqhfw05n4yyc0000gn/T/tmpeem7arw8/b_52eaq7.json
# init = 2 (Default)
# random
#   seed = 56611
# output
#   file = /Users/zhafen/repos/citesim/analysis_data/stan_fits/stan-fit_den-asym_nNone/h-den_GPT2_j/hreg-20250511182955_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.35.0
# stancflags = --filename-in-msg=hreg.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,sigma,beta.1.1,beta.2.1,beta.3.1,beta.4.1,beta.5.1,beta.6.1,beta.7.1,beta.8.1,beta.9.1,mu_beta.1,sigma_beta.1,log_p
# Adaptation terminated
# Step size = 0.536423
# Diagonal elements of inverse mass matrix:
# 2.52625e-05, 1.66422e-05, 0.000127082, 0.000100355, 0.000142515, 0.000105865, 0.000113915, 0.00014387, 0.00011946, 0.000158718, 0.000118789, 0.00034582, 0.0916062
-35720.4,0.930924,0.536423,3,7,0,35725.6,-0.0126713,0.998117,0.0748659,0.112007,0.079854,0.0711556,0.0207345,0.0440965,0.10253,0.0171631,0.00813131,0.0612571,0.0365702,-34188.5
-35719.4,0.985577,0.536423,3,7,0,35723.5,-0.0026433,0.994783,0.0794696,0.124144,0.0722569,0.0677046,0.0153734,0.0257317,0.0920939,0.0229665,0.00707542,0.0515145,0.0376321,-34187.7
-35718.2,0.766365,0.536423,3,7,0,35724.3,-0.010578,0.996353,0.0930956,0.118433,0.0460013,0.0699379,0.0102887,0.0320696,0.111029,0.0220389,-0.000473315,0.0582931,0.0396888,-34190.8
-35720.6,0.749693,0.536423,3,7,0,35724.7,-0.0107289,0.996874,0.0922621,0.122702,0.059473,0.0685617,-7.68612e-05,0.0236588,0.115652,0.0256624,-0.00147204,0.0630816,0.0355457,-34191.9
-35725,0.745584,0.536423,3,7,0,35728.2,-0.00461906,0.996525,0.0749765,0.0902614,0.0498251,0.0663666,0.0266356,0.0276564,0.0941266,0.0318656,-0.00518565,0.0342071,0.0739777,-34176.2
-35725.3,0.898677,0.536423,3,7,0,35736.1,-0.00635001,0.996507,0.0830759,0.144461,0.0689521,0.0776088,0.0210417,0.0204219,0.104143,-0.00541274,-0.0147743,0.0692943,0.05195,-34199.3
