# stan_version_major = 2
# stan_version_minor = 35
# stan_version_patch = 0
# model = hreg_model
# start_datetime = 2025-05-11 23:29:56 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /var/folders/43/wy_ws5nx3830gqhfw05n4yyc0000gn/T/tmpeem7arw8/b_52eaq7.json
# init = 2 (Default)
# random
#   seed = 56611
# output
#   file = /Users/zhafen/repos/citesim/analysis_data/stan_fits/stan-fit_den-asym_nNone/h-den_GPT2_j/hreg-20250511182955_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.35.0
# stancflags = --filename-in-msg=hreg.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,sigma,beta.1.1,beta.2.1,beta.3.1,beta.4.1,beta.5.1,beta.6.1,beta.7.1,beta.8.1,beta.9.1,mu_beta.1,sigma_beta.1,log_p
# Adaptation terminated
# Step size = 0.576913
# Diagonal elements of inverse mass matrix:
# 2.50605e-05, 1.74127e-05, 0.000108151, 0.000124808, 0.000153961, 0.000113495, 0.000116241, 0.000136223, 0.000132675, 0.000139261, 0.000127922, 0.000324463, 0.0865879
-35722.4,0.861029,0.576913,3,7,0,35727.4,-0.00590108,0.999005,0.0885882,0.130376,0.036114,0.0641001,0.00508731,0.0377407,0.0941712,0.0243232,-0.0171467,0.0351414,0.048147,-34185.4
-35723.8,0.816908,0.576913,3,7,0,35729.8,-0.00859679,0.999558,0.0906099,0.123482,0.0461766,0.0531151,0.0139875,0.0459086,0.11085,0.0175879,-0.00441082,0.0716523,0.0300179,-34187.7
-35723.9,1,0.576913,3,7,0,35728.2,-0.00543449,0.99145,0.0719363,0.118549,0.0648879,0.0889344,0.0119305,0.0403,0.0887077,0.0416537,0.000958103,0.0413439,0.0606947,-34191.2
-35722.1,1,0.576913,3,7,0,35727.7,-0.0105709,0.999996,0.0961673,0.118816,0.0611392,0.090295,0.00362519,0.0452438,0.0938672,0.0359509,-0.00335412,0.0677347,0.0464046,-34195.3
-35720.7,0.896628,0.576913,3,7,0,35729.3,-0.00817694,1.00085,0.0786418,0.133043,0.047045,0.075956,0.015925,0.0298763,0.112396,0.0202654,0.00922393,0.0653446,0.044991,-34193
-35721.4,0.932969,0.576913,3,7,0,35726.4,-0.00597008,1.00044,0.0795605,0.127625,0.042665,0.0694258,0.01686,0.042086,0.120301,0.0143489,-0.000277857,0.053094,0.0451475,-34191.9
