# stan_version_major = 2
# stan_version_minor = 35
# stan_version_patch = 0
# model = hreg_model
# start_datetime = 2025-05-12 00:25:15 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/43/wy_ws5nx3830gqhfw05n4yyc0000gn/T/tmpeem7arw8/7zd5_gux.json
# init = 2 (Default)
# random
#   seed = 80311
# output
#   file = /Users/zhafen/repos/citesim/analysis_data/stan_fits/stan-fit_den-asym_nNone/h-den_SBERT_j.h-nonsems/hreg-20250511192515_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.35.0
# stancflags = --filename-in-msg=hreg.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,sigma,beta.1.1,beta.2.1,beta.3.1,beta.4.1,beta.5.1,beta.6.1,beta.7.1,beta.8.1,beta.9.1,beta.1.2,beta.2.2,beta.3.2,beta.4.2,beta.5.2,beta.6.2,beta.7.2,beta.8.2,beta.9.2,beta.1.3,beta.2.3,beta.3.3,beta.4.3,beta.5.3,beta.6.3,beta.7.3,beta.8.3,beta.9.3,mu_beta.1,mu_beta.2,mu_beta.3,sigma_beta.1,sigma_beta.2,sigma_beta.3,log_p
# Adaptation terminated
# Step size = 0.427825
# Diagonal elements of inverse mass matrix:
# 2.21067e-05, 1.75996e-05, 0.000109911, 0.000120192, 0.000108142, 0.000120789, 0.000137853, 0.000132384, 0.000165857, 0.000167702, 0.000176114, 0.000110512, 0.000107828, 0.00018178, 0.000102912, 0.00013942, 0.000111133, 0.000143871, 0.000147005, 0.000128601, 0.000135392, 0.000126143, 0.000128689, 0.00016083, 0.000141699, 0.000146453, 0.000123843, 0.000135173, 0.000144524, 0.0025297, 0.00104218, 0.000324212, 0.0794121, 0.074679, 0.0861556
-33952.3,0.773188,0.427825,3,7,0,33972.7,0.000746254,0.97668,0.111817,-0.0626732,0.26505,0.107398,0.270364,0.165571,0.0525719,0.0453258,0.265237,0.13186,-0.0552215,0.0962807,0.0864186,0.0164605,0.169247,0.0712727,0.128001,0.139475,-0.0248158,0.0476487,0.0473895,0.0283025,0.0236428,-0.0125781,-0.0553883,-0.00592238,-0.0336747,0.118576,0.0794991,-0.0147783,0.111169,0.0924416,0.0645254,-34878.9
-33956.4,0.794854,0.427825,3,7,0,33976.9,0.00430871,0.975869,0.1158,-0.0448914,0.254993,0.111388,0.292809,0.127898,0.0120539,0.0382002,0.253143,0.152012,-0.0423497,0.108609,0.0823016,0.0154519,0.186133,0.0859522,0.139923,0.125501,-0.0289605,0.04015,0.0628442,0.026227,-0.00343579,-0.000365456,-0.0679975,0.0228271,-0.029683,0.141729,0.161688,0.0102555,0.107723,0.083854,0.0263931,-34890.7
-33960.6,0.776177,0.427825,4,15,0,33979.5,0.00552691,0.976012,0.111505,-0.0640382,0.243243,0.123233,0.28776,0.178826,0.0447245,0.0400855,0.285704,0.12775,-0.0542715,0.0875024,0.0601869,-0.00222358,0.157147,0.0714977,0.120379,0.119568,-0.0119039,0.074197,0.0682788,-0.00750514,0.0438288,0.0084863,-0.0828798,-0.0217577,-0.0414483,0.131168,-0.0238566,0.0270667,0.156597,0.108764,0.0717791,-34891.7
-33960.1,0.887343,0.427825,3,15,0,33984.3,0.00584474,0.977386,0.120913,-0.0553413,0.235975,0.121273,0.29214,0.176781,0.0368796,0.0336206,0.28971,0.131653,-0.0507735,0.100122,0.0653262,-0.00734149,0.157308,0.0702136,0.122743,0.12431,-0.0168343,0.0684261,0.0743553,-0.0145786,0.0389048,0.0136138,-0.0818622,-0.0229305,-0.0539582,0.176246,-0.00706686,0.0408787,0.142032,0.118151,0.0610978,-34897.7
-33958.4,0.693731,0.427825,3,7,0,33982.8,0.0057238,0.979179,0.116689,-0.0449326,0.265923,0.115313,0.286136,0.137778,0.0494149,0.0369543,0.286719,0.124805,-0.0629119,0.106374,0.0936085,0.00152066,0.160206,0.0829178,0.149581,0.131375,-0.0128174,0.0432584,0.0785052,0.0169763,0.00628515,0.0107142,-0.0623451,0.008509,-0.0276552,0.0857101,0.0454399,-0.00360682,0.098591,0.12861,0.0847363,-34909
-33961.8,0.940338,0.427825,3,7,0,33979.8,-0.00404401,0.975017,0.107253,-0.0744332,0.257976,0.127704,0.293886,0.152567,0.0255635,0.043357,0.268362,0.132427,-0.0342506,0.0875979,0.0753158,0.00963813,0.192531,0.0524082,0.12863,0.126433,-0.0234281,0.0380043,0.0568339,0.00954123,0.0310348,0.0137811,-0.0632099,-0.00193136,-0.0565021,0.167374,0.128015,0.0237921,0.149234,0.0500901,0.0314081,-34902.8
-33961.5,1,0.427825,3,7,0,33987.3,0.00166943,0.985913,0.111197,-0.0790312,0.246495,0.111839,0.283171,0.141487,0.0298919,0.0490247,0.247152,0.12556,-0.0453334,0.08523,0.0719506,0.0221723,0.175785,0.0846747,0.129369,0.149526,-0.01389,0.0520164,0.078586,0.00707429,0.00115202,-0.00375827,-0.0474646,-0.0121946,-0.0448722,0.155981,0.0818617,-0.00974422,0.0821886,0.0980359,0.0559504,-34843.1
-33957.2,1,0.427825,3,7,0,33974.3,0.0093031,0.971513,0.118938,-0.039819,0.256988,0.130098,0.293877,0.159042,0.0207734,0.0275696,0.296294,0.149685,-0.0699617,0.101654,0.0774731,-0.0136904,0.156404,0.06692,0.113895,0.105943,-0.0188125,0.0579061,0.0593504,0.0178751,0.0420513,0.00598385,-0.0867394,0.0079979,-0.0188564,0.0926525,0.096778,0.0191596,0.22904,0.0915474,0.0392508,-34928.1
-33953.8,1,0.427825,3,7,0,33968.9,0.000363612,0.981952,0.114911,-0.0724332,0.252199,0.108448,0.297149,0.146487,0.0233664,0.0462755,0.27683,0.13016,-0.0267185,0.0850169,0.0792226,-0.000612041,0.167092,0.0869279,0.126209,0.123056,-0.0231939,0.0381887,0.074235,0.00362288,0.0224578,-0.00672683,-0.0449057,-0.00964393,-0.0448139,0.158428,0.0678994,-0.0107349,0.0803397,0.0523293,0.0465904,-34870.5
-33957.3,0.847738,0.427825,3,7,0,33974.3,0.0108703,0.971835,0.111178,-0.0537911,0.229027,0.128989,0.286767,0.142054,0.0498014,0.0319692,0.273511,0.138826,-0.0596761,0.124434,0.0546085,0.0245332,0.164852,0.0591328,0.123314,0.125178,-0.00904624,0.0454172,0.0612153,0.0132374,0.00213835,-0.00273568,-0.0857567,-0.000286336,-0.0353792,0.0924231,0.128479,-0.0101037,0.220827,0.0820369,0.0491069,-34882.4
-33957.8,0.897369,0.427825,3,7,0,33977.9,0.00244896,0.982022,0.10896,-0.0640591,0.247095,0.108375,0.289662,0.162014,0.0416541,0.0502142,0.272732,0.154099,-0.0411827,0.0956617,0.075059,0.001328,0.161514,0.0725432,0.114726,0.130216,-0.00976694,0.044004,0.0583501,-0.00220936,-0.0100438,-0.000161422,-0.0591021,0.0153873,-0.0103025,0.176332,0.115456,0.0021878,0.0897901,0.122609,0.030316,-34867.3
-33952.1,0.999005,0.427825,3,7,0,33972.3,0.00573842,0.971676,0.112186,-0.0515185,0.21942,0.121239,0.286538,0.145233,0.020699,0.0412022,0.274481,0.138086,-0.0559745,0.0870572,0.0718972,0.0099031,0.149159,0.0720522,0.132977,0.105009,-0.0235101,0.0607736,0.089462,0.040326,0.0342058,0.000663768,-0.0661719,0.00720928,-0.0404862,0.0830433,0.0660063,0.0183557,0.114951,0.0615369,0.0510491,-34861.3
-33962.1,0.5923,0.427825,3,15,0,33979.5,0.010068,0.975074,0.114531,-0.0680256,0.210332,0.111851,0.299301,0.151833,0.0100266,0.0385007,0.276748,0.127705,-0.0723048,0.0913278,0.0655804,0.00946021,0.160586,0.0757616,0.126414,0.108859,-0.0305649,0.0425021,0.0792712,0.0219642,0.0347001,0.0064935,-0.0666177,0.00264392,-0.0476296,-0.0209878,0.056051,-0.0151071,0.13715,0.0553563,0.0826081,-34864.5
-33950,1,0.427825,3,15,0,33973.9,0.00560416,0.978413,0.109907,-0.0596239,0.245476,0.119511,0.29037,0.136536,0.0128971,0.0329111,0.277476,0.141498,-0.0573592,0.122394,0.063307,0.00250467,0.162256,0.0901553,0.131294,0.116969,-0.0358644,0.04315,0.0776539,-0.00949441,0.0306943,-0.000366876,-0.0767003,-0.00199446,-0.0262187,0.192885,0.1018,-0.0422075,0.11915,0.06493,0.0624516,-34887
-33953.6,0.773171,0.427825,3,7,0,33970.9,0.00394983,0.97412,0.120747,-0.0563307,0.248698,0.122264,0.280569,0.167827,0.0215015,0.0301705,0.273949,0.135074,-0.0497117,0.0697611,0.0881483,0.0135934,0.175316,0.0757804,0.141999,0.130387,0.00272464,0.055819,0.0610068,0.0296724,0.0109605,-0.00370731,-0.0672482,0.00945351,-0.0479138,0.123955,0.0734721,0.0460833,0.21792,0.101336,0.0588946,-34894.8
-33953.5,0.944522,0.427825,3,7,0,33972.5,0.00482895,0.978608,0.101646,-0.0560647,0.245624,0.12408,0.294209,0.134238,0.0148021,0.0432051,0.287109,0.122001,-0.0569698,0.122754,0.0753181,0.0149476,0.161099,0.0827094,0.122128,0.113604,-0.0197727,0.0360109,0.0666212,0.000432698,0.0119423,0.0158294,-0.0778997,-0.00348199,-0.0188731,0.182739,0.0836189,-0.0244976,0.280577,0.0600641,0.0366963,-34884.9
