# stan_version_major = 2
# stan_version_minor = 35
# stan_version_patch = 0
# model = hreg_model
# start_datetime = 2025-05-12 00:25:15 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/43/wy_ws5nx3830gqhfw05n4yyc0000gn/T/tmpeem7arw8/7zd5_gux.json
# init = 2 (Default)
# random
#   seed = 80311
# output
#   file = /Users/zhafen/repos/citesim/analysis_data/stan_fits/stan-fit_den-asym_nNone/h-den_SBERT_j.h-nonsems/hreg-20250511192515_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.35.0
# stancflags = --filename-in-msg=hreg.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,sigma,beta.1.1,beta.2.1,beta.3.1,beta.4.1,beta.5.1,beta.6.1,beta.7.1,beta.8.1,beta.9.1,beta.1.2,beta.2.2,beta.3.2,beta.4.2,beta.5.2,beta.6.2,beta.7.2,beta.8.2,beta.9.2,beta.1.3,beta.2.3,beta.3.3,beta.4.3,beta.5.3,beta.6.3,beta.7.3,beta.8.3,beta.9.3,mu_beta.1,mu_beta.2,mu_beta.3,sigma_beta.1,sigma_beta.2,sigma_beta.3,log_p
# Adaptation terminated
# Step size = 0.497661
# Diagonal elements of inverse mass matrix:
# 2.15622e-05, 1.75635e-05, 9.60236e-05, 0.000119911, 0.000140364, 0.000106551, 0.000135788, 0.000149582, 0.000136561, 0.000158885, 0.000158978, 0.00011636, 0.000127439, 0.000171878, 0.000119621, 0.000113185, 0.00012399, 0.000109085, 0.000142629, 0.000151345, 0.00014242, 0.000128297, 0.000122046, 0.000173288, 0.000166096, 0.000154719, 0.000138963, 0.000145613, 0.000142057, 0.00251489, 0.000839562, 0.000248319, 0.0960328, 0.0772037, 0.0902283
-33953.7,0.974416,0.497661,3,7,0,33968.4,0.00645001,0.97556,0.115069,-0.0474861,0.247657,0.127414,0.276243,0.157896,0.0248873,0.0481499,0.276642,0.152892,-0.0439496,0.0971299,0.0708347,0.0216767,0.153534,0.0962007,0.141364,0.130286,-0.0082598,0.020775,0.0472928,0.0102044,0.0155629,-0.0159499,-0.0717513,-0.00868963,-0.0481264,0.24277,0.105486,-0.00159719,0.184794,0.073532,0.041481,-34886.1
-33954.4,0.84881,0.497661,3,7,0,33973.2,0.00602309,0.979692,0.111728,-0.0720558,0.261165,0.115562,0.30163,0.141963,0.0226276,0.0287123,0.271144,0.131609,-0.0600764,0.0925972,0.0783936,-0.0112722,0.17313,0.0627142,0.115252,0.121394,-0.0243321,0.0837323,0.0850706,0.0129252,0.0213089,0.0168048,-0.0633275,0.0127925,-0.0169159,0.0358805,0.0983061,0.0201824,0.134907,0.0782056,0.0685107,-34896
-33952.3,1,0.497661,3,7,0,33968.2,0.00445131,0.980018,0.103982,-0.0762439,0.262394,0.108804,0.303285,0.141915,0.0256636,0.0253723,0.272935,0.132319,-0.0582327,0.0947069,0.0822933,-0.00923324,0.161657,0.0697802,0.11284,0.128539,-0.016863,0.0700085,0.0833885,0.00211056,0.021358,0.0139654,-0.0668758,0.011222,-0.0167855,0.0267129,0.100314,0.0100758,0.133148,0.0746441,0.0483881,-34894.5
-33950.3,0.952433,0.497661,3,7,0,33966.3,0.00306654,0.97584,0.122198,-0.0436639,0.236489,0.127737,0.271545,0.159777,0.0187877,0.0402909,0.275336,0.146268,-0.0436249,0.0988862,0.0643107,0.0285289,0.168877,0.0803482,0.138306,0.116695,-0.0252528,0.0324624,0.051712,0.0163813,0.00837679,-0.0103115,-0.076146,-0.0108834,-0.0478209,0.227885,0.0981339,-0.00360511,0.163079,0.0649988,0.0329788,-34863.9
-33951.6,0.626928,0.497661,3,7,0,33971,0.00654862,0.978009,0.101868,-0.077442,0.260331,0.111183,0.304475,0.148378,0.0218836,0.0329794,0.251959,0.135552,-0.0630069,0.100535,0.0927528,0.00176597,0.166803,0.0844214,0.115755,0.142837,-0.0123105,0.0734213,0.0715795,0.00578057,0.0131438,0.0053125,-0.0724543,0.00129651,-0.0232775,0.0560251,0.0843655,-0.000737371,0.110528,0.0750562,0.0695918,-34904.6
-33951.6,0.912097,0.497661,3,7,0,33967.8,0.0039852,0.976782,0.127666,-0.0429506,0.237217,0.130012,0.277991,0.154996,0.0260347,0.0370565,0.292323,0.146095,-0.0509776,0.0991796,0.0539314,0.00573725,0.16576,0.0781401,0.142264,0.118472,-0.0271761,0.0218153,0.0555658,0.010814,0.0307199,-0.00527757,-0.0578252,-0.00220891,-0.0409286,0.214128,0.0715959,0.00622179,0.177236,0.0939291,0.0379048,-34882.6
