# stan_version_major = 2
# stan_version_minor = 35
# stan_version_patch = 0
# model = hreg_model
# start_datetime = 2025-05-11 23:34:46 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/43/wy_ws5nx3830gqhfw05n4yyc0000gn/T/tmpeem7arw8/qskiccob.json
# init = 2 (Default)
# random
#   seed = 46428
# output
#   file = /Users/zhafen/repos/citesim/analysis_data/stan_fits/stan-fit_den-asym_nNone/h-den_SBERT_j/hreg-20250511183445_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.35.0
# stancflags = --filename-in-msg=hreg.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,sigma,beta.1.1,beta.2.1,beta.3.1,beta.4.1,beta.5.1,beta.6.1,beta.7.1,beta.8.1,beta.9.1,mu_beta.1,sigma_beta.1,log_p
# Adaptation terminated
# Step size = 0.480968
# Diagonal elements of inverse mass matrix:
# 2.41494e-05, 1.68261e-05, 0.000127895, 0.00013489, 0.0001955, 0.000151046, 0.000116244, 0.000141857, 0.000138728, 0.000187048, 0.000119099, 0.000350243, 0.0826968
-35671.5,0.913314,0.480968,3,7,0,35677.7,-0.0022149,1.00044,0.022896,0.0364115,0.119873,0.0082329,0.0818444,0.0157453,-0.0653165,0.000448294,0.0380458,0.00423026,0.0701096,-34260.4
-35670.3,0.868656,0.480968,3,7,0,35677.3,0.0142447,1.00078,-0.0157075,0.0350149,0.119464,0.0298473,0.061839,0.0201886,-0.048835,0.00626464,0.039906,0.042904,0.0547242,-34252.6
-35672.7,0.93038,0.480968,3,7,0,35677,-0.00199342,1.00022,0.028714,0.0413423,0.119304,0.021739,0.0806935,0.0172887,-0.0669384,0.00779231,0.0408108,0.0567829,0.0880162,-34262.5
-35671.2,0.933358,0.480968,3,7,0,35680.8,0.0120835,1.00038,0.00335752,0.0306341,0.112469,0.0163426,0.0567046,0.0262723,-0.0427226,0.00122547,0.0562855,0.0138656,0.0292866,-34252.7
-35671.1,0.998508,0.480968,3,7,0,35674,0.000477294,0.996783,0.00933256,0.0404496,0.117622,0.0151423,0.084312,0.00988442,-0.0632177,0.011197,0.0303207,0.0488401,0.089425,-34258.2
-35669.8,0.987259,0.480968,3,7,0,35675,0.0046985,1.00046,0.000260137,0.0322802,0.116614,0.0251125,0.0558575,0.0308544,-0.0495719,0.0030169,0.0588958,0.0190446,0.0313724,-34254.9
-35669.3,1,0.480968,3,7,0,35674.7,0.00386481,0.998881,0.00301435,0.0457263,0.105364,0.00250879,0.0671825,0.0400407,-0.0480284,0.0154079,0.0558371,0.0417459,0.0368077,-34257.7
-35670.4,0.778315,0.480968,3,7,0,35678.7,0.00902074,0.998983,-0.00623373,0.0234582,0.118996,0.02695,0.068995,0.00794915,-0.0595065,-0.00476597,0.0338216,0.0156892,0.0943204,-34251.3
-35668.4,0.934644,0.480968,3,7,0,35676,0.00337208,1.00038,0.0159922,0.0499266,0.118004,0.00816219,0.0759127,0.0371188,-0.0522432,0.0153566,0.0546345,0.0308172,0.039568,-34263.8
-35668.7,0.965886,0.480968,3,7,0,35672.8,0.00236671,1.00273,0.0303049,0.0420186,0.113214,0.021953,0.0724583,0.0260253,-0.0582685,0.00124331,0.0418289,0.0328111,0.0424116,-34259.1
-35667.8,0.9777,0.480968,3,7,0,35672.4,0.00817232,1.00198,-0.0175898,0.0336073,0.1204,0.0183495,0.0720169,0.0196795,-0.047028,0.00959771,0.0472856,0.0350619,0.0546134,-34254.2
-35667.5,0.982624,0.480968,3,7,0,35670.7,0.0049975,0.998325,0.020137,0.0480438,0.114439,0.0140255,0.0753994,0.0347462,-0.0472645,0.00795665,0.0451704,0.0497913,0.0509901,-34261
-35666.9,0.925661,0.480968,3,7,0,35671.6,0.00761385,1.00351,-0.00199608,0.0359347,0.117654,0.0273331,0.0635293,0.00947442,-0.0561869,0.0106639,0.0480499,0.028341,0.0466696,-34252.1
-35669.4,0.612291,0.480968,3,7,0,35682.7,0.0150366,1.00177,0.0143367,0.0399634,0.119675,0.0084625,0.0810091,0.0342572,-0.0517867,0.00276413,0.0385258,0.0358246,0.0539598,-34261.9
-35668.8,0.972923,0.480968,3,7,0,35673.4,0.00124733,0.998442,-0.000114443,0.0327755,0.128425,0.0178373,0.0737358,0.000464908,-0.0627089,0.00141827,0.0367541,0.0332951,0.0597842,-34255.4
-35673.7,0.812335,0.480968,3,7,0,35678,-0.000818956,1.00183,-0.00404229,0.0234271,0.108331,0.0265825,0.0627967,0.00927025,-0.0684869,0.0153937,0.0316597,0.0637208,0.0856146,-34248.3
-35671.6,0.9922,0.480968,3,7,0,35680,0.0134547,0.998405,0.00894599,0.0437857,0.122513,0.0197919,0.0797667,0.0444987,-0.0494951,0.00107768,0.0666552,0.0360017,0.0495473,-34269.5
-35671.3,0.940513,0.480968,3,7,0,35677.1,-0.00115336,1.00333,0.00639942,0.0206385,0.107164,0.015059,0.0683818,0.0109295,-0.0585308,0.0140674,0.0215311,0.024454,0.0497467,-34247.5
-35668.3,0.882872,0.480968,3,7,0,35680.1,0.00534673,0.998112,0.00642178,0.0523231,0.108082,0.0236517,0.0726515,0.0335959,-0.0439837,0.00133233,0.0609352,0.0391407,0.0437624,-34260.5
-35667.7,0.888882,0.480968,3,7,0,35674.4,0.00598397,0.997587,0.0108916,0.0444525,0.122869,0.0294806,0.0730057,0.0273853,-0.0401006,-0.00635073,0.054168,0.031804,0.0469266,-34261.4
-35668.9,0.92533,0.480968,3,7,0,35672.6,0.00641119,1.00346,0.00477846,0.0227079,0.111159,0.00288904,0.0716842,0.0179367,-0.066063,0.0223723,0.0430257,0.033517,0.0559065,-34253.2
-35672.1,0.815374,0.480968,3,7,0,35678.3,0.00611374,1.00049,-6.56846e-05,0.0621672,0.124404,0.0258762,0.0736072,0.0332842,-0.0502517,-0.00680496,0.0388774,0.0623159,0.105811,-34262.4
-35670.2,0.935046,0.480968,3,7,0,35677.5,0.0113925,0.999625,0.00668433,0.0107337,0.124079,0.00874147,0.0816215,0.0220422,-0.0544028,0.0167647,0.0407236,0.0239729,0.0650199,-34258.2
-35671.6,0.900033,0.480968,3,7,0,35676.9,0.00393172,1.00366,0.0102496,0.0100205,0.118758,0.0330269,0.0706482,0.0302718,-0.0447168,0.00032589,0.0468896,0.0320032,0.0754571,-34255.5
