# stan_version_major = 2
# stan_version_minor = 35
# stan_version_patch = 0
# model = hreg_model
# start_datetime = 2025-05-11 23:34:46 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /var/folders/43/wy_ws5nx3830gqhfw05n4yyc0000gn/T/tmpeem7arw8/qskiccob.json
# init = 2 (Default)
# random
#   seed = 46428
# output
#   file = /Users/zhafen/repos/citesim/analysis_data/stan_fits/stan-fit_den-asym_nNone/h-den_SBERT_j/hreg-20250511183445_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.35.0
# stancflags = --filename-in-msg=hreg.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,sigma,beta.1.1,beta.2.1,beta.3.1,beta.4.1,beta.5.1,beta.6.1,beta.7.1,beta.8.1,beta.9.1,mu_beta.1,sigma_beta.1,log_p
# Adaptation terminated
# Step size = 0.53646
# Diagonal elements of inverse mass matrix:
# 2.57113e-05, 1.69869e-05, 0.000129345, 0.000130766, 0.000173048, 0.000153374, 9.74622e-05, 0.000118645, 0.000138931, 0.000137448, 0.000141411, 0.000408089, 0.0877432
-35671.1,0.934409,0.53646,3,7,0,35678.7,0.00604551,1.00492,0.0222267,0.0373125,0.109501,0.00811766,0.0626206,0.00400393,-0.0458238,0.0224776,0.0451458,0.0443399,0.039483,-34250.3
-35669.1,0.998837,0.53646,3,7,0,35675.2,0.00884117,0.997055,0.0119466,0.0136783,0.120411,0.0169181,0.0769972,0.0211494,-0.0593005,0.0130739,0.0496031,0.0100947,0.0596753,-34258.7
-35666.5,1,0.53646,3,7,0,35670.8,0.00516838,1.00216,0.00792226,0.0324562,0.111224,0.0227862,0.0665121,0.0118694,-0.044662,-0.00356811,0.0393995,0.0155396,0.04788,-34249.6
-35670.4,0.781582,0.53646,2,3,0,35671.9,0.00895646,0.9978,0.00609699,0.0264126,0.126179,0.0370013,0.0639989,0.003945,-0.0557609,0.00438699,0.0327736,0.0219542,0.0345002,-34252.7
-35671.7,0.833653,0.53646,3,7,0,35676.6,0.00296577,1.00365,0.000747929,0.0481192,0.10979,0.00775658,0.0770956,0.0203752,-0.0567258,0.00273845,0.0657672,0.0469316,0.0948295,-34259.3
-35671.2,0.906589,0.53646,3,7,0,35677.9,0.00991451,0.998538,0.0204694,0.0324216,0.135934,0.0189266,0.0762565,0.0298894,-0.0528416,0.0112087,0.0262595,0.072454,0.0551057,-34262.7
-35673.6,0.753332,0.53646,3,7,0,35680.3,-0.00150396,1.0001,0.00433332,0.0603,0.137882,0.0262978,0.0927271,0.0182983,-0.0441541,0.0172156,0.0484825,0.0414932,0.0592068,-34270.2
-35674.6,0.994723,0.53646,3,7,0,35680.2,0.0134408,1.00232,0.0026363,0.0164344,0.102076,0.00377936,0.0520975,0.0145683,-0.0680345,-0.00409197,0.0339133,-0.00594568,0.0580739,-34245.7
-35670,1,0.53646,3,7,0,35678.4,-0.000661968,0.99852,-0.00150343,0.04501,0.129676,0.0240982,0.080359,0.0380657,-0.0509144,0.0103583,0.0586168,0.0375421,0.0582592,-34267.5
-35670.7,0.897395,0.53646,3,7,0,35676.4,0.0127228,1.00237,0.0103905,0.0406557,0.105978,0.0207533,0.0611669,0.0254859,-0.0713382,0.015146,0.024263,0.0360293,0.0509093,-34252.7
-35675,0.847959,0.53646,3,7,0,35682.5,0.00383695,0.99872,0.0278906,0.0272709,0.10126,0.0426038,0.0863629,0.0455726,-0.0487414,0.022109,0.0497897,0.0299285,0.0324601,-34264.8
-35668.1,1,0.53646,2,3,0,35676.9,0.00957789,1.0029,0.00696734,0.0361658,0.11537,0.037774,0.0711638,0.037294,-0.0532903,0.021031,0.0464131,0.0360082,0.0503672,-34259.4
-35668.8,0.96708,0.53646,3,7,0,35671.3,0.0110988,1.00311,0.00453625,0.0405183,0.114141,0.0132314,0.0739404,0.0144534,-0.0511692,-0.0129777,0.0488118,0.00462461,0.0502757,-34255.2
-35668.5,0.912331,0.53646,3,7,0,35675.3,0.00765206,1.00304,0.00650877,0.0319346,0.116742,0.0211898,0.0712056,0.028775,-0.057253,0.0256938,0.042977,0.0662047,0.0571527,-34256.8
-35674.1,0.76195,0.53646,3,7,0,35677.6,0.0103204,0.996115,0.00481107,0.0533818,0.0846082,0.0285186,0.0728514,-0.000102487,-0.0426629,0.00571891,0.03812,0.00677566,0.0370514,-34248.1
-35669.6,1,0.53646,3,7,0,35677.6,0.00856579,1.00333,0.0119836,0.03827,0.0989913,0.0370823,0.0701357,0.00452178,-0.0471066,0.0216153,0.0503214,0.0288733,0.0379681,-34250.7
-35674.1,0.814853,0.53646,3,7,0,35677.3,0.00556876,0.993804,0.0071324,0.0535054,0.103398,0.0238805,0.068507,-0.00105717,-0.0660557,0.0281201,0.0562211,0.0326954,0.0453296,-34257.2
-35670.9,1,0.53646,3,7,0,35678.5,0.000441874,1.00628,0.0159809,0.0316454,0.116893,0.0250216,0.0619559,0.0201988,-0.044329,0.0223202,0.0493609,0.0353962,0.0486751,-34254.2
-35675.7,0.964845,0.53646,3,7,0,35678.7,0.0114156,0.993873,-0.00224117,0.0498422,0.125083,0.0101745,0.0870361,0.0494876,-0.067432,0.00966311,0.0417375,0.0616224,0.0689833,-34272.3
-35674.1,0.990399,0.53646,3,7,0,35681.8,0.00908902,0.993428,0.0105016,0.0251231,0.109073,0.0212916,0.046509,0.00627443,-0.0653328,0.0116083,0.0357133,0.0141192,0.0401299,-34248.5
-35673.3,0.996539,0.53646,3,7,0,35679.7,0.00297964,1.00642,-0.00143028,0.0566001,0.139648,0.0227795,0.0755927,0.0222243,-0.0441268,-0.00318651,0.045762,0.0265913,0.0802639,-34263.9
-35668,1,0.53646,3,7,0,35676.1,0.00676251,0.996926,-0.00828462,0.0447167,0.120154,0.0298275,0.075845,0.0252079,-0.048355,0.0215422,0.0496797,0.0364311,0.057706,-34260
-35667.2,0.888999,0.53646,3,7,0,35674.1,0.00845526,1.00094,0.0215006,0.0336315,0.118617,0.00211173,0.0721749,0.0235288,-0.0584414,0.00317075,0.0373532,0.0294279,0.0544986,-34256.9
-35668.6,0.9308,0.53646,3,7,0,35671.2,0.00265541,0.997822,0.00866876,0.0430106,0.12558,0.0356309,0.0887593,0.0159909,-0.0552568,0.0113741,0.0447098,0.0402332,0.0654112,-34263.9
-35673.5,0.693546,0.53646,3,7,0,35677.6,0.00874398,1.00516,0.0201222,0.0417717,0.0799134,0.0214213,0.0647722,0.0244746,-0.0624202,0.0130037,0.0432569,0.0534415,0.0517256,-34249.8
-35670.9,0.970265,0.53646,3,7,0,35681.7,0.0121789,1.00086,0.016538,0.0347664,0.0871601,0.0259543,0.0655111,0.0207084,-0.056995,0.00862199,0.0528723,0.0438272,0.0322329,-34250.9
-35672.3,0.966894,0.53646,3,7,0,35677.5,0.00243759,0.996349,-0.00961061,0.0364934,0.139123,0.00567361,0.0692169,0.0218695,-0.049252,-9.59986e-05,0.0317556,0.0130271,0.0998513,-34258.6
-35676.9,0.836769,0.53646,3,7,0,35682.3,0.00952188,1.00371,0.0417084,0.0248079,0.108998,0.0139146,0.0785583,0.0135211,-0.0568508,-0.0192599,0.0367673,0.0557402,0.0591161,-34257.7
-35671.9,1,0.53646,3,7,0,35680.6,0.0022709,0.996403,-0.0219157,0.0354103,0.115413,0.0251243,0.073455,0.0241603,-0.0616085,0.0272246,0.0462035,0.010505,0.051562,-34257.7
-35670.4,0.967475,0.53646,3,7,0,35675.2,0.0132241,1.0044,0.0226393,0.0406988,0.132154,0.0161273,0.0707988,0.022236,-0.0452487,0.00185654,0.0472846,0.0374987,0.0598801,-34261.6
-35669.9,0.936862,0.53646,3,7,0,35677,0.000135332,0.997183,-0.011602,0.0319941,0.110842,0.0200332,0.0781523,0.00938954,-0.0504723,-0.00157822,0.0565214,0.0249989,0.0440173,-34254.9
-35669.6,0.974994,0.53646,3,7,0,35675.9,0.0124206,0.998018,0.0234931,0.0415016,0.125213,0.017419,0.0609702,0.016743,-0.0561484,0.0134671,0.0297778,0.0266832,0.057084,-34256.6
-35674.5,0.736446,0.53646,3,7,0,35679.5,-0.00505282,0.996891,-0.013967,0.0335542,0.103921,0.0180365,0.0801354,0.0262548,-0.0478513,-0.000704386,0.052785,0.0557736,0.0585951,-34256.8
-35667.6,0.950334,0.53646,2,7,0,35678.6,0.0096533,1.00125,0.00366436,0.0295625,0.111071,0.0253593,0.0735536,0.0300695,-0.0629834,0.0138499,0.0248578,0.0239846,0.0461006,-34254.4
-35667.4,0.928132,0.53646,3,7,0,35671.5,0.00919199,0.998358,-0.00249193,0.0291826,0.11288,0.0277951,0.0739383,0.0326104,-0.0515051,0.00678422,0.0270376,0.0346839,0.0407087,-34254.4
-35671,0.885288,0.53646,3,7,0,35673.1,-0.000238811,1.00162,0.00635548,0.0377031,0.131984,0.0165904,0.0616504,0.0231769,-0.0699111,0.00794877,0.0647753,0.0239068,0.0651178,-34262.8
-35666.7,0.95992,0.53646,2,7,0,35673.9,0.00856982,0.999861,0.00380921,0.0367316,0.0995973,0.0300655,0.0739125,0.0280895,-0.0451679,-0.000691717,0.0417366,0.0205556,0.0371096,-34252.7
-35673.2,0.541692,0.53646,3,7,0,35677.3,0.0041801,1.00173,-0.00369582,0.0484925,0.144495,-0.00423101,0.0722738,0.0064547,-0.0527807,0.00400916,0.053849,0.0563298,0.0922571,-34262.2
-35671.1,0.99275,0.53646,3,7,0,35678,0.00688348,0.999495,-0.00931521,0.0260543,0.119999,0.024734,0.0832874,0.0286361,-0.0487954,0.00592371,0.0274431,0.0246614,0.106224,-34256.4
-35674.8,0.708222,0.53646,3,7,0,35681.5,0.00352027,0.999047,-0.00450667,0.0491417,0.0875823,0.0302595,0.0699126,0.0182198,-0.0454263,0.0174181,0.0531336,0.0440253,0.0230842,-34250.7
-35673,1,0.53646,3,7,0,35680.4,0.00194838,0.998651,-0.00471658,0.0522299,0.0892776,0.0271436,0.0764409,0.0188041,-0.0431571,-0.0014553,0.0539899,0.0252269,0.0264273,-34252.9
-35669.3,0.918523,0.53646,2,3,0,35676.1,0.00956131,0.998716,-0.00802273,0.0485406,0.0970961,0.0230167,0.0807616,0.0122598,-0.0468174,-0.00355329,0.0513809,0.0355261,0.0397349,-34253.7
-35671.7,0.871842,0.53646,3,7,0,35677.3,0.00810434,1.00112,0.0116725,0.0329572,0.1179,0.0195932,0.0848827,0.0211792,-0.0290969,0.0366686,0.051384,0.0455705,0.0489495,-34260.3
-35674.9,0.926904,0.53646,3,7,0,35678.4,0.00447841,1.00011,-0.00224206,0.0442792,0.117347,0.0248996,0.0529498,0.0142104,-0.0812937,-0.0250565,0.034325,0.00602685,0.0626331,-34254.5
-35670.3,0.973111,0.53646,3,7,0,35681.6,0.0079092,1.00037,0.0113874,0.0177575,0.102377,0.0166634,0.0898901,0.0364877,-0.0502345,0.0228179,0.0452944,0.0280343,0.0521271,-34259.2
-35672.6,0.750077,0.53646,3,7,0,35679.9,0.00684717,0.997295,0.0195368,0.0352206,0.119208,0.0190354,0.0776698,0.0192272,-0.0490967,0.0140033,0.00765298,0.00637332,0.0592058,-34255.6
-35672.1,0.974818,0.53646,3,7,0,35678.8,0.0030169,1.00137,-0.0071353,0.0404408,0.113586,0.0255894,0.0616154,0.0323832,-0.0531704,0.00691327,0.0771706,0.0390505,0.0415536,-34260.1
-35668.5,1,0.53646,3,7,0,35675.2,0.00900595,0.997361,0.00801681,0.0441513,0.118877,0.0173,0.0553422,0.0225462,-0.0622222,-0.000852779,0.0353977,0.036546,0.0681714,-34254.3
-35672.3,0.807728,0.53646,3,7,0,35675.9,0.000839058,1.00071,-0.0173291,0.0345401,0.125922,0.022759,0.0914439,0.0163412,-0.0534957,-0.00285052,0.0567917,0.0519295,0.0508868,-34263
-35674.7,0.659861,0.53646,3,7,0,35685,0.00419244,1.00069,0.00469614,0.0520759,0.111541,0.000291822,0.0791868,0.0205232,-0.0787214,0.0235548,0.0672041,0.0335441,0.0383604,-34265.1
-35671.4,0.919097,0.53646,3,7,0,35681.4,0.00225519,1.00031,0.0275695,0.0265817,0.113527,0.0281841,0.0689162,0.0293336,-0.0457795,-0.0124258,0.0339026,0.00947878,0.0654818,-34255.7
-35670.1,0.995199,0.53646,3,7,0,35675.5,0.00556039,1.00221,0.0262691,0.0378018,0.129471,0.0171868,0.0623349,0.0364551,-0.0610685,0.00783361,0.0329082,0.0164517,0.0674159,-34260.8
-35668.4,0.998005,0.53646,3,7,0,35672.3,0.00362879,1.00054,-0.00930558,0.0406212,0.106594,0.0232257,0.0821067,0.00985963,-0.0433035,0.00927328,0.0535524,0.0191588,0.0517674,-34254.1
-35670.5,0.856441,0.53646,3,7,0,35676.2,0.0101318,0.997815,0.0137371,0.0449192,0.105323,0.0477826,0.079588,0.0228137,-0.0551656,0.00706202,0.0507256,0.044993,0.0345032,-34260.4
-35672.2,0.898542,0.53646,3,7,0,35678,0.00120961,1.00058,-0.00538279,0.0638611,0.120177,0.00608013,0.0787431,0.0316166,-0.0328972,0.00492638,0.0448008,0.0287929,0.0495243,-34261.5
-35667.9,1,0.53646,3,7,0,35673.6,0.00673793,1.00019,-0.00466495,0.0502201,0.118665,0.0122151,0.073248,0.0234828,-0.0414118,0.00246836,0.0460852,0.0592267,0.0562146,-34256.7
-35669.5,0.923515,0.53646,3,7,0,35673.6,0.00382881,1.00015,0.0181757,0.0222017,0.116222,0.0274372,0.0628093,0.0111688,-0.0651742,0.00688677,0.0390113,-0.000127436,0.0463788,-34252.5
-35675.6,0.791689,0.53646,3,7,0,35680.1,0.0094808,1.00109,-0.0158655,0.0412158,0.11279,0.00776511,0.0729217,0.0460154,-0.0238626,-0.00406435,0.0442013,0.0577426,0.0451322,-34257.4
-35671.4,1,0.53646,3,7,0,35680,0.00393387,0.999081,0.0197497,0.0369373,0.128128,0.00615768,0.0871253,0.0370096,-0.0699584,0.019751,0.0484381,0.0472217,0.0780697,-34269.7
-35670.6,1,0.53646,3,7,0,35675.3,0.00978372,1.00192,-0.000949843,0.0340463,0.115157,0.027595,0.0727542,0.039587,-0.04364,0.00411803,0.0514256,0.0591597,0.0959111,-34258.6
-35673.7,0.637066,0.53646,2,7,0,35686.9,0.00691796,1.00303,-0.0158779,0.0412848,0.113312,0.0272022,0.0882828,0.0345877,-0.0622978,-0.00175844,0.0590616,0.0786277,0.0770706,-34264.1
