# stan_version_major = 2
# stan_version_minor = 35
# stan_version_patch = 0
# model = hreg_model
# start_datetime = 2025-05-11 23:39:05 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/43/wy_ws5nx3830gqhfw05n4yyc0000gn/T/tmpeem7arw8/uo04pneg.json
# init = 2 (Default)
# random
#   seed = 26887
# output
#   file = /Users/zhafen/repos/citesim/analysis_data/stan_fits/stan-fit_den-asym_nNone/h-den_SciBERT_j/hreg-20250511183904_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.35.0
# stancflags = --filename-in-msg=hreg.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,sigma,beta.1.1,beta.2.1,beta.3.1,beta.4.1,beta.5.1,beta.6.1,beta.7.1,beta.8.1,beta.9.1,mu_beta.1,sigma_beta.1,log_p
# Adaptation terminated
# Step size = 0.532569
# Diagonal elements of inverse mass matrix:
# 2.0888e-05, 1.59961e-05, 0.000122244, 0.000130313, 0.000139491, 0.000122108, 9.92717e-05, 0.000121732, 0.000110053, 0.000194657, 0.00012432, 0.000637809, 0.0791123
-34790.8,0.757556,0.532569,3,7,0,34796.5,-0.0134552,0.991167,0.0588802,0.0576083,0.0504581,0.0627052,0.0438668,-0.0186124,0.191636,-0.0150391,0.0905556,0.0560632,0.0439469,-33377.3
-34789.7,0.94352,0.532569,3,7,0,34794.3,-0.0146796,0.992119,0.040817,0.0718318,0.0444459,0.0440968,0.03551,0.0166415,0.192877,-0.0260854,0.120433,0.0606336,0.0934772,-33384.3
-34790.2,0.994178,0.532569,3,7,0,34793,-0.0137753,0.990881,0.0548541,0.0610737,0.052379,0.0418975,0.0494953,-0.0101216,0.187089,-0.000245446,0.0887997,0.0571606,0.0386653,-33372.5
-34791.1,0.815138,0.532569,3,7,0,34795.7,-0.0136729,0.988905,0.0384985,0.0669533,0.0483013,0.0609855,0.0408307,0.0164155,0.202027,-0.0311243,0.123082,0.0945869,0.0920531,-33394.7
-34790.2,0.954077,0.532569,3,7,0,34794,-0.013844,0.995189,0.0567011,0.0602787,0.051711,0.0407034,0.0516426,-0.00929997,0.184494,0.00358628,0.0892292,0.0520687,0.0534588,-33369.2
-34790.2,0.944498,0.532569,3,7,0,34795.2,-0.0231985,0.989452,0.0444588,0.0585568,0.0516626,0.0465383,0.040904,0.00129995,0.188176,-0.0226235,0.0954903,0.0447514,0.0724811,-33375.7
-34792.5,0.930356,0.532569,2,7,0,34794.6,-0.0242334,0.990256,0.0392822,0.0561547,0.0515008,0.0411702,0.0461577,-0.00217192,0.179485,-0.0262089,0.0962542,0.0451429,0.0738391,-33369.1
-34791.2,0.987413,0.532569,3,7,0,34798.1,-0.00336394,0.990933,0.0570768,0.0699394,0.0477709,0.0542224,0.0513474,0.00802849,0.200821,-0.00237959,0.116869,0.0689439,0.0596235,-33392.5
