# stan_version_major = 2
# stan_version_minor = 35
# stan_version_patch = 0
# model = hreg_model
# start_datetime = 2025-05-11 23:22:44 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /var/folders/43/wy_ws5nx3830gqhfw05n4yyc0000gn/T/tmpeem7arw8/i9j302zr.json
# init = 2 (Default)
# random
#   seed = 21934
# output
#   file = /Users/zhafen/repos/citesim/analysis_data/stan_fits/stan-fit_den-asym_nNone/h-nonsems/hreg-20250511182243_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.35.0
# stancflags = --filename-in-msg=hreg.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,sigma,beta.1.1,beta.2.1,beta.3.1,beta.4.1,beta.5.1,beta.6.1,beta.7.1,beta.8.1,beta.9.1,beta.1.2,beta.2.2,beta.3.2,beta.4.2,beta.5.2,beta.6.2,beta.7.2,beta.8.2,beta.9.2,mu_beta.1,mu_beta.2,sigma_beta.1,sigma_beta.2,log_p
# Adaptation terminated
# Step size = 0.417392
# Diagonal elements of inverse mass matrix:
# 3.14936e-05, 2.14643e-05, 0.000139569, 0.00014548, 0.000206282, 0.000193319, 0.000382487, 0.000332782, 0.000193886, 0.000212002, 0.000257194, 0.000151695, 0.000231636, 0.000216905, 0.000599461, 0.000201965, 0.000305037, 0.000339752, 0.000355037, 0.000245653, 0.0022713, 0.001155, 0.0881786, 0.101323
-18886.4,0.922534,0.417392,3,7,0,18898.3,-0.00917853,0.972063,0.0976674,-0.00336933,0.206515,0.0899221,0.331188,0.157674,0.0322291,0.0840999,0.244503,0.175417,-0.0370604,0.0742978,0.0697648,-0.000969796,0.1681,0.134969,0.181603,0.203641,0.108927,0.14825,0.200498,0.114624,-19417.4
-18882,0.922353,0.417392,3,7,0,18899.7,-0.0191971,0.972013,0.11,-0.0290016,0.225495,0.096097,0.330092,0.167403,-0.00946543,0.0833441,0.263125,0.167894,-0.0298601,0.0692268,0.0735042,-0.00874465,0.167143,0.127941,0.145782,0.185185,0.179876,0.121292,0.200721,0.0584779,-19415.3
-18883.5,1,0.417392,3,7,0,18893.7,0.00190389,0.973008,0.109859,-0.0360472,0.235825,0.120615,0.334981,0.139483,0.0753766,0.0589106,0.230003,0.183272,-0.0489988,0.127157,0.060062,0.00693711,0.172364,0.0971979,0.12434,0.141733,0.0656077,0.0844174,0.106464,0.157389,-19392.3
-18877.2,1,0.417392,3,7,0,18891.9,-0.0156525,0.97458,0.108037,-0.0183107,0.240692,0.102686,0.331464,0.146481,0.027756,0.0647907,0.288253,0.175392,-0.0253401,0.0898506,0.0567802,0.000175608,0.153664,0.114775,0.129492,0.168053,0.249664,0.102027,0.148524,0.0474872,-19404.8
-18882.4,0.673959,0.417392,3,7,0,18891.4,-0.00559311,0.969467,0.107172,-0.0107594,0.211148,0.128717,0.330028,0.150114,0.0175555,0.0460404,0.270972,0.161688,-0.00910659,0.097139,0.0652303,0.00102191,0.15294,0.118091,0.166954,0.145314,0.196686,0.124581,0.240745,0.140783,-19397
-18883.3,1,0.417392,3,7,0,18893.7,-0.00041152,0.974403,0.113111,-0.0292641,0.223416,0.119605,0.320606,0.146516,0.0163558,0.0272077,0.265714,0.16355,-0.0175069,0.075608,0.0550845,-0.00242732,0.159833,0.132573,0.177824,0.161221,0.273487,0.12644,0.218891,0.124543,-19392
-18885,0.919441,0.417392,3,15,0,18897.4,-0.014941,0.971428,0.132601,-0.0435548,0.258198,0.0755151,0.372709,0.170551,0.0370979,0.0738905,0.267027,0.149138,-0.0353921,0.128156,0.0562686,-0.0147748,0.1558,0.11076,0.14987,0.174085,0.225398,0.107108,0.209501,0.0615392,-19430
-18877.6,1,0.417392,3,7,0,18895,-0.00480394,0.972186,0.123523,-0.0359333,0.192958,0.107454,0.321914,0.151586,0.0675503,0.0601284,0.250162,0.155455,-0.053754,0.103691,0.0691398,0.0130966,0.164355,0.129016,0.118943,0.14598,0.0441263,0.0701423,0.116614,0.10078,-19380.8
-18880.8,0.983035,0.417392,4,15,0,18890.3,-0.0134709,0.977529,0.0980251,-0.0402699,0.212362,0.0801494,0.312198,0.149875,0.0130433,0.0836469,0.271292,0.170642,-0.0212962,0.131058,0.0941801,0.00130931,0.152248,0.138147,0.119962,0.1529,0.109022,0.123228,0.192341,0.0472022,-19385.4
-18881.6,0.991172,0.417392,3,15,0,18893,-0.000822239,0.972547,0.133661,-0.0255598,0.271177,0.121387,0.338241,0.150956,0.0591586,0.0411201,0.252818,0.16204,-0.0514769,0.0654585,0.0484808,0.0132667,0.147828,0.0997152,0.161045,0.138022,0.249472,0.0756612,0.148145,0.101479,-19397.1
-18880.7,0.978431,0.417392,3,15,0,18892.6,-0.0169113,0.97247,0.101458,-0.03341,0.209834,0.0907358,0.313903,0.148789,0.0127454,0.0919564,0.254879,0.160727,-0.0237027,0.136774,0.0925071,0.000967417,0.153328,0.141901,0.108878,0.16195,0.0426524,0.108316,0.116779,0.0526461,-19391.3
-18878.5,1,0.417392,3,7,0,18888.1,-0.0153292,0.974953,0.105382,-0.0399167,0.221139,0.0862079,0.337074,0.152366,0.0179388,0.0984819,0.260389,0.150688,-0.0443583,0.139085,0.075729,0.00389596,0.145831,0.143987,0.126687,0.167657,0.0488378,0.10855,0.143069,0.0688721,-19402.5
-18874.4,0.998679,0.417392,4,15,0,18886.2,-0.00952055,0.973994,0.120485,-0.010465,0.276101,0.112322,0.32627,0.150255,0.0694088,0.0543567,0.271287,0.160517,-0.0518571,0.0891941,0.0729242,0.0139542,0.139018,0.102558,0.158687,0.169376,0.155112,0.0837968,0.106685,0.0642972,-19408.3
-18876,0.858571,0.417392,3,15,0,18886.1,-0.022041,0.977551,0.111945,-0.0376218,0.2444,0.098167,0.342642,0.150388,0.0331362,0.0554503,0.247028,0.163141,-0.0318505,0.113653,0.0641469,-0.0172039,0.141488,0.113063,0.129619,0.152625,0.199789,0.101992,0.155836,0.0736276,-19384
-18878,0.896677,0.417392,3,7,0,18890,-0.0016657,0.968702,0.131534,-0.0325312,0.23394,0.0899072,0.321051,0.156646,0.0545141,0.070391,0.269267,0.153929,-0.0141284,0.106305,0.0798643,0.00503951,0.150402,0.121765,0.159086,0.133789,0.00366978,0.0850251,0.145889,0.0682011,-19395
-18877.1,0.815402,0.417392,3,15,0,18891,0.00196828,0.974566,0.116002,-0.0223224,0.261505,0.0964424,0.34794,0.146379,0.00236802,0.0707738,0.244092,0.161736,-0.0241659,0.107174,0.0816764,0.00984127,0.143796,0.112578,0.130266,0.17823,0.255892,0.0953976,0.19078,0.074809,-19402.9
-18877.4,0.97269,0.417392,3,15,0,18886.9,-0.0188329,0.970084,0.104971,-0.0290383,0.223368,0.114679,0.297442,0.140238,0.0479572,0.0889323,0.229944,0.177943,-0.0512401,0.102209,0.0734577,0.0141566,0.150941,0.140381,0.130593,0.178476,0.145552,0.112278,0.147672,0.0739287,-19399
-18877.8,0.927721,0.417392,3,7,0,18888.7,-0.00296714,0.974882,0.126838,-0.0515167,0.221684,0.0738297,0.337061,0.127277,0.0290006,0.049851,0.261712,0.166181,-0.0375519,0.0864542,0.063666,0.00213176,0.157378,0.102521,0.154462,0.158502,0.0768893,0.131065,0.136718,0.102147,-19381
-18874.1,0.988015,0.417392,3,7,0,18885.3,-0.0121581,0.972023,0.10612,-0.00533384,0.232446,0.106498,0.315643,0.165836,0.046185,0.0754599,0.254373,0.153308,-0.0501686,0.111883,0.0736756,0.0204118,0.127731,0.135864,0.12408,0.163087,0.117773,0.0760894,0.144083,0.0653133,-19390.8
-18874.2,0.958857,0.417392,3,7,0,18882.6,-0.0132986,0.975726,0.110389,-0.0284221,0.224798,0.0969561,0.313795,0.136707,0.0331944,0.0743995,0.240851,0.162867,-0.0238886,0.090427,0.0921374,0.0075702,0.138081,0.106123,0.110891,0.182658,0.121469,0.113998,0.091975,0.0610114,-19372.9
-18875.8,0.856455,0.417392,3,15,0,18886.5,-0.00209254,0.96927,0.114029,-0.0305865,0.256687,0.0898208,0.333775,0.169903,0.0514693,0.0558604,0.299085,0.177657,-0.0354358,0.108847,0.0696407,0.015987,0.129226,0.121113,0.128064,0.132286,0.184662,0.0699337,0.164589,0.0704925,-19410.7
-18882.4,0.764071,0.417392,3,7,0,18894.4,-0.0117753,0.970012,0.0855692,-0.0312742,0.19966,0.126047,0.353829,0.15808,0.0424877,0.0546783,0.274507,0.159996,-0.0353156,0.0924424,0.0521705,0.00427328,0.175387,0.115792,0.132665,0.172421,0.200926,0.0915899,0.178149,0.0855741,-19413
-18873.4,1,0.417392,3,7,0,18889.7,-0.00561461,0.97224,0.114141,-0.0413595,0.222549,0.111487,0.344193,0.146594,0.018517,0.0682012,0.226753,0.148911,-0.0283007,0.118442,0.0851493,0.00257953,0.154549,0.127815,0.116787,0.184593,0.12912,0.100708,0.129942,0.0677796,-19397.5
-18871.9,0.919745,0.417392,3,7,0,18880.7,-0.0132921,0.971792,0.121973,-0.0134656,0.249265,0.0993221,0.310191,0.164402,0.0559298,0.0795741,0.255167,0.168092,-0.0403295,0.0914631,0.0594324,0.0105286,0.138488,0.127395,0.111292,0.152391,0.1469,0.0706019,0.103872,0.0933848,-19389.1
-18874.8,0.804866,0.417392,3,7,0,18883.8,-0.00079177,0.975188,0.106713,-0.0304379,0.239402,0.102069,0.330313,0.122507,0.038027,0.0722788,0.266923,0.145896,-0.0461003,0.0959308,0.0735542,0.00478479,0.172048,0.122792,0.134435,0.166996,0.169449,0.132885,0.12539,0.115679,-19392.1
-18877.1,0.881625,0.417392,3,7,0,18890.2,-0.0133596,0.972498,0.119877,0.000487579,0.216599,0.0984354,0.32773,0.14666,0.0433723,0.0723855,0.231064,0.165294,-0.0254572,0.123693,0.0736815,0.0101794,0.151197,0.129046,0.112071,0.158475,0.114397,0.0233693,0.101433,0.0931016,-19384.7
-18881.5,0.810896,0.417392,3,7,0,18892.1,-0.0069103,0.971843,0.101824,-0.0537874,0.252383,0.121021,0.31179,0.126835,0.00377508,0.073861,0.243294,0.200204,-0.041977,0.112318,0.0697802,-0.00619498,0.159399,0.106609,0.123305,0.170477,0.205258,0.0858668,0.134154,0.113462,-19405.4
-18877.1,1,0.417392,4,15,0,18889.8,-0.00425139,0.972321,0.120244,-0.021189,0.243178,0.120456,0.318744,0.116232,0.0201935,0.0441653,0.267072,0.167691,-0.0499824,0.0989526,0.0793896,-0.0112061,0.148157,0.105274,0.131133,0.142417,0.212058,0.0795791,0.109909,0.0850087,-19383
-18872.5,1,0.417392,3,7,0,18882.9,-0.00801084,0.97221,0.112841,-0.0315294,0.240791,0.10973,0.310962,0.154317,0.0278626,0.0827287,0.259764,0.181083,-0.0303616,0.0830216,0.0691119,0.0200295,0.146939,0.13474,0.110395,0.164609,0.0726754,0.100778,0.11873,0.0883278,-19400.6
-18875.9,0.905908,0.417392,3,7,0,18882.4,-0.00285392,0.968069,0.110004,-0.0279251,0.268331,0.107096,0.319289,0.141107,0.0232403,0.0475227,0.234291,0.151933,-0.0429248,0.114879,0.0616535,0.0182469,0.159025,0.118602,0.12245,0.138495,0.149286,0.0830798,0.15392,0.0532258,-19383.7
-18876.2,0.941073,0.417392,3,7,0,18886.7,-0.0191937,0.969354,0.121132,-0.0207736,0.20972,0.112239,0.321856,0.159939,0.0648774,0.0614879,0.282472,0.157759,-0.0305092,0.117989,0.0625041,0.0208484,0.153562,0.115601,0.12834,0.142189,0.081863,0.111813,0.116437,0.0596109,-19398.6
-18873,0.927998,0.417392,3,7,0,18887.2,-0.0186194,0.969919,0.120625,-0.0288192,0.214835,0.108989,0.320803,0.144114,0.0591042,0.0638942,0.278327,0.161,-0.0366833,0.104377,0.0689998,0.0203286,0.1494,0.118352,0.137811,0.143151,0.123607,0.111055,0.0888045,0.0548367,-19395.6
-18878.3,0.538852,0.417392,3,7,0,18887.5,-0.00873056,0.970201,0.105059,-0.0460064,0.205329,0.124344,0.31625,0.128928,0.0342727,0.082911,0.257296,0.163452,-0.0157637,0.0978576,0.0580412,0.0218099,0.14806,0.119484,0.110306,0.137182,0.0947154,0.138261,0.125532,0.0941501,-19376.7
-18880.3,0.974978,0.417392,3,7,0,18890.4,-0.00254647,0.97447,0.103492,-0.0351846,0.19705,0.111579,0.311096,0.13452,0.0122774,0.0733644,0.296816,0.159902,-0.0151781,0.0952059,0.0684059,0.0259969,0.145896,0.10583,0.138913,0.122588,0.107148,0.132981,0.10735,0.0921688,-19370.4
-18880.1,0.999035,0.417392,3,7,0,18888.9,-0.00399515,0.973889,0.103853,-0.0299753,0.201867,0.121439,0.314911,0.132523,-0.00248123,0.0707473,0.295484,0.163998,-0.0281257,0.0881933,0.0677252,0.025709,0.145571,0.104517,0.136743,0.127251,0.128444,0.124122,0.100175,0.109176,-19377.1
-18877.1,0.980381,0.417392,3,7,0,18889.5,-0.00929944,0.975339,0.115758,-0.0219875,0.225532,0.0994487,0.321007,0.143839,0.0238306,0.0253481,0.268023,0.159712,-0.0192896,0.132364,0.0585553,0.00710303,0.168054,0.113171,0.129501,0.120866,0.110113,0.118595,0.109481,0.0766372,-19370.3
-18873.6,0.956561,0.417392,3,7,0,18884.6,-0.00421096,0.971551,0.126511,-0.0340629,0.213667,0.110031,0.32511,0.173657,0.0532955,0.044503,0.269788,0.162586,-0.0470348,0.110963,0.0695809,0.0151809,0.145733,0.116727,0.141356,0.147228,0.0792948,0.0714946,0.110781,0.0645141,-19395.1
-18880.5,0.832782,0.417392,3,7,0,18885.8,-0.0143397,0.976334,0.100838,0.00179387,0.270971,0.103901,0.310005,0.1509,0.0299015,0.060562,0.249583,0.151199,-0.0146496,0.0707941,0.0756678,0.00173808,0.155805,0.126751,0.111104,0.141241,0.211757,0.111842,0.13175,0.0588087,-19371.3
-18881.8,0.977181,0.417392,3,7,0,18892.8,-0.0179171,0.975209,0.100805,-0.0057598,0.273425,0.104523,0.308247,0.142631,0.0267877,0.0664886,0.241057,0.144956,-0.0243028,0.0578306,0.0761329,0.0129957,0.155697,0.126037,0.115659,0.145609,0.193592,0.118112,0.155014,0.0540782,-19370.4
-18882.8,0.80047,0.417392,3,7,0,18897.6,-0.0153023,0.975282,0.120275,-0.0177033,0.256312,0.0883667,0.315214,0.144862,0.0461674,0.105479,0.252993,0.138235,-0.0667706,0.0803348,0.0569323,0.011576,0.137321,0.132173,0.116686,0.15336,0.282379,0.0701795,0.172083,0.070471,-19379.3
-18884,0.792727,0.417392,4,15,0,18897.3,0.000856516,0.970929,0.124235,-0.0332733,0.227424,0.118801,0.342037,0.153239,0.0263017,0.0451109,0.276733,0.192411,-0.0128622,0.135411,0.0852052,-0.000461295,0.162936,0.111125,0.138122,0.152451,0.184987,0.153479,0.201028,0.184024,-19424.6
-18882.4,0.913566,0.417392,3,7,0,18898.8,-0.0117181,0.968206,0.120044,-0.0558593,0.223785,0.0995643,0.336208,0.135936,0.0272113,0.0525897,0.22905,0.160638,-0.0389916,0.127752,0.103013,-0.0155098,0.147581,0.127809,0.162331,0.163129,0.268982,0.105619,0.176582,0.11531,-19403
-18883.2,0.934874,0.417392,3,15,0,18896.9,-0.0087609,0.970148,0.112657,-0.0432162,0.226112,0.106367,0.33661,0.115651,0.0379593,0.057012,0.236315,0.183911,-0.0567319,0.113494,0.0962493,0.0084835,0.145914,0.12557,0.152191,0.151761,0.268469,0.159079,0.143923,0.141488,-19402.5
-18881.7,1,0.417392,3,7,0,18894.5,-0.0131799,0.974149,0.123427,-0.0127397,0.233234,0.114232,0.347505,0.13565,0.0584382,0.0598852,0.239519,0.183212,-0.0447883,0.135276,0.0788725,-0.0132756,0.152194,0.148588,0.0998551,0.164696,0.176291,0.161542,0.163848,0.104929,-19413.1
-18878.4,0.999663,0.417392,3,7,0,18892.4,-0.00735842,0.975722,0.118252,-0.00943889,0.244204,0.0883973,0.325447,0.18033,0.0041899,0.0571517,0.274336,0.169957,-0.0299063,0.10684,0.0746276,-0.0170503,0.127423,0.112193,0.141837,0.181775,0.1192,0.0741102,0.108506,0.0776258,-19399.9
-18875.7,0.913789,0.417392,3,7,0,18891.9,-0.0127862,0.972301,0.102622,-0.0192761,0.219342,0.105648,0.344409,0.127556,0.0335069,0.0596868,0.248599,0.175283,-0.0444546,0.134661,0.0706356,0.0246868,0.150902,0.125242,0.137255,0.141978,0.151235,0.115857,0.172231,0.0793374,-19396.7
-18886.1,0.713915,0.417392,3,7,0,18893.3,-0.00294921,0.97165,0.130161,-0.0329034,0.233745,0.0888502,0.278314,0.16336,0.0651885,0.0565333,0.281791,0.153616,-0.0586322,0.0807991,0.0754313,0.00698078,0.166402,0.124707,0.104193,0.187972,0.218138,0.0876962,0.123404,0.0677241,-19391.5
-18877.1,1,0.417392,3,7,0,18894.5,-0.00651709,0.966853,0.119705,-0.0353233,0.23665,0.0903289,0.296628,0.166887,0.0301037,0.0537732,0.249358,0.150791,-0.0557007,0.102585,0.0727381,0.0211573,0.151442,0.114433,0.11738,0.188048,0.14695,0.0725461,0.10775,0.0982593,-19390.8
-18873.4,0.998704,0.417392,3,7,0,18884.4,-0.017281,0.97506,0.108447,-0.0243498,0.225172,0.0973736,0.31671,0.14466,0.0578482,0.0669642,0.259423,0.161608,-0.038963,0.123415,0.0720155,-0.00277318,0.157514,0.124048,0.139146,0.126996,0.118002,0.0794561,0.154094,0.0758241,-19377.5
-18874.4,0.901048,0.417392,3,7,0,18883.7,-0.00439996,0.973018,0.131386,-0.0439214,0.211938,0.112086,0.322904,0.155688,0.0387695,0.0593807,0.2605,0.16605,-0.0256866,0.0916952,0.0658001,0.00914005,0.136717,0.11482,0.116347,0.187888,0.16742,0.0839102,0.117216,0.0906749,-19393.9
-18876.4,0.956925,0.417392,3,7,0,18883.1,-0.0067051,0.974056,0.115356,-0.0526902,0.248716,0.112575,0.339145,0.176429,0.0621975,0.070836,0.237611,0.174284,-0.0287362,0.091592,0.0717013,0.024042,0.155936,0.118313,0.116551,0.178735,0.0881395,0.0763984,0.111573,0.0625014,-19412.8
-18880.5,0.857344,0.417392,3,7,0,18889.4,-0.0112191,0.972114,0.10217,-0.0060661,0.202855,0.104211,0.326473,0.155766,0.0127688,0.0820806,0.255579,0.170092,-0.0278115,0.0928233,0.0675723,0.0129477,0.132379,0.102977,0.109711,0.150621,0.094975,0.105855,0.334503,0.0722029,-19373.9
