# stan_version_major = 2
# stan_version_minor = 35
# stan_version_patch = 0
# model = multireg_model
# start_datetime = 2025-05-11 23:04:09 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/43/wy_ws5nx3830gqhfw05n4yyc0000gn/T/tmpeem7arw8/bj7u9aft.json
# init = 2 (Default)
# random
#   seed = 80778
# output
#   file = /Users/zhafen/repos/citesim/analysis_data/stan_fits/stan-fit_den-asym_nNone/nonsems/multireg-20250511180408_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.35.0
# stancflags = --filename-in-msg=multireg.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,theta.1,theta.2,sigma,beta.1,beta.2,log_p
# Adaptation terminated
# Step size = 0.487147
# Diagonal elements of inverse mass matrix:
# 1.99146e-05, 1.88242e-05, 1.74792e-05, 1.43024e-05
-49249.4,1,0.487147,2,3,0,49251.5,8.94711e-06,0.158589,0.12762,0.980828,0.147668,0.128687,-48093.3
-49249.4,0.903751,0.487147,2,7,0,49251.5,0.000400011,0.161475,0.123251,0.978884,0.151314,0.124282,-48096.7
-49250.5,0.840749,0.487147,3,7,0,49252.4,0.00502836,0.159508,0.120589,0.979746,0.149636,0.121598,-48095.3
-49250.5,0.999297,0.487147,3,7,0,49251.4,0.00470643,0.161219,0.122393,0.978865,0.151169,0.123417,-48097
-49249.2,0.933441,0.487147,2,3,0,49252.1,0.00145571,0.153491,0.123793,0.978414,0.142881,0.124829,-48090
-49249.8,0.870457,0.487147,3,7,0,49251.4,0.00216768,0.15705,0.126671,0.982109,0.146193,0.127731,-48091.7
-49249.9,0.939097,0.487147,3,7,0,49251.6,-0.000700525,0.161268,0.121266,0.978055,0.15138,0.122281,-48097
-49249.7,0.922635,0.487147,3,7,0,49252,0.00372722,0.1582,0.123202,0.981872,0.147893,0.124232,-48093
-49249.2,0.912241,0.487147,2,3,0,49251.6,0.0030656,0.156543,0.122138,0.97765,0.146312,0.123159,-48093.1
-49249.6,0.978487,0.487147,3,7,0,49250,0.00416524,0.15621,0.121838,0.977871,0.146006,0.122858,-48092.9
-49249.5,0.961331,0.487147,3,7,0,49250.9,-0.0031177,0.158475,0.124359,0.981338,0.148016,0.1254,-48093
-49249.5,1,0.487147,3,7,0,49250.1,0.00439733,0.154893,0.123432,0.979732,0.1444,0.124464,-48090.9
-49250,0.921601,0.487147,3,7,0,49251.3,-0.00406242,0.160178,0.123026,0.978205,0.149989,0.124055,-48095.9
-49249,1,0.487147,2,3,0,49250.3,-0.00137263,0.158929,0.121532,0.979993,0.148895,0.122549,-48094
-49250.9,0.76766,0.487147,2,3,0,49252,-0.00398932,0.158851,0.1197,0.977093,0.149077,0.120702,-48095.7
-49251.6,0.985224,0.487147,3,7,0,49253.1,0.00411796,0.153552,0.12823,0.982179,0.14231,0.129303,-48089.4
-49250.5,0.982419,0.487147,3,7,0,49253.5,0.00420404,0.157172,0.120565,0.97665,0.147195,0.121573,-48094.5
-49249.9,1,0.487147,1,1,0,49250.5,0.00365044,0.157303,0.12125,0.977094,0.147234,0.122264,-48094.2
-49249.6,0.983008,0.487147,3,7,0,49251,-0.00129849,0.155144,0.120246,0.97773,0.145119,0.121252,-48091.9
-49249.2,0.852045,0.487147,2,3,0,49251.9,-0.00133665,0.158259,0.120402,0.979638,0.148357,0.12141,-48093.7
-49248.4,0.977062,0.487147,2,3,0,49249.6,-5.69518e-06,0.158204,0.123374,0.979027,0.147873,0.124407,-48093.5
-49249.1,0.651886,0.487147,3,7,0,49253.5,-0.000409159,0.153554,0.124713,0.978354,0.142815,0.125756,-48090
-49251,0.802287,0.487147,2,3,0,49251.8,-0.00312051,0.153443,0.123715,0.975761,0.142842,0.12475,-48091.5
-49250.9,0.980138,0.487147,2,7,0,49253,-0.00213337,0.15882,0.121251,0.983443,0.148821,0.122265,-48093.2
-49250.3,0.99205,0.487147,3,7,0,49252.3,-0.00142408,0.160805,0.119308,0.979658,0.151177,0.120307,-48096.2
-49250,1,0.487147,2,3,0,49250.8,-0.00076302,0.159175,0.119043,0.97833,0.149509,0.120039,-48095.3
-49252.5,0.832438,0.487147,3,7,0,49252.9,0.000722368,0.155317,0.129441,0.984045,0.143983,0.130523,-48090.3
-49251.1,1,0.487147,2,3,0,49252.9,0.00187278,0.157454,0.128926,0.982788,0.146293,0.130005,-48092.1
-49250.4,0.983205,0.487147,2,7,0,49252.9,0.00211434,0.160571,0.123691,0.97597,0.150304,0.124726,-48097.4
-49249,0.999735,0.487147,2,7,0,49250.6,-0.00087688,0.159689,0.125654,0.979997,0.1491,0.126706,-48094.4
-49249.8,0.949041,0.487147,2,7,0,49250.3,0.00145779,0.157079,0.128778,0.978408,0.145921,0.129855,-48093.1
-49248.6,0.992402,0.487147,3,7,0,49250.3,-0.00153168,0.155744,0.123528,0.979347,0.145277,0.124561,-48091.3
-49248.4,0.970097,0.487147,3,7,0,49249,-0.00067732,0.157383,0.123408,0.980136,0.147009,0.12444,-48092.4
-49249,0.901054,0.487147,2,3,0,49249.6,0.00115472,0.153751,0.124931,0.979866,0.14299,0.125976,-48089.6
-49248.6,0.952259,0.487147,2,3,0,49249.8,0.000365822,0.156027,0.125672,0.978703,0.145266,0.126724,-48091.8
-49249.5,0.867923,0.487147,2,3,0,49250.2,-0.00324189,0.155221,0.122784,0.981013,0.144836,0.123812,-48090.5
-49249.8,0.973025,0.487147,3,7,0,49250.5,0.000898286,0.158837,0.125001,0.982777,0.148302,0.126046,-48093
-49252.1,0.864025,0.487147,2,7,0,49253.4,0.00482818,0.163646,0.122464,0.980693,0.153698,0.123488,-48098.8
-49253.3,0.953419,0.487147,3,7,0,49256,-0.000565159,0.149184,0.118412,0.978834,0.139146,0.119402,-48087.8
-49254.3,0.886485,0.487147,1,1,0,49254.6,0.000132731,0.148499,0.117615,0.978988,0.138543,0.118599,-48087.6
-49252.4,0.985976,0.487147,3,7,0,49256.2,0.00106538,0.163847,0.129152,0.978832,0.15295,0.130233,-48099.4
-49251.2,0.93374,0.487147,2,7,0,49254.7,-0.00112528,0.159008,0.124384,0.984292,0.14857,0.125425,-48093
-49248.5,0.856232,0.487147,1,3,0,49253.4,0.00137742,0.156762,0.122506,0.979486,0.146489,0.123531,-48092.2
-49248.9,0.800097,0.487147,3,7,0,49251.3,-0.00215237,0.156449,0.126008,0.980126,0.145659,0.127062,-48091.6
-49249.5,0.93271,0.487147,3,7,0,49250.1,-0.000230797,0.155379,0.12185,0.982177,0.145135,0.12287,-48090.4
-49251.3,0.826717,0.487147,2,3,0,49252.2,-0.00270029,0.159812,0.124807,0.974977,0.14935,0.125852,-48097.3
-49249.8,1,0.487147,3,7,0,49251.6,0.00187225,0.154506,0.125156,0.976386,0.143748,0.126203,-48091.9
-49248.9,0.888189,0.487147,2,3,0,49251.5,0.00151803,0.15715,0.126761,0.979912,0.146285,0.127821,-48092.3
-49249.1,0.979647,0.487147,3,7,0,49249.6,-0.000648513,0.156504,0.120337,0.97834,0.146529,0.121344,-48092.7
-49250.1,0.950418,0.487147,3,7,0,49250.7,0.00120913,0.151677,0.121917,0.979175,0.141252,0.122937,-48088.6
-49249.8,0.996542,0.487147,3,7,0,49251.1,-0.000639151,0.162153,0.123691,0.979335,0.15196,0.124726,-48097.1
-49249.5,0.895448,0.487147,3,7,0,49252.2,-0.00434595,0.156709,0.123556,0.978471,0.146283,0.12459,-48092.7
-49250.7,0.932339,0.487147,2,3,0,49250.9,-0.00570643,0.15807,0.124603,0.977416,0.147557,0.125646,-48094.6
-49252.2,0.868065,0.487147,2,7,0,49253.8,-0.00758644,0.159504,0.12321,0.980943,0.149256,0.124241,-48094.9
-49249.9,0.989953,0.487147,3,7,0,49253.4,-0.00207604,0.154405,0.123507,0.982297,0.143879,0.12454,-48089.5
-49250.7,0.959815,0.487147,3,7,0,49251.2,0.00298132,0.160179,0.124535,0.975724,0.149773,0.125577,-48097.3
-49250.5,0.97641,0.487147,3,7,0,49252.4,0.00195726,0.162726,0.125896,0.978443,0.152243,0.126949,-48098.2
-49252.7,0.522711,0.487147,2,3,0,49258.5,0.00475019,0.155442,0.128695,0.983544,0.144221,0.129772,-48090.8
-49251.1,1,0.487147,2,3,0,49253.1,0.00453063,0.154993,0.125909,0.982899,0.14415,0.126962,-48090.2
-49250.8,0.971964,0.487147,2,7,0,49253.2,0.00551762,0.161311,0.124272,0.979684,0.150995,0.125311,-48096.8
-49252.7,0.853774,0.487147,2,3,0,49254.5,0.00340833,0.162232,0.130354,0.98044,0.151088,0.131445,-48097.5
