,alpha,beta[asym_BOW],"beta[asym_BOW_j,Economics]","beta[asym_BOW_j,Education]","beta[asym_BOW_j,Geology]","beta[asym_BOW_j,Linguistics]","beta[asym_BOW_j,Materials Science]","beta[asym_BOW_j,Mathematics]","beta[asym_BOW_j,Medicine]","beta[asym_BOW_j,Philosophy]","beta[asym_BOW_j,Physics]",beta[asym_GPT2],"beta[asym_GPT2_j,Economics]","beta[asym_GPT2_j,Education]","beta[asym_GPT2_j,Geology]","beta[asym_GPT2_j,Linguistics]","beta[asym_GPT2_j,Materials Science]","beta[asym_GPT2_j,Mathematics]","beta[asym_GPT2_j,Medicine]","beta[asym_GPT2_j,Philosophy]","beta[asym_GPT2_j,Physics]",beta[asym_SBERT],"beta[asym_SBERT_j,Economics]","beta[asym_SBERT_j,Education]","beta[asym_SBERT_j,Geology]","beta[asym_SBERT_j,Linguistics]","beta[asym_SBERT_j,Materials Science]","beta[asym_SBERT_j,Mathematics]","beta[asym_SBERT_j,Medicine]","beta[asym_SBERT_j,Philosophy]","beta[asym_SBERT_j,Physics]",beta[asym_SciBERT],"beta[asym_SciBERT_j,Economics]","beta[asym_SciBERT_j,Education]","beta[asym_SciBERT_j,Geology]","beta[asym_SciBERT_j,Linguistics]","beta[asym_SciBERT_j,Materials Science]","beta[asym_SciBERT_j,Mathematics]","beta[asym_SciBERT_j,Medicine]","beta[asym_SciBERT_j,Philosophy]","beta[asym_SciBERT_j,Physics]",beta[asym_Word2Vec],"beta[asym_Word2Vec_j,Economics]","beta[asym_Word2Vec_j,Education]","beta[asym_Word2Vec_j,Geology]","beta[asym_Word2Vec_j,Linguistics]","beta[asym_Word2Vec_j,Materials Science]","beta[asym_Word2Vec_j,Mathematics]","beta[asym_Word2Vec_j,Medicine]","beta[asym_Word2Vec_j,Philosophy]","beta[asym_Word2Vec_j,Physics]",beta[den_BOW],"beta[den_BOW_j,Economics]","beta[den_BOW_j,Education]","beta[den_BOW_j,Geology]","beta[den_BOW_j,Linguistics]","beta[den_BOW_j,Materials Science]","beta[den_BOW_j,Mathematics]","beta[den_BOW_j,Medicine]","beta[den_BOW_j,Philosophy]","beta[den_BOW_j,Physics]",beta[den_GPT2],"beta[den_GPT2_j,Economics]","beta[den_GPT2_j,Education]","beta[den_GPT2_j,Geology]","beta[den_GPT2_j,Linguistics]","beta[den_GPT2_j,Materials Science]","beta[den_GPT2_j,Mathematics]","beta[den_GPT2_j,Medicine]","beta[den_GPT2_j,Philosophy]","beta[den_GPT2_j,Physics]",beta[den_SBERT],"beta[den_SBERT_j,Economics]","beta[den_SBERT_j,Education]","beta[den_SBERT_j,Geology]","beta[den_SBERT_j,Linguistics]","beta[den_SBERT_j,Materials Science]","beta[den_SBERT_j,Mathematics]","beta[den_SBERT_j,Medicine]","beta[den_SBERT_j,Philosophy]","beta[den_SBERT_j,Physics]",beta[den_SciBERT],"beta[den_SciBERT_j,Economics]","beta[den_SciBERT_j,Education]","beta[den_SciBERT_j,Geology]","beta[den_SciBERT_j,Linguistics]","beta[den_SciBERT_j,Materials Science]","beta[den_SciBERT_j,Mathematics]","beta[den_SciBERT_j,Medicine]","beta[den_SciBERT_j,Philosophy]","beta[den_SciBERT_j,Physics]",beta[den_Word2Vec],"beta[den_Word2Vec_j,Economics]","beta[den_Word2Vec_j,Education]","beta[den_Word2Vec_j,Geology]","beta[den_Word2Vec_j,Linguistics]","beta[den_Word2Vec_j,Materials Science]","beta[den_Word2Vec_j,Mathematics]","beta[den_Word2Vec_j,Medicine]","beta[den_Word2Vec_j,Philosophy]","beta[den_Word2Vec_j,Physics]",beta[references],"beta[references_j,Economics]","beta[references_j,Education]","beta[references_j,Geology]","beta[references_j,Linguistics]","beta[references_j,Materials Science]","beta[references_j,Mathematics]","beta[references_j,Medicine]","beta[references_j,Philosophy]","beta[references_j,Physics]",beta[year],"beta[year_j,Economics]","beta[year_j,Education]","beta[year_j,Geology]","beta[year_j,Linguistics]","beta[year_j,Materials Science]","beta[year_j,Mathematics]","beta[year_j,Medicine]","beta[year_j,Philosophy]","beta[year_j,Physics]",log_ppd,mu_beta[asym_BOW_j],mu_beta[asym_GPT2_j],mu_beta[asym_SBERT_j],mu_beta[asym_SciBERT_j],mu_beta[asym_Word2Vec_j],mu_beta[den_BOW_j],mu_beta[den_GPT2_j],mu_beta[den_SBERT_j],mu_beta[den_SciBERT_j],mu_beta[den_Word2Vec_j],mu_beta[references_j],mu_beta[year_j],sigma,sigma_beta[asym_BOW_j],sigma_beta[asym_GPT2_j],sigma_beta[asym_SBERT_j],sigma_beta[asym_SciBERT_j],sigma_beta[asym_Word2Vec_j],sigma_beta[den_BOW_j],sigma_beta[den_GPT2_j],sigma_beta[den_SBERT_j],sigma_beta[den_SciBERT_j],sigma_beta[den_Word2Vec_j],sigma_beta[references_j],sigma_beta[year_j],y_col,rmse,$R^2$,1-MAE,1-RMSE,1-MAPE,1-MedAE,1-MPinL,$D^2_{pin}$,$D^2_{abs}$,$R^2$_descaled,1-MAE_descaled,1-RMSE_descaled,1-MAPE_descaled,1-MedAE_descaled,1-MPinL_descaled,$D^2_{pin}$_descaled,$D^2_{abs}$_descaled
base,0.000209896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-48663.38573583988,,,,,,,,,,,,,0.9996054999999999,,,,,,,,,,,,,log_cpy,1.001341612069652,-9.527952238297388e-07,0.21040699789368777,-0.002128913883467698,3.3420634212744105e-05,0.3495877500253928,0.6052034989468439,-5.300179000711225e-05,-5.300179000711225e-05,-6.133565522148388e-07,0.46388264278097446,0.3229572255206129,-74015792136539.47,0.557569436407173,0.7319413213904873,-0.0014231850111079414,-0.0014231850111079414
den_BOW,-0.0182456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08698565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-33804.502839815104,,,,,,,,,,,,,0.996842,,,,,,,,,,,,,log_cpy,0.999442357720981,-0.010879399312166527,0.20561390776992894,-0.007564967634765107,-0.2762882356479692,0.34026155341647957,0.6028069538849645,-0.006123653573050225,-0.006123653573050225,0.0037892108603638786,0.46450931450727573,0.3242413791183134,-72120149353208.36,0.5535316100187226,0.7322546572536379,-0.00025261370305651454,-0.00025261370305651454
den_GPT2,-0.0151491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1361635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-34054.968092961084,,,,,,,,,,,,,0.9966965,,,,,,,,,,,,,log_cpy,0.9953539499357091,-0.002489591566538829,0.20924760829848454,-0.003375106281674922,-0.37090429052277507,0.3423503056729136,0.6046238041492422,-0.0015214178497164887,-0.0015214178497164887,0.01192291741904794,0.46692260877158864,0.32700569742565144,-71405642085599.34,0.5568290788604537,0.7334613043857943,0.004255221747512472,0.004255221747512472
den_SBERT,0.000184022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07817769999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-34269.35885275442,,,,,,,,,,,,,1.0018,,,,,,,,,,,,,log_cpy,1.000877472451656,-0.0046946751596055325,0.20999660250043295,-0.004478015811733682,-0.08468390396534398,0.34716287868072315,0.6049983012502165,-0.000572784948989602,-0.000572784948989602,0.0009262078771663518,0.46532164013366195,0.32327104686881847,-73768044422051.83,0.5595382957622993,0.732660820066831,0.0012647438401903743,0.0012647438401903743
den_SciBERT,-0.0127195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0372037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-33359.231677021686,,,,,,,,,,,,,1.00011,,,,,,,,,,,,,log_cpy,1.0010693592769762,0.0008204288545505811,0.21066820650459794,-0.0017172645777376871,-0.08629970067203496,0.3451171351612692,0.605334103252299,0.0002778299862843392,0.0002778299862843392,0.0005430891026750873,0.46377952727093363,0.32314130534301455,-72837593267474.6,0.5536262935559956,0.7318897636354669,-0.001615796313649609,-0.001615796313649609
den_Word2Vec,-0.0166585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0523437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-33779.54284297918,,,,,,,,,,,,,0.9987824999999999,,,,,,,,,,,,,log_cpy,1.0005557575045434,-0.0010216899596959816,0.20996231686866462,-0.0026402380606591613,-0.13662296775412885,0.34365534117553,0.6049811584343323,-0.0006162091547217141,-0.0006162091547217141,0.0015683750235852,0.46403662843166027,0.32348856981778906,-72578744584051.6,0.5527864423577951,0.7320183142158301,-0.0011355524644662829,-0.0011355524644662829
asym_BOW,-0.0181109,0.09332145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-33782.41349943297,,,,,,,,,,,,,0.996319,,,,,,,,,,,,,log_cpy,0.9987919345952974,-0.0074934964347990185,0.20724006131049388,-0.005876151636059701,-0.25584439408756277,0.34239423775821787,0.6036200306552469,-0.004064061194096302,-0.004064061194096302,0.005085429074702996,0.46490363216035224,0.3246811533894417,-72262200702499.75,0.5549632969471672,0.7324518160801761,0.0004839392824658173,0.0004839392824658173
asym_GPT2,-0.0145545,,,,,,,,,,,-0.01745385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-34259.65777035333,,,,,,,,,,,,,1.00577,,,,,,,,,,,,,log_cpy,1.001352504684637,1.8849531403519748e-06,0.2103445678661796,-0.0021274919889706645,-0.0682787763478998,0.346744233934978,0.6051722839330897,-0.0001320720657627117,-0.0001320720657627117,-2.236953002965336e-05,0.4634701683458641,0.3229498606351613,-72607239643040.95,0.5530677583876015,0.731735084172932,-0.0021936533740174458,-0.0021936533740174458
asym_SBERT,3.747535e-05,,,,,,,,,,,,,,,,,,,,,-0.02107895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-34284.128342730175,,,,,,,,,,,,,1.0043,,,,,,,,,,,,,log_cpy,1.00114883767675,0.001616089639118301,0.21106967150920208,-0.001318344352651657,-0.03224481145127145,0.3466453370956809,0.6055348357546011,0.0007863024295520216,0.0007863024295520216,0.00038438203906276946,0.4639643613002733,0.3230875671625122,-74023445658916.67,0.5567873731370292,0.7319821806501366,-0.0012705415296601075,-0.0012705415296601075
asym_SciBERT,-0.012771999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.033200549999999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-33352.39459525075,,,,,,,,,,,,,1.0002550000000001,,,,,,,,,,,,,log_cpy,1.000873641141656,0.00020235280444802495,0.21044625769243064,-0.002027039592473745,-0.08137352892739202,0.3447912437362267,0.6052231288462153,-3.277590985950596e-06,-3.277590985950596e-06,0.0009338566737266962,0.46380532281633036,0.3232736373541444,-72719363215350.64,0.5543146008758164,0.7319026614081652,-0.0015676123537713416,-0.0015676123537713416
