# stan_version_major = 2
# stan_version_minor = 35
# stan_version_patch = 0
# model = base_model
# start_datetime = 2025-05-11 20:25:36 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /var/folders/43/wy_ws5nx3830gqhfw05n4yyc0000gn/T/tmppgg4k5mb/sdkhxz1i.json
# init = 2 (Default)
# random
#   seed = 38944
# output
#   file = /Users/zhafen/repos/citesim/analysis_data/stan_fits/stan-fit_den_nNone/base/base-20250511152536_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.35.0
# stancflags = --filename-in-msg=base.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,sigma,log_p
# Adaptation terminated
# Step size = 0.603887
# Diagonal elements of inverse mass matrix:
# 1.80564e-05, 1.45828e-05
-51597.8,1,0.603887,2,3,0,51599,-0.000744381,1.00154,-48413.6
-51598.1,0.977295,0.603887,2,7,0,51598.1,0.00216019,1.00231,-48414.1
-51597.9,0.980579,0.603887,2,3,0,51598.2,0.00064553,1.00092,-48413.3
-51599.8,0.751559,0.603887,2,3,0,51600.4,0.00511221,0.99958,-48413.1
-51598.3,0.799106,0.603887,2,3,0,51601.9,-0.00230154,1.00366,-48415
-51597.9,0.978119,0.603887,1,3,0,51598.6,0.00073517,1.00281,-48414.3
-51598.3,0.950928,0.603887,2,7,0,51598.3,-0.00160386,1.00004,-48413
-51602.1,0.567132,0.603887,2,3,0,51602.2,0.00642207,1.00653,-48417.6
-51598.8,1,0.603887,2,3,0,51601.5,1.83263e-05,0.998941,-48412.5
-51598.8,0.593419,0.603887,1,3,0,51601.4,1.83263e-05,0.998941,-48412.5
-51599.3,0.878476,0.603887,2,3,0,51600.2,0.00197322,1.00551,-48416.2
-51598.2,1,0.603887,2,3,0,51599,-0.000147187,1.0001,-48412.9
-51598.2,0.680715,0.603887,1,3,0,51600.4,-0.000147187,1.0001,-48412.9
-51598.5,0.9173,0.603887,2,3,0,51599.1,0.00340998,1.00141,-48413.7
-51599,0.927641,0.603887,2,3,0,51599.4,-0.00457679,1.00342,-48415.1
-51598.6,1,0.603887,2,3,0,51599.1,-0.00414064,1.00164,-48414
