# stan_version_major = 2
# stan_version_minor = 35
# stan_version_patch = 0
# model = reg_model
# start_datetime = 2025-05-11 20:26:59 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /var/folders/43/wy_ws5nx3830gqhfw05n4yyc0000gn/T/tmppgg4k5mb/zo725eny.json
# init = 2 (Default)
# random
#   seed = 70396
# output
#   file = /Users/zhafen/repos/citesim/analysis_data/stan_fits/stan-fit_den_nNone/den_GPT2/reg-20250511152659_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.35.0
# stancflags = --filename-in-msg=reg.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta,sigma,log_p
# Adaptation terminated
# Step size = 0.558399
# Diagonal elements of inverse mass matrix:
# 2.31402e-05, 2.2366e-05, 1.59542e-05
-35905.9,0.601908,0.558399,2,3,0,35907.8,-0.0175951,0.146674,0.991795,-33889.6
-35904.3,0.784046,0.558399,2,7,0,35912.4,-0.0114438,0.147872,1.00012,-33890.9
-35900.9,0.955993,0.558399,2,7,0,35906.6,-0.00764903,0.135925,1.00249,-33890.2
-35902.1,0.835677,0.558399,2,3,0,35904.1,-0.0129671,0.134603,0.99044,-33887.9
-35900.1,0.950677,0.558399,2,7,0,35903,-0.0165772,0.132576,1.0033,-33890.2
-35901.2,0.962381,0.558399,2,3,0,35902.3,-0.0210629,0.131563,1.00263,-33890.5
-35899.5,1,0.558399,2,3,0,35901.3,-0.0207408,0.132548,0.99947,-33889.2
-35898.8,1,0.558399,2,7,0,35899.7,-0.010983,0.137704,0.995973,-33888.1
-35898.4,1,0.558399,3,7,0,35899.4,-0.0177871,0.133378,0.999323,-33888.7
-35898.2,0.84025,0.558399,2,3,0,35900.3,-0.0177593,0.135001,0.998657,-33888.5
-35898.5,0.849885,0.558399,2,3,0,35900.1,-0.0174189,0.131776,0.9985,-33888.6
-35897.8,1,0.558399,2,3,0,35898.5,-0.0151751,0.135953,0.998567,-33888.4
-35898,0.982991,0.558399,2,3,0,35898,-0.0141563,0.135544,0.996356,-33887.9
-35898.5,0.965422,0.558399,3,7,0,35898.8,-0.0146316,0.13046,0.997855,-33888.4
-35898.7,0.885827,0.558399,3,7,0,35900,-0.0167996,0.138735,0.996158,-33888.1
-35898.4,0.693877,0.558399,3,7,0,35902.4,-0.0172692,0.13306,0.996389,-33888.1
-35897.8,0.963347,0.558399,3,7,0,35899,-0.0149916,0.134261,0.998535,-33888.4
-35899.6,0.735683,0.558399,2,3,0,35900.9,-0.0188569,0.13704,1.00181,-33889.7
-35900.9,0.867849,0.558399,2,3,0,35902,-0.0153686,0.13928,0.99224,-33888
-35899.4,1,0.558399,2,3,0,35901.1,-0.0135957,0.136596,0.993512,-33887.7
-35898.6,1,0.558399,2,3,0,35899.5,-0.0160875,0.13565,1.00129,-33889.3
-35899.4,0.923799,0.558399,2,3,0,35900.4,-0.0166095,0.129699,0.995584,-33888.2
-35900.1,0.919764,0.558399,2,7,0,35901.8,-0.00704012,0.137864,0.997832,-33888.9
-35900,1,0.558399,3,7,0,35901,-0.0221445,0.133456,0.997513,-33888.9
-35898.6,0.771916,0.558399,2,3,0,35903.4,-0.0140602,0.134806,0.994663,-33887.7
-35898.3,1,0.558399,2,3,0,35898.8,-0.0163615,0.134774,1.00048,-33889
-35898.6,0.9903,0.558399,3,7,0,35898.7,-0.0180902,0.134024,1.00033,-33889.1
-35899.6,0.904732,0.558399,3,7,0,35901,-0.0143258,0.142116,0.996974,-33888.6
-35899.2,0.983727,0.558399,3,7,0,35901.1,-0.0202656,0.137152,0.997274,-33888.6
-35900,0.925022,0.558399,3,7,0,35901.3,-0.0122245,0.141865,0.995784,-33888.5
-35898.6,0.996266,0.558399,3,7,0,35900.5,-0.0129629,0.134807,0.994831,-33887.8
-35898,0.892902,0.558399,1,3,0,35899.9,-0.0169253,0.135384,0.998246,-33888.4
-35898.5,0.939111,0.558399,2,3,0,35898.8,-0.012396,0.138964,0.998259,-33888.5
-35898,0.997317,0.558399,2,3,0,35898.6,-0.0130816,0.136824,0.99746,-33888.2
-35898.7,0.76741,0.558399,2,3,0,35901,-0.0180951,0.131996,0.996945,-33888.3
-35898.4,1,0.558399,3,7,0,35899.1,-0.011107,0.133983,0.996449,-33888.1
-35899.3,0.832959,0.558399,2,3,0,35900.6,-0.0164398,0.131374,1.00169,-33889.6
-35898,0.974345,0.558399,2,3,0,35900.1,-0.0128761,0.133924,0.999331,-33888.6
-35898.7,0.887473,0.558399,3,7,0,35899.6,-0.0188566,0.132545,0.998338,-33888.6
-35898.9,0.994555,0.558399,3,7,0,35899.3,-0.0195393,0.134431,0.999668,-33889
-35900.1,0.940228,0.558399,2,7,0,35900.4,-0.0076604,0.132112,0.995977,-33888.5
-35900.3,0.911571,0.558399,3,7,0,35903.5,-0.0195294,0.12857,0.999429,-33889.4
-35899.9,0.997887,0.558399,2,7,0,35901.1,-0.0212766,0.131587,0.997995,-33888.9
-35899,0.997707,0.558399,2,7,0,35900.3,-0.0102948,0.138457,0.999562,-33889
-35899.2,0.988439,0.558399,3,7,0,35899.6,-0.0176855,0.130483,0.99594,-33888.2
-35899,1,0.558399,2,3,0,35899.6,-0.018017,0.130534,0.998313,-33888.7
-35900.2,0.883776,0.558399,2,3,0,35901,-0.0146289,0.127303,0.996196,-33888.6
-35898.1,1,0.558399,2,3,0,35900.4,-0.0152046,0.135227,0.995939,-33887.9
-35899.9,0.867175,0.558399,3,7,0,35899.9,-0.00972443,0.135325,0.993823,-33887.9
-35898.8,0.972135,0.558399,2,7,0,35901.1,-0.0182071,0.134318,0.995267,-33888
-35898.4,1,0.558399,3,7,0,35899,-0.0146741,0.13468,0.99506,-33887.8
-35898.5,0.86234,0.558399,2,3,0,35900.5,-0.0183909,0.133236,0.999148,-33888.7
-35898.1,1,0.558399,3,7,0,35898.6,-0.0140535,0.137651,0.999211,-33888.6
-35898.3,0.789615,0.558399,3,7,0,35900.2,-0.0124972,0.133076,0.999852,-33888.8
-35900,0.865077,0.558399,2,3,0,35900.3,-0.00787796,0.132482,0.995766,-33888.4
-35899.5,0.980951,0.558399,2,3,0,35901.1,-0.00966433,0.13132,1.00033,-33889.3
-35898.4,0.781881,0.558399,2,3,0,35902.6,-0.0124805,0.136923,0.995693,-33887.9
-35898.6,0.971808,0.558399,2,7,0,35899.3,-0.0100356,0.133518,0.99717,-33888.3
-35901.2,0.747259,0.558399,2,3,0,35902.1,-0.00595312,0.132465,1.00078,-33889.9
-35900.1,0.992626,0.558399,3,7,0,35902.5,-0.0070239,0.133509,0.996203,-33888.5
-35898.2,1,0.558399,2,3,0,35900.2,-0.0111098,0.135797,0.998838,-33888.6
-35899.4,0.814658,0.558399,2,3,0,35900.8,-0.0146113,0.128451,0.998673,-33888.9
-35898.3,0.963377,0.558399,2,3,0,35900.5,-0.0182677,0.135725,0.997137,-33888.2
