# stan_version_major = 2
# stan_version_minor = 35
# stan_version_patch = 0
# model = multireg_model
# start_datetime = 2025-05-11 20:38:40 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /var/folders/43/wy_ws5nx3830gqhfw05n4yyc0000gn/T/tmppgg4k5mb/vohfr58p.json
# init = 2 (Default)
# random
#   seed = 28376
# output
#   file = /Users/zhafen/repos/citesim/analysis_data/stan_fits/stan-fit_den_nNone/den_SciBERT.nonsems/multireg-20250511153839_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.35.0
# stancflags = --filename-in-msg=multireg.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,theta.1,theta.2,theta.3,sigma,beta.1,beta.2,beta.3,log_p
# Adaptation terminated
# Step size = 0.548975
# Diagonal elements of inverse mass matrix:
# 2.43422e-05, 2.31146e-05, 2.29851e-05, 2.41671e-05, 1.63851e-05
-34053.1,0.783526,0.548975,2,3,0,34057.7,-0.00604752,0.0416777,0.161078,0.127792,0.983335,0.0261436,0.158138,0.130918,-32673.2
-34052.8,0.895456,0.548975,3,7,0,34056.4,-0.0125296,0.0280406,0.159577,0.130542,0.980425,0.0122781,0.156025,0.133735,-32674.2
-34052.8,0.934899,0.548975,3,7,0,34054.8,-0.0101241,0.0351753,0.163398,0.133349,0.977566,0.0189896,0.159812,0.13661,-32669.4
-34052.1,0.849893,0.548975,3,7,0,34055.3,-0.00932621,0.034761,0.157577,0.124736,0.984077,0.0196888,0.154747,0.127787,-32676.4
-34058.2,0.617162,0.548975,2,3,0,34060.2,-0.0101981,0.036478,0.150981,0.119226,0.983794,0.022033,0.148316,0.122142,-32680.9
-34054.2,0.882946,0.548975,3,7,0,34063.1,-0.00536992,0.034739,0.167685,0.13193,0.977934,0.0188464,0.164804,0.135157,-32669
-34053.5,0.903123,0.548975,2,3,0,34056.5,-0.00483578,0.0311005,0.165824,0.132399,0.979453,0.0151556,0.162661,0.135637,-32670.8
-34053.9,0.950803,0.548975,3,7,0,34056.2,-0.000747983,0.0362972,0.163741,0.128321,0.982601,0.0208169,0.16101,0.131459,-32672.9
-34054.4,0.932995,0.548975,3,7,0,34056.8,-0.0164655,0.0350064,0.158529,0.131658,0.986396,0.0189663,0.15468,0.134878,-32677.2
