# stan_version_major = 2
# stan_version_minor = 35
# stan_version_patch = 0
# model = hreg_model
# start_datetime = 2025-05-11 21:44:15 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/43/wy_ws5nx3830gqhfw05n4yyc0000gn/T/tmppgg4k5mb/hy26d6o8.json
# init = 2 (Default)
# random
#   seed = 56219
# output
#   file = /Users/zhafen/repos/citesim/analysis_data/stan_fits/stan-fit_den_nNone/h-BOW-SciBERT.h-nonsems/hreg-20250511164415_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.35.0
# stancflags = --filename-in-msg=hreg.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,sigma,beta.1.1,beta.2.1,beta.3.1,beta.4.1,beta.5.1,beta.6.1,beta.7.1,beta.8.1,beta.9.1,beta.1.2,beta.2.2,beta.3.2,beta.4.2,beta.5.2,beta.6.2,beta.7.2,beta.8.2,beta.9.2,mu_beta.1,mu_beta.2,sigma_beta.1,sigma_beta.2,log_p
# Adaptation terminated
# Step size = 0.493503
# Diagonal elements of inverse mass matrix:
# 3.21717e-05, 2.28865e-05, 0.000159267, 0.000178839, 0.000229997, 0.00017963, 0.000353981, 0.000404175, 0.00020459, 0.00018601, 0.000208207, 0.000191658, 0.000213216, 0.000237463, 0.000364669, 0.000200613, 0.000315578, 0.000376041, 0.000342617, 0.000308373, 0.00269254, 0.00114395, 0.0860117, 0.0967717
-18999.6,0.921896,0.493503,3,7,0,19008.2,-0.0116986,0.975588,0.137638,-0.066948,0.256871,0.0949388,0.330129,0.119272,0.0215105,0.0799332,0.238769,0.154992,-0.0229772,0.112482,0.0556176,-0.0116739,0.186571,0.104553,0.143999,0.169048,0.097165,0.0489238,0.140505,0.0927951,-19234.1
-19001.2,0.942906,0.493503,3,7,0,19009.3,-0.00788107,0.977409,0.102785,-0.0139284,0.261239,0.121675,0.307612,0.171828,-0.00588386,0.123477,0.21687,0.136657,-0.0363608,0.0790021,0.0879088,0.0116276,0.137195,0.128391,0.141453,0.16653,0.124803,0.0363798,0.0954624,0.11558,-19211.5
-19002.7,0.930696,0.493503,3,7,0,19015,-0.00702625,0.973837,0.129017,-0.0643986,0.255989,0.0848454,0.342086,0.130025,0.00880688,0.098128,0.261644,0.144212,-0.0248546,0.0877385,0.0330738,-0.0173654,0.171999,0.126414,0.100807,0.170032,0.178844,0.1379,0.169027,0.061817,-19236
-19000.2,1,0.493503,3,7,0,19013.7,-0.00826093,0.974286,0.128996,-0.0727479,0.244161,0.0954232,0.328006,0.129606,0.0252706,0.102951,0.242481,0.131395,-0.053682,0.0976003,0.0399716,0.00660333,0.15234,0.119924,0.111037,0.173185,0.204204,0.150817,0.160272,0.114138,-19224
-18999,0.93085,0.493503,3,7,0,19011.1,-0.00558491,0.976637,0.096463,0.00123414,0.274141,0.110153,0.325064,0.160976,-0.00480321,0.0813393,0.222761,0.147197,-0.0157926,0.0840588,0.0841578,-0.00866452,0.16395,0.123173,0.152201,0.177146,0.138558,0.0697994,0.133107,0.0626636,-19221.9
-18999.5,0.746179,0.493503,3,7,0,19013.2,-0.0106495,0.977282,0.125843,-0.0341792,0.282996,0.104287,0.339397,0.122073,0.00259467,0.0971846,0.23131,0.147289,-0.0314973,0.102674,0.0960481,-0.0150335,0.15407,0.14629,0.120766,0.188543,0.0592561,0.0896929,0.133123,0.107472,-19246.1
