# stan_version_major = 2
# stan_version_minor = 35
# stan_version_patch = 0
# model = hreg_model
# start_datetime = 2025-05-11 21:09:59 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/43/wy_ws5nx3830gqhfw05n4yyc0000gn/T/tmppgg4k5mb/evzvovq1.json
# init = 2 (Default)
# random
#   seed = 33919
# output
#   file = /Users/zhafen/repos/citesim/analysis_data/stan_fits/stan-fit_den_nNone/h-den_BOW_j.h-nonsems/hreg-20250511160959_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.35.0
# stancflags = --filename-in-msg=hreg.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,sigma,beta.1.1,beta.2.1,beta.3.1,beta.4.1,beta.5.1,beta.6.1,beta.7.1,beta.8.1,beta.9.1,beta.1.2,beta.2.2,beta.3.2,beta.4.2,beta.5.2,beta.6.2,beta.7.2,beta.8.2,beta.9.2,beta.1.3,beta.2.3,beta.3.3,beta.4.3,beta.5.3,beta.6.3,beta.7.3,beta.8.3,beta.9.3,mu_beta.1,mu_beta.2,mu_beta.3,sigma_beta.1,sigma_beta.2,sigma_beta.3,log_p
# Adaptation terminated
# Step size = 0.413581
# Diagonal elements of inverse mass matrix:
# 2.03707e-05, 1.70394e-05, 0.000128195, 0.000113754, 0.000117219, 0.000148655, 0.000142602, 0.00011408, 0.000235032, 0.0001814, 0.000148427, 0.000141972, 0.000125181, 0.000127204, 0.000131756, 0.000127255, 0.00010893, 0.000150023, 0.000137736, 0.000150014, 0.000151567, 0.000126962, 0.00012388, 0.000129295, 0.000142479, 0.000169747, 0.000154188, 0.000131446, 0.00012489, 0.00287156, 0.000916966, 0.000432856, 0.0879312, 0.0857102, 0.0883857
-33887,0.985932,0.413581,3,15,0,33899.1,-0.0152711,0.972843,0.145118,-0.054069,0.275261,0.123411,0.291551,0.14,0.0376969,0.0892599,0.245802,0.137964,-0.0364859,0.114105,0.0764614,0.0133228,0.176987,0.132915,0.14136,0.167869,-0.0441278,-0.0348338,-0.096205,-0.125775,-0.00945684,-0.0174522,-0.0597896,-0.0880447,0.0270842,0.057324,0.158518,-0.0446394,0.281346,0.147523,0.0519004,-34203.8
-33884.2,0.913452,0.413581,3,15,0,33901.6,-0.00447447,0.972678,0.129625,-0.0601581,0.26923,0.126983,0.323756,0.156414,0.0460541,0.0935514,0.237887,0.154222,-0.0234241,0.0998704,0.074997,-0.00754483,0.152961,0.1393,0.127162,0.164998,-0.0768332,-0.0674793,-0.0952736,-0.140624,-0.014414,-0.00794185,-0.0618459,-0.0660476,0.0203075,0.038997,0.100861,-0.0537321,0.343794,0.0610167,0.0512989,-34224.1
-33884.7,0.589117,0.413581,3,15,0,33909.7,-0.0125501,0.972915,0.150693,-0.053397,0.270055,0.126248,0.297504,0.158012,0.0543785,0.102937,0.243495,0.150033,-0.0250117,0.113867,0.0830669,0.0270526,0.202633,0.146524,0.136374,0.16895,-0.0472764,-0.0581128,-0.102725,-0.135091,-0.00675669,0.00240678,-0.0503334,-0.0902131,0.0165209,0.0831877,0.0905369,-0.0449623,0.134651,0.103183,0.0672138,-34253.4
-33889.1,0.869232,0.413581,3,7,0,33904.9,-0.00604061,0.971097,0.141859,-0.0479169,0.2873,0.112375,0.312578,0.158876,0.064451,0.0938641,0.239031,0.14452,-0.0365286,0.0835795,0.0639111,-0.00254446,0.158881,0.123145,0.133546,0.152598,-0.03562,-0.0486482,-0.102167,-0.124881,-0.0159825,-0.00361612,-0.0670379,-0.119112,-0.00118415,0.189125,0.0668461,-0.0646222,0.124343,0.127324,0.0641785,-34198.9
-33894.1,0.837726,0.413581,3,7,0,33911.1,-0.00584764,0.967926,0.144768,-0.0321212,0.279381,0.115436,0.319272,0.169837,0.0663436,0.0938761,0.260364,0.162322,-0.035666,0.086564,0.0608478,-0.00173448,0.151145,0.116842,0.136105,0.16606,-0.0289981,-0.0480374,-0.110286,-0.138629,-0.0119991,-0.0118509,-0.0478741,-0.103844,0.010043,0.164029,0.0597844,-0.0601164,0.226288,0.0933485,0.0696979,-34235.4
-33897.4,0.926211,0.413581,3,7,0,33918.2,-0.0138319,0.977203,0.155066,-0.0628601,0.256228,0.138053,0.307163,0.144626,0.0674541,0.073716,0.233613,0.128747,-0.0317777,0.0951113,0.0499928,-0.00908253,0.169982,0.12006,0.144482,0.157114,-0.0437693,-0.0519054,-0.0975728,-0.141008,-0.0122028,0.00907334,-0.064504,-0.0774047,0.00640042,0.195601,0.106751,-0.0926085,0.269656,0.116066,0.0561131,-34174.1
-33886.2,0.988254,0.413581,3,15,0,33911.4,-0.00778806,0.966575,0.153545,-0.0561249,0.31102,0.104364,0.299967,0.154938,0.0482017,0.0928698,0.262696,0.154927,-0.0352143,0.108867,0.0838054,0.0117719,0.17923,0.14193,0.133649,0.144871,-0.0651229,-0.0481347,-0.10642,-0.141379,-0.000519718,-0.0124229,-0.0480244,-0.0851942,0.0224728,0.10305,0.0973095,-0.0430283,0.123084,0.117416,0.0582521,-34265.1
-33892.4,0.873052,0.413581,3,7,0,33907.3,-0.012125,0.980562,0.137379,-0.0502536,0.255398,0.136341,0.325701,0.157731,0.0366478,0.0896594,0.261755,0.139083,-0.0262253,0.0935418,0.0643549,0.00165302,0.160786,0.132012,0.162909,0.15239,-0.0551194,-0.0572836,-0.0869435,-0.119425,-0.00517536,-0.0128158,-0.0480328,-0.0643565,0.0227912,0.0846153,0.0254948,-0.06419,0.18157,0.12358,0.0433031,-34202.8
-33887.2,0.982389,0.413581,3,7,0,33908.2,-0.00684726,0.970652,0.138546,-0.0513096,0.299943,0.110103,0.29241,0.145717,0.0696008,0.0884633,0.238408,0.164435,-0.0294235,0.101328,0.0927317,0.0084589,0.186969,0.132156,0.123564,0.17643,-0.0674442,-0.0480991,-0.107225,-0.145591,-0.0190304,-0.00743983,-0.0545067,-0.103763,0.00902501,0.21381,0.149114,-0.0404956,0.159673,0.0581574,0.0780033,-34243.5
-33885.3,1,0.413581,3,7,0,33901.8,-0.0136561,0.974724,0.142426,-0.0479296,0.24473,0.119162,0.32085,0.160559,0.0397168,0.093612,0.254337,0.135414,-0.0262359,0.108062,0.0659926,-0.00127467,0.161932,0.144382,0.163842,0.160276,-0.0596708,-0.0712641,-0.0928015,-0.123384,-0.0101515,-0.00106334,-0.0487903,-0.0747342,0.0312583,0.137108,0.071135,-0.050349,0.132181,0.135381,0.043203,-34217.9
-33893.2,0.769846,0.413581,3,7,0,33906.4,-0.00706609,0.975925,0.136734,-0.0615945,0.247177,0.127098,0.321703,0.169289,0.0524964,0.0947612,0.26267,0.131752,-0.0269267,0.0946829,0.0574448,0.00557379,0.151906,0.136532,0.160204,0.164337,-0.0517603,-0.0749408,-0.0943519,-0.134479,-0.0183904,-0.0183648,-0.0665121,-0.0592403,0.0197797,0.0897173,0.0396449,-0.0325648,0.100352,0.106109,0.0423052,-34222
-33892.1,0.98763,0.413581,3,7,0,33909.4,-0.00218274,0.969175,0.138262,-0.04918,0.277901,0.107997,0.308191,0.151701,0.0455321,0.103419,0.262392,0.133391,-0.0307278,0.108175,0.0602429,0.00189217,0.153487,0.132069,0.158963,0.161311,-0.0566097,-0.0778638,-0.085116,-0.118922,-0.0028889,-0.0189915,-0.0535225,-0.0552896,0.010828,0.210461,0.0643945,-0.0742623,0.100287,0.0888922,0.0422743,-34217.1
-33885.2,1,0.413581,3,7,0,33904.7,-0.00925937,0.976649,0.136499,-0.0451578,0.271052,0.119683,0.311528,0.143484,0.0480739,0.0976698,0.262726,0.127153,-0.0286556,0.112945,0.0635554,0.00570443,0.158836,0.133054,0.145162,0.155561,-0.0660922,-0.0813506,-0.0880148,-0.125056,-0.0301361,-0.0102627,-0.0602398,-0.0684746,0.0105803,0.196517,0.0588771,-0.0766647,0.131599,0.0741431,0.0471078,-34200.9
-33881.9,0.991173,0.413581,4,15,0,33896.4,-0.0087077,0.972056,0.138672,-0.0666636,0.281209,0.121891,0.308157,0.164555,0.047097,0.0923596,0.248068,0.169353,-0.0127845,0.0887218,0.0906836,0.00448345,0.182662,0.124232,0.136117,0.154042,-0.0579881,-0.0405468,-0.106494,-0.142769,-0.00337434,-0.0139352,-0.0407855,-0.0991848,0.0197305,0.115449,0.118092,-0.0308339,0.126315,0.0630611,0.0551966,-34238.3
-33881.5,0.929242,0.413581,3,7,0,33897.9,-0.00960359,0.971923,0.141134,-0.0576996,0.268009,0.117604,0.309751,0.139312,0.0459915,0.0819361,0.258944,0.155127,-0.0174262,0.0781248,0.0777997,-0.00186595,0.19273,0.131559,0.14498,0.144741,-0.0635683,-0.062668,-0.0942967,-0.131337,0.000179045,-0.010522,-0.0462819,-0.104394,0.0142919,0.126165,0.109062,-0.0300385,0.0962326,0.0597524,0.0762999,-34221
-33881.5,0.698365,0.413581,3,7,0,33902.8,-0.008061,0.974674,0.133511,-0.0336135,0.281575,0.120471,0.300767,0.157529,0.0481778,0.110563,0.235757,0.144866,-0.0354279,0.118278,0.0809408,0.0133329,0.159087,0.129727,0.128177,0.179977,-0.0558685,-0.0617436,-0.0809793,-0.132278,-0.0214206,-0.0080377,-0.0578939,-0.0754321,0.019465,0.197801,0.0900729,-0.0487123,0.156111,0.091486,0.0770193,-34207.5
-33879.6,0.96899,0.413581,3,7,0,33893.9,-0.0103996,0.971173,0.135877,-0.0691232,0.273238,0.121099,0.318458,0.151541,0.0565524,0.0999141,0.243766,0.159876,-0.0152252,0.0879601,0.0712342,-0.00558532,0.187639,0.132821,0.132558,0.15971,-0.0715605,-0.0616289,-0.126168,-0.14311,-0.000803212,-0.0191991,-0.0506721,-0.0926345,0.0138628,0.134605,0.100784,-0.0546783,0.113959,0.0659876,0.0554441,-34248.8
-33881.6,0.732173,0.413581,3,7,0,33896.1,-0.00923095,0.971826,0.13859,-0.0630079,0.26613,0.124168,0.328539,0.151693,0.0596248,0.0955962,0.248523,0.160787,-0.0135948,0.0903265,0.0769182,-0.00424096,0.183427,0.137323,0.133808,0.157786,-0.0726991,-0.0556484,-0.121972,-0.132399,-0.000634336,-0.0221231,-0.0488257,-0.0987514,0.0114259,0.0933689,0.117086,-0.0400328,0.117157,0.0692903,0.0601372,-34253.5
-33878.5,0.996658,0.413581,3,7,0,33890.7,-0.0102252,0.972015,0.150723,-0.0698628,0.275476,0.115732,0.309069,0.151826,0.0511752,0.0903261,0.242409,0.15093,-0.0162864,0.102545,0.0821159,0.0134494,0.179213,0.137513,0.141949,0.156707,-0.0604323,-0.0591211,-0.106048,-0.114923,-0.012082,-0.00592031,-0.0558376,-0.0881524,0.0295101,0.143266,0.0937515,-0.0411852,0.154422,0.121219,0.0569924,-34230.4
-33878.4,0.877717,0.413581,3,7,0,33892.1,-0.00750089,0.976433,0.122789,-0.0378503,0.285575,0.12408,0.309908,0.152064,0.0557668,0.101365,0.256006,0.147112,-0.0388249,0.0951159,0.074266,0.00135661,0.165128,0.124728,0.13789,0.161685,-0.0627802,-0.0539937,-0.0871639,-0.150883,-0.0119925,-0.0150414,-0.0533268,-0.0815444,-0.000267173,0.151627,0.130488,-0.064399,0.0964708,0.061107,0.0403916,-34211.5
-33879.1,0.768122,0.413581,3,7,0,33893.2,-0.00993941,0.968979,0.143368,-0.0547165,0.273031,0.107826,0.309305,0.150392,0.0566567,0.112309,0.24055,0.144582,-0.0377706,0.0977402,0.0770541,0.014882,0.178716,0.149035,0.139451,0.164158,-0.0550849,-0.0505476,-0.0875941,-0.118704,-0.0202401,-0.0131575,-0.0595874,-0.0778731,0.0226984,0.169536,0.0568398,-0.039485,0.149144,0.0965434,0.0504183,-34230.2
-33878.3,0.871603,0.413581,3,7,0,33895.9,-0.00892697,0.972487,0.130603,-0.0467158,0.275365,0.130344,0.309619,0.156748,0.0488347,0.0715148,0.2531,0.157264,-0.0315755,0.107227,0.080903,-0.00235524,0.166489,0.12549,0.143542,0.157417,-0.070255,-0.0605463,-0.107988,-0.144049,-0.0102982,-0.0152115,-0.046668,-0.093124,-0.00276643,0.185158,0.133254,-0.0517297,0.10643,0.0603559,0.0481528,-34224.9
-33890.2,0.660597,0.413581,3,7,0,33900.7,-0.0112444,0.976296,0.12578,-0.0525204,0.277164,0.0930399,0.300995,0.142234,0.0619017,0.0922382,0.227856,0.138123,-0.00644908,0.0983742,0.0808465,0.011451,0.174732,0.106722,0.154902,0.168036,-0.0645444,-0.0621199,-0.114212,-0.133632,-0.00676114,-0.00698034,-0.0485389,-0.0932508,0.0162124,0.0876171,0.0976886,-0.0721175,0.084649,0.0982406,0.0351765,-34181.4
-33885.5,0.957666,0.413581,3,7,0,33909.4,-0.00731455,0.969239,0.143554,-0.0388307,0.272433,0.129804,0.306098,0.156903,0.0562587,0.0910885,0.231395,0.161307,-0.036428,0.122232,0.0768652,0.0106551,0.174482,0.148385,0.130505,0.178126,-0.0499628,-0.0579468,-0.0787388,-0.124023,-0.0289293,-0.0207277,-0.0598353,-0.0701074,0.00121761,0.150428,0.110082,-0.0534239,0.170965,0.124178,0.061264,-34233.9
-33889.7,0.823757,0.413581,3,7,0,33904.1,-0.0135266,0.977538,0.125493,-0.0389121,0.278961,0.115045,0.304786,0.138825,0.0485402,0.0951881,0.251814,0.134496,-0.0258576,0.10406,0.067609,-0.00463117,0.17138,0.118036,0.156997,0.153752,-0.0761654,-0.0465822,-0.11812,-0.136333,0.00500011,-0.00777048,-0.0522992,-0.104069,0.0251127,0.143142,0.13452,-0.0587348,0.0794822,0.10934,0.0370018,-34197
-33890.7,0.99114,0.413581,3,7,0,33907.9,-0.0132752,0.969987,0.14912,-0.0511222,0.264862,0.0981632,0.317066,0.124336,0.0485762,0.106273,0.251594,0.16878,-0.0303838,0.104276,0.0807838,-0.0100185,0.170841,0.109554,0.15111,0.172536,-0.0710891,-0.0547052,-0.110274,-0.13899,0.00134241,-0.0155591,-0.0324492,-0.0955661,0.0100639,0.158498,0.160195,-0.0480372,0.109513,0.127308,0.0594591,-34238.4
-33891.8,0.901754,0.413581,3,15,0,33913.7,-0.0126561,0.977823,0.134923,-0.0410524,0.254054,0.130617,0.309576,0.148094,0.0609256,0.11563,0.230078,0.135803,-0.0262866,0.0816398,0.0685509,-0.00838641,0.184864,0.160469,0.12229,0.168155,-0.0606721,-0.050033,-0.0819581,-0.157502,-0.00219686,-0.0260026,-0.0613856,-0.094303,0.0183726,0.139186,0.125021,-0.0548824,0.085411,0.11257,0.0732186,-34206.5
-33887.5,0.979576,0.413581,3,7,0,33910.1,-0.0101104,0.975376,0.13725,-0.0344801,0.277416,0.140357,0.311438,0.149455,0.059542,0.117385,0.238031,0.140185,-0.0184267,0.105751,0.0664328,0.00376999,0.196828,0.145545,0.141246,0.161848,-0.0672439,-0.0532547,-0.0746848,-0.152318,-0.00827073,-0.000873452,-0.0632071,-0.0982547,0.00807227,0.17866,0.0685717,-0.0876356,0.107179,0.11765,0.0625136,-34242.1
-33883.7,0.935449,0.413581,3,7,0,33900.9,-0.0125261,0.972525,0.132075,-0.052459,0.243966,0.122514,0.318788,0.139313,0.0521924,0.0822978,0.264593,0.155167,-0.0389038,0.100903,0.075377,0.0104583,0.164522,0.11633,0.141492,0.162602,-0.0540404,-0.0573162,-0.104378,-0.145635,-0.025776,-0.0302129,-0.051722,-0.0749856,0.0172852,0.113232,0.088332,-0.0307423,0.127818,0.0557691,0.0497926,-34218.8
-33884.2,0.928349,0.413581,3,7,0,33899.5,-0.0126843,0.976328,0.1354,-0.0636825,0.296595,0.107168,0.305834,0.153609,0.0649454,0.0762635,0.243115,0.160619,-0.0425406,0.0913748,0.0713809,0.0108239,0.172176,0.136839,0.148694,0.172711,-0.0683186,-0.0409773,-0.106388,-0.145495,-0.0160299,-0.00947877,-0.0401515,-0.0619339,0.0279351,0.150137,0.0668723,-0.0602822,0.154586,0.0954392,0.0568097,-34230.2
-33883.3,0.861749,0.413581,3,15,0,33905.3,-0.0068949,0.969809,0.141984,-0.0348044,0.252745,0.133556,0.30243,0.153829,0.0318273,0.0969829,0.257489,0.144653,-0.0370758,0.114514,0.0772355,0.00520139,0.171071,0.138742,0.135296,0.147523,-0.057153,-0.0383386,-0.0917044,-0.118035,-0.00929283,-0.0133423,-0.0731253,-0.102756,0.00871266,0.130924,0.125586,-0.0323179,0.099445,0.070156,0.0513171,-34209.8
