# stan_version_major = 2
# stan_version_minor = 35
# stan_version_patch = 0
# model = hreg_model
# start_datetime = 2025-05-11 20:50:33 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /var/folders/43/wy_ws5nx3830gqhfw05n4yyc0000gn/T/tmppgg4k5mb/pnfrh9ir.json
# init = 2 (Default)
# random
#   seed = 96919
# output
#   file = /Users/zhafen/repos/citesim/analysis_data/stan_fits/stan-fit_den_nNone/h-den_GPT2_j/hreg-20250511155033_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.35.0
# stancflags = --filename-in-msg=hreg.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,sigma,beta.1.1,beta.2.1,beta.3.1,beta.4.1,beta.5.1,beta.6.1,beta.7.1,beta.8.1,beta.9.1,mu_beta.1,sigma_beta.1,log_p
# Adaptation terminated
# Step size = 0.47474
# Diagonal elements of inverse mass matrix:
# 2.56044e-05, 1.72112e-05, 0.000122295, 0.000121552, 0.000127466, 0.000117974, 9.59696e-05, 0.000158686, 0.000113184, 0.000172322, 0.000134228, 0.000274729, 0.097214
-35960.1,0.956272,0.47474,3,7,0,35969.3,-0.0061601,0.995224,0.0720676,0.104164,0.0608054,0.0791871,0.0281453,0.0103152,0.104192,0.0389235,0.0193711,0.0449766,0.050373,-33930.2
-35961.4,0.889037,0.47474,3,7,0,35967.1,-0.0144132,0.999944,0.0910636,0.108802,0.0599825,0.0870628,0.0263048,0.00712709,0.109633,0.0232134,0.0067252,0.0752212,0.0372349,-33939.8
-35961.1,0.87599,0.47474,3,7,0,35965.9,-0.00206686,0.997649,0.0674366,0.110413,0.0647373,0.0681017,0.0219702,0.035278,0.0823675,0.0215259,0.0116075,0.0292211,0.0454173,-33922.3
-35966.8,0.715245,0.47474,3,7,0,35973.5,-0.0123447,1.00246,0.0965841,0.1182,0.0609548,0.0883742,0.0408747,0.00435267,0.109546,0.0207277,-0.0109084,0.076539,0.0785131,-33945.5
-35966.3,0.996742,0.47474,3,7,0,35972.1,-0.00122048,0.998959,0.0625452,0.100944,0.0826286,0.0685475,0.00817587,0.0395164,0.0822793,0.0259255,0.0306689,0.0507453,0.0221949,-33924.4
-35963.4,0.998014,0.47474,3,7,0,35972.4,-0.0116208,0.995734,0.0810984,0.100822,0.0852334,0.0755411,0.0225501,0.0482221,0.0863532,0.0370829,0.0250379,0.0722571,0.0253206,-33933.2
-35961.1,0.917285,0.47474,3,7,0,35970.3,-0.000128087,1.00291,0.0874531,0.113789,0.0466765,0.0780363,0.0218712,0.0344917,0.104335,0.0261155,0.0108207,0.0520302,0.0328494,-33936.7
-35966.1,0.685428,0.47474,3,7,0,35973.8,-0.0115032,0.99537,0.0987305,0.095943,0.0611229,0.0926289,0.0427271,0.0282544,0.0855248,0.0254939,-0.00078114,0.0599897,0.0750014,-33932.6
-35963.5,0.986811,0.47474,3,7,0,35972.6,-0.00205083,1.00305,0.0726039,0.112123,0.0821363,0.089093,0.0325416,0.0231496,0.108295,0.0455625,0.0139205,0.0676396,0.0254773,-33943.3
-35963.4,0.927334,0.47474,3,7,0,35971.1,-0.0102648,0.999141,0.09215,0.106357,0.0596939,0.0985676,0.0326444,0.0270522,0.0900135,0.056774,0.0209331,0.0755049,0.0440145,-33939.4
-35962.3,0.948195,0.47474,3,7,0,35971.8,-0.00387327,0.999315,0.0691515,0.123436,0.0686867,0.089098,0.00177215,0.0137253,0.103139,0.0267218,1.29789e-05,0.0503427,0.0381021,-33937.4
-35959.4,0.984557,0.47474,3,7,0,35965.9,-0.0121878,0.999197,0.0767916,0.101121,0.0629329,0.0753642,0.0268082,0.0346842,0.0774704,0.0328066,0.023957,0.0612125,0.0367936,-33923.7
-35961.6,0.895485,0.47474,3,7,0,35966,-0.00465876,0.996267,0.068832,0.0990369,0.0772863,0.0993236,0.0340317,0.0285973,0.103505,0.0303557,0.0170571,0.0785102,0.0362542,-33936.5
-35963.8,0.835789,0.47474,3,7,0,35969.4,-0.00385011,0.995898,0.0842973,0.107463,0.043764,0.0578884,0.0139541,0.0146118,0.0881225,0.0147194,-0.00625512,0.0513164,0.0624704,-33919.5
-35962.5,1,0.47474,3,7,0,35965.6,-0.00856826,0.997426,0.0745665,0.111432,0.0809268,0.0990192,0.034425,0.0296394,0.102027,0.0373896,0.0217664,0.0673754,0.0225617,-33942.7
-35961.5,0.782632,0.47474,3,7,0,35971,-0.010712,0.997676,0.0573445,0.115061,0.0801125,0.0823129,0.027538,0.00804405,0.101519,0.0273971,0.000205617,0.0534447,0.0532973,-33932.3
-35961.4,0.951583,0.47474,3,7,0,35966.8,-0.00612057,1.00058,0.0972519,0.0966363,0.0500674,0.0748315,0.0283094,0.0411915,0.0869283,0.0313471,0.0285192,0.0538907,0.0270845,-33929.9
-35961.8,0.873857,0.47474,3,7,0,35967.3,-0.00565039,0.99645,0.0671837,0.121525,0.0799655,0.0856209,0.0191507,0.00649701,0.104969,0.0290829,-0.00504508,0.0519573,0.0542017,-33937.5
-35961,0.967811,0.47474,3,7,0,35967.2,-0.00754453,1.00223,0.100606,0.114835,0.05834,0.069208,0.0218553,0.0210969,0.0909488,0.0351046,0.00851571,0.0645337,0.0602257,-33934.7
-35958,0.9465,0.47474,3,7,0,35967.8,-0.00810721,0.997651,0.0656908,0.0927732,0.0656345,0.0835124,0.0302662,0.0270851,0.0934929,0.0191335,0.0148931,0.0566663,0.0392641,-33923.6
-35960.1,0.782811,0.47474,3,7,0,35965.9,-0.0124407,0.996823,0.061774,0.0930871,0.0639547,0.0876896,0.0302248,0.0205699,0.0972532,0.0366724,0.00969684,0.0578256,0.0371576,-33925.6
-35964.5,0.764953,0.47474,3,7,0,35970,-0.00469313,1.00192,0.0988013,0.118924,0.074582,0.0764634,0.0370323,-8.93975e-05,0.10017,0.0243536,0.0206741,0.031889,0.0596421,-33942.6
-35963.2,0.975484,0.47474,3,7,0,35970.9,-0.011442,0.996436,0.0873862,0.101261,0.0688669,0.0498151,0.0357005,0.0124475,0.0944156,0.0263621,0.0182412,0.0699144,0.0317343,-33926.1
-35962.9,0.955646,0.47474,3,7,0,35972,-0.000748123,1.00205,0.085853,0.110582,0.0408955,0.0824292,0.0387375,0.0258409,0.112231,0.0262058,0.0209327,0.0542035,0.0485717,-33939
-35964.6,0.846997,0.47474,3,7,0,35971.6,-0.014201,0.991847,0.0681596,0.0922443,0.063058,0.063101,0.0302018,0.0349513,0.0910795,0.0151258,0.00965536,0.0515802,0.0270621,-33920
-35965.2,0.981962,0.47474,3,7,0,35971.1,-0.00386322,1.00493,0.0576001,0.0985995,0.0827498,0.066716,0.010911,0.0133561,0.0810716,0.0218827,0.0131925,0.0448707,0.0415949,-33920
-35962.4,1,0.47474,3,7,0,35969.9,-0.00916396,0.995505,0.0730834,0.100839,0.0873889,0.074955,0.0235339,0.0101184,0.10733,0.0175368,-0.00427385,0.0443899,0.0337533,-33932.5
-35962.3,0.932657,0.47474,3,7,0,35968.3,-0.00957344,1.00017,0.0583032,0.112101,0.0841556,0.0770619,0.0272106,0.00429801,0.097973,0.0185352,0.0162715,0.0448259,0.0619912,-33930.4
-35964.2,0.626494,0.47474,3,7,0,35974.8,-0.00333774,0.997747,0.0814557,0.103623,0.0390296,0.0949764,0.0229165,0.0215837,0.0868028,0.0328516,-0.00178034,0.0929991,0.0465215,-33926
-35962.2,0.966785,0.47474,3,7,0,35969.4,-0.0107246,1.00112,0.0781382,0.120713,0.0705801,0.0717073,0.0421949,0.00819698,0.104137,0.0158835,0.0227359,0.0540011,0.0626549,-33938
-35962.8,0.934223,0.47474,3,7,0,35971.3,-0.0128527,0.999741,0.0724544,0.112684,0.0865359,0.0953665,0.0273529,0.0290766,0.108776,0.00842672,0.0135131,0.0816613,0.0592203,-33943.9
-35963,0.770053,0.47474,3,7,0,35974.6,-0.0129706,0.999195,0.0780233,0.106925,0.0659241,0.0700597,0.0302341,0.00998782,0.0971624,0.0257177,-0.0205198,0.071435,0.0481114,-33928.3
-35963.1,0.972485,0.47474,3,7,0,35965.7,-0.00347851,0.994718,0.0801462,0.110756,0.0647368,0.0902261,0.0199027,0.0333442,0.0938071,0.0197009,0.0393418,0.046545,0.0321643,-33936
-35964.3,0.967355,0.47474,3,7,0,35968.2,-0.013879,1.00415,0.0791596,0.106928,0.0563188,0.0583443,0.0356864,0.0250628,0.0966657,0.025322,-0.0116124,0.0687345,0.0394489,-33927.9
-35962.3,0.998317,0.47474,3,7,0,35969.8,-0.00253142,0.996304,0.0742944,0.104595,0.0690683,0.0860892,0.00976047,0.0128654,0.0897,0.0178327,0.025426,0.0278664,0.0408778,-33927.7
-35962.6,1,0.47474,3,7,0,35968.1,-0.0103156,1.00217,0.0847666,0.116027,0.0845605,0.0718311,0.00981718,0.0275676,0.106797,0.0209299,0.00363983,0.0566051,0.0778149,-33941.2
-35960.3,0.9296,0.47474,3,7,0,35970.3,-0.00397111,0.998426,0.0811172,0.100551,0.0506998,0.0763703,0.0324008,0.0114409,0.0992318,0.0265581,0.0127878,0.0217196,0.0518477,-33926.7
-35962.5,0.63449,0.47474,3,7,0,35971.9,-0.00611091,0.999709,0.0748421,0.108241,0.071825,0.10783,0.0133946,0.0209971,0.103733,0.0211407,-0.0100673,0.0627017,0.0481501,-33939.6
-35963.4,0.869542,0.47474,3,7,0,35969.4,-0.00787155,0.999056,0.0736805,0.108979,0.0454151,0.0646423,0.0448911,0.0208475,0.0923924,0.019465,0.0116686,0.0627664,0.0826531,-33923.4
-35963,0.885347,0.47474,3,7,0,35969.6,-0.00661142,0.995693,0.0934348,0.103718,0.0814535,0.0939182,0.0138905,0.0231346,0.0990865,0.0349204,0.0123832,0.0576026,0.0251836,-33940.7
-35969.7,0.353721,0.47474,3,7,0,35976,-0.00768842,1.00234,0.0638474,0.118617,0.0640759,0.0570852,0.0429342,0.0420632,0.0816792,0.0215163,0.00190287,0.0911367,0.0972529,-33924.8
-35964.7,0.992962,0.47474,3,7,0,35976.9,-0.00753562,0.995997,0.0906677,0.120781,0.0626809,0.0696915,0.0147603,-0.000206803,0.0858578,0.00592854,0.0154253,0.072619,0.0821472,-33929.5
-35965.9,0.955533,0.47474,3,7,0,35971.5,-0.00604066,1.00219,0.0790362,0.10646,0.0596067,0.0745475,0.0325124,0.0463622,0.0919853,0.0381664,-0.00629988,0.111595,0.0666859,-33930.7
-35963.8,0.856322,0.47474,3,7,0,35975.4,-0.0100101,0.995152,0.070507,0.120277,0.0654686,0.0708768,0.014476,0.000472758,0.0915984,0.01244,0.0126682,0.014399,0.0533596,-33927
-35960.7,0.776959,0.47474,2,3,0,35970.7,-0.00959206,0.99782,0.0761804,0.119917,0.0625349,0.0649757,0.0186122,0.00769887,0.0939042,0.0184139,0.00988701,0.0349328,0.0721233,-33927.9
-35964,0.935399,0.47474,3,7,0,35966.9,-0.00909572,1.00254,0.0716074,0.115528,0.0348529,0.0789384,0.0159694,0.0112426,0.103834,0.0188145,0.00484622,0.0345058,0.092299,-33929.1
-35965.8,0.935867,0.47474,3,7,0,35971.5,-0.00860793,0.998607,0.0783721,0.105283,0.0413247,0.0660193,0.0273165,0.00291438,0.111129,0.0192294,0.00607769,-0.00179485,0.0513921,-33927.6
-35961.2,0.884705,0.47474,3,7,0,35972,-0.00371186,0.999953,0.0931177,0.0961442,0.0584559,0.0767386,0.0290288,0.0342558,0.0909041,0.00771699,0.0086842,0.0637032,0.0630762,-33928.2
-35959.5,0.970256,0.47474,3,7,0,35964.7,-0.00825168,0.996018,0.0787009,0.107536,0.0580607,0.0600711,0.0167385,0.0144711,0.0985339,0.0152634,0.00689536,0.0478954,0.0535613,-33924.6
-35958.9,0.772297,0.47474,3,7,0,35971.4,-0.00846706,1.00053,0.0740128,0.102302,0.0730313,0.0900202,0.0279054,0.0414962,0.0963348,0.0391203,0.0110405,0.0555853,0.0389484,-33934.9
-35965,0.795028,0.47474,3,7,0,35968,-0.00870305,0.997943,0.0769036,0.100487,0.0527287,0.0803753,0.0107613,-0.0103651,0.107301,0.00524973,0.0291823,0.0548531,0.0472492,-33929.3
-35961.4,1,0.47474,3,7,0,35968.6,-0.00601852,1.00042,0.0774296,0.12867,0.0644874,0.0651723,0.0217055,0.0422162,0.0872799,0.0349643,0.0103714,0.0429247,0.0412147,-33933.6
-35963.4,0.85262,0.47474,3,7,0,35969.9,-0.01503,0.998143,0.0691595,0.104772,0.0616433,0.0781044,0.0184168,0.0430835,0.0909478,-0.00592486,0.0144005,0.0535928,0.0321434,-33927.1
-35957.1,1,0.47474,2,3,0,35964.5,-0.00873372,0.999101,0.0779256,0.1033,0.0608725,0.0842821,0.0140568,0.0341458,0.0908217,0.0210637,0.00643493,0.0566784,0.033732,-33927.8
-35959.5,0.796239,0.47474,2,3,0,35961.7,-0.00426514,1.00084,0.0734288,0.104861,0.0735163,0.0895907,0.0136991,0.033334,0.0799241,0.0262159,0.0106578,0.0548365,0.030003,-33927.7
-35958.3,0.999417,0.47474,3,7,0,35962.3,-0.0069413,0.998431,0.0726411,0.0963,0.060537,0.0871884,0.0326644,0.02473,0.0991435,0.0115349,0.0235899,0.0516954,0.0381433,-33928.5
