# stan_version_major = 2
# stan_version_minor = 35
# stan_version_patch = 0
# model = hreg_model
# start_datetime = 2025-05-11 21:30:45 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/43/wy_ws5nx3830gqhfw05n4yyc0000gn/T/tmppgg4k5mb/p2s2ady0.json
# init = 2 (Default)
# random
#   seed = 28229
# output
#   file = /Users/zhafen/repos/citesim/analysis_data/stan_fits/stan-fit_den_nNone/h-den_SciBERT_j.h-nonsems/hreg-20250511163045_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.35.0
# stancflags = --filename-in-msg=hreg.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,sigma,beta.1.1,beta.2.1,beta.3.1,beta.4.1,beta.5.1,beta.6.1,beta.7.1,beta.8.1,beta.9.1,beta.1.2,beta.2.2,beta.3.2,beta.4.2,beta.5.2,beta.6.2,beta.7.2,beta.8.2,beta.9.2,beta.1.3,beta.2.3,beta.3.3,beta.4.3,beta.5.3,beta.6.3,beta.7.3,beta.8.3,beta.9.3,mu_beta.1,mu_beta.2,mu_beta.3,sigma_beta.1,sigma_beta.2,sigma_beta.3,log_p
# Adaptation terminated
# Step size = 0.450293
# Diagonal elements of inverse mass matrix:
# 2.49398e-05, 1.76236e-05, 0.000106132, 0.000133257, 0.000104408, 0.000154417, 0.000126052, 0.000117929, 0.000182, 0.000162306, 0.000150301, 0.000119978, 0.000115509, 0.0001211, 0.000140511, 0.000142677, 0.000117494, 0.000153049, 0.00014483, 0.000109821, 0.000211834, 0.000126179, 0.000147683, 0.000235632, 0.000224382, 0.000192325, 0.000169728, 0.000151106, 0.000130977, 0.00237646, 0.00110929, 0.000635113, 0.0905383, 0.0806219, 0.0786611
-33366,1,0.450293,3,15,0,33383.8,-0.00800391,0.9707,0.152732,-0.0470612,0.246403,0.130227,0.307996,0.152445,0.0721148,0.0897274,0.241638,0.147944,-0.0587029,0.110119,0.0679132,-0.0320204,0.181578,0.0642502,0.145722,0.173866,0.0519218,0.0379407,0.0301808,0.0384648,0.0678193,0.0070916,0.189247,-0.0346249,0.0473516,0.21248,0.074176,-0.0455013,0.113896,0.0998207,0.0982312,-33721.3
-33364.8,0.854265,0.450293,3,7,0,33380.4,-0.0144189,0.973417,0.149552,-0.0523885,0.245793,0.115102,0.322724,0.16135,0.0843091,0.0924888,0.230343,0.131574,-0.051915,0.11174,0.0694951,-0.011421,0.172759,0.0588643,0.155216,0.167285,0.059113,0.0369135,0.0136375,0.0252767,0.0591169,0.0011619,0.179238,-0.0472931,0.0396493,0.133793,0.110063,-0.024853,0.0887859,0.0723264,0.122993,-33702.1
-33365.9,0.849341,0.450293,3,7,0,33384.5,-0.00560238,0.971928,0.128683,-0.0505957,0.236695,0.10169,0.304331,0.153443,0.056618,0.0712559,0.244145,0.14942,-0.0432512,0.108761,0.0964785,0.000548994,0.143102,0.0650335,0.152382,0.16713,0.0410367,0.0358174,0.0221342,0.0206141,0.0444785,0.00121125,0.17454,-0.0221898,0.0513605,0.174209,0.100076,0.0365584,0.0984901,0.0768459,0.0505362,-33668.1
-33374.3,0.599376,0.450293,3,7,0,33392.3,-0.0117054,0.971621,0.16711,-0.0541715,0.235382,0.100233,0.317533,0.148134,0.0793358,0.0719077,0.241593,0.15407,-0.0496809,0.0888916,0.0976033,-0.0287202,0.156241,0.0771213,0.170943,0.128306,0.0333707,0.0433667,0.0382767,-0.00199189,0.063244,0.0109051,0.176919,-0.0536026,0.0556111,0.143226,0.125319,0.082807,0.101247,0.121749,0.0734939,-33692.5
-33372.9,0.987326,0.450293,3,7,0,33393.5,-0.0122808,0.973929,0.163495,-0.0551654,0.237049,0.10177,0.311193,0.157857,0.0731974,0.0912065,0.250097,0.15091,-0.0555191,0.0825251,0.0962848,-0.0210975,0.15653,0.0814943,0.175033,0.139214,0.0357646,0.0494188,0.0454603,-0.00013784,0.0499121,0.0056774,0.175445,-0.0497614,0.0514922,0.153194,0.131968,0.0918356,0.100025,0.123019,0.0766918,-33698.4
-33379.8,0.700726,0.450293,3,7,0,33400,-0.00330937,0.972702,0.166909,-0.0569314,0.22953,0.117926,0.326613,0.17113,0.0809631,0.101363,0.216283,0.140704,-0.0483821,0.0930908,0.0855142,-0.016922,0.156342,0.0765061,0.186149,0.151768,0.0488066,0.0654018,0.037464,-0.00513552,0.0635109,0.00635087,0.191369,-0.0499728,0.0390169,0.195203,0.136861,0.0270191,0.110239,0.111095,0.0694295,-33720.8
