# stan_version_major = 2
# stan_version_minor = 35
# stan_version_patch = 0
# model = hreg_model
# start_datetime = 2025-05-11 21:37:33 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /var/folders/43/wy_ws5nx3830gqhfw05n4yyc0000gn/T/tmppgg4k5mb/6sjo918v.json
# init = 2 (Default)
# random
#   seed = 66823
# output
#   file = /Users/zhafen/repos/citesim/analysis_data/stan_fits/stan-fit_den_nNone/h-den_Word2Vec_j.h-nonsems/hreg-20250511163733_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.35.0
# stancflags = --filename-in-msg=hreg.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,sigma,beta.1.1,beta.2.1,beta.3.1,beta.4.1,beta.5.1,beta.6.1,beta.7.1,beta.8.1,beta.9.1,beta.1.2,beta.2.2,beta.3.2,beta.4.2,beta.5.2,beta.6.2,beta.7.2,beta.8.2,beta.9.2,beta.1.3,beta.2.3,beta.3.3,beta.4.3,beta.5.3,beta.6.3,beta.7.3,beta.8.3,beta.9.3,mu_beta.1,mu_beta.2,mu_beta.3,sigma_beta.1,sigma_beta.2,sigma_beta.3,log_p
# Adaptation terminated
# Step size = 0.429403
# Diagonal elements of inverse mass matrix:
# 2.2973e-05, 1.58041e-05, 0.000104992, 0.000105893, 0.000122839, 0.00015482, 0.000142252, 0.00012544, 0.000240185, 0.000189033, 0.000185603, 0.000117587, 0.000159804, 0.000138517, 0.000125461, 0.000113573, 0.000106419, 0.000138617, 0.000132104, 0.000115504, 0.000212616, 0.000146625, 0.000114903, 0.000177466, 0.000170178, 0.000147396, 0.000170663, 0.000165956, 0.000140452, 0.00230356, 0.000967388, 0.000437518, 0.0867834, 0.0888984, 0.08006
-33874.9,0.767011,0.429403,3,7,0,33891.9,-0.00325346,0.969367,0.150828,-0.0438322,0.214825,0.0907626,0.304926,0.147912,0.0528327,0.0991277,0.256699,0.157505,-0.0336346,0.117944,0.0776356,0.0138077,0.17754,0.130053,0.137226,0.151419,-0.0430972,-0.0143075,0.0522217,0.0321462,-0.022726,0.00928734,-0.0384641,-0.133829,0.0018768,0.172901,0.109475,-0.0122671,0.104199,0.0706193,0.0446893,-34119.7
-33875.7,0.886921,0.429403,3,7,0,33894,-0.00786728,0.972574,0.153848,-0.0571476,0.24102,0.101381,0.302141,0.134447,0.0616596,0.105514,0.24454,0.150161,-0.0565578,0.104502,0.0815315,0.0202434,0.18023,0.125926,0.144719,0.170234,-0.0534592,-0.00725227,0.0456204,0.0317262,-0.0267243,0.0269798,-0.0372933,-0.116893,-0.00262947,0.148325,0.113088,0.0133192,0.106934,0.0640806,0.0360453,-34129.6
-33865.9,0.985525,0.429403,3,7,0,33886.5,-0.00789617,0.97389,0.128071,-0.04493,0.262455,0.125267,0.308726,0.149845,0.043738,0.0961833,0.250248,0.156575,-0.0206338,0.088426,0.0739279,0.0120453,0.171399,0.140095,0.149583,0.161232,-0.0560447,-0.0217356,0.0406044,0.0141392,-0.0134769,-0.0159417,-0.0182063,-0.110719,-0.00594363,0.125692,0.0968864,-0.0566495,0.127538,0.0859916,0.0778709,-34121.5
-33875,0.751101,0.429403,3,15,0,33883.9,-0.00675451,0.972263,0.148619,-0.0475958,0.263517,0.126242,0.294685,0.159603,0.038548,0.0992426,0.231991,0.174583,-0.052636,0.0947392,0.075813,0.0263464,0.160247,0.117708,0.171311,0.163629,-0.0560738,0.00260333,0.0334083,0.024987,-0.0293894,-0.00906074,-0.030305,-0.13679,0.00276957,0.167639,0.179999,-0.0166761,0.108768,0.0986204,0.0375021,-34128.6
-33873.8,0.797521,0.429403,3,7,0,33891.9,-0.00955642,0.974556,0.135922,-0.0465374,0.257136,0.113279,0.319184,0.161562,0.0552571,0.104238,0.264214,0.132423,-0.0281425,0.0774617,0.0838171,0.0122421,0.188693,0.150842,0.14789,0.167129,-0.0304709,-0.0237383,0.0534913,0.000673422,-0.0276089,-0.0117116,-0.0259292,-0.129849,-0.0101877,0.132571,0.0678722,-0.0385558,0.111595,0.0881697,0.0991441,-34148
-33869.2,0.978638,0.429403,3,7,0,33885.9,-0.00686231,0.972469,0.134036,-0.0501236,0.258037,0.118516,0.308967,0.143455,0.0282758,0.103497,0.238782,0.168956,-0.04463,0.102753,0.0723786,0.00719068,0.1755,0.121534,0.139818,0.159696,-0.0636444,-0.00968935,0.0317468,0.0385834,-0.0195502,-0.0184837,-0.0302121,-0.123639,-0.00149921,0.162793,0.12123,-0.010219,0.120387,0.0724538,0.0346953,-34120.3
