# stan_version_major = 2
# stan_version_minor = 35
# stan_version_patch = 0
# model = hreg_model
# start_datetime = 2025-05-11 21:04:49 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/43/wy_ws5nx3830gqhfw05n4yyc0000gn/T/tmppgg4k5mb/ydrp8wi1.json
# init = 2 (Default)
# random
#   seed = 92562
# output
#   file = /Users/zhafen/repos/citesim/analysis_data/stan_fits/stan-fit_den_nNone/h-den_Word2Vec_j/hreg-20250511160449_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.35.0
# stancflags = --filename-in-msg=hreg.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,sigma,beta.1.1,beta.2.1,beta.3.1,beta.4.1,beta.5.1,beta.6.1,beta.7.1,beta.8.1,beta.9.1,mu_beta.1,sigma_beta.1,log_p
# Adaptation terminated
# Step size = 0.496606
# Diagonal elements of inverse mass matrix:
# 2.30605e-05, 1.70068e-05, 0.000138121, 0.000112615, 0.000170784, 0.000138317, 9.61993e-05, 0.000135422, 0.000102931, 0.000177625, 0.00013336, 0.000657363, 0.0863756
-35646.9,0.89585,0.496606,3,7,0,35653.4,-0.00891191,0.993991,-0.0167962,-0.0291189,0.100921,0.0598086,0.0524742,0.0374442,0.00359967,-0.101497,0.0976962,0.000756432,0.0534141,-33528.7
-35647.2,0.988635,0.496606,3,7,0,35650.1,-0.0130816,1.00127,-0.0244813,-0.0170443,0.0979612,0.0496307,0.0397448,0.0220776,0.0300082,-0.0766306,0.0754097,0.0560641,0.071776,-33521.4
-35656.2,0.685764,0.496606,3,7,0,35662,-0.0152113,0.99606,-0.0170978,-0.0250199,0.105348,0.0621812,0.0650364,0.0384468,-0.0150893,-0.0919103,0.120859,0.0442661,0.0641125,-33537.1
-35657.4,0.90705,0.496606,3,7,0,35666.2,-0.00973501,0.998552,-0.0180328,-0.0150806,0.122379,0.0590997,0.0232263,0.0295595,0.0564376,-0.0937149,0.0599195,0.0453659,0.0825803,-33531
-35653.5,0.997313,0.496606,3,7,0,35664.3,-0.00889326,0.999475,-0.0131171,-0.0122686,0.120573,0.0564172,0.0306354,0.0302444,0.0493588,-0.0767465,0.0654118,0.0189995,0.07143,-33527.3
-35648.6,0.945534,0.496606,3,7,0,35660.7,-0.0161602,0.995217,-0.0288463,-0.0204428,0.0941502,0.0649941,0.0505426,0.0444869,-0.00754021,-0.083419,0.0904906,0.0245117,0.0651351,-33526.1
-35646.8,1,0.496606,3,7,0,35651.7,-0.00555774,0.999537,-0.0158851,-0.0296936,0.112714,0.0482429,0.0401953,0.00662202,0.021562,-0.0974082,0.0948968,0.0227208,0.0600336,-33527.3
-35649.2,0.888198,0.496606,3,7,0,35655.2,-0.0180318,0.995217,-0.0233163,-0.038579,0.102045,0.0634285,0.0194156,0.0371587,0.0146631,-0.0972525,0.0859314,0.0177858,0.0704631,-33526.2
-35645.9,0.9474,0.496606,3,7,0,35655.3,-0.0175297,0.999884,-0.0220909,-0.0212578,0.0927044,0.0581577,0.0518709,0.0374462,0.0226887,-0.0866243,0.0818615,-0.00399655,0.0717382,-33526.3
-35645.6,0.959667,0.496606,3,7,0,35650.2,-0.00522917,0.996316,-0.024517,-0.0202188,0.111266,0.0439144,0.0459154,0.0198543,0.0134073,-0.0926413,0.0898666,0.0473276,0.0621658,-33525.2
-35646.5,0.956626,0.496606,3,7,0,35649.9,-0.012117,0.99583,-0.015373,-0.0329258,0.108741,0.0479945,0.0512475,0.0288639,0.0277571,-0.0858847,0.082909,0.0479501,0.122126,-33525.3
