# stan_version_major = 2
# stan_version_minor = 35
# stan_version_patch = 0
# model = multireg_model
# start_datetime = 2024-09-28 20:55:56 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/43/wy_ws5nx3830gqhfw05n4yyc0000gn/T/tmpy2die0g0/c5emv0ew.json
# init = 2 (Default)
# random
#   seed = 86825
# output
#   file = /Users/zhafen/repos/citesim/analysis_data/stan_fits/stan_fit_None/BOW.nondens/multireg-20240928155556_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.35.0
# stancflags = --filename-in-msg=multireg.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,theta.1,theta.2,theta.3,sigma,beta.1,beta.2,beta.3,log_p
# Adaptation terminated
# Step size = 0.557659
# Diagonal elements of inverse mass matrix:
# 2.47235e-05, 2.15556e-05, 2.21775e-05, 2.08486e-05, 1.65451e-05
-34115.5,0.999942,0.557659,3,7,0,34116.6,-0.012968,0.0835851,0.172554,0.129837,0.970122,0.0627434,0.188159,0.132052,-100173
-34120,0.778072,0.557659,2,7,0,34122.1,-0.0179846,0.0801262,0.161394,0.127463,0.975588,0.0601816,0.174836,0.129637,-100178
-34116.1,0.990255,0.557659,2,7,0,34121.9,-0.00674437,0.08175,0.166685,0.126402,0.97473,0.0615431,0.181571,0.128558,-100174
-34116.1,0.936407,0.557659,3,7,0,34118.9,-0.009182,0.07976,0.174817,0.126189,0.970089,0.0590487,0.19165,0.128341,-100174
-34113.3,1,0.557659,2,3,0,34115.9,-0.0123312,0.0821721,0.175188,0.125775,0.975267,0.0614655,0.192188,0.12792,-100171
-34114.1,0.882104,0.557659,3,7,0,34115.3,-0.0140644,0.0893479,0.172362,0.126422,0.973765,0.0687676,0.188576,0.128579,-100172
-34114.9,0.916776,0.557659,3,7,0,34115.9,-0.0110698,0.0845118,0.172757,0.120598,0.978674,0.064345,0.190178,0.122656,-100173
-34114.3,0.72731,0.557659,2,3,0,34119.7,-0.00921518,0.0840099,0.168625,0.127051,0.97393,0.0636279,0.183841,0.129218,-100172
-34114.3,0.908844,0.557659,3,7,0,34116.8,-0.0167692,0.0861201,0.173687,0.124775,0.977658,0.0655806,0.190526,0.126904,-100172
-34115.8,0.71936,0.557659,2,7,0,34120.6,-0.0172686,0.0779559,0.171001,0.12798,0.974884,0.057358,0.186597,0.130163,-100174
-34115.9,0.809155,0.557659,3,7,0,34120.7,-0.00786422,0.0907666,0.174048,0.120991,0.974403,0.0704815,0.191697,0.123055,-100174
-34116.2,0.908035,0.557659,3,7,0,34118.6,-0.00429306,0.0855229,0.172177,0.121231,0.976061,0.0653452,0.189341,0.123299,-100174
-34114.1,0.993904,0.557659,2,3,0,34117.1,-0.00795528,0.0838709,0.171641,0.127968,0.975389,0.0632269,0.187389,0.130151,-100172
-34115.1,0.933267,0.557659,3,7,0,34116.1,-0.0140627,0.0844648,0.174908,0.118055,0.975191,0.0643496,0.19332,0.120069,-100173
-34114.2,0.879875,0.557659,2,3,0,34117.6,-0.00856866,0.082797,0.169785,0.123615,0.975533,0.0625978,0.185932,0.125724,-100172
-34116.6,0.810228,0.557659,2,3,0,34117.7,-0.0188906,0.0884256,0.173521,0.118868,0.974807,0.068335,0.191452,0.120895,-100175
-34116.3,0.98127,0.557659,3,7,0,34119.1,-0.00516543,0.0826596,0.17077,0.12905,0.977443,0.0619921,0.186107,0.131251,-100174
-34113.7,1,0.557659,2,3,0,34116.7,-0.0108471,0.0812975,0.172082,0.12357,0.976263,0.0609556,0.188776,0.125678,-100172
-34113.5,0.987297,0.557659,3,7,0,34114.3,-0.0129061,0.081992,0.174427,0.126425,0.976571,0.061286,0.191124,0.128581,-100171
-34116.9,0.604884,0.557659,2,3,0,34119.2,-0.0152155,0.0909064,0.171857,0.130269,0.970987,0.0700703,0.187215,0.132491,-100175
-34114.2,0.991019,0.557659,2,3,0,34117.8,-0.0107909,0.087014,0.169283,0.124584,0.972708,0.0667707,0.185126,0.126709,-100172
-34114.3,0.737302,0.557659,3,7,0,34119.5,-0.0143691,0.0844146,0.176111,0.126722,0.978238,0.0635759,0.193146,0.128884,-100172
-34113.8,0.905068,0.557659,3,7,0,34116.3,-0.0088735,0.0843154,0.171579,0.126461,0.976674,0.0637874,0.187601,0.128618,-100172
-34113.9,0.872435,0.557659,2,3,0,34115.5,-0.010013,0.0855926,0.171999,0.126991,0.972151,0.0649968,0.188019,0.129157,-100172
-34114.7,0.934499,0.557659,2,7,0,34115.8,-0.00766199,0.0866188,0.171379,0.123087,0.97256,0.0663528,0.188001,0.125186,-100173
-34115.7,0.921556,0.557659,3,7,0,34117,-0.0124489,0.0864556,0.179736,0.124502,0.978432,0.0655477,0.198046,0.126626,-100174
-34117.5,0.74746,0.557659,2,3,0,34120.4,-0.0140107,0.0811171,0.169909,0.129023,0.968454,0.0605084,0.185049,0.131224,-100175
-34114.7,0.732293,0.557659,2,3,0,34122.4,-0.0088377,0.0842997,0.167435,0.12419,0.974784,0.0642071,0.182921,0.126309,-100173
-34115.3,0.900123,0.557659,3,7,0,34117.6,-0.0157791,0.0842783,0.180061,0.126219,0.975631,0.0632236,0.198119,0.128372,-100173
-34116,0.895465,0.557659,2,3,0,34118,-0.0186039,0.0841039,0.1754,0.131225,0.973633,0.0629755,0.191406,0.133464,-100174
