# stan_version_major = 2
# stan_version_minor = 35
# stan_version_patch = 0
# model = multireg_model
# start_datetime = 2024-09-28 20:55:56 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /var/folders/43/wy_ws5nx3830gqhfw05n4yyc0000gn/T/tmpy2die0g0/c5emv0ew.json
# init = 2 (Default)
# random
#   seed = 86825
# output
#   file = /Users/zhafen/repos/citesim/analysis_data/stan_fits/stan_fit_None/BOW.nondens/multireg-20240928155556_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.35.0
# stancflags = --filename-in-msg=multireg.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,theta.1,theta.2,theta.3,sigma,beta.1,beta.2,beta.3,log_p
# Adaptation terminated
# Step size = 0.538128
# Diagonal elements of inverse mass matrix:
# 2.27109e-05, 2.26776e-05, 2.39979e-05, 2.41614e-05, 1.62979e-05
-34118.5,0.826092,0.538128,3,7,0,34121.6,-0.0188278,0.0775762,0.171065,0.121443,0.979473,0.0574619,0.187927,0.123514,-100176
-34115.6,1,0.538128,2,3,0,34120.2,-0.00959621,0.0863524,0.175406,0.122253,0.97017,0.0658904,0.193131,0.124339,-100173
-34114.8,0.9964,0.538128,3,7,0,34117.3,-0.0134274,0.0825725,0.171477,0.128222,0.979,0.0619214,0.187139,0.130409,-100173
-34115.3,0.82651,0.538128,3,7,0,34118.1,-0.0123326,0.0866554,0.177634,0.120105,0.977336,0.0662101,0.196293,0.122154,-100173
-34115.2,1,0.538128,3,7,0,34116.6,-0.0108573,0.0829627,0.169556,0.131884,0.974885,0.0621615,0.184066,0.134133,-100173
-34113.9,0.992667,0.538128,2,7,0,34115.9,-0.0125453,0.0823599,0.173375,0.127316,0.971929,0.0616547,0.189655,0.129488,-100172
-34113.3,0.997482,0.538128,3,7,0,34114.2,-0.0145611,0.0848978,0.173337,0.123017,0.974523,0.0645131,0.190431,0.125115,-100171
-34113,0.962077,0.538128,3,7,0,34113.9,-0.0123721,0.0843857,0.173696,0.126004,0.974441,0.0637557,0.190302,0.128153,-100171
-34114.6,0.671685,0.538128,1,3,0,34116.9,-0.0112378,0.0829293,0.170038,0.121647,0.97795,0.0628605,0.186621,0.123722,-100172
