# stan_version_major = 2
# stan_version_minor = 35
# stan_version_patch = 0
# model = multireg_model
# start_datetime = 2025-03-23 18:49:40 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /var/folders/43/wy_ws5nx3830gqhfw05n4yyc0000gn/T/tmpudzmvn9w/ub5iyhvo.json
# init = 2 (Default)
# random
#   seed = 7202
# output
#   file = /Users/zhafen/repos/citesim/analysis_data/stan_fits/stan_fit/GPT2.nondens/multireg-20250323134940_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.35.0
# stancflags = --filename-in-msg=multireg.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,theta.1,theta.2,theta.3,sigma,beta.1,beta.2,beta.3,log_p
# Adaptation terminated
# Step size = 0.533867
# Diagonal elements of inverse mass matrix:
# 2.0873e-05, 2.36243e-05, 2.50903e-05, 2.28872e-05, 1.67355e-05
-34917.6,0.900233,0.533867,3,7,0,34919.1,-0.0106359,0.131613,0.133107,0.109639,0.984059,0.116505,0.112661,0.110878,-33255.7
-34919.2,0.881564,0.533867,2,3,0,34919.6,-0.00755964,0.132097,0.132382,0.1087,0.985552,0.117111,0.112087,0.109927,-33256.9
-34922.2,0.724345,0.533867,3,7,0,34926.8,-0.0240455,0.131048,0.139321,0.116337,0.985182,0.115055,0.117739,0.117651,-33258
-34920.2,0.875366,0.533867,3,7,0,34926.6,-0.010325,0.136646,0.132298,0.118729,0.983996,0.120494,0.110854,0.12007,-33255.7
-34922,0.897478,0.533867,3,7,0,34924,-0.0127993,0.138543,0.13467,0.121408,0.983443,0.122038,0.112778,0.122779,-33255
-34919.6,0.97858,0.533867,2,7,0,34924.1,-0.0153471,0.13915,0.131052,0.110826,0.980789,0.123936,0.11059,0.112078,-33254.3
-34922.2,0.836377,0.533867,3,7,0,34924.7,-0.0183766,0.125813,0.133326,0.119744,0.982645,0.109531,0.111705,0.121096,-33258.7
-34921.1,1,0.533867,2,3,0,34922.4,-0.0184473,0.126747,0.132141,0.118508,0.982996,0.110629,0.110731,0.119847,-33258.9
-34919.9,0.959561,0.533867,3,7,0,34924.1,-0.013089,0.139583,0.137771,0.105985,0.985173,0.124815,0.117471,0.107182,-33254.2
