# stan_version_major = 2
# stan_version_minor = 35
# stan_version_patch = 0
# model = reg_model
# start_datetime = 2025-03-23 18:40:41 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /var/folders/43/wy_ws5nx3830gqhfw05n4yyc0000gn/T/tmpudzmvn9w/pd9_vtyf.json
# init = 2 (Default)
# random
#   seed = 86480
# output
#   file = /Users/zhafen/repos/citesim/analysis_data/stan_fits/stan_fit/GPT2/reg-20250323134041_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.35.0
# stancflags = --filename-in-msg=reg.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta,sigma,log_p
# Adaptation terminated
# Step size = 0.599735
# Diagonal elements of inverse mass matrix:
# 2.42866e-05, 2.29519e-05, 1.71819e-05
-36040.2,0.914913,0.599735,2,3,0,36040.9,-0.0212971,0.12426,1.00339,-33693.1
-36037.4,0.997417,0.599735,2,3,0,36040.7,-0.0149677,0.137874,0.996218,-33684.6
-36036.2,1,0.599735,2,3,0,36037.3,-0.0168323,0.136076,0.997808,-33685.7
-36036.5,0.972436,0.599735,3,7,0,36036.7,-0.0145423,0.130594,0.996705,-33686
-36039.7,0.749384,0.599735,2,3,0,36040.3,-0.0131174,0.142839,1.00102,-33686.5
-36038.2,0.883502,0.599735,3,7,0,36042.4,-0.0150551,0.125216,0.997011,-33688
-36040.8,0.823159,0.599735,2,3,0,36042.3,-0.0081021,0.124517,0.997672,-33688.1
-36041.1,0.943893,0.599735,2,7,0,36043,-0.00761258,0.125204,1.00262,-33690.4
-36037.5,0.999976,0.599735,2,3,0,36041.8,-0.023134,0.133878,0.998017,-33687.9
-36037.3,0.961512,0.599735,3,7,0,36038.8,-0.00995609,0.131899,0.997779,-33685.8
-36037.1,1,0.599735,3,7,0,36037.6,-0.00992663,0.132619,0.999256,-33686.3
-36037,0.996714,0.599735,3,7,0,36037.4,-0.0223802,0.133203,1.00052,-33689
-36036.7,0.958658,0.599735,2,3,0,36038,-0.0204454,0.136391,0.998674,-33686.9
-36036.4,1,0.599735,2,3,0,36036.8,-0.0195497,0.135882,0.998181,-33686.5
-36037.3,0.807067,0.599735,3,7,0,36039,-0.0161405,0.134463,1.00418,-33689.5
-36040.1,0.804034,0.599735,2,3,0,36041.7,-0.0251886,0.139581,0.999845,-33688.8
-36036.9,0.989556,0.599735,2,3,0,36040.5,-0.012587,0.129832,0.997057,-33686.2
-36036.3,0.984183,0.599735,2,3,0,36037.4,-0.0192453,0.132198,1.00167,-33688.9
-36037.6,0.831777,0.599735,2,3,0,36038,-0.0179721,0.129134,0.995052,-33686.5
-36036.5,1,0.599735,2,3,0,36038.3,-0.016993,0.133715,0.995987,-33685.5
-36036.5,0.543423,0.599735,2,7,0,36041.6,-0.016993,0.133715,0.995987,-33685.5
-36036.1,0.998029,0.599735,2,7,0,36037,-0.0159238,0.13059,0.997501,-33686.5
-36036.1,0.97229,0.599735,3,7,0,36036.8,-0.0168684,0.13504,1.00144,-33687.8
-36037.8,0.781057,0.599735,2,3,0,36038.6,-0.0133144,0.127987,1.00319,-33690
-36036.8,0.948351,0.599735,2,3,0,36038.8,-0.014837,0.127272,0.999857,-33688.5
-36036.2,1,0.599735,2,3,0,36037.2,-0.0127192,0.134109,0.998757,-33685.9
-36040,0.656584,0.599735,3,7,0,36040.5,-0.0132982,0.140752,1.00456,-33688.8
-36037.1,0.983366,0.599735,3,7,0,36040.5,-0.0167553,0.138526,0.99726,-33685.3
-36038,0.9423,0.599735,3,7,0,36038.3,-0.0155996,0.127278,1.00366,-33690.9
-36036.9,0.932491,0.599735,2,3,0,36040.3,-0.0168848,0.130748,0.995527,-33686
-36037.9,0.813307,0.599735,1,1,0,36038.1,-0.0153897,0.130338,0.994251,-33685.5
-36036.2,0.982001,0.599735,2,3,0,36038.4,-0.0187307,0.129747,0.998971,-33688
-36036.6,0.942582,0.599735,2,3,0,36036.9,-0.0169653,0.129538,0.996686,-33686.7
-36036.9,0.895342,0.599735,2,7,0,36038.5,-0.0115518,0.132944,1.00197,-33687.8
-36037.7,0.910708,0.599735,3,7,0,36038.9,-0.0216302,0.137898,0.998208,-33686.9
-36036.1,0.956508,0.599735,2,3,0,36038.7,-0.0137132,0.13287,1.00123,-33687.5
-36036.5,0.868266,0.599735,2,3,0,36037.5,-0.0199332,0.133327,0.996978,-33686.6
-36036.4,0.938008,0.599735,3,7,0,36037.9,-0.0132494,0.132583,1.00203,-33688
-36037.3,0.903808,0.599735,2,3,0,36037.6,-0.0200528,0.131851,0.995456,-33686.4
-36037.3,0.994932,0.599735,3,7,0,36038.8,-0.0129919,0.138645,0.99808,-33685.1
-36035.8,0.948676,0.599735,3,7,0,36038.4,-0.0166227,0.132418,1.0011,-33688
-36037.4,0.829663,0.599735,2,3,0,36037.7,-0.0097693,0.13351,1.00132,-33687.2
-36038.2,0.869014,0.599735,2,3,0,36039.8,-0.00871753,0.129353,0.998712,-33686.8
-36035.8,0.996592,0.599735,3,7,0,36038,-0.0140832,0.133659,0.999417,-33686.5
-36035.8,0.992951,0.599735,3,7,0,36036,-0.0178439,0.133417,1.00079,-33687.9
-36037.7,0.844793,0.599735,2,7,0,36037.8,-0.0122026,0.138071,0.996848,-33684.5
-36042.4,0.675166,0.599735,2,7,0,36044.1,-0.00447977,0.126696,1.00169,-33689.5
-36036.2,1,0.599735,2,3,0,36042.1,-0.012357,0.132811,0.99982,-33686.6
-36037.1,0.880095,0.599735,2,3,0,36037.9,-0.0121281,0.137709,0.999062,-33685.5
-36036.3,0.975833,0.599735,2,3,0,36037.6,-0.0154511,0.137151,0.999775,-33686.3
-36041.6,0.583636,0.599735,2,3,0,36042.6,-0.0221432,0.140041,0.993232,-33685.3
-36037.9,1,0.599735,2,3,0,36042,-0.0192488,0.134391,0.994351,-33685.4
-36036.8,1,0.599735,2,3,0,36038.8,-0.0210661,0.136143,0.998978,-33687.3
-36035.9,0.971447,0.599735,2,3,0,36037.4,-0.0160543,0.135888,0.999583,-33686.5
-36035.8,0.997693,0.599735,2,7,0,36036,-0.0170022,0.13061,0.999655,-33687.7
-36039.5,0.662223,0.599735,2,3,0,36040,-0.0209508,0.128597,0.993686,-33687.1
-36038.8,1,0.599735,2,3,0,36040.3,-0.0177484,0.127157,0.994325,-33686.9
-36037.9,1,0.599735,1,1,0,36038.8,-0.0180737,0.127685,0.995474,-33687.1
-36037.9,0.795919,0.599735,1,1,0,36038.9,-0.0180737,0.127685,0.995474,-33687.1
-36036.3,0.992781,0.599735,2,7,0,36038.2,-0.0181531,0.136744,1.00027,-33687.1
-36035.8,1,0.599735,2,3,0,36036.4,-0.0183768,0.134238,0.99955,-33687.2
