# stan_version_major = 2
# stan_version_minor = 35
# stan_version_patch = 0
# model = multireg_model
# start_datetime = 2024-09-28 20:59:08 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/43/wy_ws5nx3830gqhfw05n4yyc0000gn/T/tmpy2die0g0/s1awl8o9.json
# init = 2 (Default)
# random
#   seed = 84318
# output
#   file = /Users/zhafen/repos/citesim/analysis_data/stan_fits/stan_fit_None/SBERT.nondens/multireg-20240928155907_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.35.0
# stancflags = --filename-in-msg=multireg.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,theta.1,theta.2,theta.3,sigma,beta.1,beta.2,beta.3,log_p
# Adaptation terminated
# Step size = 0.528012
# Diagonal elements of inverse mass matrix:
# 2.48492e-05, 2.37453e-05, 2.16996e-05, 2.32606e-05, 1.6564e-05
-34900.8,0.786561,0.528012,3,7,0,34902.4,-0.00418101,0.0786946,0.126394,0.118998,0.983176,0.0644286,0.104724,0.11998,-100624
-34898.3,0.924757,0.528012,3,7,0,34904.3,-0.000160612,0.0652097,0.137984,0.118115,0.987036,0.0497641,0.115554,0.11909,-100622
-34898,0.902542,0.528012,3,7,0,34901.1,-0.00485537,0.077179,0.127915,0.116388,0.989966,0.0629745,0.106405,0.117348,-100621
-34896.6,0.985914,0.528012,2,7,0,34899.1,-0.00239963,0.0708135,0.134586,0.121894,0.987561,0.0554907,0.112013,0.1229,-100620
-34897.6,0.742951,0.528012,2,3,0,34900.7,-0.000819775,0.0647049,0.135225,0.119193,0.988116,0.0493169,0.112886,0.120177,-100621
-34897.1,0.992899,0.528012,3,7,0,34899.1,-0.00190122,0.0701462,0.127114,0.11282,0.988061,0.0559976,0.106034,0.113751,-100620
-34896.9,1,0.528012,3,7,0,34897.6,-0.00196521,0.072614,0.136182,0.121684,0.988206,0.0572852,0.113514,0.122688,-100620
-34897.2,0.98426,0.528012,2,7,0,34897.8,-0.00180485,0.0747778,0.136191,0.120674,0.989614,0.0596201,0.113627,0.12167,-100621
-34899.8,0.773146,0.528012,2,3,0,34901.2,0.000668904,0.0679161,0.134597,0.121313,0.981858,0.0525223,0.112083,0.122314,-100623
-34900.3,0.986178,0.528012,3,7,0,34902.5,-0.00278586,0.0741424,0.128724,0.111667,0.994577,0.0601545,0.107646,0.112588,-100624
-34897.8,0.932427,0.528012,3,7,0,34905,-0.00592694,0.0742748,0.12664,0.118199,0.986568,0.0598796,0.105034,0.119174,-100621
-34897.9,0.9474,0.528012,3,7,0,34899.5,-0.00631257,0.0768348,0.128913,0.118677,0.987066,0.0623669,0.107091,0.119656,-100621
-34897.5,1,0.528012,3,7,0,34898.5,0.00298864,0.0664325,0.133856,0.114858,0.989096,0.0515557,0.112068,0.115805,-100621
-34897.7,0.991443,0.528012,3,7,0,34899.3,-0.005764,0.0764323,0.129758,0.12045,0.987289,0.0617505,0.10769,0.121443,-100621
-34897.8,0.998584,0.528012,3,7,0,34899,0.00277637,0.067356,0.135835,0.113411,0.988385,0.0525164,0.114053,0.114347,-100621
-34900.7,0.758072,0.528012,3,7,0,34903.4,0.00850822,0.0718412,0.13651,0.113665,0.986163,0.0571227,0.114652,0.114603,-100624
-34896.4,1,0.528012,2,3,0,34900.8,0.00175435,0.0686874,0.13318,0.115712,0.986729,0.0538731,0.111353,0.116667,-100620
-34896.4,0.967163,0.528012,3,7,0,34897.4,-0.00560151,0.0744885,0.131631,0.118,0.988512,0.0598159,0.10968,0.118974,-100620
-34896.5,0.949424,0.528012,3,7,0,34897.9,0.00264973,0.0692459,0.131975,0.114649,0.98779,0.0546151,0.110347,0.115595,-100620
-34896.7,0.982817,0.528012,3,7,0,34897.7,-0.000982777,0.0706841,0.132194,0.11136,0.988759,0.0563701,0.110893,0.112279,-100620
-34897.2,0.952542,0.528012,3,7,0,34898.3,-0.00217476,0.0721593,0.135903,0.111716,0.989913,0.0576513,0.114293,0.112638,-100621
-34896.8,0.910592,0.528012,3,7,0,34899.3,-0.00320102,0.0747211,0.128869,0.119846,0.989164,0.0600731,0.106928,0.120835,-100620
-34898.1,0.917078,0.528012,2,3,0,34898.8,-0.00457009,0.0730601,0.125485,0.120237,0.989578,0.0585171,0.103753,0.121229,-100622
-34900,0.792187,0.528012,3,7,0,34903.5,-0.001907,0.0763548,0.122695,0.114688,0.986766,0.0625732,0.101745,0.115634,-100623
-34900.6,0.990635,0.528012,3,7,0,34902.8,-0.00204295,0.0639036,0.140631,0.120587,0.988039,0.0480403,0.11775,0.121582,-100624
-34897.1,0.687006,0.528012,2,3,0,34906.2,-0.000747334,0.0712959,0.134852,0.117525,0.992183,0.0563371,0.112714,0.118495,-100620
-34898.8,0.809322,0.528012,2,3,0,34900.4,-0.00356145,0.0760361,0.135042,0.118691,0.993257,0.061163,0.112769,0.11967,-100622
-34899.3,0.902401,0.528012,2,7,0,34902.6,0.00581046,0.0690228,0.126933,0.115442,0.985679,0.0546229,0.105593,0.116394,-100623
-34895.9,0.989952,0.528012,2,3,0,34899.7,-0.00308919,0.0714246,0.134451,0.115564,0.989431,0.0566572,0.112546,0.116517,-100619
-34896.3,0.952193,0.528012,3,7,0,34897,-0.00640867,0.0701211,0.131939,0.117678,0.988071,0.0552782,0.109999,0.118649,-100620
-34896.6,0.912676,0.528012,3,7,0,34898.5,0.00268182,0.0722033,0.135279,0.117566,0.987938,0.0572522,0.113105,0.118537,-100620
-34897,0.962665,0.528012,3,7,0,34898.1,0.00215667,0.0713827,0.129397,0.112873,0.986864,0.0571418,0.108144,0.113805,-100620
-34898.8,0.773234,0.528012,2,3,0,34901.1,-0.00519114,0.0794641,0.131379,0.116956,0.99055,0.0650961,0.109555,0.117921,-100622
-34898,1,0.528012,1,1,0,34898.9,-0.00511566,0.0780983,0.13103,0.117077,0.990498,0.0636856,0.109219,0.118043,-100621
-34898.6,0.98177,0.528012,3,7,0,34899.1,0.00193841,0.0635848,0.132866,0.116806,0.985759,0.048491,0.110948,0.11777,-100622
-34898.2,0.934092,0.528012,2,7,0,34901,-0.00378477,0.0680823,0.128379,0.115661,0.983284,0.0535385,0.10691,0.116615,-100622
-34904.2,0.647091,0.528012,2,3,0,34905.4,-0.00432349,0.0799597,0.13765,0.119053,0.995991,0.0650588,0.115147,0.120035,-100628
-34897.9,1,0.528012,2,3,0,34905.3,0.00276431,0.0729439,0.131395,0.114308,0.983787,0.0585273,0.109845,0.115251,-100621
-34896.6,1,0.528012,2,3,0,34898.6,-0.00152812,0.0760032,0.133276,0.11607,0.990034,0.0614521,0.111405,0.117027,-100620
-34895.9,0.997705,0.528012,2,3,0,34897,-0.0030462,0.0695071,0.13171,0.114221,0.987685,0.0549384,0.110147,0.115163,-100619
-34896.5,0.887179,0.528012,2,3,0,34897.5,-0.00229415,0.0748493,0.129805,0.113984,0.987446,0.0606335,0.108406,0.114925,-100620
-34896.6,0.891716,0.528012,3,7,0,34898.5,-0.00275689,0.0677675,0.135208,0.119167,0.98927,0.0525077,0.112872,0.12015,-100620
-34896.7,0.929459,0.528012,3,7,0,34898.5,-0.00197007,0.0748266,0.127996,0.115845,0.987148,0.0605659,0.106536,0.116801,-100620
-34896.4,0.992286,0.528012,3,7,0,34897.4,-0.00245159,0.0687726,0.136265,0.118541,0.988764,0.0535414,0.113917,0.11952,-100620
-34897.1,0.948097,0.528012,3,7,0,34897.8,-0.00501128,0.0739459,0.129453,0.119378,0.990496,0.0592696,0.107518,0.120363,-100620
-34897.7,0.979577,0.528012,3,7,0,34898.4,0.00307638,0.0708046,0.131433,0.112062,0.985585,0.0564837,0.110114,0.112987,-100621
-34897.8,0.987942,0.528012,3,7,0,34899.5,0.00246718,0.0758293,0.131917,0.116888,0.991479,0.061286,0.110061,0.117852,-100621
-34897,0.993114,0.528012,2,7,0,34898.8,0.00425758,0.0734067,0.131431,0.117208,0.988527,0.0587675,0.109577,0.118175,-100620
-34897.1,0.998553,0.528012,3,7,0,34897.6,-0.0082873,0.0696979,0.132391,0.117528,0.987459,0.0548228,0.110433,0.118498,-100620
-34896.8,0.996356,0.528012,3,7,0,34898,0.00301872,0.0728502,0.131161,0.117095,0.9901,0.058214,0.109339,0.118061,-100620
