# stan_version_major = 2
# stan_version_minor = 35
# stan_version_patch = 0
# model = multireg_model
# start_datetime = 2025-03-23 18:51:06 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/43/wy_ws5nx3830gqhfw05n4yyc0000gn/T/tmpudzmvn9w/pqryfl69.json
# init = 2 (Default)
# random
#   seed = 27234
# output
#   file = /Users/zhafen/repos/citesim/analysis_data/stan_fits/stan_fit/SBERT.nondens/multireg-20250323135106_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.35.0
# stancflags = --filename-in-msg=multireg.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,theta.1,theta.2,theta.3,sigma,beta.1,beta.2,beta.3,log_p
# Adaptation terminated
# Step size = 0.617107
# Diagonal elements of inverse mass matrix:
# 2.3255e-05, 2.30708e-05, 2.3303e-05, 2.37339e-05, 1.65792e-05
-34926,0.828154,0.617107,2,3,0,34929.9,-0.00901901,0.0710944,0.130442,0.113942,0.987673,0.0591403,0.108532,0.114863,-33457.5
-34930.9,0.625345,0.617107,2,3,0,34933.2,0.00134311,0.0844417,0.140831,0.117177,0.985642,0.0727802,0.11782,0.118124,-33459.3
-34927,1,0.617107,3,7,0,34933.1,0.00112468,0.0679879,0.143121,0.112492,0.991842,0.0550476,0.120463,0.113401,-33454.9
-34929.1,0.764585,0.617107,2,3,0,34931.3,-0.00155952,0.0737875,0.126795,0.114193,0.982731,0.0623012,0.105118,0.115115,-33456.3
-34927.7,1,0.617107,3,7,0,34932.5,-0.00973462,0.0757418,0.136318,0.12123,0.990437,0.0631927,0.113183,0.122209,-33459.5
-34924,1,0.617107,3,7,0,34927.8,-0.00641549,0.0739007,0.136555,0.111737,0.986966,0.0620106,0.114451,0.112639,-33456.5
-34925.9,0.814071,0.617107,2,3,0,34926.6,-0.0106014,0.0755302,0.13825,0.114794,0.987905,0.0634104,0.115687,0.115721,-33458.5
-34926.6,0.894298,0.617107,3,7,0,34929,-0.00405224,0.0764803,0.133042,0.107432,0.991717,0.0654455,0.111664,0.1083,-33460.5
-34927.5,0.922732,0.617107,3,7,0,34930.4,-0.00700357,0.0627227,0.135306,0.11595,0.989777,0.0494857,0.112826,0.116887,-33454.6
-34926.8,1,0.617107,3,7,0,34930.4,0.00404926,0.0658379,0.13854,0.11341,0.990137,0.0529108,0.116109,0.114326,-33453.2
-34924.8,0.964272,0.617107,2,7,0,34927.6,-0.00466054,0.0777126,0.133515,0.114974,0.987455,0.0660896,0.111271,0.115903,-33457.9
-34924.6,0.99981,0.617107,3,7,0,34925.9,0.00226353,0.070609,0.137522,0.11093,0.987915,0.0584184,0.115438,0.111826,-33454
-34925.4,0.869977,0.617107,2,3,0,34926.8,0.00414103,0.0735154,0.135088,0.115963,0.98694,0.0613069,0.112623,0.1169,-33454.2
-34924,0.855831,0.617107,2,3,0,34927.9,-0.00419091,0.0731162,0.1355,0.109762,0.989497,0.0613971,0.113689,0.110649,-33457.1
-34924,0.659483,0.617107,2,7,0,34927.7,-0.00419091,0.0731162,0.1355,0.109762,0.989497,0.0613971,0.113689,0.110649,-33457.1
-34925.5,0.752572,0.617107,2,3,0,34927.2,-0.00378016,0.0679493,0.13156,0.110289,0.98632,0.0559529,0.109973,0.11118,-33454.8
-34925.6,0.96117,0.617107,3,7,0,34927.3,-0.00370775,0.0682691,0.140353,0.112199,0.99239,0.0555612,0.117926,0.113105,-33456.1
-34925.7,0.853628,0.617107,3,7,0,34929.1,-0.00312291,0.0774207,0.132414,0.116409,0.985385,0.0657137,0.110091,0.117349,-33456.9
-34926.4,0.915662,0.617107,2,3,0,34928.1,-0.00753307,0.0728817,0.142903,0.115741,0.99171,0.0601259,0.119902,0.116676,-33457.9
-34925.8,0.993603,0.617107,3,7,0,34928.1,-0.00145423,0.075013,0.137289,0.106643,0.986027,0.0636347,0.115694,0.107505,-33456.5
-34926.9,0.811683,0.617107,3,7,0,34929.6,-0.0110674,0.0742946,0.135796,0.116366,0.984865,0.0620775,0.113236,0.117306,-33457.4
-34927.2,0.945339,0.617107,3,7,0,34930.6,-0.0014555,0.0772391,0.144544,0.115936,0.985568,0.0647694,0.121404,0.116872,-33455.8
-34925.2,0.971415,0.617107,3,7,0,34929.3,-0.00418419,0.0722273,0.135653,0.106497,0.987415,0.0607062,0.114191,0.107357,-33456.7
-34924.6,0.835706,0.617107,2,3,0,34928.2,-0.000813537,0.0771826,0.136131,0.116613,0.989539,0.0651935,0.113519,0.117555,-33457.2
-34923.4,0.833972,0.617107,1,3,0,34926.5,-0.00204602,0.0704826,0.135123,0.112772,0.98796,0.0582714,0.113007,0.113683,-33454.6
-34925.1,0.657168,0.617107,2,7,0,34927.7,-0.00436745,0.0780494,0.134902,0.117382,0.987907,0.0661531,0.112293,0.11833,-33457.8
-34926,0.675592,0.617107,2,3,0,34929.4,-0.00386389,0.0663657,0.136295,0.107719,0.98996,0.0541422,0.114652,0.108589,-33455.6
-34923.7,1,0.617107,2,3,0,34925.9,-0.00343217,0.0707355,0.136151,0.114814,0.986069,0.0582991,0.113736,0.115741,-33454
-34925,0.835343,0.617107,3,7,0,34926,0.00223068,0.074799,0.136459,0.11778,0.98889,0.0624601,0.113695,0.118731,-33455.4
-34925,0.509056,0.617107,2,3,0,34932.2,0.00223068,0.074799,0.136459,0.11778,0.98889,0.0624601,0.113695,0.118731,-33455.4
-34924.9,1,0.617107,3,7,0,34925.9,-0.00550015,0.0699429,0.136328,0.107699,0.987937,0.0580556,0.114685,0.108569,-33456.1
-34923.8,0.967754,0.617107,2,3,0,34925.7,-0.000182608,0.0734679,0.134992,0.116066,0.988623,0.0612521,0.112522,0.117003,-33455.3
-34923.7,0.689929,0.617107,2,3,0,34927.2,-0.00334047,0.0742539,0.139554,0.11337,0.987059,0.0620565,0.117055,0.114285,-33455.4
-34927.7,0.483145,0.617107,2,3,0,34930.4,-0.006402,0.0705521,0.141474,0.104519,0.988098,0.0586719,0.119814,0.105363,-33457.2
-34925.5,1,0.617107,2,3,0,34929.1,-0.00440965,0.0791549,0.133557,0.115086,0.989345,0.0676549,0.111298,0.116016,-33459.3
-34924.4,0.940509,0.617107,2,3,0,34927.2,0.000259865,0.0694616,0.138624,0.111117,0.986718,0.0570747,0.11644,0.112015,-33453.4
-34925.9,0.843517,0.617107,2,3,0,34927.1,-0.00743059,0.0791578,0.135039,0.114051,0.98997,0.0676542,0.112788,0.114973,-33460.3
-34925.7,0.746729,0.617107,2,3,0,34930.7,-0.0035041,0.0721604,0.130643,0.108457,0.990217,0.0607834,0.109324,0.109333,-33458.1
-34925.2,0.803793,0.617107,3,7,0,34929.2,-0.00194034,0.0723673,0.141726,0.117009,0.985256,0.0595264,0.11867,0.117954,-33453.6
-34925.5,0.962126,0.617107,3,7,0,34926.5,-0.00388627,0.0714685,0.131838,0.110915,0.992424,0.0597292,0.110162,0.111811,-33458.4
-34925.8,0.980752,0.617107,2,7,0,34926.2,-0.00149827,0.0741253,0.140819,0.116755,0.983863,0.0615315,0.117856,0.117698,-33453.9
-34926.3,0.930176,0.617107,2,7,0,34927.8,-0.00548011,0.0736168,0.140194,0.114716,0.993987,0.0611977,0.117501,0.115642,-33459
-34926.1,0.988794,0.617107,2,7,0,34927.5,-0.00208802,0.0735618,0.134214,0.110184,0.982813,0.0619305,0.112448,0.111074,-33454.9
-34927.9,0.784947,0.617107,2,7,0,34931.1,-0.00937521,0.0746554,0.144151,0.108867,0.987201,0.0625994,0.121819,0.109747,-33458.3
-34927.3,0.965564,0.617107,3,7,0,34931.3,-0.0104586,0.0763863,0.139706,0.109187,0.986288,0.0647531,0.117657,0.110069,-33459
-34925.4,0.941793,0.617107,2,3,0,34929.9,0.00309035,0.0687383,0.136764,0.112319,0.990621,0.0562969,0.114581,0.113226,-33454.4
-34924.5,1,0.617107,2,3,0,34926.3,0.00150368,0.072752,0.139678,0.113235,0.990294,0.0604172,0.117185,0.114149,-33455.4
-34926.1,0.855603,0.617107,3,7,0,34927.4,-0.00696748,0.0729791,0.12907,0.11266,0.986689,0.061406,0.1074,0.11357,-33457.6
