# stan_version_major = 2
# stan_version_minor = 35
# stan_version_patch = 0
# model = multireg_model
# start_datetime = 2025-03-23 18:52:32 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/43/wy_ws5nx3830gqhfw05n4yyc0000gn/T/tmpudzmvn9w/y11jvzf9.json
# init = 2 (Default)
# random
#   seed = 7653
# output
#   file = /Users/zhafen/repos/citesim/analysis_data/stan_fits/stan_fit/SciBERT.nondens/multireg-20250323135232_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.35.0
# stancflags = --filename-in-msg=multireg.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,theta.1,theta.2,theta.3,sigma,beta.1,beta.2,beta.3,log_p
# Adaptation terminated
# Step size = 0.563058
# Diagonal elements of inverse mass matrix:
# 2.52125e-05, 2.33014e-05, 2.32335e-05, 2.332e-05, 1.6695e-05
-33975.8,0.81443,0.563058,2,7,0,33977.7,-0.00916244,0.0424629,0.173037,0.122569,0.9801,0.0274554,0.175031,0.125468,-32711.1
-33976.2,0.898907,0.563058,2,3,0,33978.7,-0.0100774,0.0337016,0.172488,0.122725,0.977516,0.0187875,0.174381,0.125628,-32708.6
-33975.6,0.912574,0.563058,3,7,0,33979.9,-0.011315,0.0430171,0.166796,0.135808,0.982113,0.0260174,0.165661,0.139021,-32706.7
-33978,0.736249,0.563058,2,3,0,33980.5,-0.00668765,0.0370081,0.169759,0.137721,0.985452,0.0198737,0.16869,0.140979,-32707.8
-33975,1,0.563058,2,3,0,33978.1,-0.010222,0.0388299,0.16969,0.13641,0.982505,0.0218543,0.168839,0.139636,-32707.1
-33974.6,0.958792,0.563058,3,7,0,33977,-0.0113557,0.0371001,0.168961,0.122944,0.978631,0.0220459,0.170344,0.125852,-32707.4
-33974.4,0.951063,0.563058,3,7,0,33976.5,-0.0103882,0.0393886,0.168802,0.13574,0.981496,0.0224849,0.167948,0.13895,-32706.4
-33974.5,0.994445,0.563058,3,7,0,33975.4,-0.00927786,0.0368329,0.172012,0.123807,0.978989,0.0217126,0.173654,0.126735,-32708.6
-33974.4,0.982628,0.563058,3,7,0,33975.8,-0.012353,0.0397043,0.166238,0.134586,0.981446,0.0229155,0.165239,0.137769,-32705.6
-33974.7,0.966655,0.563058,3,7,0,33976.1,-0.0125786,0.0342556,0.174185,0.127281,0.979047,0.0187169,0.175517,0.130291,-32709.3
-33975.2,0.703005,0.563058,2,3,0,33979.4,-0.0106782,0.0325601,0.167649,0.128671,0.984034,0.0167361,0.167864,0.131714,-32706.7
