# stan_version_major = 2
# stan_version_minor = 35
# stan_version_patch = 0
# model = reg_model
# start_datetime = 2024-09-28 20:51:18 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /var/folders/43/wy_ws5nx3830gqhfw05n4yyc0000gn/T/tmpy2die0g0/z7rmeucw.json
# init = 2 (Default)
# random
#   seed = 25074
# output
#   file = /Users/zhafen/repos/citesim/analysis_data/stan_fits/stan_fit_None/SciBERT/reg-20240928155118_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.35.0
# stancflags = --filename-in-msg=reg.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta,sigma,log_p
# Adaptation terminated
# Step size = 0.589571
# Diagonal elements of inverse mass matrix:
# 2.20397e-05, 2.5072e-05, 1.69593e-05
-35511.7,0.866829,0.589571,2,7,0,35511.9,-0.0121599,0.0461436,0.997184,-100588
-35512,0.922992,0.589571,2,3,0,35513.8,-0.0157624,0.0488382,1.00062,-100588
-35510.6,0.960278,0.589571,2,3,0,35513.2,-0.0138431,0.0376693,1.00186,-100587
-35510.2,0.865784,0.589571,2,3,0,35512.4,-0.0145497,0.0405522,1.00094,-100587
-35512,0.805488,0.589571,2,3,0,35512.4,-0.0107813,0.0404442,1.00689,-100588
-35512.3,0.937672,0.589571,2,3,0,35513.2,-0.0087233,0.0433359,0.996045,-100589
-35511.6,1,0.589571,2,3,0,35512.3,-0.00810583,0.0433646,0.997298,-100588
-35510.5,0.856337,0.589571,3,7,0,35513.7,-0.00810483,0.0445306,1.00096,-100587
-35511.2,0.878399,0.589571,2,3,0,35511.8,-0.0103097,0.0456938,0.998021,-100588
-35511.6,0.796362,0.589571,3,7,0,35514.4,-0.0160729,0.0477973,1.00145,-100588
-35512.7,0.92776,0.589571,3,7,0,35513.5,-0.00987178,0.034638,0.997672,-100589
-35515.7,0.592084,0.589571,2,3,0,35520.6,0.000369024,0.0375232,0.99987,-100592
-35512,1,0.589571,2,3,0,35517.3,-0.0105466,0.0498113,0.999888,-100588
-35511.2,0.998691,0.589571,3,7,0,35513,-0.0172902,0.0435143,1.00006,-100588
-35510.1,0.898037,0.589571,2,3,0,35512.8,-0.0134695,0.0425719,1.00289,-100587
-35511.1,0.912884,0.589571,2,3,0,35511.2,-0.00986999,0.0391575,0.997911,-100588
-35511.3,0.947288,0.589571,2,7,0,35512.8,-0.0137148,0.0380462,1.00488,-100588
-35511.4,0.955997,0.589571,3,7,0,35512.7,-0.00646285,0.0444144,0.99895,-100588
-35510.4,1,0.589571,2,3,0,35511.4,-0.0134597,0.0411754,1.00399,-100587
-35510.5,0.960506,0.589571,2,3,0,35511.2,-0.00988628,0.0387116,1.00329,-100587
-35510.6,0.856691,0.589571,2,3,0,35512.5,-0.0116738,0.0383382,0.999123,-100587
-35510,0.895261,0.589571,2,3,0,35511.7,-0.0123169,0.0434432,1.00238,-100586
