# stan_version_major = 2
# stan_version_minor = 35
# stan_version_patch = 0
# model = multireg_model
# start_datetime = 2025-03-23 18:53:55 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /var/folders/43/wy_ws5nx3830gqhfw05n4yyc0000gn/T/tmpudzmvn9w/fmjo15cf.json
# init = 2 (Default)
# random
#   seed = 43077
# output
#   file = /Users/zhafen/repos/citesim/analysis_data/stan_fits/stan_fit/Word2Vec.nondens/multireg-20250323135355_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.35.0
# stancflags = --filename-in-msg=multireg.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,theta.1,theta.2,theta.3,sigma,beta.1,beta.2,beta.3,log_p
# Adaptation terminated
# Step size = 0.524292
# Diagonal elements of inverse mass matrix:
# 2.49004e-05, 2.50775e-05, 2.29236e-05, 2.35992e-05, 1.72856e-05
-34396.8,0.968735,0.524292,3,7,0,34400.5,-0.00665039,0.0488733,0.156847,0.1292,0.983733,0.00180542,0.164195,0.13357,-33101.1
-34395.5,1,0.524292,3,7,0,34401.2,-0.00879323,0.045242,0.160419,0.134143,0.979863,-0.00330763,0.16764,0.13868,-33100.1
-34391,1,0.524292,2,3,0,34396.6,-0.0118649,0.0586111,0.167245,0.13258,0.980559,0.00948541,0.175842,0.137065,-33105
-34390,0.984391,0.524292,3,7,0,34392,-0.0155271,0.0538202,0.169286,0.127361,0.977721,0.00549658,0.178992,0.131669,-33105.5
-34392,0.837056,0.524292,3,7,0,34393.4,-0.0114299,0.0521487,0.165549,0.136519,0.979639,0.00243844,0.173282,0.141137,-33102.6
-34393.6,0.858897,0.524292,3,7,0,34396.1,-0.0222358,0.0572189,0.169168,0.130285,0.98216,0.00831113,0.178425,0.134692,-33109.2
-34394.2,0.948665,0.524292,3,7,0,34396.2,-0.00339796,0.0500524,0.164732,0.127754,0.977039,0.00224598,0.173616,0.132076,-33101.7
-34394,1,0.524292,3,7,0,34396.4,-0.00487586,0.0508593,0.165647,0.122574,0.977256,0.00399439,0.175446,0.12672,-33103.4
-34393.8,1,0.524292,3,7,0,34397.3,-0.0223139,0.0554162,0.165388,0.134627,0.98058,0.00611482,0.173373,0.13918,-33106
-34390.8,0.954744,0.524292,2,3,0,34395.2,-0.00876253,0.0571181,0.165761,0.127842,0.977372,0.00915838,0.174805,0.132166,-33103.2
-34390.8,0.977146,0.524292,3,7,0,34392.1,-0.018251,0.0511141,0.165308,0.128306,0.981699,0.00311903,0.174208,0.132646,-33105
-34393.9,0.731729,0.524292,2,3,0,34395.5,-0.016239,0.0502335,0.172475,0.128747,0.985184,0.00120718,0.182514,0.133102,-33110.1
-34394,0.828748,0.524292,3,7,0,34400.6,-0.0133414,0.0512413,0.160255,0.126407,0.973172,0.00429838,0.168586,0.130683,-33100.3
-34393.4,0.988361,0.524292,2,7,0,34396.3,-0.0143477,0.0531971,0.165543,0.125963,0.986636,0.00565112,0.174827,0.130224,-33107.6
-34392.3,0.990667,0.524292,3,7,0,34395.8,-0.0073723,0.0480212,0.167787,0.125327,0.978749,0.000311251,0.177541,0.129566,-33104
