# stan_version_major = 2
# stan_version_minor = 35
# stan_version_patch = 0
# model = reg_model
# start_datetime = 2024-09-28 20:52:33 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /var/folders/43/wy_ws5nx3830gqhfw05n4yyc0000gn/T/tmpy2die0g0/qngzgopf.json
# init = 2 (Default)
# random
#   seed = 77413
# output
#   file = /Users/zhafen/repos/citesim/analysis_data/stan_fits/stan_fit_None/Word2Vec/reg-20240928155233_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.35.0
# stancflags = --filename-in-msg=reg.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta,sigma,log_p
# Adaptation terminated
# Step size = 0.742241
# Diagonal elements of inverse mass matrix:
# 2.05244e-05, 2.4447e-05, 1.6623e-05
-35858.9,1,0.742241,2,3,0,35860.1,-0.0135018,0.0463802,0.999993,-101799
-35859,0.981648,0.742241,2,3,0,35859.7,-0.0165907,0.0586692,1.00136,-101799
-35858.9,0.855913,0.742241,2,3,0,35860.9,-0.0149433,0.0460664,0.999754,-101799
-35860.2,0.887122,0.742241,2,3,0,35861.1,-0.00800716,0.0569658,0.998364,-101800
-35858.3,0.924303,0.742241,2,3,0,35861.4,-0.0158254,0.0566204,1.00179,-101799
-35860.1,0.758693,0.742241,2,3,0,35861.1,-0.0066709,0.0509939,0.99957,-101800
-35858.7,0.954496,0.742241,2,7,0,35860.7,-0.0195143,0.0557497,1.00185,-101799
-35859.5,0.918392,0.742241,2,3,0,35859.9,-0.0180756,0.056464,1.00395,-101800
-35859.9,0.988617,0.742241,2,3,0,35861,-0.0204103,0.047523,0.996568,-101800
-35858.4,0.815102,0.742241,2,3,0,35861,-0.0128987,0.0569275,0.99885,-101799
-35858.2,1,0.742241,2,3,0,35858.5,-0.0172299,0.0480813,0.999562,-101799
-35857.9,0.962135,0.742241,2,3,0,35858.7,-0.0159007,0.0548436,1.00182,-101798
-35859.4,0.662051,0.742241,2,3,0,35860,-0.0145361,0.0491206,1.00435,-101800
-35858.2,0.78265,0.742241,2,3,0,35862,-0.0157706,0.0561443,0.997593,-101798
-35858.6,0.817288,0.742241,2,3,0,35860.4,-0.0151194,0.0469195,0.998642,-101799
-35858.5,0.748764,0.742241,2,7,0,35861.1,-0.015814,0.0578653,0.999441,-101799
-35858.5,0.997451,0.742241,2,3,0,35858.6,-0.0142006,0.0470825,0.999702,-101799
-35858.3,0.859015,0.742241,2,3,0,35859.9,-0.0147962,0.0543022,1.00311,-101799
-35859.5,0.748611,0.742241,2,3,0,35860.9,-0.0190208,0.0578088,0.996861,-101800
-35859.2,1,0.742241,2,3,0,35859.5,-0.0117035,0.0471996,1.00176,-101799
-35861.7,0.842559,0.742241,2,3,0,35861.9,-0.0215641,0.0596862,0.996076,-101802
-35857.9,0.783464,0.742241,1,3,0,35864.1,-0.0121694,0.0510195,1.00087,-101798
-35858.3,0.927645,0.742241,2,3,0,35858.7,-0.0168351,0.0546522,0.996673,-101799
-35857.9,0.856951,0.742241,2,3,0,35859.7,-0.0174294,0.0555585,0.999586,-101798
-35859.3,0.85224,0.742241,2,7,0,35859.4,-0.0119482,0.0461534,0.99888,-101800
-35857.9,1,0.742241,2,3,0,35859.2,-0.014404,0.0556138,1.00128,-101798
-35857.8,0.853568,0.742241,2,3,0,35859.1,-0.0148895,0.0493972,1.00036,-101798
-35858.6,0.832708,0.742241,2,3,0,35859,-0.0114482,0.0498241,0.997308,-101799
-35858.2,0.961743,0.742241,2,3,0,35859.4,-0.0131682,0.0565457,1.00003,-101798
-35858.2,0.996933,0.742241,2,3,0,35858.3,-0.0174793,0.0483882,1.00024,-101798
-35860.2,0.75504,0.742241,2,3,0,35860.5,-0.0159566,0.0449085,0.996583,-101800
-35859.5,0.963902,0.742241,2,3,0,35861.3,-0.0143452,0.0600152,0.999906,-101800
-35859.3,0.920687,0.742241,2,3,0,35860.8,-0.0148227,0.0452352,0.99946,-101800
-35860,0.676864,0.742241,2,3,0,35862.3,-0.0194567,0.0570623,0.995645,-101800
-35858.2,0.938929,0.742241,2,3,0,35861,-0.0191421,0.0537822,1.00153,-101798
-35858,0.976091,0.742241,2,3,0,35858.8,-0.0186294,0.0509249,0.998297,-101798
-35857.8,1,0.742241,2,3,0,35858.1,-0.013942,0.0553383,1.00077,-101798
-35857.8,0.488294,0.742241,2,3,0,35861.3,-0.013942,0.0553383,1.00077,-101798
-35858.8,0.529369,0.742241,2,3,0,35862.1,-0.0142123,0.0499875,0.995826,-101799
-35858.1,0.919521,0.742241,2,3,0,35859.3,-0.0131705,0.0559508,1.00076,-101798
-35858.1,0.995554,0.742241,2,3,0,35858.3,-0.0181293,0.0500914,0.998034,-101798
-35857.7,0.928684,0.742241,2,3,0,35858.9,-0.0143982,0.0548615,1.00036,-101798
-35858,0.970015,0.742241,2,3,0,35858.2,-0.0116429,0.0543591,0.999901,-101798
-35858,0.833067,0.742241,1,3,0,35859.7,-0.0188023,0.0518327,0.998159,-101798
-35859.5,0.715363,0.742241,2,3,0,35860.6,-0.0128778,0.0597262,0.998969,-101800
-35860.4,0.81495,0.742241,1,1,0,35860.8,-0.0114955,0.0608149,0.999198,-101801
-35861.3,0.770091,0.742241,2,3,0,35863.6,-0.0203109,0.0443797,0.996887,-101802
-35858.8,0.881074,0.742241,2,3,0,35862.6,-0.0210845,0.0548849,0.999867,-101799
-35861.9,0.444263,0.742241,2,3,0,35863,-0.0195462,0.051484,1.0071,-101802
-35863,0.89003,0.742241,2,3,0,35867,-0.0260403,0.0561751,0.996085,-101803
-35859,0.972149,0.742241,2,3,0,35864.3,-0.0190772,0.0546824,1.00332,-101799
-35860.2,0.801086,0.742241,2,3,0,35860.5,-0.0112515,0.0503436,0.99434,-101801
-35857.7,0.99832,0.742241,2,3,0,35860.4,-0.0142674,0.0532933,1.00142,-101798
-35857.5,0.786206,0.742241,2,3,0,35859.4,-0.0151699,0.0519903,0.998785,-101798
-35857.5,0.915166,0.742241,2,3,0,35858.1,-0.0164291,0.0531584,1.00048,-101798
-35857.8,0.829309,0.742241,2,3,0,35858.6,-0.0149125,0.0516271,0.997505,-101798
-35857.5,1,0.742241,2,3,0,35857.7,-0.015905,0.0524713,1.00108,-101798
-35857.7,0.714447,0.742241,2,3,0,35859.5,-0.0134578,0.0525885,1.00118,-101798
-35857.7,0.554018,0.742241,2,3,0,35860.6,-0.0134578,0.0525885,1.00118,-101798
-35857.6,0.947811,0.742241,1,3,0,35858.2,-0.0176299,0.0532683,0.999218,-101798
-35858.1,0.902129,0.742241,2,3,0,35858.5,-0.0184923,0.0514847,1.00162,-101798
-35857.9,0.902713,0.742241,2,3,0,35858.9,-0.0116768,0.0533642,0.999693,-101798
-35857.8,0.529386,0.742241,2,3,0,35863.2,-0.0148255,0.0514043,0.997342,-101798
-35858.3,0.788521,0.742241,2,3,0,35858.9,-0.0135429,0.0490964,1.00213,-101799
-35860.1,0.59997,0.742241,2,3,0,35861,-0.0111491,0.0543799,0.994469,-101800
-35858.2,0.789298,0.742241,2,3,0,35862.4,-0.0141893,0.0479483,0.999465,-101798
-35859.6,0.781819,0.742241,2,3,0,35860.3,-0.00939867,0.0500668,0.996573,-101800
-35859.1,1,0.742241,2,3,0,35860,-0.0103365,0.0532618,0.996343,-101799
-35859.1,0.586613,0.742241,2,7,0,35863.5,-0.0103365,0.0532618,0.996343,-101799
-35860.8,0.550171,0.742241,2,3,0,35864.7,-0.00613707,0.0495619,0.99886,-101801
-35860.3,1,0.742241,1,1,0,35861.2,-0.00652621,0.0512608,0.998834,-101801
-35859,1,0.742241,2,3,0,35861,-0.0201258,0.0489407,1.00165,-101799
-35859.4,0.880906,0.742241,2,3,0,35860.4,-0.0164129,0.0500414,1.00473,-101800
-35861.1,0.716326,0.742241,2,3,0,35863.8,-0.00656185,0.0510012,1.00335,-101801
-35860.5,0.932148,0.742241,2,3,0,35863.5,-0.0118695,0.0439635,0.999281,-101801
-35859.9,0.941681,0.742241,2,3,0,35862.1,-0.0155735,0.0597381,0.996773,-101800
-35858.9,1,0.742241,1,1,0,35859.9,-0.0147418,0.0587133,0.998603,-101799
-35857.6,1,0.742241,2,3,0,35858.8,-0.0147396,0.0517563,1.00133,-101798
-35860,0.621878,0.742241,2,3,0,35860.5,-0.0134851,0.0446098,1.00179,-101800
-35857.7,0.973853,0.742241,1,3,0,35860.1,-0.0144685,0.051924,1.00184,-101798
-35861.2,0.441649,0.742241,1,3,0,35862.1,-0.0103458,0.0595624,1.00377,-101801
-35861.4,0.9809,0.742241,2,7,0,35863.8,-0.024719,0.0535377,0.996541,-101802
-35859.8,0.905513,0.742241,2,3,0,35863.3,-0.00855714,0.0517009,1.00295,-101800
-35858.3,0.944092,0.742241,2,3,0,35860.7,-0.0117228,0.0555141,0.998467,-101799
-35860.4,0.367677,0.742241,2,3,0,35862.1,-0.0158429,0.0492495,1.00581,-101801
-35858,0.837314,0.742241,1,3,0,35861.2,-0.0170139,0.054316,0.997453,-101798
-35858.5,0.96445,0.742241,2,3,0,35858.8,-0.0161664,0.0474516,1.00128,-101799
-35858.3,1,0.742241,2,3,0,35858.9,-0.0144994,0.0480678,0.998122,-101799
-35857.9,0.938636,0.742241,2,3,0,35859.1,-0.0117208,0.0513565,1.00025,-101798
-35858.3,0.745559,0.742241,2,7,0,35859.4,-0.0192468,0.0535907,1.00181,-101799
-35860.5,0.382648,0.742241,2,3,0,35864.5,-0.0181275,0.0459525,1.004,-101801
-35858.6,1,0.742241,2,3,0,35860.7,-0.0104758,0.054667,0.998001,-101799
