# stan_version_major = 2
# stan_version_minor = 35
# stan_version_patch = 0
# model = reg_model
# start_datetime = 2025-04-21 01:36:44 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/43/wy_ws5nx3830gqhfw05n4yyc0000gn/T/tmpauik0v1i/qc_wl1js.json
# init = 2 (Default)
# random
#   seed = 71395
# output
#   file = /Users/zhafen/repos/citesim/analysis_data/stan_fits/stan_fit/asym_BOW/reg-20250420203643_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.35.0
# stancflags = --filename-in-msg=reg.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta,sigma,log_p
# Adaptation terminated
# Step size = 0.65147
# Diagonal elements of inverse mass matrix:
# 2.32105e-05, 2.41974e-05, 1.65208e-05
-35774.1,0.862011,0.65147,2,3,0,35775.2,-0.01827,0.0937631,1.00587,-33752.5
-35770.4,1,0.65147,2,3,0,35773.7,-0.0155619,0.0965055,1.00125,-33751.3
-35771.8,0.807649,0.65147,2,3,0,35773.1,-0.00936734,0.0916083,0.99931,-33750.3
-35770,0.933132,0.65147,2,3,0,35772.9,-0.0195478,0.0970469,0.996493,-33750.6
-35770.4,0.944766,0.65147,2,3,0,35771.1,-0.0211541,0.091826,0.998187,-33749.7
-35771.3,0.819115,0.65147,2,3,0,35772.7,-0.00949766,0.0963846,0.997635,-33751.1
-35770.6,0.966499,0.65147,2,3,0,35771.9,-0.0211163,0.0916153,0.99949,-33749.9
-35770.9,0.960462,0.65147,1,1,0,35771.1,-0.0219841,0.0915518,0.999171,-33749.9
-35770.6,0.99039,0.65147,3,7,0,35772,-0.0213842,0.0969988,0.999734,-33751.3
-35771.5,0.855788,0.65147,2,3,0,35772.7,-0.0223176,0.096607,0.994597,-33750.7
-35769.7,0.845929,0.65147,1,3,0,35773.2,-0.0139356,0.095351,0.996785,-33750.2
-35770.6,0.916688,0.65147,3,7,0,35770.8,-0.0189327,0.0895165,0.996688,-33749
-35770.1,0.646963,0.65147,2,3,0,35775.1,-0.012689,0.0947556,0.999224,-33750.5
-35770.5,0.955899,0.65147,2,7,0,35770.9,-0.0173674,0.09065,0.995302,-33749
-35770.3,0.796318,0.65147,1,3,0,35773,-0.0139931,0.0960572,1.00084,-33751.1
-35770.1,1,0.65147,2,3,0,35770.6,-0.0184547,0.0976103,0.995871,-33750.7
-35771.2,0.901678,0.65147,2,7,0,35771.5,-0.0134361,0.0888999,0.999878,-33749.5
-35769.7,1,0.65147,2,3,0,35771.1,-0.0156,0.0967753,0.996434,-33750.5
-35774.5,0.530274,0.65147,2,3,0,35775.8,-0.0124995,0.0915965,0.990282,-33749.8
-35774,1,0.65147,2,3,0,35776.7,-0.0196908,0.0939574,1.00555,-33752.5
-35773.2,0.859143,0.65147,2,7,0,35777.6,-0.0235908,0.0872835,0.999066,-33749.6
-35773.1,0.92498,0.65147,2,3,0,35775.4,-0.0161281,0.104557,0.996311,-33753.6
-35773.5,0.982009,0.65147,2,7,0,35773.6,-0.0176551,0.0843167,0.999421,-33749
-35773.6,0.88255,0.65147,2,3,0,35777.4,-0.00766898,0.0917436,0.994151,-33750.2
-35772.1,1,0.65147,2,3,0,35774.1,-0.010508,0.0887528,0.996889,-33749.3
-35770.3,1,0.65147,2,3,0,35772.6,-0.0129234,0.0980463,0.998383,-33751.3
-35770.2,0.932215,0.65147,2,3,0,35771.3,-0.014043,0.0986925,0.998509,-33751.4
-35770.5,0.905627,0.65147,2,3,0,35771.5,-0.0136125,0.0989867,0.996538,-33751.3
-35771.6,0.854456,0.65147,3,7,0,35772.7,-0.00941284,0.0936002,1.00013,-33750.9
-35771.4,1,0.65147,2,7,0,35772.1,-0.0228806,0.097059,0.995589,-33750.9
