# stan_version_major = 2
# stan_version_minor = 35
# stan_version_patch = 0
# model = multireg_model
# start_datetime = 2025-04-21 01:54:59 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/43/wy_ws5nx3830gqhfw05n4yyc0000gn/T/tmpauik0v1i/maqy88et.json
# init = 2 (Default)
# random
#   seed = 64763
# output
#   file = /Users/zhafen/repos/citesim/analysis_data/stan_fits/stan_fit/asym_SBERT.nondens/multireg-20250420205459_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.35.0
# stancflags = --filename-in-msg=multireg.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,theta.1,theta.2,theta.3,sigma,beta.1,beta.2,beta.3,log_p
# Adaptation terminated
# Step size = 0.501889
# Diagonal elements of inverse mass matrix:
# 2.28593e-05, 2.49317e-05, 2.32363e-05, 2.3564e-05, 1.7086e-05
-34962.7,0.901593,0.501889,3,7,0,34964.6,0.00525678,-0.0176915,0.144389,0.112703,0.99009,-0.0138031,0.125432,0.113227,-33530.4
-34962.8,0.827636,0.501889,3,7,0,34967.2,-0.00752468,-0.0190121,0.138335,0.11716,0.991768,-0.0152965,0.119046,0.117705,-33529.1
-34961.6,0.961383,0.501889,3,7,0,34964.5,0.00427917,-0.0198814,0.138947,0.117336,0.989105,-0.0161479,0.119615,0.117882,-33527.4
-34964.9,0.764947,0.501889,2,3,0,34965.4,0.00808878,-0.0204398,0.1413,0.115812,0.993399,-0.016638,0.122071,0.116351,-33530
-34964.4,1,0.501889,3,7,0,34966.8,-0.00982533,-0.0175941,0.139029,0.110828,0.989961,-0.0138524,0.120493,0.111344,-33531.7
-34962.8,0.977337,0.501889,3,7,0,34967,0.0050365,-0.0203417,0.139272,0.120963,0.987728,-0.0166036,0.119482,0.121526,-33526.2
-34962.5,0.920215,0.501889,3,7,0,34966,-0.00768527,-0.0177601,0.141471,0.111989,0.989019,-0.0139518,0.122705,0.11251,-33530.5
-34962.5,0.991558,0.501889,3,7,0,34964.6,0.00180769,-0.0199515,0.134063,0.116271,0.987769,-0.0163524,0.115034,0.116812,-33527.6
-34965.6,0.741181,0.501889,3,7,0,34967.9,0.00307418,-0.0202124,0.144396,0.117471,0.996409,-0.016327,0.124854,0.118018,-33530.8
-34964.2,0.912734,0.501889,2,7,0,34969.4,-0.000589904,-0.0182536,0.136318,0.112248,0.994699,-0.0145885,0.117704,0.112771,-33531.8
-34963.4,1,0.501889,3,7,0,34966.1,0.000868191,-0.0218304,0.135255,0.110984,0.985896,-0.0181885,0.116833,0.111501,-33528.8
-34962.5,0.987314,0.501889,2,7,0,34964.5,0.0014047,-0.0219153,0.134561,0.113618,0.988983,-0.0182962,0.11584,0.114147,-33528.3
-34963.1,0.916478,0.501889,2,3,0,34964.4,0.00316697,-0.0232981,0.134721,0.1148,0.987738,-0.0196744,0.11585,0.115334,-33527.4
-34962.9,0.999872,0.501889,3,7,0,34964,-0.00433444,-0.014974,0.147635,0.116377,0.989585,-0.0110037,0.128113,0.116918,-33530.2
-34962.9,0.833585,0.501889,3,7,0,34967.6,0.00385136,-0.019013,0.134233,0.116581,0.988005,-0.0154109,0.11516,0.117124,-33527.9
