# stan_version_major = 2
# stan_version_minor = 35
# stan_version_patch = 0
# model = multireg_model
# start_datetime = 2025-04-21 01:54:59 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/43/wy_ws5nx3830gqhfw05n4yyc0000gn/T/tmpauik0v1i/maqy88et.json
# init = 2 (Default)
# random
#   seed = 64763
# output
#   file = /Users/zhafen/repos/citesim/analysis_data/stan_fits/stan_fit/asym_SBERT.nondens/multireg-20250420205459_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.35.0
# stancflags = --filename-in-msg=multireg.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,theta.1,theta.2,theta.3,sigma,beta.1,beta.2,beta.3,log_p
# Adaptation terminated
# Step size = 0.616696
# Diagonal elements of inverse mass matrix:
# 2.38154e-05, 2.29867e-05, 2.61526e-05, 2.44539e-05, 1.62625e-05
-34963.7,0.474129,0.616696,2,3,0,34966.5,0.000415913,-0.0168506,0.138173,0.119639,0.994473,-0.0131458,0.118585,0.120196,-33529.6
-34962.3,1,0.616696,2,3,0,34964.2,-0.00382905,-0.0205202,0.144399,0.11283,0.985194,-0.0166279,0.125427,0.113355,-33528.5
-34961.4,0.991176,0.616696,3,7,0,34963,0.0014025,-0.0211388,0.141077,0.111826,0.99012,-0.0173369,0.122346,0.112347,-33529.3
-34962.8,0.832501,0.616696,2,3,0,34963.9,-0.00607935,-0.020116,0.140919,0.121999,0.987255,-0.0163337,0.120944,0.122567,-33526.1
-34964.1,0.689711,0.616696,2,7,0,34967.3,-0.0047712,-0.0199232,0.141824,0.119698,0.994945,-0.0161128,0.1221,0.120255,-33529.3
-34962.9,0.998258,0.616696,2,3,0,34966.1,-0.00506409,-0.0237386,0.136676,0.118871,0.987285,-0.0200654,0.117236,0.119425,-33526.1
-34962.9,0.952381,0.616696,2,7,0,34964.9,0.0074176,-0.0192137,0.141375,0.116354,0.988821,-0.0154121,0.122077,0.116896,-33528.4
-34964.1,0.842092,0.616696,2,3,0,34966.4,-0.010156,-0.0185274,0.145478,0.114874,0.988593,-0.0146105,0.126216,0.115408,-33530
-34962.3,0.992575,0.616696,3,7,0,34965.5,-0.000414739,-0.0160378,0.141592,0.121584,0.991268,-0.0122415,0.121644,0.12215,-33528.1
