# stan_version_major = 2
# stan_version_minor = 35
# stan_version_patch = 0
# model = multireg_model
# start_datetime = 2025-04-21 01:57:58 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /var/folders/43/wy_ws5nx3830gqhfw05n4yyc0000gn/T/tmpauik0v1i/qeqyaihp.json
# init = 2 (Default)
# random
#   seed = 350
# output
#   file = /Users/zhafen/repos/citesim/analysis_data/stan_fits/stan_fit/asym_Word2Vec.nondens/multireg-20250420205757_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.35.0
# stancflags = --filename-in-msg=multireg.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,theta.1,theta.2,theta.3,sigma,beta.1,beta.2,beta.3,log_p
# Adaptation terminated
# Step size = 0.499946
# Diagonal elements of inverse mass matrix:
# 2.40736e-05, 2.29681e-05, 2.26661e-05, 2.22414e-05, 1.54202e-05
-34044.4,0.99605,0.499946,2,3,0,34049,-0.012058,-0.111848,0.155782,0.128486,0.976565,-0.0921908,0.158016,0.130079,-33062.2
-34048,0.800435,0.499946,2,7,0,34048.4,-0.0176251,-0.114468,0.151497,0.126894,0.979777,-0.095321,0.153342,0.128468,-33064.3
-34048.4,0.874463,0.499946,2,3,0,34051.2,-0.0197018,-0.112167,0.155276,0.127331,0.980143,-0.0925862,0.157627,0.12891,-33065
-34046,0.92866,0.499946,2,7,0,34050.5,-0.0128897,-0.10727,0.15327,0.134614,0.971133,-0.0877944,0.154088,0.136284,-33061.3
-34044,1,0.499946,2,7,0,34045.9,-0.0123759,-0.109222,0.15593,0.131491,0.974984,-0.0894983,0.157682,0.133122,-33061.7
-34045.5,0.890596,0.499946,2,3,0,34045.6,-0.00854272,-0.106161,0.153155,0.131001,0.974266,-0.0867582,0.154564,0.132626,-33062.3
-34046.6,0.933312,0.499946,3,7,0,34047.7,-0.00871885,-0.10672,0.150694,0.129421,0.971647,-0.0876209,0.151992,0.131026,-33062.1
-34046.2,0.998756,0.499946,3,7,0,34048.1,-0.0150934,-0.115877,0.156219,0.133765,0.978198,-0.0960847,0.157632,0.135424,-33062.2
-34046.1,0.976092,0.499946,3,7,0,34047.7,-0.0116462,-0.106399,0.153099,0.126803,0.971947,-0.0870709,0.155206,0.128376,-33062.5
-34046.4,0.995379,0.499946,3,7,0,34047,-0.0136991,-0.114923,0.157082,0.136449,0.977687,-0.0949896,0.158175,0.138141,-33061.9
-34047.2,0.605575,0.499946,3,7,0,34057.2,-0.0138902,-0.109472,0.152571,0.126621,0.96935,-0.090207,0.154627,0.128191,-33061.8
-34048,0.85145,0.499946,3,7,0,34053.1,-0.0194921,-0.111389,0.154384,0.12934,0.980409,-0.0918755,0.15626,0.130945,-33064.8
-34046.7,1,0.499946,3,7,0,34049.7,-0.00508207,-0.110489,0.153519,0.132527,0.97241,-0.0910211,0.154727,0.134171,-33061.2
-34046.5,0.953766,0.499946,3,7,0,34049.7,-0.0206969,-0.110093,0.155938,0.129715,0.97448,-0.0903981,0.157989,0.131324,-33062.9
-34045,0.938225,0.499946,2,3,0,34048.4,-0.0124148,-0.115364,0.154029,0.129097,0.972862,-0.0958955,0.155892,0.130698,-33060.8
-34046.3,0.89853,0.499946,2,7,0,34047.7,-0.0161451,-0.114451,0.153061,0.126017,0.972236,-0.0951425,0.155294,0.12758,-33061.7
-34044.9,0.996883,0.499946,3,7,0,34047.3,-0.0127478,-0.107719,0.15343,0.128668,0.977081,-0.0883232,0.155273,0.130264,-33063.1
-34049.3,0.579783,0.499946,2,3,0,34052.3,-0.011935,-0.106885,0.165539,0.130928,0.97686,-0.0860867,0.168856,0.132552,-33064.4
-34045.6,1,0.499946,2,3,0,34049.9,-0.00874191,-0.106986,0.157546,0.129893,0.97334,-0.0871067,0.159813,0.131504,-33062.1
-34044.7,0.996755,0.499946,2,7,0,34046,-0.0120958,-0.108086,0.156044,0.12765,0.97459,-0.0884125,0.158459,0.129233,-33062.4
-34044.7,0.938154,0.499946,3,7,0,34046.4,-0.0129977,-0.113161,0.152419,0.133595,0.976613,-0.0938,0.153278,0.135252,-33061.6
