# stan_version_major = 2
# stan_version_minor = 35
# stan_version_patch = 0
# model = reg_model
# start_datetime = 2025-04-21 01:41:11 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/43/wy_ws5nx3830gqhfw05n4yyc0000gn/T/tmpauik0v1i/b3m83wyz.json
# init = 2 (Default)
# random
#   seed = 75687
# output
#   file = /Users/zhafen/repos/citesim/analysis_data/stan_fits/stan_fit/asym_Word2Vec/reg-20250420204110_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.35.0
# stancflags = --filename-in-msg=reg.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta,sigma,log_p
# Adaptation terminated
# Step size = 0.602781
# Diagonal elements of inverse mass matrix:
# 2.31332e-05, 2.4514e-05, 1.60062e-05
-35562.9,0.757506,0.602781,1,1,0,35564.7,-0.0234694,-0.116123,0.997243,-33585.7
-35561.3,1,0.602781,2,3,0,35563,-0.0121187,-0.106295,0.994801,-33585.3
-35560.8,0.822057,0.602781,2,3,0,35563.8,-0.018906,-0.108529,0.998036,-33586
-35562.7,0.739188,0.602781,2,7,0,35564.9,-0.0239116,-0.115012,0.996985,-33585.8
-35562.8,0.995764,0.602781,3,7,0,35563.2,-0.00860539,-0.107313,0.993501,-33585.1
-35561.4,1,0.602781,3,7,0,35563.9,-0.0181308,-0.117234,0.995252,-33584.3
-35560.5,1,0.602781,3,7,0,35561.5,-0.0169723,-0.106972,0.995977,-33585.5
-35561.3,0.853403,0.602781,2,7,0,35562,-0.0160958,-0.112806,1,-33585.8
-35561.2,1,0.602781,2,7,0,35561.5,-0.0145964,-0.10967,0.99168,-33584.2
-35563.2,0.884947,0.602781,3,7,0,35564,-0.0168842,-0.102156,0.993234,-33586.4
-35560.8,1,0.602781,2,3,0,35563.5,-0.0146235,-0.115574,0.994707,-33583.9
-35563.1,0.774436,0.602781,2,3,0,35563.9,-0.0218817,-0.111375,1.00112,-33587.2
-35562.5,1,0.602781,2,3,0,35563.4,-0.0211999,-0.110166,1.00052,-33587
-35562.7,0.988728,0.602781,3,7,0,35564,-0.020427,-0.116589,0.999473,-33585.9
-35560.3,1,0.602781,2,3,0,35562.7,-0.0168065,-0.107831,0.996435,-33585.4
-35561.2,0.857529,0.602781,2,3,0,35561.7,-0.0192148,-0.112279,0.999209,-33585.8
-35560.5,0.995041,0.602781,2,7,0,35561.3,-0.0139097,-0.112609,0.99356,-33583.9
-35562.3,0.805855,0.602781,2,7,0,35562.6,-0.0188228,-0.112153,1.0012,-33586.7
-35564.2,0.88076,0.602781,2,7,0,35566.1,-0.0221757,-0.119946,0.994229,-33584.9
-35560.5,0.865195,0.602781,2,3,0,35566.3,-0.0143198,-0.107505,0.995967,-33585.2
-35560.4,1,0.602781,3,7,0,35560.5,-0.0180286,-0.114331,0.995687,-33584.4
-35560.9,0.910704,0.602781,2,3,0,35561.5,-0.0174247,-0.11446,0.992965,-33583.9
-35560.1,1,0.602781,2,3,0,35561,-0.0176196,-0.11142,0.994156,-33584.4
-35561.2,0.868762,0.602781,2,3,0,35561.7,-0.0167639,-0.115971,0.993201,-33583.8
-35561.4,0.961469,0.602781,3,7,0,35562.8,-0.0209073,-0.112298,0.99278,-33584.6
-35561.4,0.740186,0.602781,1,1,0,35562.6,-0.0209073,-0.112298,0.99278,-33584.6
-35560.7,0.924928,0.602781,2,3,0,35562.4,-0.0186404,-0.110158,0.992948,-33584.5
-35560.7,0.874717,0.602781,3,7,0,35562.7,-0.0135098,-0.110693,0.998489,-33585.4
-35560.6,0.936217,0.602781,2,7,0,35561.5,-0.0119362,-0.110233,0.994886,-33584.5
-35560.9,0.931354,0.602781,3,7,0,35561.9,-0.0148209,-0.106466,0.993903,-33585.1
-35560.9,0.972606,0.602781,3,7,0,35561.9,-0.0115664,-0.112648,0.994224,-33584.1
-35560.1,0.992808,0.602781,2,3,0,35561.1,-0.01533,-0.110202,0.994206,-33584.4
-35561.5,0.675382,0.602781,2,3,0,35563.6,-0.0206671,-0.110544,0.999228,-33586.3
-35560.7,0.932018,0.602781,2,3,0,35562.6,-0.0153229,-0.111818,0.998879,-33585.4
-35561.1,0.959513,0.602781,2,7,0,35561.8,-0.0103139,-0.111116,0.995243,-33584.5
-35562.2,0.834816,0.602781,2,3,0,35563.5,-0.0124354,-0.106556,0.991874,-33584.9
-35562.3,0.873238,0.602781,2,3,0,35564.8,-0.0143853,-0.103238,0.994273,-33586.1
-35561.5,1,0.602781,2,7,0,35562.4,-0.0190618,-0.116782,0.997158,-33584.9
-35562.5,0.934456,0.602781,3,7,0,35563,-0.0134086,-0.105101,0.991854,-33585.2
-35560.1,1,0.602781,2,3,0,35562.5,-0.0144773,-0.109164,0.995719,-33584.8
-35560.3,0.92113,0.602781,3,7,0,35561,-0.0168736,-0.107541,0.995686,-33585.3
-35560.8,0.942536,0.602781,2,3,0,35561.2,-0.0201703,-0.109113,0.997317,-33585.8
-35560.6,0.996043,0.602781,3,7,0,35561.2,-0.0140304,-0.113527,0.993528,-33583.8
-35560.5,0.986408,0.602781,3,7,0,35561.4,-0.0186277,-0.108802,0.99733,-33585.6
-35560.3,1,0.602781,3,7,0,35560.6,-0.0137694,-0.11347,0.995076,-33584.1
-35566.9,0.523354,0.602781,2,3,0,35567.4,-0.00762556,-0.100673,0.993058,-33587.2
-35561.7,0.865458,0.602781,2,3,0,35570.4,-0.00935874,-0.112674,0.99493,-33584.3
-35560.9,0.969011,0.602781,2,3,0,35562.4,-0.0201002,-0.107397,0.99522,-33585.6
-35560.6,1,0.602781,1,1,0,35560.9,-0.0197762,-0.108136,0.99563,-33585.5
-35564,0.639446,0.602781,2,3,0,35564.7,-0.0217749,-0.104308,0.991377,-33586.3
-35561.7,0.986677,0.602781,2,7,0,35565.4,-0.0196048,-0.116819,0.994141,-33584.3
-35560.8,1,0.602781,2,3,0,35561.8,-0.0179669,-0.114448,0.993424,-33584
-35561.1,0.93755,0.602781,1,1,0,35561.3,-0.0187635,-0.114349,0.992809,-33584.1
-35560.8,0.989768,0.602781,2,3,0,35561.8,-0.0209235,-0.112151,0.996641,-33585.3
-35561.5,0.904885,0.602781,2,3,0,35562.2,-0.0109751,-0.109381,0.993007,-33584.4
