# stan_version_major = 2
# stan_version_minor = 35
# stan_version_patch = 0
# model = base_model
# start_datetime = 2025-03-23 18:39:06 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /var/folders/43/wy_ws5nx3830gqhfw05n4yyc0000gn/T/tmpudzmvn9w/iiqe13_v.json
# init = 2 (Default)
# random
#   seed = 57965
# output
#   file = /Users/zhafen/repos/citesim/analysis_data/stan_fits/stan_fit/base/base-20250323133906_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.35.0
# stancflags = --filename-in-msg=base.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,sigma,log_p
# Adaptation terminated
# Step size = 0.502805
# Diagonal elements of inverse mass matrix:
# 1.94869e-05, 1.54974e-05
-51591.3,0.933055,0.502805,2,3,0,51592.7,-0.000653127,1.00398,-48422
-51592,0.937748,0.502805,2,3,0,51592.1,0.000143023,0.998847,-48419.3
-51592.6,0.932181,0.502805,2,7,0,51594,-0.00414844,0.99814,-48420.2
-51591.8,0.979533,0.502805,2,3,0,51593,0.000585513,1.00462,-48422.2
-51591.7,0.978556,0.502805,2,3,0,51592.5,0.00237913,1.00227,-48420.5
-51591.2,0.771231,0.502805,1,3,0,51595,-0.00429777,1.00106,-48421.3
-51591,0.988663,0.502805,2,3,0,51591.4,-0.00378027,1.00133,-48421.3
-51591.1,0.969947,0.502805,2,3,0,51591.4,-0.00185763,1.00014,-48420.2
-51590.9,0.99072,0.502805,3,7,0,51591.3,-0.00253691,1.00123,-48420.9
-51591.2,0.954159,0.502805,2,3,0,51591.4,-0.00373111,1.00038,-48420.8
-51591.4,0.997334,0.502805,2,3,0,51591.6,-0.00512203,1.00141,-48421.7
-51591.5,0.988789,0.502805,1,1,0,51591.5,-0.00515948,1.00107,-48421.6
-51592.6,0.857631,0.502805,2,7,0,51593.5,-0.000359046,0.997892,-48419.1
-51590.9,0.972832,0.502805,1,3,0,51592.6,-0.00120109,1.00123,-48420.5
-51591.1,0.981206,0.502805,3,7,0,51591.1,-0.00389493,1.0009,-48421.1
-51591,0.99663,0.502805,3,7,0,51591.3,-0.00253282,1.0006,-48420.6
-51591.7,0.845508,0.502805,2,5,0,51592.7,-0.00578436,1.00296,-48422.8
-51591.3,0.93215,0.502805,2,3,0,51592.6,-0.00348927,1.00017,-48420.7
-51591.1,1,0.502805,1,1,0,51591.3,-0.00342075,1.0007,-48420.9
-51591.2,0.992254,0.502805,3,7,0,51591.5,-0.00465273,1.00183,-48421.8
-51591.2,1,0.502805,1,1,0,51591.3,-0.00441593,1.00215,-48421.9
-51591.1,0.876741,0.502805,1,3,0,51592.7,-0.000187368,1.00337,-48421.5
-51591.5,0.961178,0.502805,3,7,0,51591.8,0.00167236,1.00294,-48421
-51591,0.999445,0.502805,3,7,0,51591.5,0.000221436,1.002,-48420.6
-51591.5,0.886315,0.502805,2,3,0,51591.8,-0.000386545,0.999574,-48419.7
-51592,0.725082,0.502805,2,7,0,51594.1,0.000803997,1.00481,-48422.3
-51592.3,0.707943,0.502805,2,3,0,51595.4,0.00114986,0.998622,-48419.1
-51591.9,1,0.502805,2,3,0,51592.4,-0.0023898,1.00513,-48423.2
-51594.3,0.780658,0.502805,2,7,0,51594.6,-0.00506566,0.996555,-48420.2
-51592,1,0.502805,2,3,0,51594.9,-0.00632785,1.00087,-48421.9
-51591.7,1,0.502805,3,7,0,51592.1,0.00246769,1.00238,-48420.6
-51592.1,0.967951,0.502805,3,7,0,51592.7,-0.00669594,1.00265,-48423
-51590.9,1,0.502805,2,3,0,51592,-0.00308219,1.0016,-48421.2
-51590.9,0.884533,0.502805,2,3,0,51591.9,-0.00227189,1.00112,-48420.7
-51590.9,0.983589,0.502805,3,7,0,51591.2,-0.002425,1.00272,-48421.6
-51591.7,0.904907,0.502805,2,7,0,51591.7,-0.00154876,0.998988,-48419.7
-51592.4,0.894075,0.502805,2,3,0,51593.6,0.00281712,0.999615,-48419.2
-51590.9,0.89747,0.502805,1,3,0,51593.9,-0.00165073,1.0028,-48421.5
-51591.2,0.92085,0.502805,1,3,0,51591.8,-0.00458095,1.00193,-48421.8
-51591.1,1,0.502805,1,1,0,51591.2,-0.00396461,1.0018,-48421.6
-51591.5,0.812909,0.502805,2,3,0,51592.9,0.00134787,1.00057,-48419.8
-51593.6,0.838069,0.502805,3,7,0,51594.1,-0.00837048,1.00425,-48424.7
-51591.7,1,0.502805,2,3,0,51593.7,-0.00403772,0.99953,-48420.6
-51591.6,0.999573,0.502805,2,3,0,51591.8,-0.00352053,0.999382,-48420.4
-51591.4,0.994134,0.502805,2,7,0,51592.1,-0.00123893,0.999455,-48419.8
-51591.3,1,0.502805,2,3,0,51591.5,-0.000404391,0.999931,-48419.8
-51591.4,0.993208,0.502805,2,3,0,51591.5,-0.00183642,1.00428,-48422.4
-51591.5,0.976302,0.502805,2,3,0,51592.1,0.00168766,1.00287,-48420.9
-51591.1,0.89333,0.502805,1,3,0,51592.7,-0.00157115,1.00026,-48420.2
-51591.4,0.87939,0.502805,2,3,0,51592.5,-0.00495961,1.00247,-48422.2
-51591.5,0.995554,0.502805,2,3,0,51591.5,-0.00530161,1.00239,-48422.3
-51591.2,1,0.502805,1,1,0,51591.4,-0.00461997,1.00214,-48421.9
-51591.1,1,0.502805,3,7,0,51591.3,-0.00414239,1.00146,-48421.4
-51590.9,0.828045,0.502805,2,3,0,51592.7,-0.00160727,1.00092,-48420.5
-51590.9,0.601225,0.502805,1,3,0,51596.2,-0.00160727,1.00092,-48420.5
-51590.8,0.99455,0.502805,3,7,0,51591,-0.00138756,1.00132,-48420.6
-51591.9,0.839187,0.502805,2,3,0,51592.1,-0.00201814,0.998719,-48419.7
-51591.1,0.93467,0.502805,2,3,0,51592.6,-0.00399579,1.002,-48421.7
-51590.9,0.882481,0.502805,2,3,0,51592.2,-0.00265421,1.00295,-48421.8
-51590.8,0.996705,0.502805,2,3,0,51591,-0.00244313,1.00186,-48421.1
-51590.8,0.806988,0.502805,1,3,0,51592,-0.00244313,1.00186,-48421.1
-51591.1,0.96991,0.502805,3,7,0,51591.2,-0.00382795,1.00124,-48421.2
-51591.8,0.926872,0.502805,2,3,0,51592.2,0.0026852,1.00123,-48419.9
-51591.4,0.969588,0.502805,2,7,0,51592.4,-0.00187265,0.999603,-48420
-51591,0.920024,0.502805,1,3,0,51592.1,-0.00305219,1.00282,-48421.8
-51591.3,0.96266,0.502805,2,3,0,51591.4,0.000672593,1.00052,-48419.9
-51591.1,0.977086,0.502805,2,3,0,51591.7,-0.00183329,1.00029,-48420.3
-51591,0.899936,0.502805,2,3,0,51592.1,-0.00380199,1.00242,-48421.8
-51591.8,0.934722,0.502805,2,3,0,51592,-0.00621896,1.00228,-48422.6
-51592.8,0.780167,0.502805,2,3,0,51593.9,-0.00258963,1.00637,-48424.2
-51592,0.958243,0.502805,3,7,0,51594.9,-0.00251362,0.998513,-48419.8
-51591.2,1,0.502805,2,3,0,51592.1,-0.00391953,1.00325,-48422.4
-51590.8,1,0.502805,2,3,0,51591.3,-0.000866884,1.00221,-48421
-51590.8,0.997905,0.502805,2,3,0,51590.9,-0.0014183,1.00166,-48420.8
-51590.8,0.768513,0.502805,1,3,0,51592.2,-0.0014183,1.00166,-48420.8
-51591.1,0.816854,0.502805,3,7,0,51593.4,-0.00372331,1.00308,-48422.2
-51593.3,0.808073,0.502805,2,3,0,51594.1,-0.00825206,1.00371,-48424.3
-51592.5,0.870801,0.502805,3,7,0,51595.3,0.0015518,0.998569,-48419
-51593,0.915217,0.502805,2,7,0,51595.2,0.00463399,1.00293,-48420.7
-51591.6,1,0.502805,2,3,0,51593.3,0.000371014,0.999582,-48419.5
-51591.1,0.998784,0.502805,2,3,0,51591.7,-0.00251617,1.00369,-48422.2
-51590.9,0.994479,0.502805,2,3,0,51591.3,-0.000326541,1.00257,-48421.1
-51591,0.931466,0.502805,2,7,0,51591.5,-0.0015202,1.0004,-48420.2
-51591.4,0.972678,0.502805,2,3,0,51591.6,-0.0032178,0.99971,-48420.4
-51592.1,0.876753,0.502805,3,7,0,51593.2,-0.00128509,1.00546,-48423.2
-51592.6,0.838903,0.502805,2,3,0,51594.5,-0.0040306,1.00577,-48424.1
-51590.9,1,0.502805,3,7,0,51592.3,-0.000339447,1.00151,-48420.5
-51591.5,0.943253,0.502805,2,3,0,51591.6,0.00158006,1.00071,-48419.8
-51591.2,1,0.502805,2,7,0,51591.6,-0.00349729,1.00344,-48422.3
-51590.9,0.98677,0.502805,2,3,0,51591.3,-0.00201687,1.00299,-48421.7
-51591.3,0.972178,0.502805,3,7,0,51591.5,-0.00490059,1.00249,-48422.2
-51593.3,0.809094,0.502805,3,7,0,51595,0.00515384,1.00121,-48419.8
-51592.8,1,0.502805,2,3,0,51593.8,0.00417531,1.00351,-48421.1
-51592.1,1,0.502805,2,3,0,51592.9,0.00322292,1.00179,-48420.2
-51595.4,0.755219,0.502805,3,7,0,51595.5,-0.00801485,0.996977,-48421.4
-51591.3,1,0.502805,2,3,0,51594.8,-0.00375822,1.00372,-48422.6
-51590.8,0.903055,0.502805,3,7,0,51592.7,-0.000839654,1.00181,-48420.7
-51590.8,0.785696,0.502805,1,3,0,51592.2,-0.000839654,1.00181,-48420.7
-51591.8,0.910644,0.502805,2,3,0,51591.9,-0.00576382,1.00327,-48423
-51592.6,0.954039,0.502805,2,3,0,51592.7,-0.00582079,1.00492,-48424.1
-51591.6,1,0.502805,3,7,0,51592.5,-0.000220729,0.999274,-48419.5
-51591.2,0.999907,0.502805,3,7,0,51591.6,-0.00109586,1,-48420
-51591.3,0.99827,0.502805,2,3,0,51591.4,-0.000238541,1.00009,-48419.8
-51591.1,1,0.502805,3,7,0,51591.4,-0.00123236,1.00372,-48421.9
-51591.1,0.891936,0.502805,1,3,0,51592.3,-0.0036051,1.00072,-48420.9
-51592.6,0.881838,0.502805,2,3,0,51592.7,-0.00653347,1.00436,-48424
-51591.4,0.977037,0.502805,2,3,0,51593,0.00127136,1.00058,-48419.8
-51591.8,0.957912,0.502805,2,3,0,51592.3,0.00263049,1.00161,-48420.1
-51591.8,0.593802,0.502805,2,3,0,51597,0.000744071,1.00459,-48422.2
-51591.4,0.940894,0.502805,2,3,0,51592.6,-0.00164383,1.00429,-48422.4
-51591.2,1,0.502805,2,7,0,51591.5,-0.000333357,1.00362,-48421.7
-51591.9,0.956326,0.502805,2,3,0,51592,0.00111203,1.00451,-48422
-51591.5,1,0.502805,2,3,0,51591.9,0.00110085,1.00374,-48421.5
-51591.7,0.876626,0.502805,3,7,0,51593.6,-0.00588688,1.00161,-48422.1
-51591,0.921747,0.502805,2,3,0,51592.8,-0.00333293,1.00265,-48421.8
