# stan_version_major = 2
# stan_version_minor = 35
# stan_version_patch = 0
# model = base_model
# start_datetime = 2025-04-21 01:30:21 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/43/wy_ws5nx3830gqhfw05n4yyc0000gn/T/tmpauik0v1i/rju1mrte.json
# init = 2 (Default)
# random
#   seed = 74994
# output
#   file = /Users/zhafen/repos/citesim/analysis_data/stan_fits/stan_fit/base/base-20250420203021_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.35.0
# stancflags = --filename-in-msg=base.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,sigma,log_p
# Adaptation terminated
# Step size = 0.565249
# Diagonal elements of inverse mass matrix:
# 1.84411e-05, 1.45688e-05
-51474.5,0.887964,0.565249,2,7,0,51475.8,-0.00483877,1.00389,-48540.2
-51473.9,1,0.565249,2,3,0,51474.5,0.00146745,0.997636,-48538.1
-51474.1,0.996314,0.565249,2,7,0,51474.1,-0.00355402,1.00393,-48539.9
-51475.6,0.809341,0.565249,2,3,0,51476,0.00366144,0.99644,-48538.2
-51476.5,0.865428,0.565249,2,3,0,51479.3,0.00790588,1.00077,-48539
-51473.5,0.982634,0.565249,2,3,0,51476.8,0.00294593,1.00209,-48538.8
-51475.1,0.860171,0.565249,2,3,0,51475.5,0.00611584,0.999951,-48538.5
-51474,1,0.565249,1,1,0,51475,0.00446142,1.00044,-48538.4
-51472.9,1,0.565249,2,3,0,51474.1,0.00135776,1.00037,-48538.3
-51472.9,1,0.565249,1,1,0,51472.9,0.00113019,1.00035,-48538.3
-51472.7,0.946342,0.565249,2,3,0,51473.3,-0.000237271,1.00109,-48538.6
-51474.7,0.613395,0.565249,2,3,0,51475.4,0.00162548,0.996673,-48538.1
-51473.4,1,0.565249,2,3,0,51475.2,0.00308416,1.00132,-48538.5
-51472.7,0.902826,0.565249,1,3,0,51474.6,-0.00193497,1.00083,-48538.7
-51472.8,0.886738,0.565249,3,7,0,51474,0.000263266,1.0016,-48538.7
-51473.1,0.925715,0.565249,1,3,0,51473.4,-0.0022568,1.00241,-48539.2
-51473,0.98658,0.565249,2,3,0,51473.3,0.000953086,0.999262,-48538.2
-51474.6,0.724636,0.565249,2,3,0,51475.9,-0.000119785,0.996493,-48538.2
-51474.5,1,0.565249,1,1,0,51475,-0.000475463,0.996609,-48538.2
-51474,0.976924,0.565249,2,3,0,51475.1,-0.00518258,1.00239,-48539.7
-51473.1,0.946553,0.565249,2,7,0,51474.6,-0.000651166,1.00286,-48539.1
-51473.6,0.891641,0.565249,1,1,0,51473.6,-0.000156751,1.00377,-48539.4
-51474.6,0.93463,0.565249,2,3,0,51475.1,-0.00289002,1.00485,-48540.2
-51474.3,1,0.565249,2,3,0,51474.9,-0.000995974,0.9968,-48538.3
-51473.5,1,0.565249,1,1,0,51474.2,-6.32057e-05,0.998007,-48538.2
-51472.7,0.996114,0.565249,1,3,0,51473.4,-0.000623995,1.00025,-48538.4
-51472.7,0.965894,0.565249,2,3,0,51472.9,-0.000321137,1.00117,-48538.6
-51472.8,0.985243,0.565249,2,3,0,51472.9,0.00108569,1.00089,-48538.4
-51472.8,0.938051,0.565249,2,7,0,51473.3,-0.00226303,1.00084,-48538.7
-51472.7,0.944942,0.565249,2,3,0,51473.2,-7.3793e-06,1.00088,-48538.5
-51475.1,0.546429,0.565249,2,3,0,51476.1,-0.00237665,1.00555,-48540.5
-51475.4,0.994695,0.565249,3,7,0,51477.1,-0.00395101,0.996131,-48538.8
-51473.2,1,0.565249,2,7,0,51475,0.000556784,1.00277,-48539
-51476.5,0.531517,0.565249,2,3,0,51479,-0.00665907,1.00526,-48541.3
-51474.8,0.974864,0.565249,3,7,0,51477.5,0.000172941,0.996285,-48538.2
-51472.8,0.987388,0.565249,1,3,0,51474.6,-0.00119571,0.999798,-48538.4
-51474.1,0.783076,0.565249,2,3,0,51474.9,0.00298441,0.998145,-48538.1
-51474.1,0.943128,0.565249,2,3,0,51474.8,-0.000565093,1.00449,-48539.8
-51474.6,0.96339,0.565249,2,3,0,51475.6,-0.00660774,0.999791,-48539.5
-51472.7,1,0.565249,2,3,0,51474.4,-0.000742236,1.00017,-48538.4
-51474.5,0.669485,0.565249,1,3,0,51474.8,-0.000339067,0.996543,-48538.2
-51472.7,0.985235,0.565249,1,3,0,51474.6,-0.00157474,1.00043,-48538.6
-51473.5,0.876549,0.565249,2,3,0,51473.8,-0.00174779,0.998024,-48538.3
-51474,0.965341,0.565249,2,3,0,51474.2,-0.003251,1.00385,-48539.9
-51474.9,0.971556,0.565249,3,7,0,51475.3,0.00466693,1.00345,-48539.3
-51474.4,0.949007,0.565249,2,7,0,51476.4,-0.00643889,1.00142,-48539.8
-51473.5,1,0.565249,2,3,0,51474.8,0.00319972,0.999957,-48538.3
-51474.6,0.867221,0.565249,2,3,0,51474.9,0.00281438,0.997194,-48538.1
-51475.9,0.919583,0.565249,2,3,0,51476.7,0.00367066,1.0055,-48540.2
-51474.5,0.965777,0.565249,2,3,0,51477.3,0.00526667,1.00023,-48538.5
-51473.3,0.991312,0.565249,2,3,0,51474.9,0.00179325,1.00246,-48538.9
-51473.7,0.908802,0.565249,1,1,0,51473.7,0.00188599,1.00335,-48539.2
-51475.3,0.883572,0.565249,3,7,0,51475.6,0.0033688,0.996663,-48538.1
-51474.3,0.995232,0.565249,2,7,0,51475.7,0.00214823,1.00425,-48539.5
-51474.7,0.900784,0.565249,1,1,0,51475,0.00144742,1.00496,-48539.9
-51474.2,1,0.565249,2,3,0,51475.2,-0.00423809,0.997906,-48538.8
-51472.7,0.972022,0.565249,1,3,0,51474.4,-0.000920075,1.00038,-48538.5
-51473.3,0.927298,0.565249,2,3,0,51473.3,-0.00122427,1.00316,-48539.3
-51474,0.829774,0.565249,1,1,0,51474.1,-0.000636614,1.00445,-48539.8
-51473.8,0.980411,0.565249,2,3,0,51474.7,-0.00487511,0.999205,-48539
-51473.7,1,0.565249,3,7,0,51473.9,-0.00470832,0.999226,-48539
