# stan_version_major = 2
# stan_version_minor = 35
# stan_version_patch = 0
# model = multireg_model
# start_datetime = 2025-04-21 01:44:30 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/43/wy_ws5nx3830gqhfw05n4yyc0000gn/T/tmpauik0v1i/qr5razhq.json
# init = 2 (Default)
# random
#   seed = 31099
# output
#   file = /Users/zhafen/repos/citesim/analysis_data/stan_fits/stan_fit/den_BOW.nondens/multireg-20250420204429_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.35.0
# stancflags = --filename-in-msg=multireg.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,theta.1,theta.2,theta.3,sigma,beta.1,beta.2,beta.3,log_p
# Adaptation terminated
# Step size = 0.568904
# Diagonal elements of inverse mass matrix:
# 2.36099e-05, 2.26927e-05, 2.07352e-05, 2.35193e-05, 1.68e-05
-34287.6,0.986034,0.568904,3,7,0,34290.1,-0.0180824,0.0875433,0.16194,0.123804,0.97231,0.0693316,0.164999,0.125681,-33212.8
-34285.9,0.980439,0.568904,3,7,0,34288.9,-0.0156359,0.0796853,0.160116,0.12395,0.975243,0.0615705,0.162885,0.125829,-33213.1
-34285.9,0.756294,0.568904,2,7,0,34289.9,-0.0151041,0.0860055,0.161007,0.128189,0.982241,0.0675205,0.163204,0.130133,-33214.2
-34287.4,0.881199,0.568904,2,3,0,34288.2,-0.0114018,0.0833472,0.164957,0.129425,0.971721,0.0645551,0.167525,0.131388,-33212
-34290.4,0.833942,0.568904,3,7,0,34292.9,-0.00258036,0.0835759,0.160776,0.121074,0.980388,0.0656351,0.164117,0.12291,-33216
-34287,1,0.568904,2,3,0,34292.3,-0.0083873,0.0815424,0.165352,0.1225,0.979155,0.0632453,0.169122,0.124358,-33214.4
-34287.1,0.91587,0.568904,3,7,0,34289.9,-0.0144414,0.0883479,0.154168,0.129234,0.97419,0.0701598,0.155198,0.131194,-33212.6
-34286.5,0.930433,0.568904,2,7,0,34290.1,-0.0129476,0.0837284,0.167336,0.126516,0.973896,0.0650213,0.17073,0.128434,-33212.5
-34285.9,0.978292,0.568904,3,7,0,34288.7,-0.0124867,0.0830139,0.156799,0.131464,0.980173,0.0645199,0.157843,0.133457,-33213.5
-34287.4,0.745684,0.568904,2,3,0,34290.6,-0.0103705,0.0856198,0.153657,0.124525,0.980731,0.0678127,0.155393,0.126413,-33214.8
