# stan_version_major = 2
# stan_version_minor = 35
# stan_version_patch = 0
# model = reg_model
# start_datetime = 2025-04-21 01:30:30 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /var/folders/43/wy_ws5nx3830gqhfw05n4yyc0000gn/T/tmpauik0v1i/80nra730.json
# init = 2 (Default)
# random
#   seed = 97174
# output
#   file = /Users/zhafen/repos/citesim/analysis_data/stan_fits/stan_fit/den_BOW/reg-20250420203030_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.35.0
# stancflags = --filename-in-msg=reg.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta,sigma,log_p
# Adaptation terminated
# Step size = 0.719593
# Diagonal elements of inverse mass matrix:
# 2.26323e-05, 2.10459e-05, 1.7032e-05
-35835.1,0.590318,0.719593,2,3,0,35837.9,-0.0153117,0.0876663,1.00287,-33747.9
-35837.1,0.854053,0.719593,2,3,0,35837.6,-0.0206565,0.0882323,0.992762,-33746.6
-35834.4,0.795626,0.719593,2,3,0,35839.5,-0.0199144,0.080681,0.99862,-33747
-35834.6,0.880159,0.719593,2,7,0,35835.5,-0.0171536,0.0889504,1.00128,-33747.4
-35836.6,0.565255,0.719593,1,1,0,35836.7,-0.0168466,0.0902294,1.00406,-33748.6
-35836.8,1,0.719593,2,3,0,35838.9,-0.0188984,0.0914838,0.994232,-33746.7
-35834.1,1,0.719593,2,3,0,35837.2,-0.0135401,0.0868091,0.99804,-33746.6
-35834.2,0.971591,0.719593,1,1,0,35834.3,-0.0133575,0.0875807,0.998331,-33746.7
-35835.5,0.707261,0.719593,2,3,0,35836.5,-0.0130196,0.0793047,1.00139,-33747.9
-35834.7,1,0.719593,2,3,0,35836,-0.0132193,0.0835544,1.002,-33747.7
-35837.2,0.514887,0.719593,1,1,0,35837.3,-0.0115525,0.0813872,1.00446,-33749
-35836.8,1,0.719593,1,1,0,35837.9,-0.0108554,0.0813085,1.00361,-33748.7
-35835.4,1,0.719593,2,3,0,35836.8,-0.0193239,0.0891581,0.995244,-33746.5
-35836.2,0.56605,0.719593,2,3,0,35841.5,-0.0154879,0.0761851,0.999278,-33747.8
-35834.7,1,0.719593,1,1,0,35835.9,-0.0165835,0.078838,0.998828,-33747.2
-35834.5,0.846646,0.719593,2,3,0,35836.1,-0.0203183,0.0835798,1.00143,-33747.5
-35838.6,0.418651,0.719593,2,3,0,35839.3,-0.0154776,0.0924941,0.992571,-33746.9
-35835.1,1,0.719593,1,1,0,35837.7,-0.0172656,0.0904504,0.996457,-33746.6
-35835.3,0.992116,0.719593,2,7,0,35835.5,-0.0154838,0.0788682,1.00148,-33747.9
-35833.7,1,0.719593,2,3,0,35835.3,-0.0178265,0.0833971,0.997856,-33746.5
-35834,0.728908,0.719593,2,3,0,35836.1,-0.0133872,0.0846147,0.999891,-33747
-35833.6,0.997664,0.719593,2,3,0,35834,-0.0176164,0.0834241,0.998504,-33746.6
-35833.7,0.925895,0.719593,2,3,0,35834.2,-0.0168644,0.0869096,0.998861,-33746.7
-35834,0.937682,0.719593,2,7,0,35834.3,-0.0132112,0.0845354,0.9997,-33746.9
-35835.2,0.728967,0.719593,2,3,0,35836,-0.0164001,0.0882845,1.00294,-33747.9
-35836.1,0.643433,0.719593,2,3,0,35837.8,-0.0160053,0.0913915,0.995137,-33746.6
-35834.4,1,0.719593,2,7,0,35835.9,-0.0144918,0.0820854,1.00137,-33747.5
-35834.9,0.953227,0.719593,2,3,0,35835.2,-0.019863,0.0832751,0.995108,-33746.4
-35835,0.905823,0.719593,2,7,0,35836.6,-0.0155885,0.088462,0.995143,-33746.3
-35835.3,0.930511,0.719593,2,3,0,35836.8,-0.0145619,0.0907876,1.00085,-33747.5
-35834.9,1,0.719593,2,3,0,35836,-0.0115446,0.0882645,0.998305,-33746.9
-35835.5,0.755811,0.719593,2,3,0,35838,-0.0109886,0.0818438,0.996157,-33746.8
-35834.1,0.967298,0.719593,2,3,0,35836.1,-0.0200258,0.0820982,0.998365,-33746.8
-35834.9,0.951815,0.719593,2,3,0,35835,-0.0226117,0.0827292,0.998892,-33747.2
-35836.3,0.637874,0.719593,2,3,0,35838.7,-0.0185714,0.089952,1.00363,-33748.4
-35835.3,1,0.719593,2,3,0,35837,-0.0160584,0.0917403,0.998374,-33747
-35835.6,0.979036,0.719593,2,3,0,35836.2,-0.0185244,0.0771953,0.998341,-33747.4
-35834.5,0.926527,0.719593,2,3,0,35836.7,-0.0143819,0.0820103,1.00162,-33747.6
-35834.9,0.777897,0.719593,2,3,0,35837.7,-0.021757,0.0872095,0.996921,-33746.7
-35834.5,0.734643,0.719593,2,3,0,35836.8,-0.0158077,0.0811314,0.996103,-33746.5
-35836.7,0.717559,0.719593,2,3,0,35837.7,-0.0206483,0.0760968,0.998907,-33747.9
-35834.8,1,0.719593,2,3,0,35836.8,-0.0162276,0.090665,0.999299,-33747
-35834.4,0.898434,0.719593,2,3,0,35835.9,-0.0168628,0.080709,0.996736,-33746.6
-35836.1,0.515907,0.719593,2,3,0,35838.8,-0.0146948,0.0893671,1.00355,-33748.3
-35835.2,0.949524,0.719593,2,3,0,35836.5,-0.0187837,0.0794615,0.995942,-33746.8
-35834.9,1,0.719593,2,7,0,35835.3,-0.015358,0.0898682,1.00099,-33747.4
-35834.6,0.846717,0.719593,2,7,0,35836.8,-0.0123236,0.0824484,1.00058,-33747.3
-35834.5,0.463881,0.719593,2,3,0,35841.3,-0.0187441,0.0883486,1.0011,-33747.4
-35834.6,0.961606,0.719593,2,3,0,35835.5,-0.0206746,0.0863329,0.996271,-33746.5
-35834.5,0.998346,0.719593,2,3,0,35835,-0.0128186,0.0871153,1.00043,-33747.2
-35838.7,0.641994,0.719593,2,7,0,35838.9,-0.0232368,0.0745879,0.998019,-33748.5
-35834.6,1,0.719593,2,3,0,35838.5,-0.0207985,0.0818479,0.997124,-33746.8
-35834.6,0.724833,0.719593,2,3,0,35837.8,-0.0207985,0.0818479,0.997124,-33746.8
-35835.2,0.952898,0.719593,2,3,0,35835.5,-0.0122255,0.0888207,1.00108,-33747.5
-35833.8,0.994709,0.719593,2,3,0,35835.5,-0.0145674,0.0855293,0.997475,-33746.4
-35836.1,0.726778,0.719593,2,3,0,35836.8,-0.010503,0.0890662,1.00151,-33747.9
-35836.9,0.807107,0.719593,1,1,0,35837.4,-0.0106637,0.0899234,1.00268,-33748.4
-35836.7,1,0.719593,2,3,0,35837.8,-0.022238,0.0779258,0.996148,-33747.4
-35836.9,0.998149,0.719593,2,7,0,35836.9,-0.0109638,0.0916494,1.00118,-33748
-35834.7,1,0.719593,2,3,0,35836.7,-0.015823,0.089887,1.0004,-33747.2
-35835.2,0.945278,0.719593,2,3,0,35835.8,-0.0189747,0.0806232,0.995227,-33746.6
-35835.1,0.994475,0.719593,2,3,0,35835.7,-0.0139143,0.0874936,1.00264,-33747.8
-35834.1,1,0.719593,2,3,0,35835,-0.0188388,0.0825023,0.996797,-33746.5
-35836.4,0.807499,0.719593,2,3,0,35836.6,-0.0136018,0.0910991,1.00269,-33748.2
-35834.6,1,0.719593,2,3,0,35836.1,-0.0191449,0.0814149,0.996125,-33746.6
-35836.4,0.567211,0.719593,1,1,0,35836.6,-0.0179816,0.0806494,0.993195,-33746.6
-35835.7,1,0.719593,2,3,0,35837.1,-0.0162903,0.0865935,1.00413,-33748.4
-35835.5,1,0.719593,2,3,0,35836.2,-0.0210901,0.0838799,0.99451,-33746.5
-35834.2,0.915642,0.719593,2,3,0,35836.5,-0.0200737,0.0870961,0.999664,-33747
-35834.2,0.78004,0.719593,1,1,0,35834.9,-0.0200737,0.0870961,0.999664,-33747
-35835.3,0.898753,0.719593,2,3,0,35835.6,-0.0193485,0.0912137,0.998132,-33747
-35835.9,0.956351,0.719593,2,3,0,35836.5,-0.0161556,0.0925755,0.997161,-33746.9
-35833.6,1,0.719593,2,3,0,35835.5,-0.0174213,0.0837737,0.999481,-33746.8
-35834.3,0.779926,0.719593,2,3,0,35834.8,-0.0133421,0.0829741,1.00059,-33747.2
-35834.9,0.868778,0.719593,2,3,0,35835.8,-0.0131244,0.0815395,0.995874,-33746.6
-35834.7,0.785306,0.719593,2,7,0,35837.4,-0.0154196,0.0901948,0.998523,-33746.8
-35834.6,0.876946,0.719593,2,3,0,35835.8,-0.0157858,0.0855128,0.994971,-33746.2
-35833.6,1,0.719593,1,3,0,35834.4,-0.0161437,0.0838501,0.997541,-33746.4
-35837.2,0.54135,0.719593,2,3,0,35837.9,-0.0174663,0.0892392,0.992388,-33746.5
-35833.7,1,0.719593,1,3,0,35836.6,-0.0163638,0.0847735,0.997122,-33746.4
-35836.3,0.330693,0.719593,2,3,0,35840.1,-0.0171423,0.0845004,1.00498,-33748.8
-35834.7,0.865303,0.719593,2,3,0,35837.4,-0.0218937,0.0855973,0.997012,-33746.7
-35833.8,1,0.719593,2,3,0,35834.7,-0.0187753,0.0842027,0.997156,-33746.4
-35834.6,0.930903,0.719593,2,3,0,35834.6,-0.0198544,0.084487,0.995553,-33746.4
-35833.8,1,0.719593,2,3,0,35834.8,-0.0176233,0.0870749,0.999874,-33746.9
-35837,0.664815,0.719593,2,3,0,35837.4,-0.00804927,0.0802212,0.999512,-33747.9
-35834.9,0.95926,0.719593,2,7,0,35837.4,-0.0226167,0.0850518,1.00045,-33747.5
-35834.7,0.991515,0.719593,3,7,0,35836.2,-0.022546,0.0840954,0.998189,-33747
-35835.8,0.823668,0.719593,2,3,0,35837.2,-0.00962594,0.0875315,1.00023,-33747.5
-35837.2,0.88077,0.719593,2,3,0,35838.8,-0.00741108,0.0807119,0.998222,-33747.7
-35841.5,0.349144,0.719593,2,3,0,35849,-0.0269273,0.0948201,1.00158,-33749.7
-35833.6,1,0.719593,2,3,0,35841.3,-0.0171554,0.0857535,0.999333,-33746.7
-35833.6,0.406555,0.719593,1,3,0,35838.7,-0.0171554,0.0857535,0.999333,-33746.7
-35834,0.864655,0.719593,1,3,0,35834.5,-0.0161778,0.0816417,0.997244,-33746.5
-35834.6,0.786338,0.719593,2,3,0,35836.3,-0.0190875,0.0895077,0.99964,-33747.1
-35835.1,0.818014,0.719593,2,3,0,35836.1,-0.0152481,0.0786487,1.00067,-33747.6
-35834.5,1,0.719593,2,7,0,35835.5,-0.0212896,0.0863647,0.997249,-33746.7
-35835.9,0.483099,0.719593,2,3,0,35838.1,-0.0139331,0.0891985,1.00315,-33748.1
-35834.5,1,0.719593,2,3,0,35836.2,-0.0137486,0.08591,0.995791,-33746.3
-35835,0.83396,0.719593,1,1,0,35835.3,-0.0145339,0.0855128,0.994486,-33746.2
-35836.4,0.658435,0.719593,1,1,0,35836.8,-0.0150434,0.0875616,0.992889,-33746.3
-35834.7,0.839894,0.719593,2,3,0,35838.1,-0.0123211,0.0821088,1.00059,-33747.4
-35834.7,0.509305,0.719593,2,3,0,35838,-0.0123211,0.0821088,1.00059,-33747.4
-35834.7,0.74989,0.719593,2,3,0,35837,-0.0123211,0.0821088,1.00059,-33747.4
-35834.5,0.873562,0.719593,2,3,0,35835.6,-0.0136017,0.0841516,0.995665,-33746.3
-35834.5,0.317333,0.719593,1,3,0,35839.9,-0.0136017,0.0841516,0.995665,-33746.3
-35834.6,0.95606,0.719593,2,7,0,35835.4,-0.0210119,0.0879328,0.999493,-33747.1
-35834,0.850359,0.719593,2,3,0,35836.1,-0.0169514,0.0811523,0.997859,-33746.7
-35834.2,0.898238,0.719593,2,3,0,35834.8,-0.0183083,0.0823129,1.00116,-33747.4
-35834.9,0.671418,0.719593,2,3,0,35836.5,-0.0117845,0.0868393,1.00083,-33747.4
