# stan_version_major = 2
# stan_version_minor = 35
# stan_version_patch = 0
# model = reg_model
# start_datetime = 2025-04-21 01:33:04 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/43/wy_ws5nx3830gqhfw05n4yyc0000gn/T/tmpauik0v1i/ydzdrobl.json
# init = 2 (Default)
# random
#   seed = 24555
# output
#   file = /Users/zhafen/repos/citesim/analysis_data/stan_fits/stan_fit/den_SBERT/reg-20250420203304_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.35.0
# stancflags = --filename-in-msg=reg.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta,sigma,log_p
# Adaptation terminated
# Step size = 0.459672
# Diagonal elements of inverse mass matrix:
# 2.40065e-05, 2.53884e-05, 1.82363e-05
-36016.6,0.968894,0.459672,3,7,0,36018.5,-0.00242207,0.0689104,1.00259,-33914.4
-36017.3,0.949716,0.459672,3,7,0,36018.1,-0.00246919,0.0613798,1.00444,-33915.5
-36018.3,0.900201,0.459672,2,7,0,36019.8,0.0054859,0.0626755,1.00336,-33915.1
-36017.9,0.99553,0.459672,3,7,0,36019.8,8.44758e-05,0.0728095,1.00201,-33914.3
-36017.7,1,0.459672,2,3,0,36018.1,0.00110506,0.072205,1.00237,-33914.3
-36021.1,0.68578,0.459672,2,7,0,36026.5,0.00915006,0.0688638,0.999959,-33914.8
-36019.5,0.969477,0.459672,2,3,0,36022.4,0.00813524,0.0654025,1.00205,-33914.9
-36019,0.991964,0.459672,3,7,0,36020.7,0.00632333,0.0630951,1.00561,-33915.6
-36018.5,0.99343,0.459672,3,7,0,36020.5,-0.00812488,0.0697858,1.00346,-33915.4
-36017.2,0.993836,0.459672,3,7,0,36019.5,0.00130923,0.070076,1.00153,-33914.1
-36018.3,0.899266,0.459672,2,3,0,36018.8,0.00150574,0.0694146,0.999019,-33914
-36017.9,1,0.459672,3,7,0,36019.2,-0.00695413,0.0670355,1.0011,-33914.9
-36018.3,0.992531,0.459672,2,3,0,36018.5,-0.00816674,0.0668203,1.00178,-33915.2
-36017.8,0.993242,0.459672,3,7,0,36019.7,0.00413251,0.0697088,1.00488,-33914.8
-36017.5,0.991595,0.459672,2,7,0,36018.5,0.001243,0.0705255,1.00117,-33914.1
-36017.4,0.923623,0.459672,3,7,0,36019.4,-0.00613381,0.0677573,1.00196,-33914.8
-36017.4,0.94362,0.459672,2,7,0,36019.3,0.00262217,0.0622721,1.00296,-33914.9
-36016.8,0.934256,0.459672,2,7,0,36019.4,0.00219797,0.0673927,1.00446,-33914.6
-36016.8,0.943951,0.459672,2,3,0,36017.7,0.0015946,0.064124,1.00464,-33914.9
-36016.7,0.932205,0.459672,3,7,0,36017.9,-0.00285506,0.068139,1.00189,-33914.3
-36017.4,0.940673,0.459672,2,7,0,36018,-0.00244544,0.0612601,1.00465,-33915.5
-36021.4,0.764157,0.459672,3,7,0,36023.1,0.00970979,0.0613884,1.00251,-33915.9
-36022.5,0.896156,0.459672,1,1,0,36022.8,0.0102305,0.0598802,1.00204,-33916.2
-36017.1,1,0.459672,2,3,0,36022.1,0.00313041,0.0644115,1.00444,-33914.9
-36020.1,0.704386,0.459672,2,3,0,36021.9,0.00412426,0.0592913,1.00735,-33916.7
-36018.7,1,0.459672,2,3,0,36021.1,0.00573268,0.0620211,1.00304,-33915.2
-36018.6,1,0.459672,3,7,0,36019.3,-0.0077037,0.0709035,1.00264,-33915.2
-36019.2,0.879289,0.459672,2,7,0,36021.5,-0.000432187,0.0677825,0.997201,-33914.2
-36020.3,0.950209,0.459672,2,7,0,36021.1,-0.000770645,0.0646066,0.99616,-33914.6
