# stan_version_major = 2
# stan_version_minor = 35
# stan_version_patch = 0
# model = multireg_model
# start_datetime = 2025-04-21 01:48:55 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /var/folders/43/wy_ws5nx3830gqhfw05n4yyc0000gn/T/tmpauik0v1i/ownuu9c3.json
# init = 2 (Default)
# random
#   seed = 94170
# output
#   file = /Users/zhafen/repos/citesim/analysis_data/stan_fits/stan_fit/den_SciBERT.nondens/multireg-20250420204855_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.35.0
# stancflags = --filename-in-msg=multireg.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,theta.1,theta.2,theta.3,sigma,beta.1,beta.2,beta.3,log_p
# Adaptation terminated
# Step size = 0.525178
# Diagonal elements of inverse mass matrix:
# 2.24364e-05, 2.20537e-05, 2.17723e-05, 2.26662e-05, 1.63395e-05
-33927.6,0.797027,0.525178,2,3,0,33928.3,-0.0109818,0.0416178,0.160877,0.125641,0.976561,0.0261451,0.159551,0.128502,-32787.1
-33925.5,1,0.525178,2,3,0,33928.6,-0.0126589,0.040242,0.161058,0.131875,0.980393,0.0239116,0.15869,0.134878,-32787.4
-33924.7,0.903571,0.525178,3,7,0,33927.9,-0.0124601,0.0373391,0.165392,0.129841,0.97759,0.0214288,0.163913,0.132797,-32787.2
-33924.8,0.998421,0.525178,3,7,0,33925.2,-0.00605794,0.031153,0.161159,0.130227,0.982007,0.0152122,0.159085,0.133192,-32789.5
-33924.8,0.995608,0.525178,3,7,0,33925.8,-0.0128012,0.0375145,0.164685,0.131605,0.977412,0.0213375,0.162817,0.134602,-32787.1
-33925.9,0.952597,0.525178,3,7,0,33926.6,-0.0116833,0.0410777,0.163849,0.132267,0.977521,0.0247306,0.161763,0.135279,-32786.6
-33924.9,0.985465,0.525178,3,7,0,33927.3,-0.00708846,0.0293201,0.162276,0.130849,0.981889,0.0133434,0.160236,0.133828,-32790
-33925,0.990031,0.525178,3,7,0,33926.4,-0.0125573,0.0390116,0.165982,0.131381,0.979908,0.0228657,0.164314,0.134373,-32787.3
-33926,0.89592,0.525178,2,3,0,33926.9,-0.0126995,0.0394655,0.165092,0.134363,0.977176,0.0228719,0.162804,0.137422,-32786.8
