# stan_version_major = 2
# stan_version_minor = 35
# stan_version_patch = 0
# model = multireg_model
# start_datetime = 2025-04-21 01:50:25 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/43/wy_ws5nx3830gqhfw05n4yyc0000gn/T/tmpauik0v1i/3eyhic56.json
# init = 2 (Default)
# random
#   seed = 73517
# output
#   file = /Users/zhafen/repos/citesim/analysis_data/stan_fits/stan_fit/den_Word2Vec.nondens/multireg-20250420205024_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.35.0
# stancflags = --filename-in-msg=multireg.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,theta.1,theta.2,theta.3,sigma,beta.1,beta.2,beta.3,log_p
# Adaptation terminated
# Step size = 0.50846
# Diagonal elements of inverse mass matrix:
# 2.47933e-05, 2.49901e-05, 2.08788e-05, 2.32696e-05, 1.64995e-05
-34353.4,1,0.50846,3,7,0,34356.2,-0.00809103,0.0524631,0.157671,0.126412,0.981662,0.00630223,0.163983,0.130565,-33173.3
-34355.4,0.855088,0.50846,2,3,0,34356.8,-0.0130469,0.0472524,0.155428,0.129751,0.9822,0.000680709,0.160912,0.134014,-33172.7
-34356,0.876714,0.50846,3,7,0,34360.2,-0.01356,0.0610333,0.167633,0.125748,0.976386,0.013746,0.175588,0.129879,-33174.2
-34354.8,0.995606,0.50846,3,7,0,34357.5,-0.013142,0.0491265,0.153443,0.130486,0.978607,0.00266708,0.158512,0.134773,-33172.1
-34353.5,0.904743,0.50846,3,7,0,34359.1,-0.0131524,0.0605661,0.163592,0.130233,0.979705,0.0128808,0.170274,0.134512,-33173.7
-34353.1,0.95329,0.50846,3,7,0,34355.2,-0.00798618,0.0531094,0.160775,0.126998,0.976221,0.00642849,0.167485,0.13117,-33171.6
-34353.6,0.886815,0.50846,3,7,0,34356.5,-0.0159724,0.0576616,0.156136,0.12864,0.981827,0.0112588,0.161889,0.132867,-33174.7
-34353.2,0.995624,0.50846,3,7,0,34355.2,-0.00966949,0.0516983,0.165119,0.128842,0.977933,0.00407274,0.172238,0.133074,-33171
-34353.4,0.979784,0.50846,3,7,0,34354.6,-0.0159108,0.0575833,0.160178,0.13221,0.98136,0.00992507,0.166045,0.136554,-33173.5
-34352.4,0.993407,0.50846,2,7,0,34353.7,-0.0118722,0.0564806,0.161027,0.131925,0.980445,0.00876744,0.167068,0.136259,-33172.5
-34352.2,0.996348,0.50846,3,7,0,34352.8,-0.0133585,0.0531236,0.159908,0.125039,0.979287,0.0069566,0.166765,0.129147,-33172.7
-34353.5,0.740022,0.50846,2,3,0,34355.7,-0.0103858,0.0532173,0.162542,0.123612,0.981897,0.00700216,0.170014,0.127673,-33173.6
-34354.5,0.860669,0.50846,3,7,0,34356.8,-0.00857558,0.0557051,0.160933,0.129844,0.984578,0.00842845,0.167258,0.13411,-33174.3
-34352.2,0.83761,0.50846,2,3,0,34357.4,-0.0131138,0.0530122,0.158259,0.125541,0.979522,0.00695532,0.164787,0.129666,-33172.8
-34352.7,0.921374,0.50846,3,7,0,34353.9,-0.00985951,0.0572,0.163128,0.131064,0.978811,0.00939387,0.169619,0.13537,-33172.2
-34353,0.913905,0.50846,3,7,0,34354.6,-0.0141426,0.052333,0.155284,0.127218,0.979579,0.00631527,0.161109,0.131398,-33172.9
-34354.5,0.759941,0.50846,3,7,0,34358.2,-0.0106144,0.0563238,0.16866,0.126886,0.979019,0.00865538,0.176611,0.131054,-33172.9
-34354.8,0.980185,0.50846,3,7,0,34356.4,-0.0133536,0.054727,0.151568,0.131214,0.979221,0.00837842,0.156242,0.135525,-33173.6
-34353.4,0.977726,0.50846,3,7,0,34356.4,-0.0157953,0.0593605,0.162585,0.125629,0.978524,0.0127457,0.169773,0.129756,-33174.1
-34354.9,0.871962,0.50846,3,7,0,34356.7,-0.00969333,0.0477595,0.158331,0.13148,0.976255,0.000459137,0.164017,0.135799,-33170.4
-34354.6,0.982553,0.50846,3,7,0,34357,-0.0148074,0.0604723,0.159139,0.123818,0.982084,0.0146784,0.166052,0.127885,-33176.2
-34353.6,1,0.50846,3,7,0,34354.6,-0.0150225,0.0599338,0.159287,0.125439,0.981094,0.0137866,0.165991,0.12956,-33175.2
-34354.6,0.844151,0.50846,3,7,0,34357.7,-0.0112576,0.0543559,0.156168,0.120786,0.977914,0.00954895,0.163055,0.124754,-33174.4
-34355.1,0.876362,0.50846,3,7,0,34357.9,-0.0120605,0.0547482,0.166183,0.135824,0.9799,0.00556281,0.172464,0.140287,-33171.7
-34354.9,0.980415,0.50846,3,7,0,34357.2,-0.0140406,0.053053,0.154611,0.122301,0.976496,0.00813283,0.161039,0.126319,-33173.8
-34354.6,0.991497,0.50846,3,7,0,34356.8,-0.0127807,0.0568845,0.166281,0.134504,0.978156,0.00796384,0.172767,0.138923,-33171.9
-34353.7,1,0.50846,3,7,0,34355.8,-0.00976006,0.0529972,0.161757,0.121824,0.979396,0.00724969,0.169363,0.125827,-33173.4
-34355.4,0.730618,0.50846,3,7,0,34359.4,-0.0133484,0.0471797,0.156974,0.130356,0.975429,0.000283803,0.16261,0.134638,-33170.7
-34356.5,0.920725,0.50846,3,7,0,34360.6,-0.0139815,0.0548882,0.164643,0.117975,0.978947,0.0095624,0.173251,0.12185,-33175.2
-34354.6,0.980654,0.50846,3,7,0,34358.8,-0.0148984,0.053259,0.160715,0.135246,0.98252,0.00489538,0.166229,0.139689,-33172.6
-34352.3,1,0.50846,2,3,0,34354.8,-0.0116159,0.0565424,0.162154,0.130182,0.977122,0.00904091,0.168621,0.134459,-33171.8
-34352.2,0.997495,0.50846,3,7,0,34352.9,-0.013863,0.0529952,0.159554,0.127626,0.98103,0.00634329,0.165984,0.131819,-33172.7
-34353.4,0.925332,0.50846,2,3,0,34353.7,-0.0125666,0.0591366,0.156012,0.129896,0.977415,0.012497,0.161565,0.134163,-33173.5
-34355.6,0.86447,0.50846,3,7,0,34357.4,-0.0138682,0.0483475,0.154108,0.127056,0.982545,0.00250268,0.159774,0.13123,-33173.7
-34355.3,0.985757,0.50846,3,7,0,34358.5,-0.0116514,0.0574045,0.155553,0.120883,0.976808,0.0126668,0.162331,0.124854,-33175.1
-34355.4,0.995565,0.50846,3,7,0,34357.2,-0.0103838,0.0612939,0.156592,0.12318,0.97666,0.0159631,0.163201,0.127227,-33175.5
-34352.8,0.952075,0.50846,2,3,0,34356.6,-0.00956824,0.0516715,0.161743,0.130255,0.981243,0.00419314,0.168135,0.134534,-33171.8
-34355.3,0.80444,0.50846,2,3,0,34356.9,-0.0120992,0.0519862,0.152321,0.123895,0.977371,0.00703239,0.158164,0.127965,-33173.8
-34352.9,0.994202,0.50846,3,7,0,34356.1,-0.00821129,0.0549786,0.164175,0.129639,0.979523,0.00732202,0.171034,0.133898,-33172
-34352.5,0.979684,0.50846,3,7,0,34354,-0.016862,0.0541045,0.159205,0.127009,0.978798,0.00762774,0.16567,0.131181,-33172.8
-34352.5,0.883091,0.50846,2,3,0,34354.6,-0.0134646,0.0541644,0.156782,0.129372,0.981206,0.00751693,0.162531,0.133622,-33173.1
-34354.4,0.85079,0.50846,2,3,0,34355.1,-0.0120888,0.049465,0.158395,0.131594,0.983094,0.00213836,0.164075,0.135917,-33172.5
-34352.6,1,0.50846,2,3,0,34354.7,-0.0125078,0.0501916,0.158739,0.130214,0.979046,0.00310573,0.16467,0.134492,-33171.3
-34356.6,0.747395,0.50846,3,7,0,34358.3,-0.0172871,0.0599687,0.166354,0.131921,0.97524,0.0115779,0.173223,0.136255,-33173.1
-34355.9,0.900222,0.50846,2,3,0,34359.8,-0.0207525,0.0591244,0.162963,0.127594,0.97632,0.0120571,0.169927,0.131786,-33174.2
-34352.6,0.904107,0.50846,2,3,0,34358.4,-0.0159198,0.0572904,0.158985,0.126682,0.980155,0.0109192,0.165462,0.130844,-33173.9
-34353.7,0.898716,0.50846,3,7,0,34354.9,-0.00605085,0.056103,0.163391,0.126798,0.980128,0.00913407,0.170536,0.130963,-33173.1
-34353.4,0.954385,0.50846,3,7,0,34355.7,-0.0146625,0.0520085,0.163029,0.124763,0.976407,0.0054906,0.170411,0.128862,-33171.9
-34354,0.893365,0.50846,2,3,0,34355.3,-0.0158217,0.0517128,0.161121,0.124432,0.975522,0.0055089,0.168254,0.12852,-33172.1
