# stan_version_major = 2
# stan_version_minor = 35
# stan_version_patch = 0
# model = multireg_model
# start_datetime = 2025-04-21 01:59:31 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/43/wy_ws5nx3830gqhfw05n4yyc0000gn/T/tmpauik0v1i/tqkxh379.json
# init = 2 (Default)
# random
#   seed = 7718
# output
#   file = /Users/zhafen/repos/citesim/analysis_data/stan_fits/stan_fit/dens.nondens/multireg-20250420205931_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.35.0
# stancflags = --filename-in-msg=multireg.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,theta.9,theta.10,theta.11,theta.12,sigma,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,log_p
# Adaptation terminated
# Step size = 0.565731
# Diagonal elements of inverse mass matrix:
# 3.90403e-05, 3.10474e-05, 3.31481e-05, 3.4901e-05, 3.40641e-05, 3.3864e-05, 3.36504e-05, 3.05413e-05, 3.14776e-05, 3.41751e-05, 3.2635e-05, 3.22123e-05, 3.6842e-05, 2.14721e-05
-18932.8,0.966166,0.565731,3,7,0,18938.7,-0.0123018,0.155008,0.130438,0.062189,0.109034,0.0295514,-0.0353546,-0.0441332,0.0749123,-0.0200378,-0.0075002,-0.0255417,-0.104717,0.972925,0.145689,0.128005,0.00841577,0.116913,0.161659,-0.0326567,-0.130767,0.0735922,-0.0189883,0.0105619,-0.0177485,-0.13362,-18491.7
-18932.5,0.897079,0.565731,3,7,0,18938.1,-0.01815,0.168321,0.125636,0.0675929,0.100063,0.0303361,-0.0458987,-0.0511251,0.0755218,-0.0138118,-0.0108171,-0.0144487,-0.0974421,0.972058,0.161804,0.124478,0.014296,0.111981,0.175147,-0.0403879,-0.132489,0.0752238,-0.0129833,0.00501342,-0.00632074,-0.124338,-18495.8
-18931.7,0.875795,0.565731,3,7,0,18937.5,-0.0117223,0.157518,0.133014,0.0660347,0.108605,0.0302864,-0.0350548,-0.0460428,0.0738511,-0.0204771,-0.00553973,-0.0255109,-0.0986529,0.971171,0.148578,0.129674,0.0129427,0.116123,0.164935,-0.0326712,-0.128373,0.072879,-0.0194948,0.0116625,-0.0183052,-0.125883,-18491.4
-18931.1,0.713774,0.565731,3,7,0,18940.1,-0.0172981,0.165974,0.125817,0.0691149,0.0996573,0.0289203,-0.0456274,-0.0488907,0.0722183,-0.0197677,-0.00833991,-0.0179202,-0.103989,0.973961,0.15848,0.125595,0.0178116,0.11086,0.171316,-0.0421824,-0.135451,0.0707537,-0.0189398,0.00889648,-0.00948119,-0.132692,-18493.8
-18930.5,0.914864,0.565731,3,7,0,18934.7,-0.014042,0.161495,0.132101,0.064439,0.108588,0.0314164,-0.0362399,-0.0485029,0.0756648,-0.0140709,-0.0102404,-0.0229869,-0.0968307,0.96982,0.1535,0.128843,0.0103271,0.117154,0.169083,-0.0323132,-0.129819,0.0753724,-0.012993,0.00628314,-0.0157212,-0.123557,-18491.9
-18933.5,0.794213,0.565731,3,7,0,18937,-0.0131931,0.154095,0.127425,0.0683925,0.101042,0.0289314,-0.041852,-0.052801,0.0758945,-0.015125,-0.0128411,-0.0300827,-0.102331,0.97353,0.145063,0.126958,0.0165603,0.111064,0.173338,-0.0414371,-0.140495,0.0752569,-0.0137737,0.00506576,-0.0229488,-0.130575,-18489.5
