# stan_version_major = 2
# stan_version_minor = 35
# stan_version_patch = 0
# model = hreg_model
# start_datetime = 2024-09-28 22:03:19 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/43/wy_ws5nx3830gqhfw05n4yyc0000gn/T/tmpy2die0g0/kun1jomc.json
# init = 2 (Default)
# random
#   seed = 21512
# output
#   file = /Users/zhafen/repos/citesim/analysis_data/stan_fits/stan_fit_None/h-BOW-SciBERT.h-nondens/hreg-20240928170319_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.35.0
# stancflags = --filename-in-msg=hreg.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,sigma,beta.1.1,beta.2.1,beta.3.1,beta.4.1,beta.5.1,beta.6.1,beta.7.1,beta.8.1,beta.9.1,beta.1.2,beta.2.2,beta.3.2,beta.4.2,beta.5.2,beta.6.2,beta.7.2,beta.8.2,beta.9.2,beta.1.3,beta.2.3,beta.3.3,beta.4.3,beta.5.3,beta.6.3,beta.7.3,beta.8.3,beta.9.3,beta.1.4,beta.2.4,beta.3.4,beta.4.4,beta.5.4,beta.6.4,beta.7.4,beta.8.4,beta.9.4,mu_beta.1,mu_beta.2,mu_beta.3,mu_beta.4,sigma_beta.1,sigma_beta.2,sigma_beta.3,sigma_beta.4,log_p
# Adaptation terminated
# Step size = 0.40902
# Diagonal elements of inverse mass matrix:
# 3.18805e-05, 2.29708e-05, 0.000218411, 0.000174675, 0.000165436, 0.000173386, 0.0002141, 0.000222271, 0.000176231, 0.000223718, 0.000485218, 0.000379417, 0.000334113, 0.000345739, 0.000181572, 0.000238062, 0.000193294, 0.000255296, 0.000204209, 0.000217939, 0.000193636, 0.000153465, 0.000276739, 0.000185406, 0.000248638, 0.000388022, 0.000455387, 0.000186675, 0.000202015, 0.000279244, 0.000373414, 0.000367331, 0.000279688, 0.000379881, 0.000302041, 0.000250316, 0.000256802, 0.000325021, 0.00241515, 0.00102678, 0.000325592, 0.00109635, 0.0807976, 0.099375, 0.0848206, 0.0816852
-18602.5,0.966053,0.40902,4,15,0,18626.3,-0.00383286,0.961714,0.173259,-0.0507441,0.330277,0.123703,0.32251,0.162736,0.0291565,0.0976465,0.245754,0.134871,-0.0340702,0.093146,0.0604333,0.0186906,0.14956,0.0726149,0.115612,0.135408,-0.073238,-0.0518093,-0.128371,-0.174606,-0.0379712,-0.0286637,-0.0887131,-0.0811356,-0.0450363,0.0561397,0.112666,0.00856166,0.057804,0.0291936,-0.0245353,0.205865,-0.00898496,0.0684444,0.178699,0.104056,-0.0923775,0.0344334,0.172345,0.0745989,0.0895806,0.0886887,-55552.9
-18598.3,0.999139,0.40902,4,15,0,18621.1,-0.00919687,0.969164,0.227794,-0.0369906,0.290429,0.0836971,0.288281,0.189449,0.0926382,0.0839315,0.263324,0.168469,-0.0437356,0.0919831,0.0916554,-0.00463151,0.171008,0.0480198,0.169228,0.162114,-0.0673645,-0.0477903,-0.123382,-0.119336,-0.0146951,-0.0176958,-0.102831,-0.069708,-0.0118805,0.0341309,0.0698999,0.0058984,0.0356984,0.0275865,-0.00713698,0.217347,-0.0572049,0.0418522,0.14684,0.072337,-0.0497216,0.0413429,0.128955,0.0820721,0.0309778,0.0701222,-55548.7
-18599,0.732636,0.40902,3,15,0,18620.5,-0.0069356,0.965252,0.18963,-0.0290391,0.29334,0.0949272,0.29159,0.168918,0.0450903,0.084626,0.246117,0.157054,-0.0196091,0.117397,0.0725268,0.0121237,0.144471,0.0569797,0.172813,0.131081,-0.0771197,-0.0403231,-0.11894,-0.150026,-0.010885,-0.0452961,-0.0854227,-0.0495545,-0.0388793,0.0488744,0.101673,0.00549225,0.0538363,0.0324591,-0.0115493,0.217018,-0.0406952,0.0354518,0.111239,0.0974932,-0.0866692,0.138456,0.109619,0.100516,0.053668,0.134303,-55547.5
-18602.4,0.93403,0.40902,3,7,0,18621.1,-0.00582834,0.967246,0.214148,-0.0328463,0.27141,0.105185,0.295897,0.200108,0.0215414,0.103577,0.240474,0.163019,-0.0478151,0.12479,0.0519736,-0.000958461,0.166997,0.0673603,0.149519,0.132058,-0.0777782,-0.0607079,-0.161725,-0.146633,-0.0370212,-0.0451101,-0.1019,-0.0684958,-0.0498593,0.0317184,0.0917537,0.0373193,0.0491332,0.0361637,-0.00877497,0.235386,-0.0484191,0.0885215,0.190948,0.127563,-0.0663492,0.0306367,0.0949141,0.0699603,0.0398153,0.0758849,-55551.8
-18599.6,0.886553,0.40902,3,15,0,18627.2,-0.00699308,0.96844,0.20235,-0.0272596,0.275103,0.0984799,0.290959,0.19197,0.022476,0.109083,0.232925,0.160784,-0.0480244,0.123408,0.0589239,-0.00674659,0.16306,0.0677766,0.151212,0.14342,-0.0677856,-0.0546019,-0.158646,-0.151941,-0.0393464,-0.0307068,-0.0953788,-0.0780222,-0.0499458,0.0253259,0.0974638,0.0414554,0.0509989,0.0379458,-0.00117385,0.228211,-0.0347844,0.078117,0.174275,0.106912,-0.0762041,0.0420301,0.0716637,0.0640214,0.0488289,0.0815351,-55549.7
-18602.5,0.888687,0.40902,3,15,0,18622.3,-0.0108117,0.965952,0.192324,-0.0162453,0.265566,0.0908959,0.318962,0.187985,0.0833353,0.0787149,0.23531,0.173502,-0.0511057,0.0921339,0.0630183,-0.0266049,0.151402,0.0591353,0.180927,0.135526,-0.0794165,-0.0494179,-0.118358,-0.159121,-0.0499995,0.00573232,-0.103429,-0.0884675,-0.0356224,0.0358614,0.0994688,0.0275715,0.0238947,0.028654,0.00930649,0.21062,-0.0545229,0.0768945,0.132041,0.0965558,-0.0756394,0.088557,0.0938514,0.0811561,0.0410591,0.0926764,-55553.3
-18608.5,0.844006,0.40902,3,7,0,18626.6,-0.00290818,0.963867,0.207168,-0.055583,0.347694,0.120935,0.293816,0.180732,0.0439309,0.102952,0.280305,0.129934,-0.0347056,0.0922221,0.0787913,0.0316086,0.136582,0.0739258,0.111774,0.14375,-0.0578111,-0.0443071,-0.143073,-0.129983,0.00417036,-0.0446926,-0.0921825,-0.0456096,-0.027254,0.0544602,0.0822306,0.00630424,0.0762396,0.0370373,-0.0162592,0.213093,-0.0307373,0.0439631,0.0971389,0.115949,-0.0699125,0.00735488,0.232646,0.096005,0.0632948,0.0642459,-55556
-18605.5,0.964937,0.40902,3,7,0,18632.9,-0.00466089,0.968235,0.223156,-0.0384153,0.278712,0.0844554,0.299534,0.195787,0.0869544,0.0932855,0.229088,0.146485,-0.0348351,0.119373,0.0548391,-0.0174696,0.138226,0.0647574,0.171807,0.150448,-0.0534286,-0.039237,-0.137459,-0.143155,-0.0418693,-0.00616953,-0.0996035,-0.0872709,-0.0401856,0.0180328,0.0673378,0.0128347,0.0374896,0.0179113,0.0047449,0.210472,-0.0372174,0.0617784,0.197071,0.0817022,-0.0577414,0.0760037,0.0723668,0.062382,0.0434213,0.104576,-55554.1
-18606.9,0.947851,0.40902,3,15,0,18632.2,-0.00809748,0.96139,0.169226,-0.0490927,0.340444,0.122006,0.293446,0.168844,0.0422361,0.0824761,0.284754,0.165509,-0.0443817,0.0637877,0.0912628,0.0125521,0.164113,0.0529212,0.125527,0.122771,-0.0879628,-0.0604578,-0.144834,-0.154363,-0.00627967,-0.0271531,-0.101374,-0.0587284,-0.0168444,0.064725,0.0975491,0.0166776,0.0506949,0.0347354,-0.0306884,0.220304,-0.0327283,0.0418639,0.0895853,0.1218,-0.0587733,0.0704179,0.268736,0.0834763,0.116526,0.0688696,-55550.9
